collocation,collocate_count,total_count,MI
she,3,1216,14.839799423943635
mrs,1,339,14.581975874357552
mother,1,282,14.31638576362
too,1,244,14.107571748784093
shelfer,1,236,14.059477460583048
do,2,444,13.971250277571311
once,1,213,13.911544031447043
two,1,212,13.904754865784405
away,1,206,13.863334938404424
thought,1,206,13.863334938404424
some,2,385,13.765549046803471
we,3,564,13.731423262898844
back,1,185,13.708215871737519
without,1,170,13.586225347358907
them,3,505,13.572011488139207
long,2,323,13.51222476591513
my,18,2850,13.48365561371836
nothing,1,158,13.48061515939831
left,1,157,13.471455160112834
which,4,625,13.464546790770655
been,3,464,13.449852905627623
miss,3,464,13.449852905627623
why,1,152,13.424761924664791
me,13,1970,13.420374607423852
come,2,302,13.415239150546284
told,1,151,13.415239150546284
own,2,301,13.41045408798091
door,1,147,13.376506756057571
enough,1,144,13.346759412663518
take,1,142,13.326581530725889
say,2,278,13.295775483944714
night,1,136,13.264297252471547
more,4,537,13.245612689206618
half,1,134,13.242923601678978
it,19,2537,13.23781470184156
light,1,133,13.232116846722397
looked,1,133,13.232116846722397
how,3,393,13.210257412758658
its,1,131,13.210257412758658
moment,1,130,13.19920222424966
little,4,514,13.182458960415085
because,1,128,13.176834411221206
perhaps,1,124,13.131030721608083
mr,1,124,13.131030721608083
did,3,371,13.127147287120854
even,3,370,13.123253371016363
might,1,123,13.119348916560446
clara,2,246,13.119348916560446
her,13,1594,13.114830607070585
where,2,244,13.107571748784093
last,2,243,13.101646914826986
their,2,242,13.0956976484958
if,6,725,13.093709095402348
see,3,358,13.075687687764306
under,1,119,13.07165217452915
farmer,1,116,13.034815406348779
side,1,116,13.034815406348779
here,2,231,13.028583452637264
both,1,115,13.022324462165582
out,3,344,13.018136665202148
knew,2,229,13.016038199318151
far,1,114,13.009724425385949
for,17,1910,12.988728492893976
god,1,112,12.98418933327881
dog,1,108,12.931721913384674
quite,2,215,12.925027260810666
in,26,2783,12.918819886411722
keep,1,107,12.918301397622352
think,2,206,12.863334938404423
have,11,1090,12.807515212248198
those,1,99,12.806191031300816
men,1,99,12.806191031300816
dear,3,295,12.796443054749254
darling,1,98,12.791544255336413
lily,2,195,12.784164724970818
myself,2,195,12.784164724970818
hair,1,97,12.776747253408333
only,4,388,12.776747253408333
than,4,388,12.776747253408333
could,7,679,12.776747253408333
then,5,484,12.773769553608439
except,1,96,12.761796911942364
time,4,383,12.758034993146163
along,1,95,12.746690019552155
by,8,750,12.727581196604449
white,1,93,12.715993222329237
mean,1,93,12.715993222329237
i,62,5750,12.71198434155343
so,12,1107,12.704311417281604
all,14,1275,12.685761020909823
sure,2,182,12.684629051419904
soon,1,91,12.684629051419904
now,8,713,12.654592677665095
vaughan,2,178,12.652567842187604
until,1,89,12.652567842187604
to,56,4972,12.649090070216086
years,1,88,12.636266029858502
same,1,88,12.636266029858502
oh,2,175,12.628045523053535
they,8,697,12.62184925708963
least,1,87,12.619777907069937
yet,2,173,12.611462638857931
don,2,172,12.603099165923306
good,4,339,12.581975874357552
from,9,755,12.567242243991336
shall,2,167,12.56053870369526
still,2,167,12.56053870369526
seemed,2,166,12.55187384256813
next,1,83,12.55187384256813
thing,2,165,12.543156625467022
get,1,82,12.53438641583929
times,1,82,12.53438641583929
want,1,82,12.53438641583929
found,2,162,12.516684414105832
leave,1,81,12.516684414105832
when,7,564,12.509030841562394
what,8,636,12.489717366505563
you,26,2061,12.485523482619369
tell,3,237,12.48061515939831
face,2,157,12.471455160112834
into,3,235,12.46838885706505
one,9,703,12.464290288851428
three,2,156,12.462236630083455
gave,1,77,12.443620951916106
are,5,383,12.436106898258801
know,5,382,12.432335144369592
came,3,229,12.431075698596993
brother,1,76,12.424761924664793
eyes,4,304,12.424761924664793
again,3,226,12.412050872915238
though,3,226,12.412050872915238
does,1,75,12.405653101717087
round,2,150,12.405653101717087
t,7,520,12.391847302192057
black,1,74,12.386287776850157
well,4,296,12.386287776850157
there,8,592,12.386287776850157
london,2,146,12.366658970101225
child,2,145,12.356743501236142
were,8,578,12.351760093721886
at,20,1445,12.351760093721886
but,22,1584,12.346759412663518
our,4,285,12.331652520273309
no,13,913,12.310865743064337
looking,1,70,12.306117428166173
deep,1,70,12.306117428166173
hear,1,70,12.306117428166173
and,105,7349,12.30592112977266
am,5,349,12.301989542543495
will,7,487,12.297257451245946
going,1,69,12.285358867999376
make,2,138,12.285358867999376
not,22,1513,12.280599064800645
with,24,1645,12.275743779122653
him,13,891,12.275676314602034
on,14,955,12.268836412086713
pretty,1,68,12.264297252471547
first,3,203,12.257207827685226
near,1,67,12.242923601678978
of,74,4949,12.240302372459258
knows,1,66,12.22122853057966
or,8,528,12.22122853057966
hard,1,66,12.22122853057966
gone,1,66,12.22122853057966
upon,6,395,12.217580753564516
after,4,263,12.215753400513508
before,4,256,12.176834411221206
part,1,64,12.176834411221206
never,7,445,12.167141015017362
short,1,63,12.154114334721122
often,1,63,12.154114334721122
up,6,378,12.154114334721122
heart,4,249,12.136836343289287
was,42,2614,12.136560414237879
brought,1,62,12.13103072160808
laid,1,62,12.13103072160808
ll,2,121,12.0956976484958
among,1,60,12.083725006829724
known,1,60,12.083725006829724
his,26,1558,12.081874211141784
wanted,1,59,12.059477460583048
called,2,118,12.059477460583048
thank,1,59,12.059477460583048
would,12,705,12.053351357786207
us,5,293,12.04966317075609
doubt,1,58,12.034815406348779
country,1,58,12.034815406348779
talk,1,58,12.034815406348779
wife,1,58,12.034815406348779
almost,1,58,12.034815406348779
name,2,115,12.022324462165582
great,4,229,12.01603819931815
against,1,57,12.009724425385949
