collocation,collocate_count,total_count,MI
prioress,1,644,15.377226772290268
which,2,606,14.289483877648603
sister,1,289,14.22123557667633
reverend,1,237,13.93505314307391
my,3,670,13.84936467879963
your,1,221,13.834212453567083
were,1,220,13.827669607700312
up,1,205,13.725789993681097
mother,2,364,13.554104534374346
at,4,725,13.548147079077948
into,2,357,13.52609015820475
back,1,177,13.513915444258648
hands,1,173,13.480938121812377
did,1,167,13.430014186649705
him,3,487,13.389125355536837
through,1,160,13.368237989063015
long,1,155,13.322434299449888
do,1,154,13.313096434870552
bishop,5,764,13.301810627324038
eyes,2,305,13.2989753266259
day,1,146,13.236134453055667
knight,3,437,13.232836862955093
then,3,432,13.216234895617964
how,1,140,13.175592911120619
what,1,139,13.16525096689916
left,1,138,13.154834350953822
time,1,134,13.112399084633424
life,1,131,13.079732895713104
down,1,130,13.068677707204106
came,1,130,13.068677707204106
worcester,1,129,13.057537149598906
still,1,126,13.02358981767557
also,1,125,13.01209417883774
mary,3,369,12.988824399514892
very,1,122,12.977047231738538
without,1,122,12.977047231738538
much,1,120,12.95320048978417
those,1,119,12.941127657483596
its,1,117,12.916674613759055
she,15,1727,12.893471666096058
hand,2,229,12.885513682272597
ever,1,110,12.827669607700312
home,1,110,12.827669607700312
face,2,218,12.814494218952579
feet,1,109,12.814494218952579
knew,1,109,12.814494218952579
turned,1,107,12.787776880576798
ladies,1,105,12.760555411841775
go,1,102,12.718735236147147
arms,1,102,12.718735236147147
will,3,302,12.699752132779576
hugh,4,401,12.693768320630571
saw,1,99,12.675666514255262
such,1,98,12.66101973829086
been,3,292,12.651171952334513
we,2,192,12.631272394896806
antony,4,382,12.6237387222114
nay,1,95,12.6161655025066
light,1,93,12.585468705283683
with,11,1013,12.571296734339493
now,3,275,12.564635201866517
old,3,274,12.559379476415021
they,3,274,12.559379476415021
give,1,90,12.538162990505326
place,1,90,12.538162990505326
her,25,2242,12.533024267206354
our,3,263,12.500266382746796
have,6,520,12.483715206482952
again,2,171,12.464162409061549
must,2,169,12.447189330457837
before,3,253,12.444340968148806
from,8,673,12.440772588785968
rose,1,84,12.438627316954411
heard,1,84,12.438627316954411
look,1,84,12.438627316954411
full,1,84,12.438627316954411
make,1,83,12.421349325522575
yet,4,329,12.408253667910893
only,1,81,12.386159897060278
and,43,3442,12.369076521513758
looking,1,80,12.368237989063015
two,1,80,12.368237989063015
noble,1,80,12.368237989063015
over,2,159,12.359192849460007
his,17,1335,12.341471079500229
one,3,234,12.3317121130379
should,3,234,12.3317121130379
blessed,1,78,12.3317121130379
mora,3,233,12.325533538108777
say,1,77,12.313096434870552
the,119,9132,12.308207275092409
like,1,76,12.294237407619237
cell,2,151,12.28471463350073
beside,1,75,12.275128584671533
it,13,972,12.270682679640341
was,12,889,12.257387002284265
many,1,74,12.255763259804603
until,1,73,12.236134453055667
told,1,73,12.236134453055667
head,2,143,12.206181230954043
seemed,2,143,12.206181230954043
lord,3,214,12.202814379855644
them,3,213,12.196057013680335
things,1,71,12.196057013680335
put,1,71,12.196057013680335
leave,1,70,12.175592911120619
men,1,70,12.175592911120619
moved,1,69,12.154834350953822
d,1,69,12.154834350953822
nor,1,69,12.154834350953822
argent,1,68,12.133772735425993
on,9,612,12.133772735425993
whom,1,66,12.090704013534106
seraphine,2,130,12.068677707204106
mind,2,130,12.068677707204106
where,2,129,12.057537149598906
in,31,1994,12.053563278186973
together,1,63,12.023589817675568
me,9,565,12.018491950035889
to,56,3508,12.01538800456278
had,20,1225,11.982947833178223
beneath,1,61,11.977047231738538
here,2,121,11.965173131450246
more,3,179,11.945163170718752
of,61,3611,11.933755261561405
felt,1,59,11.928952943537494
he,22,1283,11.912183730628039
that,21,1221,11.907839956384295
robin,1,58,11.904290889303224
if,5,290,11.904290889303224
sat,1,58,11.904290889303224
too,1,58,11.904290889303224
voice,2,114,11.879199908340395
you,14,795,11.873766022289766
indeed,1,56,11.853664816233255
tell,2,110,11.827669607700312
shall,2,110,11.827669607700312
i,26,1418,11.815511993274077
himself,2,108,11.80119739633912
leaving,1,53,11.77423034873885
why,1,53,11.77423034873885
returned,1,53,11.77423034873885
would,7,370,11.770336432634359
great,3,158,11.765128141631598
there,5,262,11.75780480082574
lover,1,52,11.746749612316744
though,1,52,11.746749612316744
set,1,52,11.746749612316744
riding,1,52,11.746749612316744
keep,1,52,11.746749612316744
when,8,414,11.739796851674976
think,1,50,11.690166083950375
within,2,99,11.675666514255262
so,9,443,11.66754778128836
word,1,49,11.66101973829086
upon,11,539,11.66101973829086
order,1,48,11.631272394896806
take,2,96,11.631272394896806
for,15,710,11.611094512959177
paused,1,47,11.60089874585329
need,1,47,11.60089874585329
right,2,93,11.585468705283683
myself,1,46,11.569871850232664
near,1,46,11.569871850232664
faithful,1,46,11.569871850232664
well,3,137,11.559379476415021
way,3,137,11.559379476415021
far,1,45,11.538162990505327
bent,1,45,11.538162990505327
whispered,1,44,11.505741512812948
messenger,1,44,11.505741512812948
could,6,264,11.505741512812948
years,2,87,11.48925339002438
all,9,391,11.48740969004069
madonna,1,43,11.47257464887775
lay,4,172,11.47257464887775
call,1,42,11.438627316954411
is,9,378,11.438627316954411
young,1,42,11.438627316954411
known,1,42,11.438627316954411
opened,1,42,11.438627316954411
this,13,545,11.435982595698848
an,5,209,11.431740931369172
or,6,250,11.427131678116583
as,21,863,11.407209220575847
these,2,82,11.403861898793735
sweet,1,41,11.403861898793735
pass,1,41,11.403861898793735
thy,4,163,11.395038048406729
tale,1,40,11.368237989063013
