collocation,collocate_count,total_count,MI
on,1,250,14.029011369616764
miss,1,196,13.677936929069885
in,3,567,13.625469509175751
me,1,174,13.506170580803406
said,2,277,13.176969251003866
with,2,275,13.1665148933667
it,4,550,13.1665148933667
an,1,123,13.005741590293917
t,1,119,12.958044848262622
your,1,118,12.94587013431652
for,2,219,12.838014144555851
his,4,431,12.814771144043775
were,1,107,12.804694071355824
ann,1,105,12.777472602620799
you,6,630,12.777472602620799
been,1,101,12.721438567706473
could,1,99,12.692583705034286
by,1,96,12.648189585675835
one,1,96,12.648189585675835
very,1,93,12.602385896062708
will,1,90,12.555080181284353
i,8,719,12.553075045393975
so,2,177,12.530832635037674
all,2,175,12.514438196787005
into,1,87,12.506170580803406
would,2,173,12.497855312591403
oh,1,79,12.36700783313178
or,1,78,12.348629303816926
know,1,76,12.311154598398264
say,1,74,12.272680450583628
looked,1,73,12.253051643834695
not,4,280,12.192510101899645
as,3,209,12.185623716314403
about,1,68,12.150689926205017
him,3,201,12.12931627541245
boy,8,529,12.110350997068704
am,1,66,12.107621204313132
but,4,262,12.096650086492128
this,2,130,12.085594897983132
what,2,129,12.074454340377931
quite,1,64,12.063227084954677
of,14,891,12.055153784418996
and,18,1130,12.035409140814915
away,1,62,12.017423395341552
little,3,186,12.017423395341552
he,9,541,11.972786867339181
upon,1,60,11.970117680563195
at,4,240,11.970117680563195
before,1,59,11.94587013431652
her,11,644,11.934712344431999
if,2,117,11.933591804538084
have,4,231,11.914976126370735
was,8,461,11.911850025384014
my,3,172,11.904529338935617
she,12,683,11.894006352523613
tell,1,56,11.870582007012281
the,43,2389,11.85915346870891
good,1,53,11.791147539517876
blue,2,106,11.791147539517876
be,4,211,11.784326273661863
charteris,2,105,11.777472602620799
no,2,102,11.735652426926173
knew,1,50,11.707083274729401
to,24,1196,11.702266258431628
professor,3,148,11.687717949862472
came,1,48,11.648189585675835
that,6,286,11.63813592101191
s,5,224,11.54865391212492
when,3,133,11.533547019734712
which,3,132,11.522658703591976
old,2,82,11.420779089572761
might,1,39,11.348629303816926
yet,1,38,11.311154598398263
moment,1,38,11.311154598398263
can,1,38,11.311154598398263
put,1,36,11.23315208639699
right,1,34,11.150689926205017
while,1,34,11.150689926205017
because,1,33,11.107621204313132
never,2,66,11.107621204313132
there,3,99,11.107621204313132
christobel,4,131,11.096650086492128
really,1,32,11.063227084954677
is,6,183,10.993964422517564
come,2,60,10.970117680563197
left,1,30,10.970117680563197
always,2,59,10.945870134316518
beside,1,29,10.92120808008225
had,14,406,10.92120808008225
give,1,27,10.818114587118146
thought,1,26,10.76366680309577
nothing,1,26,10.76366680309577
jenkins,2,51,10.735652426926173
here,1,25,10.707083274729403
ah,1,25,10.707083274729403
lay,1,24,10.648189585675834
silence,1,24,10.648189585675834
please,1,24,10.648189585675834
gone,1,23,10.58678904101169
guy,1,23,10.58678904101169
heart,2,45,10.555080181284353
name,1,22,10.522658703591976
ever,2,43,10.489491839656775
wish,1,21,10.455544507733439
face,3,61,10.409001921796408
asked,1,20,10.385155179842041
between,1,20,10.385155179842041
himself,1,20,10.385155179842041
a,40,778,10.344925335053507
own,3,56,10.285619506291125
love,3,55,10.259624297758181
has,3,54,10.23315208639699
white,1,18,10.23315208639699
evening,1,17,10.150689926205017
any,2,34,10.150689926205017
also,1,17,10.150689926205017
turned,2,34,10.150689926205017
marry,2,33,10.107621204313132
than,3,49,10.092974428348729
should,4,64,10.063227084954677
twenty,1,16,10.063227084954677
every,2,32,10.063227084954677
known,1,16,10.063227084954677
man,4,61,9.993964422517564
chelsea,1,15,9.970117680563197
kenrick,1,15,9.970117680563197
other,2,30,9.970117680563197
body,1,15,9.970117680563197
stood,3,43,9.90452933893562
without,1,14,9.870582007012281
quickly,1,14,9.870582007012281
help,1,14,9.870582007012281
paused,1,14,9.870582007012281
less,1,14,9.870582007012281
feeling,1,13,9.76366680309577
set,1,13,9.76366680309577
silent,1,13,9.76366680309577
woman,4,51,9.735652426926173
