collocation,collocate_count,total_count,MI
up,1,316,14.345006527410751
nurse,1,246,13.983740284572887
know,1,234,13.911590498817052
into,1,224,13.848580701291251
face,1,216,13.796113281397115
will,2,421,13.758902202300044
more,1,200,13.685081969008372
rosemary,1,195,13.648556092983258
so,3,537,13.525041556497904
am,1,170,13.450616715371348
if,2,326,13.389953933464726
oh,1,149,13.26039429969581
eyes,1,148,13.250679144862598
me,4,583,13.228577852434144
it,11,1523,13.154494387083643
like,1,138,13.149750236011817
jane,6,826,13.146261249931936
what,2,272,13.128688620483988
duchess,1,136,13.128688620483988
good,1,135,13.118041376284479
go,1,134,13.10731496969142
came,1,121,12.960089016508242
here,1,120,12.948116374842167
their,1,119,12.936043542541592
mind,1,118,12.92386882859549
think,1,115,12.886715830178023
deryck,1,115,12.886715830178023
then,3,341,12.869891207536666
you,15,1693,12.859701441520771
again,1,112,12.848580701291251
where,1,111,12.835641645583754
hands,1,111,12.835641645583754
at,6,665,12.833473808901045
quite,1,110,12.822585492758309
doctor,2,219,12.816012838834821
those,1,103,12.727726306416866
knew,1,103,12.727726306416866
t,2,202,12.699437261985443
dear,2,201,12.692277470412575
did,2,198,12.670582399313258
take,1,98,12.655935623348855
very,2,195,12.648556092983258
gray,1,95,12.611081387564596
once,1,95,12.611081387564596
being,1,94,12.595814630911285
they,3,281,12.590689598733418
when,4,372,12.580384590341678
come,2,185,12.57260723974996
by,3,276,12.56478773529066
felt,1,92,12.56478773529066
must,2,183,12.55692561751769
her,18,1622,12.53485888200861
i,24,2151,12.527055087935553
without,1,88,12.500657397870944
over,2,175,12.492436891065976
on,7,597,12.45545797844085
want,1,85,12.450616715371348
she,15,1267,12.441535992765939
voice,2,166,12.416265210580573
time,2,165,12.407547993479463
which,5,406,12.384633601531462
stood,1,81,12.381075782118273
old,2,159,12.354108734518004
his,12,950,12.348046981730802
champion,1,79,12.345006527410751
sat,1,79,12.345006527410751
miss,2,157,12.335846528125275
hand,2,156,12.326627998095896
and,50,3890,12.322924029332478
do,4,307,12.303320624603828
have,9,674,12.267905558973194
about,2,149,12.26039429969581
from,5,368,12.2428596404033
letter,1,73,12.231050338113667
never,3,216,12.211150780675961
in,23,1639,12.196263962276094
there,4,285,12.19604388828575
feel,1,71,12.19097289873833
both,1,70,12.170508796178614
that,13,900,12.154567252309594
evening,1,68,12.128688620483988
