collocation,collocate_count,total_count,MI
h,1,220,13.005496275763711
aribert,1,204,12.896561904210548
which,1,199,12.860761182782701
eugen,1,193,12.816593599507133
know,1,163,12.572864716470129
now,1,133,12.279418997740242
will,2,232,12.082117557366624
there,2,230,12.069626613183425
when,1,114,12.057026576403793
some,1,114,12.057026576403793
spencer,1,111,12.018552428589159
into,1,111,12.018552428589159
they,2,212,11.952057016802252
here,1,101,11.882348044990845
them,1,98,11.83884640635426
two,1,97,11.82404940442618
him,3,285,11.793992170569998
prince,4,363,11.727962300234802
levi,1,88,11.68356818087635
dimmock,1,87,11.66708005808778
her,4,348,11.66708005808778
were,2,172,11.65040131694115
it,11,910,11.594427678687811
what,3,240,11.546064657126413
think,1,79,11.527917310416155
come,1,78,11.5095387811013
how,1,78,11.5095387811013
would,2,154,11.490923102933952
nella,3,226,11.459353023933083
before,1,72,11.394061563681364
babylon,3,209,11.346533193598777
she,6,409,11.315131094459645
racksole,9,607,11.29976426705242
after,1,66,11.268530681597504
you,18,1185,11.264882904582361
sampson,1,63,11.201416485738967
millionaire,1,62,11.178332872625926
so,3,184,11.162736017574908
thought,1,61,11.154873899801938
without,1,61,11.154873899801938
mr,4,236,11.106779611600894
take,1,58,11.082117557366624
much,1,58,11.082117557366624
not,7,404,11.074993122933243
my,5,285,11.057026576403794
i,27,1488,11.008407871183614
did,2,110,11.005496275763711
let,1,55,11.005496275763711
anything,1,55,11.005496275763711
felix,1,55,11.005496275763711
though,1,54,10.97902406440252
perhaps,1,54,10.97902406440252
should,2,107,10.965603548640198
go,1,53,10.95205701680225
do,4,210,10.938382079905175
well,2,105,10.938382079905175
such,1,51,10.896561904210547
any,2,102,10.896561904210547
because,1,51,10.896561904210547
all,4,204,10.896561904210547
business,1,50,10.867992752013775
to,38,1835,10.817773396526041
half,1,48,10.809099062960208
been,4,192,10.809099062960208
must,2,96,10.809099062960208
being,1,48,10.809099062960208
few,1,48,10.809099062960208
never,2,95,10.79399217057
for,9,425,10.785530591821804
man,4,186,10.763295373347082
something,1,46,10.747698518296065
out,3,138,10.747698518296065
yes,1,46,10.747698518296065
me,6,271,10.721323102871766
t,7,315,10.715989658568727
say,2,90,10.715989658568727
down,2,89,10.69986999320545
himself,2,89,10.69986999320545
room,3,131,10.672597063055346
jules,5,215,10.65040131694115
from,5,213,10.636918087577529
