collocation,collocate_count,total_count,MI
her,1,546,15.165988267703355
at,1,370,14.604612587299817
t,1,298,14.292399647245665
they,1,174,13.516174622632231
been,1,172,13.4994958814856
me,1,165,13.43955334102932
so,1,157,13.36785187567513
if,1,143,13.233102463561893
she,6,789,13.112150116075805
could,1,124,13.027427437170378
on,3,353,12.951792999333529
into,1,117,12.94359584636691
my,1,117,12.94359584636691
him,3,348,12.931212121911077
in,8,869,12.836443493597903
it,8,784,12.687940970898712
not,4,391,12.684255924090854
mrs,2,188,12.62781997846114
m,1,91,12.581025766982199
and,18,1608,12.554357816520119
prockter,2,178,12.548964557749901
which,2,168,12.465548549562264
one,2,167,12.456935419257555
there,2,167,12.456935419257555
that,9,751,12.455975222855463
helen,5,415,12.44827055813043
or,1,83,12.44827055813043
had,8,661,12.441737588291195
all,2,163,12.421959281014583
said,5,406,12.416638949081317
than,1,80,12.395159221670866
his,7,555,12.382220165963368
from,2,152,12.32115864022709
have,3,213,12.222978246288184
to,19,1337,12.210087363433273
do,2,140,12.20251414372847
what,3,208,12.188708344203441
other,1,69,12.181755583561673
i,12,825,12.176518935195526
for,5,343,12.173367798068954
ollerenshaw,2,137,12.17126320974403
you,9,597,12.124893246605998
see,1,66,12.117625246141957
would,2,131,12.106654128320953
be,4,261,12.101137123353388
after,1,65,12.095598939811959
of,22,1430,12.095598939811959
james,5,320,12.073231126783504
we,1,63,12.050511050283422
no,3,187,12.035163085949984
by,3,186,12.027427437170378
nothing,1,60,11.980121722392024
even,1,60,11.980121722392024
here,1,59,11.955874176145343
quite,1,59,11.955874176145343
door,1,59,11.955874176145343
say,1,59,11.955874176145343
s,8,470,11.949748073348504
will,1,58,11.931212121911077
being,1,58,11.931212121911077
such,1,58,11.931212121911077
the,45,2584,11.916768385147753
but,6,328,11.845820630680432
only,1,53,11.801151581346703
ve,2,96,11.65819362750466
ye,2,93,11.612389937891535
between,1,46,11.596793082840517
before,1,45,11.565084223113178
can,3,134,11.554357816520119
front,1,44,11.5326627454208
is,5,219,11.526090091497315
saw,1,43,11.4994958814856
he,30,1259,11.464403098894001
how,2,83,11.44827055813043
came,1,41,11.430783131401588
this,4,164,11.430783131401588
where,1,40,11.395159221670866
are,2,75,11.302049817279384
well,2,74,11.282684492412454
ever,1,36,11.243156128225817
as,12,425,11.219587657087411
mean,1,35,11.20251414372847
also,1,35,11.20251414372847
andrew,2,70,11.20251414372847
was,26,903,11.19137358612327
fact,1,34,11.160693968033844
might,2,65,11.095598939811957
most,1,32,11.073231126783503
still,1,32,11.073231126783503
little,2,64,11.073231126783503
has,1,32,11.073231126783503
when,4,127,11.06191581355567
with,13,407,11.04167639290866
under,1,31,11.02742743717038
re,1,31,11.02742743717038
away,1,31,11.02742743717038
told,1,31,11.02742743717038
much,2,61,11.00396846434639
very,3,90,10.980121722392022
every,1,29,10.931212121911075
like,4,116,10.931212121911075
chair,1,28,10.880586048841106
word,1,28,10.880586048841106
rather,1,28,10.880586048841106
four,1,28,10.880586048841106
a,51,1355,10.804882921053242
sat,1,26,10.773670844924595
ll,3,78,10.773670844924595
last,1,26,10.773670844924595
wilbraham,2,51,10.745656468755
except,1,25,10.71708731655823
talk,1,25,10.71708731655823
ay,1,25,10.71708731655823
eyes,1,24,10.658193627504659
anything,1,24,10.658193627504659
smile,1,22,10.5326627454208
live,1,22,10.5326627454208
look,1,22,10.5326627454208
opened,1,21,10.465548549562264
bursley,2,41,10.430783131401588
went,2,41,10.430783131401588
another,2,41,10.430783131401588
never,4,81,10.413081129668129
window,1,20,10.395159221670866
too,2,40,10.395159221670866
alone,1,20,10.395159221670866
concertina,1,20,10.395159221670866
dark,1,19,10.32115864022709
side,1,19,10.32115864022709
matter,1,18,10.243156128225817
because,3,53,10.216189080625545
laughed,1,17,10.160693968033844
scarcely,1,17,10.160693968033844
hillport,1,17,10.160693968033844
yes,3,49,10.102978470177556
who,5,81,10.091153034780767
better,1,16,10.073231126783503
wanted,1,16,10.073231126783503
