collocation,collocate_count,total_count,MI
into,1,559,15.259409281252525
when,1,422,14.853803997116522
me,2,797,14.771140722399808
we,1,389,14.736331153395529
they,3,883,14.334011935336648
come,1,284,14.282451927914018
head,1,282,14.27225616080813
were,3,838,14.258548741387532
them,2,535,14.196099889697846
orcham,1,262,14.166127809946786
before,1,260,14.15507262143779
mr,3,752,14.102331159365818
henry,2,491,14.072284022724029
mrs,1,239,14.033571616390086
morning,1,237,14.021448057307596
palace,2,453,13.956072048455573
imperial,1,218,13.900889133186263
here,2,427,13.870797068029827
which,3,638,13.86515492145305
your,2,403,13.787340836937306
all,5,977,13.742991465490359
get,1,195,13.740035122158947
something,1,195,13.740035122158947
do,3,557,13.669275825028212
heard,1,185,13.664086268925649
are,2,365,13.644457462176716
made,1,179,13.616520585673593
three,1,176,13.592136427046634
too,2,346,13.56733303604606
better,1,166,13.507744239756262
through,1,166,13.507744239756262
must,2,332,13.507744239756262
moment,1,165,13.49902702265515
miss,4,656,13.49025681302742
sir,5,820,13.49025681302742
night,2,325,13.477000716325154
maclaren,1,159,13.445587763693693
cousin,2,312,13.418107027271583
her,19,2937,13.404904845290602
she,25,3736,13.356127358344274
i,28,4143,13.341809991330939
it,22,3236,13.333269082202017
seen,1,145,13.31261389842427
these,1,144,13.302629809851648
because,2,279,13.256826120238523
work,1,139,13.251645881132845
time,2,277,13.246446974458523
first,2,273,13.225461949329189
life,1,136,13.220167649659675
new,2,271,13.214853849763209
again,2,265,13.182553357859899
from,6,792,13.17709892776779
london,1,129,13.14393206383259
having,1,128,13.132704808409335
staff,1,127,13.121389495181502
m,4,507,13.118546745412678
ll,3,373,13.090774127943419
next,1,122,13.063442145972223
door,2,242,13.051568045683931
course,2,241,13.045594144639297
on,14,1680,13.039595404017854
said,12,1433,13.032565201950325
hotel,4,477,13.030550264414847
gone,1,118,13.015347857771177
end,1,117,13.003069527992741
let,1,117,13.003069527992741
office,1,117,13.003069527992741
violet,6,701,13.001012941698805
quite,2,232,12.990685803536907
minutes,1,116,12.990685803536907
oh,2,232,12.990685803536907
may,1,115,12.97819485935371
against,1,115,12.97819485935371
you,28,3218,12.977298497075179
hotels,1,114,12.965594822574078
dennis,1,113,12.952883770824524
some,3,337,12.944347088870039
grill,1,112,12.94005973046694
clock,1,111,12.927120674759442
two,4,437,12.904194277909935
fact,1,108,12.887592310572806
ve,4,423,12.857218661529286
at,16,1688,12.85380399711652
five,1,105,12.846950326075458
open,1,105,12.846950326075458
floor,2,208,12.833144526550429
large,1,104,12.833144526550429
there,7,722,12.821204913238903
t,17,1742,12.81177087575786
off,2,204,12.805130150380833
hour,1,101,12.79091629116113
went,2,201,12.783756499588266
day,3,301,12.781361984447884
my,5,501,12.779443506717183
year,1,100,12.776560998184062
wanted,1,100,12.776560998184062
once,2,199,12.769329428952986
nothing,3,298,12.766910828150342
perosi,1,99,12.762061428488945
ten,1,99,12.762061428488945
got,2,198,12.762061428488945
so,7,692,12.759978113988456
would,10,987,12.75768298797837
gracie,6,588,12.747414652524546
darling,1,98,12.747414652524546
rooms,1,97,12.732617650596465
hands,1,96,12.717667309130492
without,2,192,12.717667309130492
even,3,285,12.702560416740283
company,1,95,12.702560416740283
full,1,95,12.702560416740283
indeed,1,94,12.687293660086972
out,5,469,12.68422082603735
or,6,560,12.677025324633147
sitting,1,93,12.671863619517369
down,4,371,12.667980185030139
feel,1,92,12.65626676446635
opened,1,92,12.65626676446635
ceria,3,275,12.651030116100202
had,37,3382,12.64691238719037
up,6,545,12.637854727352469
should,3,272,12.635205148938521
asked,2,181,12.632550695492542
took,1,90,12.624557904739012
put,2,180,12.624557904739012
yes,5,449,12.62134834826312
don,4,357,12.612485072438437
sure,1,89,12.608438239375735
is,8,705,12.594184255695492
rose,1,88,12.592136427046634
anything,2,176,12.592136427046634
certainly,1,88,12.592136427046634
but,22,1928,12.586162526002001
more,6,523,12.578409443935122
saw,2,173,12.56733303604606
half,2,172,12.558969563111434
except,1,86,12.558969563111434
see,5,427,12.548868973142465
murmured,1,85,12.542095744547039
housekeeper,2,169,12.53358424469152
savott,3,253,12.530735882382489
walked,1,84,12.525022231188096
then,6,502,12.519285861638952
now,6,498,12.507744239756262
laughed,1,83,12.507744239756262
least,1,83,12.507744239756262
long,2,166,12.507744239756262
ever,2,165,12.499027022655154
room,7,573,12.487741215108636
days,1,81,12.47255481129396
and,92,7381,12.458743427189804
evening,1,80,12.454632903296698
going,2,160,12.454632903296698
this,9,718,12.450619840790075
away,2,158,12.436485556586439
alone,1,79,12.436485556586439
over,3,236,12.430385357050023
about,9,705,12.424259254253181
think,4,311,12.413475578539938
what,12,928,12.405723302815753
have,14,1077,12.39815242089594
waiter,1,76,12.380632321852922
been,12,903,12.366324485169038
never,5,373,12.353808533777213
did,7,520,12.347717699380185
trouble,1,74,12.342158174038286
glanced,1,74,12.342158174038286
believe,1,73,12.322529367289354
both,2,146,12.322529367289354
no,14,1018,12.316871732427428
can,6,432,12.302629809851648
early,1,72,12.302629809851648
how,4,282,12.27225616080813
purkin,1,70,12.261987825354302
twenty,1,70,12.261987825354302
dark,1,70,12.261987825354302
in,61,4261,12.25894380702467
of,100,6897,12.240601870073947
always,3,204,12.220167649659675
happened,1,67,12.19879399886711
wrong,1,67,12.19879399886711
that,41,2734,12.191950331397313
things,2,133,12.187987243910527
smiss,1,66,12.17709892776779
board,1,66,12.17709892776779
say,5,329,12.172720487257216
same,2,131,12.166127809946786
d,5,327,12.163923539020058
late,1,65,12.155072621437789
most,2,130,12.155072621437789
love,2,129,12.143932063832588
perhaps,2,129,12.143932063832588
since,1,64,12.132704808409335
glance,1,64,12.132704808409335
ill,1,64,12.132704808409335
almost,1,64,12.132704808409335
seemed,2,128,12.132704808409335
while,2,126,12.109984731909252
find,1,63,12.109984731909252
him,20,1257,12.10654564794248
gave,2,125,12.098489093071423
six,1,62,12.086901118796211
high,1,62,12.086901118796211
s,38,2331,12.071510584094618
everything,2,122,12.063442145972221
to,109,6602,12.053207906854945
am,2,121,12.051568045683931
evelyn,29,1747,12.045387706198524
leaving,1,60,12.039595404017854
spoke,1,60,12.039595404017854
help,1,60,12.039595404017854
visitors,1,60,12.039595404017854
getting,1,60,12.039595404017854
business,2,119,12.02752257171728
with,30,1782,12.02509583432274
somewhat,1,59,12.015347857771177
hardly,1,59,12.015347857771177
right,4,236,12.015347857771177
yet,3,177,12.015347857771177
know,9,531,12.015347857771177
good,5,292,12.00060127240199
taken,1,58,11.990685803536907
counter,1,58,11.990685803536907
dover,1,58,11.990685803536907
beautiful,1,58,11.990685803536907
given,1,58,11.990685803536907
every,3,173,11.982370535324906
if,13,746,11.975296910523483
he,90,5148,11.970648050300365
liked,1,57,11.965594822574078
second,2,114,11.965594822574078
his,40,2278,11.964328745230087
not,33,1875,11.96098556932149
for,34,1924,11.955135050929039
service,1,56,11.940059730466942
tone,3,168,11.940059730466942
after,5,280,11.940059730466942
waiters,1,56,11.940059730466942
by,14,778,11.928976231337925
sit,1,55,11.914064521933996
shook,1,55,11.914064521933996
decided,1,55,11.914064521933996
want,3,165,11.914064521933996
past,1,55,11.914064521933996
between,3,164,11.905294312306264
the,266,14400,11.891203564125183
appeared,1,54,11.887592310572806
lamp,1,54,11.887592310572806
rather,3,162,11.887592310572806
knew,5,266,11.866059149023163
order,2,106,11.860625262972535
cigar,1,53,11.860625262972535
came,3,159,11.860625262972535
mind,4,212,11.860625262972535
isn,3,159,11.860625262972535
well,11,578,11.848198872272718
much,4,209,11.84006394049022
be,30,1567,11.839603677273399
kept,1,52,11.833144526550429
talking,1,52,11.833144526550429
found,1,52,11.833144526550429
present,1,52,11.833144526550429
saying,1,52,11.833144526550429
as,32,1659,11.8288029793652
one,14,723,11.82320172330285
thinking,2,103,11.819205335592555
look,3,154,11.81452884838308
didn,3,153,11.805130150380833
overcoat,1,51,11.805130150380833
felt,4,204,11.805130150380833
stopped,1,51,11.805130150380833
use,1,51,11.805130150380833
restaurant,3,151,11.786147047013259
notice,1,50,11.776560998184062
yesterday,1,50,11.776560998184062
other,5,249,11.770778645590056
ought,3,149,11.766910828150342
nor,2,99,11.762061428488945
way,3,148,11.757195673317131
own,4,197,11.754756627865712
case,1,49,11.747414652524546
glass,1,49,11.747414652524546
under,3,147,11.747414652524546
trying,1,49,11.747414652524546
control,1,48,11.717667309130492
doctor,1,48,11.717667309130492
aware,1,48,11.717667309130492
earth,1,48,11.717667309130492
re,6,285,11.702560416740283
last,4,189,11.69494723263041
street,2,94,11.687293660086972
coming,1,47,11.687293660086972
why,6,282,11.687293660086972
raised,1,47,11.687293660086972
dr,1,47,11.687293660086972
expect,1,47,11.687293660086972
might,8,372,11.671863619517369
lord,2,93,11.671863619517369
father,4,185,11.664086268925649
like,9,416,11.663219525108115
keep,2,92,11.65626676446635
friend,1,46,11.65626676446635
set,1,46,11.65626676446635
hear,2,92,11.65626676446635
job,1,46,11.65626676446635
money,1,46,11.65626676446635
bad,1,46,11.65626676446635
chair,2,92,11.65626676446635
an,18,823,11.647528427388648
could,18,821,11.644018218744828
thought,10,456,11.643666727686716
answered,2,91,11.640499448608033
third,1,45,11.624557904739012
god,2,90,11.624557904739012
very,13,583,11.61961716346874
3,1,44,11.592136427046634
thanks,1,44,11.592136427046634
far,2,88,11.592136427046634
corridor,2,88,11.592136427046634
suit,1,44,11.592136427046634
thousand,1,44,11.592136427046634
himself,8,351,11.588032028713897
table,4,174,11.575648304258065
only,8,345,11.563157360074868
thirty,1,43,11.558969563111434
anyhow,1,43,11.558969563111434
home,2,86,11.558969563111434
behind,2,86,11.558969563111434
collifant,1,43,11.558969563111434
minute,2,85,11.542095744547039
white,2,85,11.542095744547039
still,6,254,11.536426994460346
surely,1,42,11.525022231188096
brain,1,42,11.525022231188096
people,3,125,11.513526592350267
sort,2,83,11.50774423975626
being,6,247,11.496109539272858
nodded,1,41,11.49025681302742
authority,1,41,11.49025681302742
walk,1,41,11.49025681302742
oldham,3,121,11.466605544962775
telephone,3,121,11.466605544962775
happy,2,80,11.454632903296698
marvellous,1,40,11.454632903296698
sometimes,1,40,11.454632903296698
eight,1,40,11.454632903296698
remember,1,39,11.418107027271585
taking,1,39,11.418107027271585
though,4,156,11.418107027271585
women,4,154,11.399491349104236
towards,3,115,11.393232358632556
was,114,4363,11.390919552621094
doing,2,76,11.380632321852922
loved,1,38,11.380632321852922
wife,1,38,11.380632321852922
looking,1,38,11.380632321852922
self,3,111,11.342158174038286
especially,1,37,11.342158174038286
either,2,74,11.342158174038286
fine,1,37,11.342158174038286
lived,1,37,11.342158174038286
please,2,74,11.342158174038286
wait,1,37,11.342158174038286
hers,1,37,11.342158174038286
ran,1,36,11.302629809851648
spectacle,1,36,11.302629809851648
cigarette,2,72,11.302629809851648
quickly,1,36,11.302629809851648
any,10,360,11.302629809851648
try,1,36,11.302629809851648
often,1,36,11.302629809851648
oulsnam,1,36,11.302629809851648
smile,4,143,11.292576145187725
strange,2,71,11.28245192791402
meet,1,35,11.261987825354302
where,5,175,11.261987825354302
smart,1,35,11.261987825354302
buy,1,35,11.261987825354302
someone,1,35,11.261987825354302
departed,1,35,11.261987825354302
feeling,1,35,11.261987825354302
exactly,1,35,11.261987825354302
page,1,35,11.261987825354302
arrived,1,35,11.261987825354302
poor,1,35,11.261987825354302
men,5,170,11.220167649659675
arms,1,34,11.220167649659675
broad,1,34,11.220167649659675
deal,1,34,11.220167649659675
surprised,1,34,11.220167649659675
does,2,68,11.220167649659675
thin,1,34,11.220167649659675
sam,1,34,11.220167649659675
post,1,34,11.220167649659675
watlington,2,68,11.220167649659675
naturally,1,33,11.177098927767789
twice,1,33,11.177098927767789
attitude,1,33,11.177098927767789
send,1,33,11.177098927767789
waited,1,33,11.177098927767789
black,2,66,11.177098927767789
talk,3,98,11.16245215180339
just,9,292,11.15260436584704
startled,1,32,11.132704808409336
cold,1,32,11.132704808409336
beneath,1,32,11.132704808409336
telephoned,1,32,11.132704808409336
whom,2,63,11.109984731909252
really,5,157,11.1053974624136
world,5,156,11.096178932384223
everyone,1,31,11.086901118796211
tiny,1,31,11.086901118796211
entire,1,31,11.086901118796211
quarter,1,31,11.086901118796211
concerning,1,31,11.086901118796211
than,14,434,11.086901118796211
has,6,180,11.039595404017854
repeated,1,30,11.039595404017854
bought,1,30,11.039595404017854
truth,1,30,11.039595404017854
listen,1,30,11.039595404017854
satisfaction,1,30,11.039595404017854
terrible,1,30,11.039595404017854
suite,2,60,11.039595404017854
kind,2,59,11.015347857771177
care,2,59,11.015347857771177
beginning,1,29,10.990685803536909
wonder,1,29,10.990685803536909
extraordinary,1,29,10.990685803536909
hadn,2,57,10.96559482257408
shareholders,2,57,10.96559482257408
content,1,28,10.94005973046694
extremely,1,28,10.94005973046694
enjoyed,1,28,10.94005973046694
stayed,1,28,10.94005973046694
interests,1,28,10.94005973046694
determined,1,28,10.94005973046694
social,1,28,10.94005973046694
reserved,1,28,10.94005973046694
madame,1,28,10.94005973046694
report,1,28,10.94005973046694
sole,1,28,10.94005973046694
warm,1,28,10.94005973046694
sight,2,54,10.887592310572805
italian,1,27,10.887592310572805
sudden,1,27,10.887592310572805
heart,2,54,10.887592310572805
front,3,80,10.869670402575542
child,2,53,10.860625262972535
woman,9,236,10.845422856328865
expression,2,52,10.833144526550429
artist,1,26,10.833144526550429
capable,1,26,10.833144526550429
such,6,156,10.833144526550429
fair,1,26,10.833144526550429
lose,1,26,10.833144526550429
dead,1,26,10.833144526550429
play,1,26,10.833144526550429
heaven,1,26,10.833144526550429
due,1,26,10.833144526550429
fatigue,1,26,10.833144526550429
secret,2,52,10.833144526550429
dressing,1,26,10.833144526550429
entitled,1,26,10.833144526550429
putting,1,26,10.833144526550429
constam,2,51,10.805130150380831
learnt,1,25,10.77656099818406
absolutely,2,50,10.77656099818406
ease,1,25,10.77656099818406
flattered,1,25,10.77656099818406
leo,1,25,10.77656099818406
knows,2,50,10.77656099818406
hesitated,1,25,10.77656099818406
accepted,1,25,10.77656099818406
tremendous,1,25,10.77656099818406
needed,1,25,10.77656099818406
stood,4,99,10.762061428488947
feet,2,49,10.747414652524544
forty,1,24,10.717667309130492
stop,1,24,10.717667309130492
sympathetic,1,24,10.717667309130492
despite,1,24,10.717667309130492
certain,2,48,10.717667309130492
larger,1,24,10.717667309130492
resumed,1,24,10.717667309130492
jealous,1,24,10.717667309130492
knowledge,1,24,10.717667309130492
a,249,5908,10.701156987106044
different,2,47,10.687293660086974
merely,2,47,10.687293660086974
little,8,187,10.679599268296974
excellent,1,23,10.65626676446635
everybody,2,46,10.65626676446635
licensing,1,23,10.65626676446635
whose,4,92,10.65626676446635
opposite,1,23,10.65626676446635
above,2,46,10.65626676446635
single,1,23,10.65626676446635
monsieur,1,23,10.65626676446635
line,1,23,10.65626676446635
health,1,23,10.65626676446635
levering,1,23,10.65626676446635
girl,10,230,10.65626676446635
face,8,182,10.640499448608033
master,2,45,10.624557904739012
figure,2,45,10.624557904739012
damned,1,22,10.592136427046633
confidence,1,22,10.592136427046633
instinct,1,22,10.592136427046633
harry,1,22,10.592136427046633
clever,1,22,10.592136427046633
per,1,22,10.592136427046633
somebody,1,22,10.592136427046633
cry,1,22,10.592136427046633
difference,1,22,10.592136427046633
running,1,22,10.592136427046633
emerged,1,22,10.592136427046633
understand,3,66,10.592136427046633
children,1,22,10.592136427046633
gloves,1,21,10.525022231188096
carrying,1,21,10.525022231188096
realised,1,21,10.525022231188096
bent,1,21,10.525022231188096
pause,1,21,10.525022231188096
accept,1,21,10.525022231188096
anxious,1,21,10.525022231188096
holding,1,21,10.525022231188096
important,3,62,10.501938618075055
age,2,41,10.49025681302742
nice,2,41,10.49025681302742
dinner,4,82,10.49025681302742
waiting,3,61,10.478479645251067
concorde,1,20,10.454632903296698
bowed,1,20,10.454632903296698
firm,1,20,10.454632903296698
occupied,1,20,10.454632903296698
yielded,1,20,10.454632903296698
chauffeur,1,20,10.454632903296698
temper,1,20,10.454632903296698
narrow,1,20,10.454632903296698
exshaw,1,20,10.454632903296698
presence,2,40,10.454632903296698
within,3,60,10.454632903296698
lovely,2,40,10.454632903296698
bearing,1,20,10.454632903296698
feared,1,20,10.454632903296698
short,3,58,10.405723302815751
gesture,1,19,10.380632321852922
marry,1,19,10.380632321852922
delicious,1,19,10.380632321852922
chosen,1,19,10.380632321852922
member,1,19,10.380632321852922
kitchen,1,19,10.380632321852922
greeted,1,19,10.380632321852922
faced,1,19,10.380632321852922
passion,1,19,10.380632321852922
personal,1,19,10.380632321852922
mighty,1,19,10.380632321852922
weather,1,19,10.380632321852922
quiet,2,38,10.380632321852922
man,20,376,10.365365565199612
another,10,188,10.365365565199612
during,2,37,10.342158174038286
various,1,18,10.302629809851648
careful,1,18,10.302629809851648
address,1,18,10.302629809851648
bright,2,36,10.302629809851648
wants,1,18,10.302629809851648
showing,1,18,10.302629809851648
respect,1,18,10.302629809851648
accent,1,18,10.302629809851648
drawn,1,18,10.302629809851648
total,1,18,10.302629809851648
resentment,1,18,10.302629809851648
atlantic,1,18,10.302629809851648
4,1,18,10.302629809851648
frightened,1,18,10.302629809851648
match,1,18,10.302629809851648
body,2,35,10.261987825354302
big,5,87,10.253720209370703
grey,1,17,10.220167649659675
supposed,1,17,10.220167649659675
indicated,1,17,10.220167649659675
among,3,51,10.220167649659675
convinced,1,17,10.220167649659675
immerson,2,34,10.220167649659675
keeping,1,17,10.220167649659675
imagination,1,17,10.220167649659675
laugh,2,34,10.220167649659675
questions,1,17,10.220167649659675
hate,1,17,10.220167649659675
similar,1,17,10.220167649659675
eagerly,1,17,10.220167649659675
serious,4,67,10.198793998867108
demeanour,3,50,10.191598497462904
lift,5,83,10.185816144868898
fancy,2,33,10.177098927767789
make,10,162,10.150626716406599
365,1,16,10.132704808409336
satisfied,1,16,10.132704808409336
irresistible,1,16,10.132704808409336
joy,1,16,10.132704808409336
row,1,16,10.132704808409336
perfectly,3,48,10.132704808409336
fish,1,16,10.132704808409336
indispensable,1,16,10.132704808409336
winter,1,16,10.132704808409336
enough,7,110,10.10670959987639
pretty,3,47,10.102331159365818
hold,2,31,10.086901118796211
ordinary,2,31,10.086901118796211
blood,1,15,10.039595404017854
original,1,15,10.039595404017854
jolly,1,15,10.039595404017854
shot,1,15,10.039595404017854
perceived,1,15,10.039595404017854
giving,2,30,10.039595404017854
matters,1,15,10.039595404017854
encounter,1,15,10.039595404017854
gentle,1,15,10.039595404017854
catch,1,15,10.039595404017854
position,2,30,10.039595404017854
universe,1,15,10.039595404017854
existed,1,15,10.039595404017854
dressed,2,30,10.039595404017854
triumph,1,15,10.039595404017854
touched,2,29,9.990685803536909
general,3,43,9.974007062390278
show,4,57,9.965594822574078
utterly,2,28,9.94005973046694
quality,1,14,9.94005973046694
incapable,1,14,9.94005973046694
anxiety,1,14,9.94005973046694
gown,1,14,9.94005973046694
bottle,1,14,9.94005973046694
voices,1,14,9.94005973046694
burst,1,14,9.94005973046694
dog,1,14,9.94005973046694
menu,1,14,9.94005973046694
ruin,1,14,9.94005973046694
pieces,1,14,9.94005973046694
chef,1,14,9.94005973046694
enquiries,1,14,9.94005973046694
frenchman,1,14,9.94005973046694
formidable,1,14,9.94005973046694
seldom,1,14,9.94005973046694
customer,1,14,9.94005973046694
admiration,1,14,9.94005973046694
perfect,4,55,9.914064521933996
who,36,490,9.899417745969595
reyer,3,40,9.869670402575544
shaking,1,13,9.833144526550429
press,1,13,9.833144526550429
affairs,1,13,9.833144526550429
entering,1,13,9.833144526550429
glimpse,1,13,9.833144526550429
upset,1,13,9.833144526550429
characteristic,1,13,9.833144526550429
value,1,13,9.833144526550429
ear,1,13,9.833144526550429
wondered,1,13,9.833144526550429
handling,1,13,9.833144526550429
trifle,1,13,9.833144526550429
friendly,2,26,9.833144526550429
smooth,1,13,9.833144526550429
enthusiasm,1,13,9.833144526550429
c,1,13,9.833144526550429
believed,1,13,9.833144526550429
jebson,2,26,9.833144526550429
circumstances,1,13,9.833144526550429
expert,1,13,9.833144526550429
caligula,1,13,9.833144526550429
louder,1,13,9.833144526550429
pair,3,38,9.795669821131765
conscience,1,12,9.717667309130492
condition,1,12,9.717667309130492
benevolence,1,12,9.717667309130492
fully,2,24,9.717667309130492
unique,3,36,9.717667309130492
estimate,1,12,9.717667309130492
wise,1,12,9.717667309130492
removed,1,12,9.717667309130492
continent,1,12,9.717667309130492
grievance,1,12,9.717667309130492
cigars,2,24,9.717667309130492
average,1,12,9.717667309130492
listening,1,12,9.717667309130492
clad,1,12,9.717667309130492
loyalty,1,12,9.717667309130492
greatest,2,24,9.717667309130492
rich,3,36,9.717667309130492
terrific,2,24,9.717667309130492
delicately,1,12,9.717667309130492
moods,1,12,9.717667309130492
vista,1,12,9.717667309130492
semi,1,12,9.717667309130492
oxford,1,12,9.717667309130492
response,1,12,9.717667309130492
silently,1,12,9.717667309130492
greeting,1,12,9.717667309130492
employer,1,12,9.717667309130492
dignity,2,23,9.65626676446635
moral,2,23,9.65626676446635
nuisance,1,11,9.592136427046633
polite,1,11,9.592136427046633
greater,1,11,9.592136427046633
nearer,1,11,9.592136427046633
sprang,1,11,9.592136427046633
levinsohn,2,22,9.592136427046633
settled,2,22,9.592136427046633
alarmed,1,11,9.592136427046633
live,3,33,9.592136427046633
smaller,1,11,9.592136427046633
impressed,2,22,9.592136427046633
wake,1,11,9.592136427046633
surprising,1,11,9.592136427046633
concerned,1,11,9.592136427046633
gaiety,1,11,9.592136427046633
cannot,1,11,9.592136427046633
lordship,1,11,9.592136427046633
distinguished,1,11,9.592136427046633
relieved,2,22,9.592136427046633
plump,1,11,9.592136427046633
marked,1,11,9.592136427046633
earnest,1,11,9.592136427046633
conceal,1,11,9.592136427046633
joined,1,11,9.592136427046633
capital,1,10,9.454632903296698
shaken,1,10,9.454632903296698
sin,1,10,9.454632903296698
montaigne,2,20,9.454632903296698
surveyed,1,10,9.454632903296698
faculty,1,10,9.454632903296698
england,1,10,9.454632903296698
injustice,1,10,9.454632903296698
bland,1,10,9.454632903296698
