collocation,collocate_count,total_count,MI
they,1,516,14.25494254252615
dear,1,219,13.01850234670407
back,1,197,12.865767106559272
then,2,376,12.798304138780532
through,1,172,12.669980041804994
before,1,172,12.669980041804994
life,1,163,12.592443441333973
time,2,325,12.588011195018714
their,2,303,12.486889270575846
major,2,299,12.467716961301
two,1,148,12.453168652731845
shall,1,138,12.352239743881064
erema,1,128,12.243715287102894
these,1,127,12.232399973875062
chapter,1,117,12.1140800066863
get,1,114,12.076605301267637
perhaps,2,222,12.038131153453001
heart,1,111,12.038131153453001
hockin,2,217,12.005266519547375
lady,1,107,11.98518227350404
word,1,106,11.971635741666095
set,1,102,11.91614062907439
scarcely,1,100,11.88757147687762
those,1,100,11.88757147687762
river,1,99,11.873071907182505
words,1,98,11.858425131218103
three,1,98,11.858425131218103
sir,1,94,11.798304138780532
uncle,2,183,11.759415125386937
sam,2,178,11.719448718069295
least,1,88,11.703146905740192
mrs,2,176,11.703146905740192
upon,4,348,11.686658782951625
him,11,942,11.663866918078382
let,2,171,11.661567801988792
mr,2,170,11.653106223240599
little,5,423,11.646301045335482
into,3,250,11.624537071043827
speak,1,83,11.61875471844982
over,2,163,11.592443441333973
were,6,485,11.58059372345623
right,2,161,11.574632165217514
home,1,80,11.565643381990258
rather,1,80,11.565643381990258
moment,1,79,11.547496035279998
she,6,470,11.53526973294674
money,1,78,11.529117505965143
will,5,390,11.529117505965143
find,1,78,11.529117505965143
just,2,154,11.510501827797796
except,1,76,11.491642800546481
went,2,152,11.491642800546481
reason,1,76,11.491642800546481
door,1,76,11.491642800546481
going,1,74,11.453168652731845
her,8,591,11.450729607280428
bruntsea,1,73,11.433539845982914
seemed,2,145,11.42362437711783
duty,1,72,11.413640288545208
sad,1,72,11.413640288545208
brought,1,71,11.393462406607577
none,1,71,11.393462406607577
replied,1,71,11.393462406607577
idea,1,71,11.393462406607577
thing,6,426,11.393462406607577
some,4,279,11.367836598932083
hand,2,139,11.362656359826403
i,61,4210,11.352582467493766
hear,1,68,11.331178128353235
look,2,135,11.320530884153726
whether,1,67,11.309804477560668
almost,2,134,11.309804477560668
hope,1,67,11.309804477560668
hands,1,67,11.309804477560668
made,4,267,11.304411218790449
men,2,133,11.298997722604085
power,1,65,11.26608310013135
always,3,194,11.258665628568867
now,9,581,11.256184639065111
say,4,257,11.249339836296773
times,1,64,11.243715287102896
taken,1,64,11.243715287102896
turn,1,64,11.243715287102896
which,9,570,11.228608394712687
me,25,1555,11.202557962346136
fine,1,62,11.197911597489771
lay,1,61,11.174452624665781
answered,2,121,11.16257852437749
doubt,1,60,11.150605882711414
once,2,120,11.150605882711414
trouble,1,60,11.150605882711414
we,8,476,11.138533050410839
sight,1,59,11.126358336464737
know,5,295,11.126358336464737
way,4,234,11.114080006686299
took,2,116,11.101696282230469
body,2,115,11.08920533804727
on,12,690,11.08920533804727
thus,1,57,11.076605301267637
left,2,113,11.063894249518084
tried,1,56,11.0510702091605
best,2,112,11.0510702091605
put,3,166,11.033792217728664
more,9,498,11.033792217728664
in,36,1982,11.026531532847072
less,1,55,11.025075000627556
make,3,165,11.025075000627556
looked,2,109,11.011899611879823
even,7,381,11.010007552538614
too,4,217,11.005266519547375
only,7,378,10.998602789266364
you,35,1880,10.990949216722928
knew,3,161,10.989669664496358
day,3,161,10.989669664496358
much,5,268,10.987876382673306
tell,4,214,10.985182273504043
having,3,160,10.980680881269102
deal,1,53,10.971635741666095
years,2,106,10.971635741666095
well,6,316,10.962533534558842
my,34,1784,10.957152345772862
first,3,157,10.953373535273366
soft,1,52,10.944155005243989
opinion,1,52,10.944155005243989
quite,4,207,10.93720224460222
am,5,258,10.933014447638788
us,5,256,10.921787192215534
land,1,51,10.916140629074391
son,1,51,10.916140629074391
called,2,102,10.916140629074391
t,3,151,10.897157525706819
case,1,50,10.887571476877621
sake,1,49,10.858425131218103
where,4,195,10.851045600852506
not,30,1449,10.837666571051306
stixon,1,48,10.82867778782405
