collocation,collocate_count,total_count,MI
things,1,309,13.416250838312292
doones,1,202,12.802999293159713
mother,3,592,12.76927867531571
much,3,544,12.6472881509371
men,2,359,12.632627844230969
against,1,179,12.628603587672172
oh,1,170,12.554178746545618
mind,1,164,12.502339815026001
light,1,153,12.402175653100567
something,1,147,12.344460155244281
ruth,1,147,12.344460155244281
full,1,138,12.253312267186088
knowing,1,133,12.200070245909107
part,1,131,12.178210811945366
their,5,648,12.16270971840518
annie,3,380,12.129680918017709
matter,1,123,12.087302315747158
women,1,120,12.051678406016435
cousin,1,111,11.939203676758023
took,2,217,11.906339042852396
fell,1,108,11.899675312571386
her,20,2157,11.89767017668101
were,9,922,11.823485749394942
forth,1,101,11.802999293159713
brought,1,100,11.788644000182641
rest,1,99,11.774144430487526
us,6,590,11.764396453935966
hope,1,97,11.744700652595045
children,1,96,11.729750311129072
my,31,2942,11.71317303127587
counsellor,1,93,11.683946621515949
off,2,186,11.683946621515949
they,10,929,11.68239450190321
true,1,92,11.66834976646493
kept,1,90,11.636640906737592
horses,1,89,11.620521241374314
day,3,263,11.598744298979062
indeed,2,173,11.579416038044643
hear,1,86,11.571052565110016
often,1,86,11.571052565110016
least,2,170,11.554178746545618
sense,1,83,11.519827241754841
soon,1,82,11.502339815026
away,4,324,11.484637813292542
leave,1,81,11.484637813292542
all,24,1897,11.449329273098236
red,1,79,11.44856855858502
whole,1,79,11.44856855858502
feet,1,79,11.44856855858502
get,2,156,11.430190029270166
ran,1,77,11.411574351102818
pretty,1,77,11.411574351102818
little,9,693,11.411574351102818
those,2,154,11.411574351102818
gone,2,152,11.392715323851501
thinking,1,76,11.392715323851501
master,3,228,11.392715323851501
far,3,227,11.386373796977676
john,10,755,11.383192549732996
then,10,749,11.371681623979306
she,22,1645,11.369228060393224
course,2,149,11.36395633087008
own,6,445,11.35748683554052
soft,1,74,11.354241176036867
room,1,74,11.354241176036867
lord,2,147,11.344460155244281
meant,1,73,11.334612369287935
stickles,2,145,11.324696900422852
lost,1,72,11.314712811850228
voice,1,72,11.314712811850228
especially,1,72,11.314712811850228
thought,4,286,11.304659147186307
wrong,1,71,11.294534929912599
three,3,211,11.280924498393947
set,3,211,11.280924498393947
lorna,10,702,11.278186935825115
sun,1,70,11.274070827352883
sight,1,70,11.274070827352883
doubt,2,140,11.274070827352883
mistress,1,70,11.274070827352883
trouble,1,70,11.274070827352883
people,4,279,11.268909122237105
fry,2,139,11.263728883131424
hand,3,208,11.260265027827852
nothing,4,276,11.253312267186086
afraid,1,69,11.253312267186086
which,13,888,11.23876395861693
town,1,68,11.232250651658257
