collocation,collocate_count,total_count,MI
us,1,240,12.947258730701071
off,1,209,12.747727267173433
think,1,203,12.705704052277728
away,1,194,12.640280977279678
quite,1,183,12.556067973376594
men,1,172,12.466632889794647
its,1,163,12.389096289323628
let,1,144,12.210293136534863
dolly,2,273,12.133125276012404
chapter,1,132,12.084762254451004
light,1,119,11.935185898400496
night,1,119,11.935185898400496
all,10,1171,11.911965400706404
house,1,114,11.873258149257294
hope,1,112,11.847723057150155
heard,1,112,11.847723057150155
she,7,763,11.808552459869476
how,3,311,11.736176404501999
went,1,101,11.698579617844347
where,2,198,11.669724755172162
anything,1,97,11.640280977279678
called,1,97,11.640280977279678
cheeseman,1,95,11.6102237434235
boat,1,94,11.594956986770189
ladies,1,93,11.579526946200582
gentleman,1,92,11.563930091149563
give,1,91,11.548162775291246
don,2,182,11.548162775291246
again,2,181,11.540214022175757
being,2,181,11.540214022175757
self,1,90,11.532221231422227
something,1,90,11.532221231422227
say,3,268,11.521494824829167
used,1,89,11.51610156605895
day,2,175,11.49157924692488
understand,1,86,11.46663288979465
want,1,86,11.46663288979465
few,1,85,11.449759071230252
through,2,169,11.441247571374737
ship,1,84,11.432685557871311
nor,1,83,11.415407566439475
while,2,166,11.415407566439475
french,2,166,11.415407566439475
hear,1,82,11.397920139710635
their,7,573,11.395404541791851
me,10,804,11.369491731384118
business,1,80,11.362296229979913
comes,1,79,11.344148883269655
hat,1,78,11.325770353954798
two,3,231,11.307154675787451
chance,1,76,11.288295648536137
words,1,76,11.288295648536137
son,1,76,11.288295648536137
none,1,75,11.269186825588433
about,6,449,11.265977269112541
your,9,667,11.251986084834824
bit,1,74,11.2498215007215
home,2,148,11.2498215007215
reason,1,73,11.230192693972569
t,5,364,11.226234680403886
cannot,1,72,11.210293136534863
beyond,1,71,11.190115254597234
nothing,3,213,11.190115254597234
won,1,71,11.190115254597234
smile,1,71,11.190115254597234
were,8,560,11.169651152037517
believe,1,70,11.169651152037517
then,6,416,11.155845352512488
london,1,69,11.14889259187072
fire,1,69,11.14889259187072
after,3,204,11.12783097634289
sad,1,68,11.12783097634289
we,7,470,11.109530159599947
three,2,134,11.106457325550323
master,1,67,11.106457325550323
carne,5,330,11.084762254451004
put,3,195,11.062735948121006
still,2,128,11.040368135092551
bright,1,63,11.017648058592467
darling,3,189,11.017648058592467
present,1,63,11.017648058592467
out,7,435,10.997884803771038
show,1,62,10.994564445479426
swipes,1,62,10.994564445479426
half,2,123,10.982882640431791
morning,1,61,10.971105472655436
feel,1,61,10.971105472655436
always,3,183,10.971105472655436
however,1,60,10.94725873070107
deep,1,60,10.94725873070107
above,1,60,10.94725873070107
it,43,2571,10.942217275224108
having,2,119,10.935185898400494
dinner,1,59,10.923011184454392
talk,1,59,10.923011184454392
ll,1,59,10.923011184454392
keep,2,118,10.923011184454392
grand,1,59,10.923011184454392
know,6,353,10.918930007642574
these,4,235,10.91688508165755
blyth,1,58,10.898349130220124
hair,1,58,10.898349130220124
sweet,1,58,10.898349130220124
will,11,636,10.89381947173961
perhaps,3,173,10.89003386200812
far,2,114,10.873258149257293
did,4,226,10.86054709750774
which,11,620,10.857060921729492
arms,1,56,10.847723057150155
often,1,56,10.847723057150155
they,16,886,10.83153102364757
air,1,55,10.82172784861721
fleet,1,55,10.82172784861721
rest,1,55,10.82172784861721
down,5,274,10.816472123165715
go,5,272,10.805902881455529
please,1,54,10.79525563725602
else,1,54,10.79525563725602
yourself,1,54,10.79525563725602
have,27,1446,10.7833324698802
oh,2,106,10.76828858965575
others,1,53,10.76828858965575
across,1,53,10.76828858965575
tide,1,53,10.76828858965575
way,4,211,10.761467323799737
up,11,579,10.75835605444449
taken,1,52,10.740807853233644
well,9,460,10.715933184594615
among,2,102,10.712793477064046
you,48,2412,10.69141982627148
therefore,1,50,10.684224324867275
children,1,50,10.684224324867275
now,11,547,10.67633353924781
or,14,688,10.659277967737046
because,6,294,10.655077979207759
our,5,244,10.649177377768074
sir,4,195,10.647698448842162
though,5,241,10.63132937643515
until,2,96,10.625330635813707
place,3,144,10.625330635813707
looked,2,96,10.625330635813707
help,2,96,10.625330635813707
many,4,192,10.625330635813707
by,17,812,10.618241211027389
course,2,95,10.6102237434235
call,2,95,10.6102237434235
am,8,378,10.602610559313623
her,24,1131,10.598788848361215
likely,1,47,10.594956986770189
everybody,1,47,10.594956986770189
age,1,47,10.594956986770189
time,8,376,10.594956986770189
answer,1,47,10.594956986770189
glad,1,47,10.594956986770189
women,1,47,10.594956986770189
people,4,186,10.579526946200582
them,15,696,10.57642103533276
would,17,788,10.574957113298588
held,1,46,10.563930091149563
see,7,322,10.563930091149563
zebedee,1,46,10.563930091149563
eyes,4,183,10.556067973376594
get,4,182,10.548162775291248
i,64,2901,10.542702715290549
on,17,767,10.535988061345146
spoke,1,45,10.532221231422227
inside,1,45,10.532221231422227
hour,1,45,10.532221231422227
find,2,90,10.532221231422227
foot,1,45,10.532221231422227
english,3,135,10.532221231422227
moment,2,89,10.51610156605895
stubbard,3,133,10.510688069872584
case,1,44,10.499799753729848
also,1,44,10.499799753729848
whatever,1,44,10.499799753729848
so,20,875,10.49157924692488
country,3,131,10.488828635908845
before,5,218,10.486624364982115
my,24,1046,10.486072770618337
hand,4,174,10.48331163094128
try,1,43,10.46663288979465
tree,1,43,10.46663288979465
ah,1,43,10.46663288979465
bottom,1,43,10.46663288979465
pleasant,1,43,10.46663288979465
hundred,1,43,10.46663288979465
simple,1,43,10.46663288979465
love,2,85,10.449759071230252
much,8,339,10.445509598228895
under,3,127,10.44409032114356
further,1,42,10.432685557871311
ask,1,42,10.432685557871311
than,11,462,10.432685557871311
afraid,1,42,10.432685557871311
open,1,42,10.432685557871311
sight,1,42,10.432685557871311
if,23,957,10.419181293521563
come,8,331,10.411055541899769
not,33,1364,10.40960194475827
fine,4,165,10.406690349338367
look,4,165,10.406690349338367
without,7,287,10.397920139710635
instead,2,82,10.397920139710635
full,2,82,10.397920139710635
making,1,41,10.397920139710635
take,4,164,10.397920139710635
indeed,1,41,10.397920139710635
meet,1,41,10.397920139710635
says,1,41,10.397920139710635
blue,1,41,10.397920139710635
those,4,163,10.389096289323628
some,8,326,10.389096289323628
least,2,81,10.380218137977176
little,11,443,10.372099405010273
tell,4,161,10.371285013207169
captain,7,281,10.367439533255872
times,2,80,10.362296229979913
forth,1,40,10.362296229979913
till,2,80,10.362296229979913
send,1,40,10.362296229979913
seem,1,40,10.362296229979913
shall,7,278,10.351954285758454
upon,13,516,10.351155672374713
bad,2,79,10.344148883269655
first,4,157,10.334988883984177
done,5,196,10.333149884320397
faith,5,196,10.333149884320397
him,27,1058,10.33260454504311
frenchmen,1,39,10.3257703539548
gun,1,39,10.3257703539548
whenever,1,39,10.3257703539548
sense,2,78,10.3257703539548
brother,1,39,10.3257703539548
money,2,77,10.307154675787451
corner,1,38,10.288295648536137
except,3,114,10.288295648536137
means,1,38,10.288295648536137
line,1,38,10.288295648536137
wife,2,76,10.288295648536137
boy,1,38,10.288295648536137
thought,4,152,10.288295648536137
could,14,529,10.280137125148974
myself,2,75,10.269186825588433
into,9,337,10.267047914832096
even,11,410,10.260416615960699
different,1,37,10.2498215007215
bear,1,37,10.2498215007215
desire,1,37,10.2498215007215
very,17,625,10.240617673391661
sure,4,147,10.240040479928915
what,16,588,10.240040479928915
twemlow,5,183,10.23413987848923
part,2,73,10.230192693972569
door,2,73,10.230192693972569
had,37,1347,10.226448904925904
from,20,724,10.218285927288393
are,18,651,10.216956866815874
led,1,36,10.210293136534863
got,3,107,10.196872620772542
caryl,2,71,10.190115254597234
at,37,1312,10.188466774081684
and,202,7160,10.187900524492376
moon,1,35,10.169651152037517
gallant,1,35,10.169651152037517
