collocation,collocate_count,total_count,MI
shall,1,197,12.763051796958244
people,1,163,12.489728131732946
back,1,159,12.453882932786225
little,3,401,12.203495903235632
better,1,132,12.185394096860323
house,2,264,12.185394096860323
off,1,124,12.095196287888744
day,2,246,12.083514482841109
go,2,239,12.041866785482616
into,2,237,12.029743226400127
they,4,456,11.97388999166661
against,1,106,11.868920432065067
hope,1,106,11.868920432065067
side,1,103,11.827500504685089
too,2,205,11.820480077007314
beauty,1,102,11.813425319473364
let,1,102,11.813425319473364
three,1,102,11.813425319473364
t,3,298,11.775205997242875
gone,1,99,11.770356597581477
felt,1,97,11.740912819688997
just,2,192,11.725962478223027
left,1,96,11.725962478223027
read,1,94,11.695588829179506
end,1,93,11.6801587886099
those,3,269,11.627499839337338
which,10,880,11.600431596139165
door,1,88,11.600431596139165
upon,5,434,11.580623115058984
dear,2,173,11.575628205138594
gave,1,86,11.567264732203967
care,1,86,11.567264732203967
lady,13,1115,11.563388254168444
world,3,256,11.556037476780713
lesbia,11,899,11.49374566437902
me,8,652,11.489728131732946
room,3,244,11.4867748143436
grandmother,3,242,11.474900714055307
then,3,241,11.468926813010674
time,3,240,11.462928072389232
sir,1,80,11.462928072389232
part,1,79,11.44478072567897
white,1,79,11.44478072567897
while,2,158,11.44478072567897
want,1,78,11.426402196364117
since,1,78,11.426402196364117
suppose,1,77,11.40778651819677
nothing,2,153,11.39838782019452
even,2,153,11.39838782019452
years,2,151,11.379404716826947
dinner,1,75,11.369818667997748
anything,1,75,11.369818667997748
her,40,2986,11.363070332749048
girl,2,149,11.36016849796403
herself,3,223,11.356937376701017
women,1,74,11.35045334313082
brought,1,74,11.35045334313082
now,4,295,11.345571121751073
were,11,809,11.34156425129455
ago,1,73,11.330824536381886
we,4,290,11.320909067516803
course,1,69,11.249524434280039
less,1,67,11.20708916795964
ready,1,66,11.185394096860321
table,1,66,11.185394096860321
from,8,522,11.168905974071754
after,4,258,11.152227232925123
sure,1,64,11.140999977501869
kirkbank,6,384,11.140999977501869
tell,2,126,11.118279901001785
when,7,440,11.115004768968925
ladyship,3,188,11.110626328458348
having,1,62,11.095196287888744
told,3,186,11.095196287888744
don,3,183,11.071737315064755
cannot,1,61,11.071737315064755
why,2,122,11.071737315064755
five,1,61,11.071737315064755
are,9,544,11.058537817309896
friends,1,60,11.047890573110388
glad,1,60,11.047890573110388
keep,1,59,11.02364302686371
eyes,3,172,10.98230223148281
maulevrier,14,800,10.97750124521899
taken,1,57,10.97388999166661
near,1,56,10.948354899559472
pale,1,56,10.948354899559472
mr,9,502,10.942618530010328
quite,2,111,10.935415843851976
almost,2,110,10.922359691026529
live,1,55,10.922359691026529
hard,1,55,10.922359691026529
deep,1,55,10.922359691026529
soul,1,55,10.922359691026529
four,1,55,10.922359691026529
more,5,273,10.911829023534358
still,2,108,10.895887479665337
us,2,108,10.895887479665337
yet,3,162,10.895887479665337
nature,1,54,10.895887479665337
wild,1,54,10.895887479665337
put,1,54,10.895887479665337
your,10,539,10.893213345367013
fellside,3,159,10.86892043206507
being,2,106,10.86892043206507
have,20,1056,10.86346600197296
matter,1,52,10.84143969564296
long,4,205,10.820480077007314
within,1,51,10.813425319473364
because,1,51,10.813425319473364
feel,1,51,10.813425319473364
past,1,51,10.813425319473364
went,4,203,10.806335894687043
seemed,3,152,10.803964990224298
light,2,101,10.799211460253664
my,16,805,10.793844950503848
business,1,50,10.784856167276594
before,4,200,10.784856167276594
where,3,149,10.775205997242873
him,14,694,10.772436908022526
two,4,197,10.763051796958244
george,1,49,10.755709821617078
mean,1,49,10.755709821617078
found,1,49,10.755709821617078
much,5,245,10.755709821617078
rooms,1,49,10.755709821617078
like,8,388,10.740912819688996
person,2,97,10.740912819688996
how,5,242,10.737935119889102
there,14,677,10.736657079019261
take,3,145,10.735946566795647
does,1,48,10.725962478223025
least,1,48,10.725962478223025
give,2,95,10.710855585832816
it,28,1324,10.704332462251482
english,1,47,10.695588829179506
story,1,47,10.695588829179506
beginning,1,47,10.695588829179506
lips,1,47,10.695588829179506
she,48,2246,10.689179689181314
