collocation,collocate_count,total_count,MI
before,1,262,12.959535794313199
went,1,225,12.739893983992788
husband,1,217,12.687664025220231
room,1,207,12.619599750275075
mrs,2,413,12.616110764195197
two,1,182,12.433907432974445
say,1,158,12.229893540952855
their,1,155,12.202237198049987
we,1,139,12.045053865499257
day,2,277,12.03985495882494
daughter,1,132,11.970506912134203
suppose,1,126,11.903392716275667
lady,1,126,11.903392716275667
into,2,249,11.88611472484383
gentleman,1,118,11.808755842137593
now,2,233,11.79029893743003
work,1,116,11.784093787903323
tadman,1,116,11.784093787903323
miss,1,113,11.746291755190937
hand,1,108,11.681000294939219
after,3,320,11.663078386941956
o,1,105,11.640358310441872
while,1,102,11.598538134747246
get,1,101,11.584324275527546
part,1,101,11.584324275527546
man,6,586,11.535907146476841
having,1,96,11.511075293496905
money,2,191,11.503541620811498
house,3,276,11.449674748832763
hour,1,92,11.449674748832763
door,1,90,11.417965889105425
girl,2,178,11.401846223742147
men,1,87,11.369056288624478
left,2,171,11.343965307661648
few,1,85,11.335503728913451
time,5,415,11.301152224122674
more,5,411,11.28717928157007
light,1,82,11.283664797393833
same,1,82,11.283664797393833
able,1,81,11.265962795660375
came,3,242,11.260013529329187
gave,1,79,11.229893540952853
morning,1,79,11.229893540952853
way,3,236,11.223793341416435
adela,1,78,11.211515011637998
next,1,77,11.19289933347065
there,11,839,11.179208174578276
whitelaw,3,224,11.148505214112198
long,3,224,11.148505214112198
wyncomb,1,74,11.1355661584047
those,2,148,11.1355661584047
its,1,70,11.055395809720716
set,1,70,11.055395809720716
sure,1,70,11.055395809720716
d,1,70,11.055395809720716
near,1,70,11.055395809720716
were,7,487,11.046535832800489
soon,1,69,11.034637249553919
on,9,616,11.022974332028339
free,1,68,11.01357563402609
return,1,68,11.01357563402609
did,4,269,10.997575155332374
future,1,67,10.992201983233523
quiet,1,67,10.992201983233523
lawyer,1,66,10.970506912134203
means,1,66,10.970506912134203
percival,1,66,10.970506912134203
brought,1,65,10.948480605804205
own,4,260,10.948480605804205
hear,1,64,10.92611279277575
ill,1,64,10.92611279277575
easy,1,64,10.92611279277575
except,1,63,10.903392716275667
god,1,62,10.880309103162626
gone,2,123,10.86862729811499
seemed,4,246,10.86862729811499
got,1,61,10.856850130338636
her,35,2134,10.856174236655209
evening,2,121,10.844976030050343
where,3,180,10.833003388384268
far,1,60,10.833003388384268
end,2,120,10.833003388384268
mind,3,179,10.824966069318851
coming,1,59,10.808755842137591
word,1,58,10.784093787903322
open,1,58,10.784093787903322
at,20,1154,10.77661220653387
all,12,689,10.769510464758886
knows,1,57,10.759002806940492
name,2,114,10.759002806940492
mr,12,680,10.750541228192295
father,5,282,10.74373605028718
mean,1,56,10.733467714833354
matter,1,55,10.707472506300409
lidford,2,110,10.707472506300409
never,5,270,10.681000294939219
hours,1,54,10.681000294939219
place,4,215,10.67430564236521
new,2,107,10.667579779176897
captain,2,106,10.65403324733895
secret,1,53,10.65403324733895
they,6,316,10.644931040231697
dear,3,157,10.63577104094622
night,3,156,10.626552510916843
back,4,208,10.626552510916843
round,1,52,10.626552510916843
first,3,155,10.617274697328831
look,3,154,10.607936832749495
some,10,512,10.604184697888387
country,1,51,10.598538134747246
common,1,51,10.598538134747246
past,1,51,10.598538134747246
fellow,1,50,10.569968982550474
answer,1,50,10.569968982550474
bed,1,50,10.569968982550474
chance,1,50,10.569968982550474
quite,3,149,10.560318812516755
up,5,248,10.558381008275262
however,1,49,10.540822636890958
happiness,1,49,10.540822636890958
feeling,1,49,10.540822636890958
under,2,97,10.526025634962878
