collocation,collocate_count,total_count,MI
her,1,954,17.217430738234516
said,1,828,17.01307223972833
you,1,800,16.96344147200373
at,1,567,16.466790207171236
him,1,558,16.443706594058195
had,2,948,16.208328531127265
out,1,410,15.99906538173445
th,1,371,15.854860658849807
about,1,366,15.835285120513047
i,4,1426,15.797343548672893
so,1,355,15.791260496621048
like,1,352,15.779016900866301
tha,1,322,15.65050216034362
dickon,1,311,15.600356052359608
she,6,1828,15.570673136565919
did,1,287,15.484492208904694
as,3,794,15.367617978650806
on,2,516,15.330812537652259
it,6,1517,15.301628151754882
they,2,483,15.235464661064778
would,1,232,15.177566277356577
of,5,1148,15.16256411401733
there,2,444,15.11400114857911
little,1,222,15.11400114857911
no,1,213,15.054294902454842
that,4,833,15.021757967594553
and,16,3258,14.989356170754524
his,4,751,14.872254379743277
never,1,184,14.843147238286017
are,1,183,14.835285120513047
ll,1,177,14.787190832312001
or,1,175,14.770796394061334
very,1,167,14.703289574703058
to,12,2003,14.702569487320558
for,2,333,14.698963649300268
thought,1,164,14.677137286847088
all,2,320,14.641513377116368
back,1,159,14.632468237513361
by,1,153,14.576973124921658
me,2,301,14.553204958988708
been,2,279,14.443706594058193
mary,5,694,14.436449039919905
not,4,554,14.433327448278193
the,20,2762,14.429154791599693
how,1,137,14.417617365189532
answered,1,136,14.407048123479345
one,3,405,14.396400879279836
eyes,1,135,14.396400879279836
more,1,134,14.385674472686777
in,8,1046,14.350252418475947
have,2,258,14.330812537652259
be,3,375,14.285369566891092
way,1,122,14.250322619791891
am,1,120,14.226475877837522
ever,1,120,14.226475877837522
went,1,116,14.177566277356577
away,1,116,14.177566277356577
weatherstaff,1,114,14.152475296393748
going,1,111,14.11400114857911
got,1,110,14.100944995753665
he,18,1944,14.074472784392473
boy,1,108,14.074472784392473
up,3,323,14.070013136201775
s,7,734,14.031866613014614
their,1,104,14.020025000370097
see,2,205,13.99906538173445
began,1,102,13.9920106242005
than,1,101,13.9777967649808
first,1,98,13.934295126344212
an,6,586,13.929379635930099
well,1,97,13.919498124416133
m,1,95,13.889440890559953
is,4,374,13.866479742116642
found,1,92,13.843147238286017
over,2,180,13.81143837855868
come,2,175,13.770796394061334
ve,1,84,13.711902705007766
every,1,83,13.694624713575928
then,2,164,13.677137286847088
has,1,82,13.677137286847088
saw,1,81,13.65943528511363
almost,1,81,13.65943528511363
might,1,75,13.548403972724886
say,1,71,13.469332401733688
shall,1,69,13.428109739007175
until,1,69,13.428109739007175
was,22,1374,13.284319952409808
cried,1,62,13.27378159261588
some,2,122,13.250322619791891
feel,1,60,13.226475877837522
does,1,60,13.226475877837522
could,4,236,13.202228331590847
walk,1,58,13.177566277356577
good,2,111,13.11400114857911
done,1,55,13.100944995753665
now,2,107,13.061052268630151
though,1,53,13.047505736792203
any,2,104,13.020025000370097
room,2,104,13.020025000370097
really,1,52,13.020025000370097
with,10,506,12.980650762035953
nice,1,50,12.963441472003728
slowly,1,49,12.934295126344212
better,1,48,12.904547782950162
came,2,95,12.889440890559952
make,2,94,12.874174133906642
sort,1,47,12.874174133906642
black,1,46,12.843147238286019
lad,1,45,12.81143837855868
looked,5,224,12.805012109399247
years,1,44,12.779016900866301
knew,2,87,12.762528778077733
held,1,43,12.745850036931103
sir,1,43,12.745850036931103
being,1,42,12.711902705007766
feet,1,42,12.711902705007766
much,3,124,12.688819091894725
both,1,41,12.677137286847088
ten,1,41,12.677137286847088
near,1,41,12.677137286847088
half,1,41,12.677137286847088
alive,1,40,12.641513377116368
only,2,79,12.623366030406107
gave,1,39,12.604987501091253
such,2,78,12.604987501091253
coming,1,38,12.567512795672592
night,1,38,12.567512795672592
voice,1,36,12.489510283671317
spoke,1,36,12.489510283671317
low,1,34,12.407048123479344
strong,1,33,12.363979401587459
dead,1,33,12.363979401587459
woman,1,33,12.363979401587459
a,53,1735,12.35238477513143
chair,1,32,12.319585282229005
thin,1,32,12.319585282229005
making,1,31,12.27378159261588
moor,3,93,12.27378159261588
across,1,30,12.226475877837522
face,4,117,12.189950001812411
poor,1,29,12.177566277356576
set,1,28,12.126940204286608
yorkshire,2,53,12.047505736792203
man,2,52,12.020025000370097
far,1,25,11.963441472003728
rather,3,73,11.924447340387864
stood,3,69,11.843147238286019
spade,1,22,11.779016900866301
nobody,1,22,11.779016900866301
exclaimed,1,22,11.779016900866301
name,1,22,11.779016900866301
sitting,1,22,11.779016900866301
live,2,42,11.711902705007766
cross,1,20,11.641513377116368
picture,1,20,11.641513377116368
understand,1,20,11.641513377116368
talking,1,20,11.641513377116368
high,1,19,11.567512795672592
itself,1,19,11.567512795672592
show,1,19,11.567512795672592
remember,1,19,11.567512795672592
sour,1,17,11.407048123479344
turning,1,17,11.407048123479344
body,1,17,11.407048123479344
call,1,17,11.407048123479344
who,8,135,11.396400879279836
lifted,1,16,11.319585282229005
together,2,32,11.319585282229005
arm,1,16,11.319585282229005
puzzled,1,15,11.226475877837524
weak,1,15,11.226475877837524
either,1,14,11.126940204286608
whose,1,14,11.126940204286608
digging,1,14,11.126940204286608
whisper,1,14,11.126940204286608
smiled,1,13,11.020025000370097
young,6,70,10.863905798452816
worse,1,11,10.779016900866303
wi,1,11,10.779016900866303
hunchback,1,11,10.779016900866303
drawn,1,11,10.779016900866303
hidden,1,11,10.779016900866303
shoulders,1,10,10.641513377116368
presently,1,10,10.641513377116368
fair,2,19,10.56751279567259
living,1,9,10.489510283671317
servant,1,9,10.489510283671317
tall,1,9,10.489510283671317
calling,1,9,10.489510283671317
sounded,1,9,10.489510283671317
golden,1,9,10.489510283671317
old,9,76,10.397587794230278
natured,1,8,10.319585282229005
chuckled,1,8,10.319585282229005
rheumatics,1,7,10.126940204286608
nervous,1,6,9.90454778295016
lake,1,6,9.90454778295016
certain,1,6,9.90454778295016
entered,2,12,9.90454778295016
surly,1,6,9.90454778295016
wandering,1,6,9.90454778295016
present,1,5,9.641513377116368
ventured,1,5,9.641513377116368
brother,1,5,9.641513377116368
rude,1,4,9.319585282229005
easier,1,4,9.319585282229005
sturdy,1,4,9.319585282229005
shadow,1,4,9.319585282229005
accustomed,1,4,9.319585282229005
clutched,1,4,9.319585282229005
seriously,1,4,9.319585282229005
stiffly,1,4,9.319585282229005
mad,1,4,9.319585282229005
crooked,2,8,9.319585282229005
neat,1,4,9.319585282229005
dreary,1,4,9.319585282229005
soul,2,7,9.126940204286608
armchair,1,3,8.90454778295016
alarmed,1,3,8.90454778295016
trembling,1,3,8.90454778295016
neglected,1,2,8.319585282229005
manservant,1,2,8.319585282229005
family,1,2,8.319585282229005
barney,1,2,8.319585282229005
salaam,1,2,8.319585282229005
awfully,1,2,8.319585282229005
wrinkled,1,2,8.319585282229005
coaxing,1,2,8.319585282229005
companions,1,2,8.319585282229005
hearing,1,2,8.319585282229005
ignorant,1,2,8.319585282229005
scrambled,2,3,7.904547782950162
salver,1,1,7.319585282229005
plains,1,1,7.319585282229005
within,1,1,7.319585282229005
unscrupulous,1,1,7.319585282229005
passes,1,1,7.319585282229005
butler,1,1,7.319585282229005
switzerland,1,1,7.319585282229005
ride,1,1,7.319585282229005
slapping,1,1,7.319585282229005
shriek,1,1,7.319585282229005
crime,1,1,7.319585282229005
disgracefully,1,1,7.319585282229005
drivin,1,1,7.319585282229005
tactless,2,1,6.319585282229005
