collocation,collocate_count,total_count,MI
mr,1,325,14.263688963426587
were,1,229,13.758596843607712
she,2,422,13.640492244217954
earl,2,358,13.403208832775027
cedric,1,168,13.31171047828953
like,1,159,13.232276010795125
see,1,159,13.232276010795125
him,4,610,13.172058487961019
did,1,149,13.13856157597293
or,1,140,13.048676072455736
by,1,133,12.97467549101196
which,1,132,12.963787174869223
in,6,789,12.95831204480307
they,2,261,12.947299052080654
no,1,113,12.739572017925958
me,2,222,12.713808921860874
if,2,219,12.694180115111942
it,9,974,12.677246016150798
t,2,215,12.66758590510023
his,12,1280,12.656358649676976
not,4,426,12.654102675736608
at,4,420,12.633638573176894
how,1,104,12.619832773651861
after,1,101,12.577604538262564
for,3,303,12.577604538262564
think,1,101,12.577604538262564
than,1,100,12.563249245285496
said,5,476,12.492282723931352
down,1,94,12.473981907188406
about,2,186,12.458551866618802
but,3,277,12.448172720838802
thought,1,92,12.442955011567783
eyes,1,92,12.442955011567783
any,1,91,12.427187695709465
that,8,724,12.419238942593974
what,2,181,12.419238942593974
fauntleroy,3,270,12.411246151840444
one,3,257,12.340055103983492
up,2,170,12.328783991648471
little,4,340,12.328783991648471
always,1,83,12.294432486857694
come,1,80,12.241321150398132
say,1,79,12.223173803687871
hobbs,2,155,12.195517460785007
to,21,1583,12.155521172869191
over,1,75,12.14821174600665
such,1,75,12.14821174600665
and,34,2539,12.141974893907935
seemed,1,72,12.089318056953081
of,15,1052,12.051421449194551
m,1,69,12.027917512288939
told,1,68,12.006855896761108
had,11,747,12.004925869662708
could,2,133,11.97467549101196
on,5,325,11.941760868539225
answered,1,65,11.941760868539225
might,1,65,11.941760868539225
child,1,65,11.941760868539225
every,1,64,11.91939305551077
other,1,64,11.91939305551077
would,4,251,11.89093660946154
i,13,815,11.889609586488119
he,32,1961,11.856766875702919
much,2,122,11.850130393073655
chair,1,60,11.826283651119288
put,1,60,11.826283651119288
have,4,231,11.771142096926827
you,11,622,11.740732207004076
almost,1,56,11.726747977568374
with,8,443,11.710555944065788
beautiful,1,55,11.700752769035429
fellow,1,55,11.700752769035429
being,1,54,11.674280557674239
all,5,266,11.652747396124596
kind,1,53,11.64731351007397
better,1,51,11.591818397482266
so,7,347,11.550829986031426
made,2,99,11.548749675590381
the,55,2667,11.519035451537036
out,3,144,11.504355556231925
once,1,48,11.504355556231925
found,1,48,11.504355556231925
began,1,48,11.504355556231925
be,8,378,11.481635479731843
into,2,94,11.473981907188406
lord,4,183,11.435092893794813
know,3,136,11.421893396039954
now,1,45,11.411246151840444
where,1,45,11.411246151840444
must,1,44,11.378824674148067
great,3,132,11.378824674148067
was,24,1041,11.358184908089031
