collocation,collocate_count,total_count,MI
her,1,1684,18.49350438056228
she,4,2268,16.92303288243811
it,2,1120,16.90511097444085
as,1,548,16.873860040456407
i,2,1076,16.847290320052505
not,1,515,16.784256579566463
in,2,1023,16.774418387241212
at,1,430,16.524020807085343
s,1,391,16.386852754803233
miss,1,388,16.37574079968301
when,1,380,16.34568356582683
so,1,301,16.009447634255583
had,3,812,15.856201373959902
and,10,2593,15.794306353461813
to,7,1752,15.743260095039451
minchin,1,249,15.735829889563963
would,1,245,15.712465896498452
with,2,482,15.688717293725844
sara,3,708,15.658471006857724
them,1,236,15.658471006857724
all,1,222,15.570243823845987
like,1,219,15.550615017097055
looked,1,189,15.338070381716955
do,1,181,15.275673844579087
will,1,180,15.267681053825557
for,2,346,15.210456185132607
little,2,343,15.197892723668696
on,2,338,15.176707393778065
very,1,168,15.168145380274643
the,17,2723,15.099346383289339
made,1,154,15.042614498190785
that,5,730,14.965652516375899
no,1,135,14.852643554546713
said,4,519,14.795418685853765
just,1,116,14.633808952623452
was,11,1262,14.617892533841134
face,1,111,14.570243823845988
be,4,438,14.550615017097055
other,1,107,14.51729494389703
of,11,1144,14.476267675636974
what,2,204,14.448253299467378
than,1,102,14.448253299467378
this,2,185,14.307209418012196
much,1,91,14.283622597694578
him,2,181,14.275673844579087
rather,1,87,14.21877145334461
door,1,85,14.185218893633584
felt,1,83,14.150867388842807
back,1,81,14.115677960380506
too,1,80,14.097756052383245
is,5,396,14.08325648268813
make,1,79,14.079608705672984
came,1,76,14.023755470939468
head,1,74,13.985281323124832
might,1,73,13.965652516375899
a,23,1605,13.900623583448533
could,3,208,13.89130517491582
well,1,69,13.884352414274051
my,2,134,13.841917147953655
girl,1,66,13.820222076854336
he,9,581,13.788297309458098
his,4,244,13.706565295058768
new,1,60,13.6827185531044
always,2,118,13.658471006857722
should,1,59,13.658471006857722
old,1,53,13.503748412059082
thing,2,101,13.434039440247675
carmichael,1,48,13.360790458217037
mr,2,93,13.314986768603914
knew,2,90,13.267681053825557
family,1,43,13.20209271219798
where,1,43,13.20209271219798
spoke,1,40,13.097756052383243
how,2,79,13.079608705672984
happened,1,39,13.06123017635813
why,1,39,13.06123017635813
hands,1,38,13.023755470939468
who,5,187,13.000794322496157
lost,1,37,12.98528132312483
another,1,36,12.945752958938193
gentleman,2,70,12.905110974440849
near,1,33,12.820222076854336
poor,2,66,12.820222076854336
crewe,2,65,12.798195770524337
get,1,32,12.775827957495883
children,2,63,12.753107880995799
exclaimed,1,31,12.730024267882756
every,1,29,12.633808952623456
ever,2,57,12.608717971660623
again,3,82,12.548417461392809
enough,2,54,12.530715459659351
understand,1,25,12.419684147270607
wonderful,1,24,12.360790458217037
father,2,48,12.360790458217037
wanted,1,23,12.299389913552895
sort,1,23,12.299389913552895
clever,1,23,12.299389913552895
barrow,1,22,12.23525957613318
captain,2,43,12.20209271219798
indian,3,64,12.190865456774725
manner,1,21,12.168145380274641
short,1,21,12.168145380274641
died,1,19,12.023755470939468
having,1,18,11.945752958938195
says,1,16,11.775827957495883
carriage,1,16,11.775827957495883
trouble,1,15,11.6827185531044
fond,2,29,11.633808952623456
pocket,1,14,11.583182879553487
stand,1,14,11.583182879553487
servant,1,12,11.360790458217037
rosy,1,12,11.360790458217037
brain,1,12,11.360790458217037
grown,1,12,11.360790458217037
money,2,23,11.299389913552895
penny,1,11,11.23525957613318
young,5,52,11.154339580749612
fortune,2,20,11.097756052383245
walls,1,10,11.097756052383245
business,1,10,11.097756052383245
forlorn,1,9,10.945752958938193
o,1,8,10.775827957495881
wonder,2,15,10.682718553104399
less,1,7,10.583182879553487
unhappy,2,13,10.476267675636974
himself,3,19,10.43879297021831
lascar,1,6,10.360790458217037
naturally,1,6,10.360790458217037
carry,1,6,10.360790458217037
subject,1,5,10.097756052383245
worst,1,5,10.097756052383245
fault,1,5,10.097756052383245
steady,1,5,10.097756052383245
native,1,4,9.775827957495883
offended,1,3,9.360790458217037
innocent,1,3,9.360790458217037
proved,1,3,9.360790458217037
war,1,3,9.360790458217037
silent,1,3,9.360790458217037
sweep,1,3,9.360790458217037
ground,1,3,9.360790458217037
amused,1,3,9.360790458217037
tom,2,5,9.097756052383245
distressed,1,2,8.775827957495883
cleaner,1,2,8.775827957495883
rigidly,1,2,8.775827957495883
ugh,1,2,8.775827957495883
haggard,1,2,8.775827957495883
prefer,1,2,8.775827957495883
handsome,1,2,8.775827957495883
lavishly,1,1,7.775827957495882
compelled,1,1,7.775827957495882
nerve,1,1,7.775827957495882
trousers,1,1,7.775827957495882
verge,1,1,7.775827957495882
rash,1,1,7.775827957495882
toned,1,1,7.775827957495882
solitary,1,1,7.775827957495882
scrutiny,1,1,7.775827957495882
