collocation,collocate_count,total_count,MI
her,1,1715,17.761998637145652
then,1,493,15.96344961246339
very,1,376,15.572594627763115
more,1,363,15.521831514081228
all,2,639,15.337677897032473
are,2,610,15.270671208535727
which,2,596,15.23717429654764
she,5,1477,15.224531791962905
over,1,267,15.078701707773032
into,1,264,15.062399895443932
go,1,249,14.978007708153559
my,9,2234,14.97349424512648
long,1,248,14.972202086472352
down,1,247,14.966373007670155
has,1,247,14.966373007670155
still,1,245,14.954643715088048
again,1,245,14.954643715088048
what,3,722,14.928898302251493
day,1,236,14.900648825447318
where,1,233,14.882191920739759
know,1,228,14.850895790250219
now,3,667,14.814586226548906
night,1,222,14.812421642435584
about,1,219,14.792792835686651
had,7,1491,14.752715396311316
t,1,212,14.745926230648678
any,1,208,14.71844549422657
it,12,2412,14.669057467264407
say,1,199,14.654630396629127
in,14,2766,14.644236295178368
up,2,392,14.632715620200687
here,1,194,14.617918618272606
after,1,192,14.602968276806635
on,6,1136,14.582790394869004
first,1,187,14.564900235973115
saw,1,187,14.564900235973115
eyes,1,187,14.564900235973115
hand,1,183,14.533705614369522
and,37,6626,14.502474898537544
i,41,7261,14.486406308991121
you,17,2992,14.477437394722775
well,2,348,14.460949271934206
they,3,514,14.4386678245582
your,4,679,14.42527354033021
could,3,505,14.413182853003478
would,4,666,14.39738414315674
made,1,166,14.393045207432403
nothing,1,166,14.393045207432403
might,1,162,14.357855778970102
just,1,162,14.357855778970102
felt,1,162,14.357855778970102
life,1,161,14.348922654200095
its,2,319,14.335418389850348
so,4,631,14.319501971068028
miss,2,310,14.294130181359716
look,1,154,14.28479231678038
no,5,762,14.269724868691439
take,1,152,14.265933289529064
that,11,1666,14.260746842813727
of,29,4364,14.251460167281513
tell,1,149,14.23717429654764
away,1,147,14.217678120921843
never,2,294,14.217678120921843
at,8,1173,14.213993074113986
only,2,291,14.20288111899376
when,4,573,14.180397104842381
quite,1,141,14.157557128484273
with,10,1403,14.150376974818014
me,15,2054,14.115335646795154
something,1,136,14.105468617335816
though,1,136,14.105468617335816
out,3,408,14.105468617335816
cannot,1,135,14.094821373136307
back,1,134,14.084094966543251
near,1,131,14.051428777622927
to,40,5233,14.049500224812832
there,4,513,14.020820791692532
reed,1,128,14.018005776085479
found,1,126,13.995285699585397
some,3,372,13.972202086472352
voice,1,124,13.972202086472352
stood,1,124,13.972202086472352
mind,1,124,13.972202086472352
rochester,3,366,13.948743113648364
shall,2,241,13.93089511231544
from,6,722,13.928898302251493
for,11,1309,13.91282353939342
the,66,7846,13.91135327680412
said,5,583,13.883429754398612
do,4,466,13.882191920739759
was,22,2525,13.8606418299747
knew,1,112,13.825360698143083
if,5,538,13.76754004375474
