collocation,collocate_count,total_count,MI
are,2,956,15.33857694459048
should,1,374,14.98460459649737
her,10,3362,14.830886050958537
they,3,979,14.78791268549227
there,2,643,14.76638506393768
shall,1,306,14.695097979302385
into,1,304,14.685637650053316
day,1,303,14.680884120082682
she,10,2985,14.659297257874536
about,1,294,14.637382481446098
caroline,2,588,14.637382481446098
own,1,281,14.572136456830659
say,1,276,14.546234593387902
miss,2,482,14.350599472839695
before,1,235,14.314227083174734
night,1,234,14.308074856193135
these,1,233,14.301896281264012
other,1,224,14.245065058667336
still,1,223,14.238610036530037
them,3,650,14.197043543804392
may,1,216,14.192597638773199
again,1,210,14.151955654275854
hand,1,209,14.145069268690616
did,2,409,14.113667169551482
once,1,201,14.088761827788662
nothing,1,197,14.059761956066108
quite,1,191,14.015138964645482
love,1,189,13.999952560830803
eyes,1,189,13.999952560830803
now,3,565,13.994854693191128
were,4,752,13.99229898828737
where,1,187,13.984604596497368
let,1,185,13.969091597126043
up,2,364,13.945504776808429
way,1,182,13.945504776808429
out,2,356,13.913443567576131
after,1,177,13.90531568669273
house,1,176,13.897141755247029
mr,4,689,13.866070309314024
through,1,169,13.838589572891916
us,1,168,13.830027559388494
t,2,335,13.825727421954868
will,5,790,13.741490884786835
don,1,158,13.741490884786835
on,8,1261,13.738062696937952
our,1,153,13.695097979302385
moore,4,605,13.678501468771689
mother,1,150,13.666528827105614
tell,1,147,13.637382481446098
those,1,145,13.617619226624667
felt,1,144,13.607635138052045
at,9,1288,13.598702013282038
mill,1,143,13.597581473388122
cannot,1,143,13.597581473388122
something,1,143,13.597581473388122
wish,1,140,13.5669931535547
feel,1,139,13.556651209333241
how,2,276,13.5462345933879
speak,1,137,13.535742219570258
even,1,137,13.535742219570258
your,6,813,13.519859177963605
while,1,135,13.514525733660562
yes,1,135,13.514525733660562
their,4,540,13.514525733660562
yet,2,267,13.498406068297285
hall,1,133,13.492992572110923
would,7,926,13.485223597812364
time,2,264,13.482104255968187
asked,1,132,13.482104255968187
you,25,3283,13.474652981407987
so,5,650,13.460077949638187
keeldar,2,257,13.44333468580361
we,4,512,13.43771013660973
door,1,125,13.40349442127182
and,53,6584,13.39453830246816
men,1,123,13.38022464194897
made,2,246,13.38022464194897
why,1,121,13.356573373884325
with,13,1549,13.334391847258207
back,1,119,13.332527899917675
away,1,118,13.320353185971573
left,1,118,13.320353185971573
it,24,2815,13.311666842856168
certain,1,116,13.295691131737303
take,2,230,13.283200187554106
present,1,115,13.283200187554106
work,1,114,13.270600150774474
another,1,114,13.270600150774474
nature,1,114,13.270600150774474
for,13,1464,13.252970256752683
do,5,561,13.247639002331162
what,7,772,13.22281225182021
which,6,661,13.221254097396267
world,1,110,13.219069850134392
been,4,439,13.21578726614509
find,1,109,13.20589446138666
many,1,109,13.20589446138666
the,84,9094,13.196092002575512
no,8,863,13.190926885788688
martin,1,106,13.165630591172931
white,1,106,13.165630591172931
old,2,210,13.151955654275854
me,11,1151,13.146950636104664
if,7,729,13.140130218879065
enough,1,104,13.138149854750825
malone,1,103,13.124210663792951
things,1,103,13.124210663792951
till,1,102,13.110135478581228
helstone,3,305,13.105413068338825
its,3,303,13.095921619361526
by,7,701,13.083625848562752
come,3,300,13.081566326384456
god,1,100,13.081566326384456
had,14,1394,13.075370060420552
when,7,694,13.06914706713039
very,4,396,13.067066756689341
look,2,198,13.067066756689341
want,1,99,13.067066756689341
people,1,98,13.05241998072494
came,2,194,13.037622978796861
his,19,1828,13.025832978224216
have,14,1340,13.018372499897263
seemed,2,190,13.00756574494068
i,48,4547,13.003446924633115
to,63,5962,13.002010873100986
give,2,189,12.999952560830803
soon,1,94,12.992298988287368
face,2,187,12.984604596497368
first,2,185,12.969091597126043
might,2,185,12.969091597126043
years,1,92,12.961272092666743
dark,1,92,12.961272092666743
gave,1,91,12.945504776808429
part,1,91,12.945504776808429
all,8,728,12.945504776808429
too,3,273,12.945504776808429
joe,1,90,12.929563232939408
thing,1,90,12.929563232939408
think,3,268,12.918836826346348
ladies,1,89,12.913443567576131
said,6,531,12.90531568669273
most,2,176,12.897141755247029
more,5,437,12.887271511222968
happy,1,87,12.880653632458461
leave,1,87,12.880653632458461
turned,1,86,12.86397489131183
going,1,86,12.86397489131183
be,16,1374,12.86187642542783
passed,1,85,12.847101072747433
air,1,85,12.847101072747433
him,12,1008,12.830027559388492
just,2,167,12.821414429083784
down,3,250,12.818531920550662
care,1,83,12.812749567956656
always,2,166,12.812749567956656
in,40,3276,12.793501683363377
one,7,573,12.792746543309033
full,1,81,12.777560139494357
could,6,484,12.771610873163171
some,5,402,12.766833732901299
though,2,158,12.741490884786835
well,4,313,12.727728983542349
short,1,78,12.72311235547198
kind,1,78,12.72311235547198
perhaps,2,156,12.72311235547198
briarfield,1,78,12.72311235547198
both,2,155,12.71383454188397
as,23,1780,12.711809706406479
an,9,694,12.70657698774568
turn,1,77,12.704496677304633
mind,2,154,12.704496677304633
then,5,384,12.700744542443525
this,10,763,12.6913212885569
yourself,1,76,12.685637650053318
last,2,151,12.676114875934811
my,15,1130,12.672926598303764
sympson,1,75,12.666528827105614
set,1,75,12.666528827105614
mean,1,75,12.666528827105614
knew,2,148,12.647163502238682
yorke,3,222,12.647163502238682
half,2,147,12.637382481446098
told,1,73,12.62753469548975
uncle,2,144,12.607635138052045
from,10,718,12.603622075545422
than,6,429,12.597581473388122
not,28,1995,12.592528245661837
answer,1,71,12.587457256114414
that,31,2184,12.576270967142708
see,5,348,12.558725537571098
heart,3,205,12.532227735394022
spoke,1,68,12.525172977860072
fear,1,68,12.525172977860072
saw,2,135,12.514525733660562
indeed,2,135,12.514525733660562
only,5,337,12.512386822904228
high,1,66,12.482104255968187
cold,1,65,12.460077949638185
ask,1,65,12.460077949638185
given,1,65,12.460077949638185
character,1,64,12.43771013660973
table,1,64,12.43771013660973
self,1,64,12.43771013660973
feeling,1,64,12.43771013660973
but,23,1464,12.429848018836761
mine,1,63,12.414990060109648
means,1,63,12.414990060109648
of,84,5213,12.393290858426985
looked,3,184,12.376309591945589
hear,2,122,12.368447474172617
low,1,61,12.368447474172617
life,3,182,12.360542276087271
does,2,121,12.356573373884325
person,1,60,12.34460073221825
pale,1,60,12.34460073221825
brother,1,60,12.34460073221825
know,6,358,12.336563413152831
was,42,2498,12.331950475438928
sound,1,58,12.295691131737303
wife,1,58,12.295691131737303
ve,1,58,12.295691131737303
hair,1,58,12.295691131737303
sit,1,57,12.270600150774474
alone,2,112,12.245065058667334
children,1,56,12.245065058667334
