collocation,collocate_count,total_count,MI
she,3,1933,16.11996934218778
some,1,446,15.589205820618004
its,1,411,15.471300504379382
out,1,385,15.377020556279964
their,1,329,15.150249694432942
my,6,1909,15.101944807380482
her,8,2142,14.853048685447956
own,1,266,14.84358835619889
much,1,250,14.754090205359788
were,3,725,14.705180604878842
time,1,240,14.695196516306218
only,1,240,14.695196516306218
when,2,479,14.692187766433882
by,3,712,14.679076850942941
did,2,471,14.667889170310483
so,3,697,14.648358265844967
over,1,232,14.646286915825273
still,1,231,14.640054962113757
hand,1,231,14.640054962113757
once,1,228,14.621195934862442
they,2,451,14.605289543953083
graham,1,225,14.602087111914738
which,3,671,14.593512376176726
down,1,222,14.582721787047806
eyes,1,218,14.556490245474626
me,8,1734,14.548194103919537
from,3,632,14.507124168153647
it,11,2230,14.45170229686807
your,2,401,14.43576434715262
saw,1,198,14.41766254077731
if,2,391,14.399330718005052
myself,1,194,14.388218762884827
where,1,190,14.358161529028648
one,3,546,14.296100560896395
all,4,717,14.274135229399606
madame,2,355,14.259981135089744
then,2,349,14.235389146907353
t,1,173,14.222934148334426
here,1,172,14.214570675399798
two,1,172,14.214570675399798
room,1,165,14.154628134943517
beck,1,161,14.119222798812316
while,1,157,14.082926669589328
i,38,5916,14.070784744353183
perhaps,1,154,14.0550924613926
go,1,154,14.0550924613926
even,1,148,13.997759286326652
us,1,148,13.997759286326652
with,11,1616,13.987085784812198
felt,1,142,13.938053040202382
and,45,6374,13.934436128145878
without,1,139,13.907246993421209
at,8,1108,13.90204808674689
make,1,138,13.89683037747587
eye,1,137,13.886338003658228
these,2,273,13.881063061617553
no,5,679,13.87364559005507
should,2,265,13.838154470148263
have,7,920,13.826441049584473
found,1,131,13.82172892223515
about,2,260,13.810673733726155
shall,1,130,13.810673733726155
well,3,389,13.806969764962737
to,37,4787,13.803758645788516
house,1,129,13.799533176120955
whole,1,129,13.799533176120955
do,3,384,13.7883059206977
head,1,127,13.776990607469864
papa,1,126,13.765585844197616
same,1,126,13.765585844197616
on,9,1132,13.76303916208727
away,1,125,13.754090205359788
now,4,496,13.742502231084575
bretton,2,244,13.719043258260587
think,2,243,13.713118424303481
the,69,8368,13.710448600166472
heard,1,121,13.707169157972293
been,3,357,13.683123684005645
as,13,1546,13.682190806481454
round,1,117,13.658670640281104
far,1,115,13.633795971642076
mother,1,115,13.633795971642076
don,1,114,13.621195934862442
up,3,334,13.587047712450595
in,28,3108,13.582721787047806
of,44,4845,13.571155252362846
for,12,1321,13.570758171223373
himself,1,109,13.556490245474627
yet,3,325,13.54763932789236
that,18,1945,13.543935359128943
see,2,214,13.529772907098847
would,7,744,13.520109809748128
something,1,105,13.502551438363822
before,2,210,13.502551438363822
there,5,525,13.502551438363822
nor,2,209,13.495665052778582
sat,1,104,13.488745638838791
often,1,103,13.474806447880917
say,2,204,13.460731262669196
into,3,300,13.432162110472424
whose,1,99,13.41766254077731
between,1,99,13.41766254077731
being,2,198,13.41766254077731
said,6,592,13.412796785605494
love,1,98,13.403015764812908
strange,1,98,13.403015764812908
other,2,192,13.373268421418855
must,3,285,13.358161529028648
more,4,379,13.354359958868791
english,1,92,13.311867876754713
any,2,184,13.311867876754713
paul,2,183,13.304005758981742
why,1,91,13.296100560896397
had,17,1543,13.292365426018094
yes,1,90,13.280159017027374
looked,2,179,13.272121697961955
whether,1,89,13.264039351664097
pupils,1,89,13.264039351664097
every,1,89,13.264039351664097
each,1,89,13.264039351664097
feel,1,89,13.264039351664097
but,15,1326,13.25428038520177
read,1,87,13.231249416546428
three,1,87,13.231249416546428
least,1,84,13.180623343476459
wish,1,84,13.180623343476459
door,2,167,13.172010213171752
might,3,250,13.16912770463863
how,4,328,13.145857925315784
near,1,82,13.145857925315784
made,3,244,13.13408075753943
long,3,241,13.116232756206506
not,24,1919,13.109482416171925
are,5,398,13.103002446353987
what,8,628,13.082926669589328
you,22,1711,13.069498346549818
could,7,536,13.047040189097869
held,1,76,13.036233434141284
air,1,76,13.036233434141284
cannot,1,75,13.01712461119358
or,11,824,13.01537482924362
take,2,149,13.007474441159863
his,22,1636,13.004831335002153
does,1,74,12.997759286326652
