collocation,collocate_count,total_count,MI
long,1,96,10.91352972673211
came,1,95,10.898422834341902
doctor,1,86,10.754831980713053
way,1,76,10.57649473945454
she,2,150,10.557385916506837
stood,1,72,10.498492227453267
paper,1,60,10.235457821619473
left,1,60,10.235457821619473
place,1,60,10.235457821619473
hand,1,59,10.211210275372796
more,3,172,10.169869479991897
got,1,56,10.135922148068559
priest,3,166,10.118644156636723
head,2,109,10.096751550787882
thought,1,53,10.056487680574154
took,1,52,10.029006944152048
back,2,103,10.015067753194172
upon,1,51,10.00099256798245
heard,1,49,9.943277070126163
valentin,2,97,9.928480068198082
both,1,48,9.91352972673211
let,1,48,9.91352972673211
behind,1,48,9.91352972673211
open,1,47,9.883156077688591
green,1,47,9.883156077688591
we,3,139,9.862545798013306
silver,1,46,9.852129182067968
end,1,45,9.82042032234063
quinton,1,45,9.82042032234063
over,2,89,9.804300656977354
don,2,89,9.804300656977354
come,2,88,9.787998844648252
went,3,132,9.787998844648252
silence,1,43,9.754831980713053
whole,1,43,9.754831980713053
even,3,128,9.7436047252898
time,2,83,9.703606657357879
almost,2,82,9.68611923062904
man,10,400,9.650495320898317
side,1,40,9.650495320898317
which,6,240,9.650495320898317
give,1,40,9.650495320898317
indeed,1,39,9.613969444873202
flambeau,6,232,9.60158572041737
police,1,38,9.57649473945454
blue,1,38,9.57649473945454
it,27,1020,9.568033160706344
gold,1,37,9.538020591639905
road,1,37,9.538020591639905
us,1,37,9.538020591639905
see,3,110,9.524964438814457
friend,2,73,9.518391784890973
gentleman,1,36,9.498492227453267
there,9,323,9.494032579262567
by,8,287,9.493474152686643
off,2,71,9.478314345515637
st,1,35,9.45785024295592
morning,1,35,9.45785024295592
woman,1,35,9.45785024295592
fact,1,35,9.45785024295592
what,6,204,9.416030067261294
feet,1,34,9.416030067261294
suppose,1,34,9.416030067261294
t,7,237,9.40995555285161
down,4,135,9.405382823061785
were,9,301,9.392261901328345
seemed,3,100,9.387460915064523
french,1,33,9.372961345369408
house,3,99,9.372961345369408
look,2,66,9.372961345369408
put,2,65,9.35093503903941
white,2,65,9.35093503903941
wilfred,1,32,9.328567226010955
general,1,32,9.328567226010955
lord,1,32,9.328567226010955
half,2,64,9.328567226010955
will,4,127,9.317251912783119
office,1,31,9.28276353639783
his,34,1040,9.263472197789069
turned,2,61,9.25930456357384
their,4,122,9.25930456357384
be,9,273,9.251399365488496
found,3,91,9.251399365488496
brown,10,303,9.249813114596543
silent,1,30,9.235457821619473
low,1,30,9.235457821619473
whether,1,30,9.235457821619473
two,5,150,9.235457821619473
up,9,268,9.224731415026415
still,4,116,9.186548221138528
each,1,29,9.186548221138528
clare,1,29,9.186548221138528
some,6,171,9.161457240175697
from,8,226,9.148746188426141
sure,1,28,9.135922148068559
opened,1,28,9.135922148068559
study,1,28,9.135922148068559
all,12,335,9.131622010634933
then,7,194,9.121125146140479
they,13,359,9.115967541692914
how,2,55,9.109926939535613
front,2,55,9.109926939535613
him,14,384,9.106174804674506
your,4,109,9.096751550787882
repeated,1,27,9.083454728174424
take,1,27,9.083454728174424
quietly,1,27,9.083454728174424
same,2,54,9.083454728174424
felt,1,27,9.083454728174424
cried,4,107,9.070034212412102
mr,3,80,9.065532820177161
sort,3,79,9.047385473466901
to,55,1436,9.035047546309347
one,13,339,9.033268971006207
new,2,52,9.029006944152048
full,1,26,9.029006944152048
certainly,1,26,9.029006944152048
after,3,78,9.029006944152048
followed,1,26,9.029006944152048
just,4,104,9.029006944152048
against,2,52,9.029006944152048
london,1,26,9.029006944152048
passed,1,26,9.029006944152048
figure,2,52,9.029006944152048
added,1,26,9.029006944152048
and,93,2411,9.02482435050545
i,38,979,9.015804762171063
father,10,255,9.00099256798245
only,7,178,8.996945734919748
word,1,25,8.972423415785679
threw,1,25,8.972423415785679
policeman,1,25,8.972423415785679
gave,1,25,8.972423415785679
quite,4,99,8.957923846090566
under,2,49,8.943277070126163
my,7,171,8.939064818839249
as,25,608,8.932638549679815
forward,1,24,8.913529726732111
trees,1,24,8.913529726732111
must,3,72,8.913529726732111
boat,1,24,8.913529726732111
story,2,48,8.913529726732111
blood,1,24,8.913529726732111
however,1,24,8.913529726732111
staring,1,24,8.913529726732111
four,1,24,8.913529726732111
corpse,1,24,8.913529726732111
he,67,1583,8.890923575690364
but,25,588,8.884383381072595
these,3,70,8.872887742234765
so,8,186,8.867726037118986
looked,5,116,8.864620126251165
human,1,23,8.852129182067968
pale,1,23,8.852129182067968
somehow,1,23,8.852129182067968
having,1,23,8.852129182067968
next,1,23,8.852129182067968
now,4,92,8.852129182067968
better,1,23,8.852129182067968
ve,2,46,8.852129182067968
when,8,183,8.844267064294996
at,22,495,8.82042032234063
done,2,45,8.82042032234063
this,16,359,8.816407259834007
believe,1,22,8.787998844648252
known,1,22,8.787998844648252
stared,1,22,8.787998844648252
can,6,132,8.787998844648252
six,1,22,8.787998844648252
hotel,1,22,8.787998844648252
eyes,4,88,8.787998844648252
royce,1,22,8.787998844648252
many,2,44,8.787998844648252
of,103,2241,8.77199363233813
yet,3,65,8.765972538318254
before,4,86,8.754831980713053
do,7,150,8.750030994449231
than,5,107,8.74810611752474
not,17,363,8.744930122756367
last,5,106,8.734559585686792
you,34,718,8.728944418583668
fancy,1,21,8.720884648789715
course,2,42,8.720884648789715
fish,1,21,8.720884648789715
english,2,42,8.720884648789715
himself,4,84,8.720884648789715
smile,1,21,8.720884648789715
light,2,42,8.720884648789715
blacksmith,1,21,8.720884648789715
voice,4,84,8.720884648789715
killed,1,21,8.720884648789715
is,24,498,8.703606657357879
its,3,62,8.697801035676672
me,7,144,8.691137305395662
for,23,471,8.684588519566725
made,3,61,8.674342062852684
most,3,61,8.674342062852684
though,3,61,8.674342062852684
say,4,81,8.66841722889558
them,9,182,8.666436864767338
glengyle,1,20,8.650495320898317
mouth,1,20,8.650495320898317
olivier,1,20,8.650495320898317
understand,1,20,8.650495320898317
stop,1,20,8.650495320898317
death,1,20,8.650495320898317
daughter,1,20,8.650495320898317
cold,1,20,8.650495320898317
didn,1,20,8.650495320898317
manner,1,20,8.650495320898317
had,30,597,8.643263751667241
are,8,159,8.64145018129531
something,5,99,8.635995751203202
here,4,78,8.613969444873204
find,2,39,8.613969444873204
or,15,288,8.59160163184475
out,11,211,8.590234796080843
on,28,536,8.587301494411124
perhaps,3,57,8.576494739454539
criminal,1,19,8.576494739454539
minute,1,19,8.576494739454539
have,16,304,8.576494739454539
suddenly,2,38,8.576494739454539
gentlemen,1,19,8.576494739454539
less,1,19,8.576494739454539
in,74,1404,8.574441080686565
was,67,1268,8.570817065692589
that,59,1114,8.567457693989144
think,5,94,8.561227982801231
oh,3,56,8.550959647347403
nothing,3,56,8.550959647347403
first,5,93,8.545797942231625
already,2,37,8.538020591639905
body,2,37,8.538020591639905
crime,2,36,8.498492227453266
also,3,54,8.498492227453266
walk,1,18,8.498492227453266
writing,1,18,8.498492227453266
the,303,5336,8.466936193722589
table,2,35,8.45785024295592
into,11,192,8.454098108094813
men,5,87,8.44958262697232
would,9,154,8.425428765263545
may,3,51,8.416030067261294
world,3,51,8.416030067261294
poor,2,34,8.416030067261294
dark,3,51,8.416030067261294
cigar,1,17,8.416030067261294
wife,1,17,8.416030067261294
saw,5,85,8.416030067261294
few,3,51,8.416030067261294
held,1,17,8.416030067261294
yellow,2,34,8.416030067261294
fire,1,17,8.416030067261294
scene,1,17,8.416030067261294
