collocation,collocate_count,total_count,MI
they,1,251,12.936050609194018
my,1,185,12.495888515759557
out,1,162,12.304357058127872
do,1,139,12.083448127966754
street,1,117,11.834871774826652
king,2,231,11.816256096659304
their,1,113,11.784686017658435
were,2,222,11.758922921593351
then,1,100,11.60836324501797
two,1,99,11.593863675322854
our,1,95,11.534362663574194
would,1,95,11.534362663574194
now,1,85,11.373897991380948
them,2,158,11.26828780342035
thing,1,75,11.193325745739127
again,1,75,11.193325745739127
something,1,75,11.193325745739127
you,8,590,11.16907819949245
have,5,367,11.162215213199097
think,1,71,11.114254174747929
eyes,1,71,11.114254174747929
all,4,281,11.098933375464172
after,1,70,11.093790072188213
it,12,831,11.078249221292435
auberon,1,69,11.073031512021416
us,1,66,11.0089011746017
these,1,66,11.0089011746017
hundred,1,63,10.941786978743163
from,3,188,10.934133406199727
there,3,188,10.934133406199727
must,1,60,10.871397650851765
over,1,58,10.822488050370819
never,1,57,10.797397069407987
went,1,57,10.797397069407987
nothing,1,56,10.77186197730085
back,1,56,10.77186197730085
let,1,56,10.77186197730085
wayne,4,219,10.73929411484442
had,5,271,10.724728001709757
shall,1,54,10.719394557406714
god,1,53,10.692427509806446
adam,1,52,10.664946773384338
some,2,103,10.651007582426464
into,2,103,10.651007582426464
his,11,558,10.629196748435136
if,3,152,10.627472067965677
where,1,50,10.608363245017971
pump,1,50,10.608363245017971
just,1,49,10.579216899358455
whole,1,48,10.549469555964404
london,1,48,10.549469555964404
your,5,238,10.537396723663827
more,3,141,10.519095906920883
quite,1,47,10.519095906920883
say,2,94,10.519095906920883
ever,1,46,10.488069011300258
which,5,229,10.481782748452828
hill,4,179,10.448322832507502
green,1,44,10.423938673880544
men,4,170,10.373897991380948
still,1,42,10.356824478022007
go,1,41,10.32205905986133
being,1,41,10.32205905986133
through,1,40,10.28643515013061
bayswater,1,40,10.28643515013061
army,1,39,10.249909274105494
look,1,39,10.249909274105494
sir,1,39,10.249909274105494
notting,4,155,10.240631460517484
him,5,190,10.212434568686833
by,5,188,10.19716781203352
i,22,821,10.186313848383753
sense,1,37,10.173960420872197
in,25,918,10.16300120888233
barker,5,181,10.14242484743909
suddenly,1,36,10.13443205668556
said,12,429,10.124378392021635
round,2,71,10.114254174747929
seemed,1,35,10.093790072188213
or,5,172,10.068843715057982
we,7,238,10.051969896493585
that,22,727,10.010886990525544
and,51,1684,10.009758136338146
an,6,193,9.972001591790171
also,1,32,9.964507055243246
to,34,1074,9.94582249197832
the,112,3531,9.943013238945243
how,2,63,9.941786978743163
voice,2,63,9.941786978743163
each,1,31,9.91870336563012
world,2,61,9.895244392806132
wilson,2,61,9.895244392806132
t,4,121,9.88337029251784
joke,1,30,9.871397650851765
are,7,209,9.864511265266525
has,4,119,9.859324818551189
down,3,89,9.855277985488488
will,4,116,9.822488050370819
cannot,1,29,9.822488050370819
of,68,1969,9.820291609894461
than,3,86,9.805809309224188
know,3,85,9.788935490659792
not,12,340,9.788935490659792
another,1,28,9.77186197730085
strange,1,28,9.77186197730085
between,1,28,9.77186197730085
take,1,28,9.77186197730085
for,14,389,9.760778478171833
so,6,163,9.728272708753167
but,13,353,9.727591710373334
