collocation,collocate_count,total_count,MI
their,1,110,11.197880131106263
see,1,99,11.045877037661212
up,2,161,10.74743729569622
say,1,80,10.738448512468965
came,1,74,10.625973783210553
first,1,73,10.606344976461619
did,1,73,10.606344976461619
time,1,69,10.525044874359772
which,3,199,10.468182537404095
saw,1,64,10.416520417581602
these,1,63,10.39380034108152
down,2,120,10.323411013190121
may,1,60,10.323411013190121
don,1,60,10.323411013190121
whole,1,59,10.299163466943444
through,1,59,10.299163466943444
stood,1,58,10.274501412709174
what,3,171,10.249410431746345
right,1,57,10.249410431746345
colonel,1,56,10.223875339639205
gregory,2,112,10.223875339639205
those,1,54,10.171407919745072
shall,1,54,10.171407919745072
table,1,53,10.144440872144802
again,1,52,10.116960135722694
have,5,257,10.100216871888119
tell,1,51,10.088945759553097
red,1,51,10.088945759553097
could,3,151,10.069962656185524
we,5,251,10.066135876645014
suddenly,1,50,10.060376607356329
round,1,49,10.03123026169681
street,1,49,10.03123026169681
its,1,47,9.97110926925924
how,1,47,9.97110926925924
way,1,46,9.940082373638615
men,2,91,9.924315057780298
make,1,45,9.908373513911277
by,4,179,9.900336194845858
police,1,44,9.8759520362189
great,2,85,9.825911353719304
put,1,41,9.774072422199687
policeman,1,41,9.774072422199687
across,1,41,9.774072422199687
some,3,121,9.75042115413504
go,1,40,9.738448512468965
people,1,40,9.738448512468965
been,3,117,9.70192263644385
half,1,39,9.70192263644385
my,4,156,9.70192263644385
let,1,38,9.664447931025189
syme,14,519,9.62875622388188
word,1,37,9.625973783210553
more,3,111,9.625973783210553
two,2,74,9.625973783210553
god,1,36,9.586445419023915
sea,1,36,9.586445419023915
nothing,1,36,9.586445419023915
president,2,72,9.586445419023915
are,7,250,9.574949780186087
almost,2,71,9.566267537086285
they,9,318,9.559478371423646
man,8,275,9.519808225993625
heard,1,34,9.503983258831942
secretary,2,67,9.482609608039375
things,1,33,9.460914536940056
it,22,717,9.44291810764621
enough,1,32,9.416520417581602
got,1,32,9.416520417581602
myself,1,32,9.416520417581602
side,1,32,9.416520417581602
and,52,1658,9.411308990936261
were,7,222,9.403581361874103
i,28,885,9.398699140494358
head,2,63,9.39380034108152
feet,1,31,9.370716727968478
