collocation,collocate_count,total_count,MI
babalatchi,1,179,12.429126719716628
their,1,145,12.125220032467306
then,1,137,12.043343025412897
men,1,132,11.989705061810824
which,1,118,11.827953991814212
down,1,114,11.778200956617113
looked,1,98,11.560020786567577
go,1,97,11.5452237846395
went,1,92,11.468872898509384
voice,1,91,11.453105582651068
little,1,84,11.337628365231131
again,1,77,11.212097483147272
girl,1,74,11.15476430808132
canoe,1,74,11.15476430808132
were,2,147,11.144983287288735
by,5,356,11.099116278531406
back,1,71,11.095058061957053
river,2,141,11.084862294851163
seemed,1,70,11.074593959397337
eyes,2,135,11.022126539503201
upon,1,67,11.011400132910143
made,1,65,10.967678755480826
night,1,64,10.945310942452371
his,18,1146,10.937777269766963
spoke,1,62,10.899507252839246
all,4,247,10.893678174037047
day,1,59,10.827953991814212
sambir,1,56,10.752665864509975
even,1,56,10.752665864509975
her,12,670,10.748365727076349
nina,4,221,10.733213501843803
on,9,497,10.732487982572344
amongst,1,54,10.70019844461584
ali,1,52,10.645750660593464
time,2,102,10.617736284423867
over,3,148,10.569801807360165
hand,2,97,10.545223784639498
in,25,1203,10.533875679853722
want,1,48,10.530273443173527
before,3,143,10.520219778509604
head,2,95,10.515166550783318
well,1,47,10.499899794130009
lingard,1,47,10.499899794130009
years,1,46,10.468872898509384
stood,2,91,10.453105582651068
never,1,45,10.437164038782045
also,1,45,10.437164038782045
life,3,134,10.426437632188987
now,4,176,10.404742561089668
tell,1,44,10.404742561089668
out,4,174,10.388254438301098
him,8,347,10.384102795030632
last,2,86,10.37157569715447
do,2,86,10.37157569715447
above,1,43,10.37157569715447
almayer,11,468,10.356244043398478
with,16,677,10.348322966027368
many,2,84,10.337628365231131
till,1,42,10.337628365231131
other,2,84,10.337628365231131
long,3,125,10.3261327263933
be,5,208,10.3238225657061
after,3,122,10.2910857792941
she,12,487,10.288126403813557
its,2,81,10.285160945336996
away,3,120,10.267239037339733
would,5,197,10.245434667021385
only,3,117,10.230713161314618
an,4,156,10.230713161314618
up,5,195,10.230713161314618
they,5,194,10.223295689752137
under,3,115,10.205838492675591
those,2,76,10.193238455895955
found,1,38,10.193238455895955
suddenly,1,38,10.193238455895955
herself,1,38,10.193238455895955
being,1,38,10.193238455895955
but,7,264,10.18235013975322
house,4,150,10.174129632948253
behind,1,37,10.15476430808132
saw,2,74,10.15476430808132
so,4,146,10.135135501332389
will,3,109,10.12853276650814
sea,1,36,10.115235943894682
settlement,1,36,10.115235943894682
bank,1,36,10.115235943894682
sat,1,36,10.115235943894682
to,41,1471,10.110340469089117
it,10,357,10.103163111594109
one,3,107,10.101815428132362
sound,1,35,10.074593959397337
walked,1,35,10.074593959397337
shall,2,70,10.074593959397337
looking,2,70,10.074593959397337
say,1,35,10.074593959397337
and,59,2059,10.070396007722783
man,6,207,10.05383539923054
take,1,34,10.03277378370271
coming,1,34,10.03277378370271
slave,1,34,10.03277378370271
fire,1,34,10.03277378370271
heart,2,67,10.011400132910143
words,2,67,10.011400132910143
round,2,67,10.011400132910143
off,2,66,9.989705061810824
dark,1,33,9.989705061810824
trees,1,32,9.945310942452371
open,1,32,9.945310942452371
new,1,32,9.945310942452371
remained,1,32,9.945310942452371
voices,1,32,9.945310942452371
water,2,64,9.945310942452371
wanted,1,32,9.945310942452371
did,3,95,9.930204050062162
of,79,2470,9.911825520747309
forget,1,31,9.899507252839246
every,1,31,9.899507252839246
where,4,124,9.899507252839246
great,5,154,9.89016938825991
face,4,121,9.864174179726964
days,1,30,9.85220153806089
mahmat,1,30,9.85220153806089
such,1,30,9.85220153806089
live,1,30,9.85220153806089
he,41,1225,9.84632497172422
towards,4,119,9.840128705760314
this,6,177,9.827953991814212
them,3,88,9.819780060368512
if,5,146,9.813207406445025
put,1,29,9.803291937579942
asked,2,58,9.803291937579942
much,2,58,9.803291937579942
gold,1,29,9.803291937579942
got,1,29,9.803291937579942
as,12,344,9.786613196433311
clearing,1,28,9.752665864509975
rice,1,28,9.752665864509975
heard,3,83,9.735387873078139
from,10,273,9.716139988484862
enough,1,27,9.70019844461584
added,1,27,9.70019844461584
word,1,27,9.70019844461584
gave,1,27,9.70019844461584
nothing,2,53,9.67323139701557
think,1,26,9.645750660593464
way,2,52,9.645750660593464
lost,1,26,9.645750660593464
hear,2,50,9.589167132227095
any,2,50,9.589167132227095
right,1,25,9.589167132227095
things,1,25,9.589167132227095
woman,3,75,9.589167132227095
had,16,392,9.560020786567579
for,18,439,9.553463070545417
the,193,4705,9.55283291280019
came,3,73,9.550173000611231
another,1,24,9.530273443173527
feet,2,48,9.530273443173527
often,1,24,9.530273443173527
me,5,120,9.530273443173527
sudden,1,24,9.530273443173527
at,16,379,9.511364980623462
see,4,94,9.499899794130009
dead,2,47,9.499899794130009
lakamba,4,94,9.499899794130009
angry,1,23,9.468872898509384
are,5,115,9.468872898509384
took,2,46,9.468872898509384
exclaimed,1,22,9.404742561089668
should,2,44,9.404742561089668
look,3,66,9.404742561089668
used,1,22,9.404742561089668
dain,10,218,9.391567172341935
must,3,65,9.38271625475967
malay,2,43,9.37157569715447
mother,2,43,9.37157569715447
died,1,21,9.337628365231131
late,1,21,9.337628365231131
cannot,1,21,9.337628365231131
gone,1,21,9.337628365231131
body,2,42,9.337628365231131
quiet,1,21,9.337628365231131
always,1,21,9.337628365231131
hope,1,21,9.337628365231131
close,2,42,9.337628365231131
not,16,334,9.329015234926423
was,30,626,9.32843919377647
been,4,83,9.320350373799295
you,24,489,9.294039096683449
have,10,203,9.288718764750184
what,7,142,9.287703139899449
more,4,80,9.267239037339733
yet,3,60,9.267239037339733
burning,1,20,9.267239037339733
whispered,1,20,9.267239037339733
trader,1,20,9.267239037339733
listening,1,20,9.267239037339733
statesman,1,20,9.267239037339733
still,2,40,9.267239037339733
logs,1,20,9.267239037339733
officers,1,20,9.267239037339733
your,6,120,9.267239037339733
when,7,137,9.235988103355293
felt,3,58,9.218329436858786
tuan,3,58,9.218329436858786
here,4,77,9.212097483147272
cry,1,19,9.193238455895957
air,1,19,9.193238455895957
joy,1,19,9.193238455895957
thing,1,19,9.193238455895957
