collocation,collocate_count,total_count,MI
over,1,273,13.121234553903129
two,1,195,12.635807726732889
men,1,189,12.59071983720435
face,1,184,12.55203936904029
my,2,360,12.520330509312952
see,1,147,12.228149757819642
hands,1,142,12.178224532487958
her,7,991,12.17386373811216
mrs,2,268,12.09456660344105
tome,1,134,12.09456660344105
night,1,129,12.03970466840653
through,1,127,12.017162099755444
room,1,125,11.994261697645364
go,1,123,11.970991918322518
whole,1,117,11.898842132566681
monygham,1,109,11.796661737760203
dr,1,102,11.700902754954773
down,2,200,11.672333602758002
low,1,93,11.56763622409131
giorgio,1,90,11.520330509312952
linda,1,89,11.504210843949675
along,1,86,11.454742167685374
yes,1,85,11.43786834912098
done,1,85,11.43786834912098
few,1,84,11.420794835762036
wall,1,82,11.38602941760136
side,2,161,11.359394291097894
white,2,160,11.350405507870638
eyes,3,237,11.33225816116038
stood,1,78,11.313879631845525
place,1,78,11.313879631845525
all,8,616,11.295263953678178
gulf,1,77,11.295263953678178
avellanos,1,75,11.257296103479158
word,1,74,11.237930778612226
air,1,74,11.237930778612226
san,2,147,11.228149757819642
they,6,436,11.211699237039047
charles,3,216,11.198402414425589
body,1,72,11.198402414425589
took,1,72,11.198402414425589
new,1,71,11.17822453248796
black,2,142,11.17822453248796
father,2,140,11.157760429928242
near,1,70,11.157760429928242
martin,1,70,11.157760429928242
now,3,209,11.150874044343004
which,7,484,11.139985728200267
amongst,1,69,11.137001869761445
began,1,69,11.137001869761445
short,1,68,11.115940254233616
found,1,68,11.115940254233616
heard,2,135,11.105293010034108
into,6,404,11.101726395013916
its,4,269,11.099939775539902
heart,1,67,11.094566603441049
their,7,468,11.091487210509078
from,13,866,11.086260909568908
man,8,530,11.078325962433839
heavy,1,66,11.07287153234173
lips,1,66,11.07287153234173
out,8,524,11.061900414520727
after,4,260,11.050845226011731
power,1,65,11.050845226011731
already,1,64,11.028477412983277
thought,2,128,11.028477412983277
believe,1,64,11.028477412983277
soul,1,63,11.005757336483194
antonia,2,125,10.994261697645365
