collocation,collocate_count,total_count,MI
before,1,153,12.504422724814358
she,4,600,12.475853572617588
away,1,148,12.456488247750656
tartane,1,148,12.456488247750656
their,1,134,12.313124072579477
your,1,117,12.117399601705111
more,1,114,12.079924896286448
down,2,223,12.047934782042011
arlette,1,109,12.015219206898632
first,1,104,11.9474746002628
don,1,102,11.9194602240932
its,1,102,11.9194602240932
nothing,1,96,11.831997382842863
suddenly,1,96,11.831997382842863
moment,1,94,11.801623733799342
into,2,182,11.754829522320403
looked,1,90,11.73888797845138
off,1,90,11.73888797845138
after,2,179,11.730850659385963
very,3,254,11.650757068172714
life,1,84,11.639352304900466
my,2,167,11.630739174595758
must,1,83,11.622074313468632
ship,1,82,11.604586886739789
round,1,81,11.58688488500633
night,1,81,11.58688488500633
just,1,81,11.58688488500633
people,1,79,11.550815630298809
her,10,774,11.521296543378753
side,1,77,11.513821422816607
let,1,74,11.456488247750656
those,1,74,11.456488247750656
day,1,72,11.416959883564017
go,2,141,11.386586234520498
bolt,1,68,11.334497723372046
house,1,68,11.334497723372046
little,2,136,11.334497723372046
once,1,68,11.334497723372046
thing,1,68,11.334497723372046
woman,1,66,11.291429001480159
right,1,66,11.291429001480159
catherine,2,129,11.25826213754496
made,2,128,11.247034882121707
michel,2,128,11.247034882121707
thought,2,128,11.247034882121707
far,1,62,11.20123119250858
because,1,61,11.177772219684591
toulon,1,61,11.177772219684591
be,6,356,11.137805812366947
make,1,59,11.129677931483547
did,3,176,11.121504000037847
knew,1,58,11.105015877249278
look,2,116,11.105015877249278
at,11,635,11.098216045143937
where,2,115,11.09252493306608
than,2,114,11.079924896286448
were,4,224,11.05438980417931
lieutenant,4,224,11.05438980417931
yet,1,55,11.028394595646365
as,11,598,11.011604937682513
may,1,54,11.001922384285173
can,2,106,10.974955336684905
some,3,157,10.956693130292177
back,3,157,10.956693130292177
eyes,3,156,10.947474600262797
his,28,1448,10.939525847147307
if,5,258,10.936334042657597
feet,1,51,10.919460224093202
sat,1,51,10.919460224093202
stood,1,51,10.919460224093202
up,7,352,10.8991115787014
found,1,50,10.89089107189643
coast,1,50,10.89089107189643
t,7,347,10.878471812642362
and,43,2121,10.871299032950162
along,1,49,10.861744726236914
kitchen,1,49,10.861744726236914
gone,1,49,10.861744726236914
half,1,49,10.861744726236914
he,41,1983,10.84295183973247
perhaps,1,47,10.801623733799344
in,31,1456,10.800633211933526
you,19,890,10.79676889453188
over,3,139,10.781013454124057
him,12,555,10.778416342638018
low,1,46,10.770596838178719
land,1,46,10.770596838178719
them,3,138,10.770596838178719
we,2,91,10.754829522320403
it,20,910,10.754829522320403
only,4,179,10.730850659385963
on,21,930,10.71580436533834
another,1,44,10.706466500759003
looking,2,88,10.706466500759003
out,6,263,10.700991370692853
not,13,567,10.693800088922842
under,2,87,10.689978377970435
voice,2,87,10.689978377970435
which,7,304,10.687607473507686
also,1,43,10.673299636823804
remained,1,42,10.639352304900466
so,4,167,10.630739174595757
me,6,249,10.62207431346863
hand,2,83,10.62207431346863
said,8,330,10.61335709636752
could,7,288,10.609604961506413
within,1,41,10.604586886739789
do,4,164,10.604586886739789
dark,1,41,10.604586886739789
behind,1,41,10.604586886739789
would,8,326,10.595763036352784
there,10,407,10.59399177150059
then,5,203,10.59044270441952
they,5,202,10.583318269986139
been,9,363,10.580935618675143
himself,6,241,10.574961717630512
should,1,40,10.568962977009068
quite,1,40,10.568962977009068
board,2,80,10.568962977009068
am,2,80,10.568962977009068
peyrol,21,833,10.556890144708493
began,1,39,10.532437100983953
death,1,39,10.532437100983953
asked,2,78,10.532437100983953
part,1,39,10.532437100983953
say,2,78,10.532437100983953
went,3,116,10.520053376528121
got,3,115,10.507562432344924
wall,1,38,10.494962395565292
seemed,3,114,10.494962395565292
the,143,5429,10.493634313872601
head,6,227,10.488620868691465
think,2,75,10.475853572617586
know,4,150,10.475853572617586
come,3,111,10.456488247750656
about,5,185,10.456488247750656
above,1,37,10.456488247750656
men,2,74,10.456488247750656
of,77,2794,10.428364646836268
outside,1,36,10.416959883564019
since,1,36,10.416959883564019
cove,1,36,10.416959883564019
all,11,395,10.413312106548872
to,66,2338,10.393699977294908
had,32,1124,10.381461202342631
tell,2,70,10.376317899066672
scevola,3,105,10.376317899066672
while,3,104,10.362512099541641
will,5,173,10.359735014871069
this,9,310,10.353234285953631
i,27,920,10.337637430902612
work,1,34,10.334497723372046
oh,1,34,10.334497723372046
smile,1,34,10.334497723372046
