collocation,collocate_count,total_count,MI
which,1,357,14.065265869493338
then,1,304,13.833413118907822
they,1,280,13.714768622409203
girl,1,204,13.25791094743573
must,1,189,13.147728029685311
amadis,1,183,13.10118544374828
just,1,181,13.085331492547443
its,1,180,13.077338701793913
see,1,174,13.028429101312966
much,1,168,12.977803028242997
time,1,157,12.880106354355863
down,1,156,12.870887824326484
little,3,441,12.7851579503006
briar,1,142,12.735232724968919
we,2,283,12.73014384829612
answered,1,138,12.694010062242405
have,5,649,12.605632178576014
might,1,126,12.562765528964153
more,2,251,12.55702915941501
ve,1,125,12.551269890126324
last,1,123,12.528000110803479
leigh,1,123,12.528000110803479
too,1,123,12.528000110803479
came,1,120,12.492376201072755
head,1,119,12.48030336877218
were,3,351,12.455850325047642
heart,1,110,12.366845318988895
dad,1,109,12.353669930241164
farm,2,216,12.340373107627705
off,1,107,12.326952591865382
back,1,107,12.326952591865382
me,7,739,12.307561237552784
through,1,105,12.299731123130359
child,2,205,12.264965704969685
at,7,717,12.263959992108537
house,1,102,12.257910947435734
when,3,300,12.229341795238962
priscilla,2,200,12.229341795238962
her,24,2379,12.216662661168217
so,5,493,12.209001346954786
before,1,98,12.200195449579446
miss,2,196,12.200195449579446
all,7,660,12.144452897652448
gave,1,92,12.109047561521251
my,5,459,12.105907853990683
want,1,91,12.093280245662934
your,4,362,12.085331492547441
know,3,271,12.082672146096952
many,1,90,12.077338701793913
m,2,179,12.069301382728494
over,2,176,12.044917224101535
care,1,87,12.028429101312966
went,2,169,11.98636504174642
she,29,2422,11.969487760030994
come,2,167,11.96918989793829
robin,4,330,11.951807819710053
him,8,634,11.893824635603645
white,1,78,11.870887824326484
first,1,78,11.870887824326484
still,1,78,11.870887824326484
father,1,78,11.870887824326484
most,1,77,11.85227214615914
people,1,77,11.85227214615914
innocent,6,457,11.83657345980115
nothing,2,152,11.833413118907822
did,2,152,11.833413118907822
de,1,76,11.833413118907822
think,3,228,11.833413118907822
their,2,150,11.814304295960119
turned,1,75,11.814304295960119
voice,1,74,11.794938971093186
no,7,513,11.780945699013687
smile,1,73,11.775310164344255
heard,1,73,11.775310164344255
own,4,290,11.765394695479172
sweet,1,72,11.75541060690655
true,1,70,11.714768622409203
better,1,70,11.714768622409203
will,5,346,11.698185738213601
i,36,2457,11.678242746384088
years,1,68,11.672948446714576
be,11,747,11.671018419616177
out,4,271,11.66763464681811
say,2,135,11.662301202515067
some,3,202,11.658734587494877
together,1,67,11.651574795922008
it,25,1672,11.648988547770395
what,6,401,11.647981531197999
rose,1,66,11.62987972482269
sudden,1,66,11.62987972482269
into,3,195,11.60785341849269
and,74,4676,11.567091454366944
wife,1,63,11.562765528964153
talk,1,63,11.562765528964153
make,2,125,11.551269890126324
you,38,2360,11.542129236269854
life,3,186,11.539681915851112
open,1,62,11.539681915851112
am,3,185,11.531904565259392
had,15,923,11.528781847501492
would,7,430,11.526323532996093
small,1,60,11.492376201072755
till,1,60,11.492376201072755
not,14,834,11.482034256851296
really,1,59,11.468128654826078
cannot,1,59,11.468128654826078
being,1,59,11.468128654826078
far,1,59,11.468128654826078
mean,1,59,11.468128654826078
air,1,59,11.468128654826078
other,2,118,11.468128654826078
slowly,1,59,11.468128654826078
arms,1,58,11.44346660059181
yet,2,116,11.44346660059181
sat,1,58,11.44346660059181
tell,2,115,11.430975656408613
trouble,1,57,11.418375619628979
knight,1,57,11.418375619628979
said,11,625,11.41376636637639
if,7,395,11.4038395264711
live,1,56,11.392840527521841
been,5,279,11.387678822406063
now,5,278,11.382498583300382
always,2,111,11.379901471814343
why,2,111,11.379901471814343
but,13,720,11.37689898365282
his,20,1102,11.369466019148032
in,33,1818,11.36922797029989
read,1,55,11.366845318988895
look,2,109,11.353669930241164
pale,1,54,11.340373107627705
less,1,54,11.340373107627705
our,1,53,11.313406060027436
could,5,265,11.313406060027436
understand,1,53,11.313406060027436
love,5,264,11.307951629935328
long,3,156,11.28592532360533
found,1,52,11.28592532360533
re,2,103,11.271986132647454
fair,1,51,11.257910947435732
them,4,204,11.257910947435732
about,5,251,11.235101064527646
eyes,5,250,11.22934179523896
poor,2,100,11.22934179523896
right,2,100,11.22934179523896
there,8,398,11.222110226007885
that,25,1240,11.217753820963749
though,3,147,11.200195449579445
suppose,1,49,11.200195449579445
children,1,49,11.200195449579445
dear,3,147,11.200195449579445
do,7,341,11.191758612430807
up,7,340,11.187521619544334
for,21,1020,11.187521619544334
seemed,2,97,11.185398447651364
yes,4,192,11.170448106185393
from,8,384,11.170448106185393
spoke,1,48,11.170448106185393
ll,4,191,11.162914433499985
blythe,3,142,11.150270224247762
let,2,94,11.140074457141875
gently,1,47,11.140074457141875
new,1,47,11.140074457141875
again,3,140,11.129806121688047
room,2,93,11.124644416572268
almost,2,93,11.124644416572268
clifford,2,92,11.10904756152125
friend,1,46,11.10904756152125
country,1,46,11.10904756152125
hardly,1,46,11.10904756152125
looked,5,228,11.096447524741615
has,3,136,11.08798594599342
to,66,2975,11.079765439188451
man,6,270,11.077338701793911
something,2,90,11.077338701793911
beautiful,1,45,11.077338701793911
towards,1,45,11.077338701793911
does,1,45,11.077338701793911
way,4,177,11.053091155547234
than,5,221,11.051460069968305
speak,1,44,11.044917224101534
quiet,1,44,11.044917224101534
without,2,88,11.044917224101534
arm,1,44,11.044917224101534
jocelyn,5,218,11.0317418353538
hand,4,174,11.028429101312966
face,4,172,11.011750360166335
smiled,2,86,11.011750360166335
of,79,3387,11.00749712878129
round,2,85,10.994876541601938
place,2,85,10.994876541601938
don,5,211,10.98465669928406
side,1,42,10.977803028242997
er,1,42,10.977803028242997
are,10,418,10.970916642657757
great,3,125,10.966307389405166
words,1,41,10.94303761008232
expression,1,41,10.94303761008232
day,3,123,10.94303761008232
like,9,367,10.935196856865138
dark,1,40,10.907413700351599
hard,1,40,10.907413700351599
lord,2,80,10.907413700351599
half,2,80,10.907413700351599
lost,1,40,10.907413700351599
well,6,236,10.883166154104922
how,4,157,10.880106354355863
or,10,392,10.878267354692083
t,13,508,10.87373057409531
away,5,195,10.870887824326486
famous,1,39,10.870887824326486
secret,1,39,10.870887824326486
took,2,78,10.870887824326486
work,3,116,10.858504099870652
with,30,1157,10.854768158963209
sure,2,77,10.852272146159137
moment,3,115,10.846013155687457
very,9,342,10.833413118907822
leave,1,38,10.833413118907822
glad,1,38,10.833413118907822
where,4,151,10.823890344789316
this,9,339,10.820702067158269
as,27,1000,10.796382387962856
left,3,111,10.794938971093186
fact,1,37,10.794938971093186
kissed,1,37,10.794938971093186
same,2,73,10.775310164344255
go,4,144,10.75541060690655
made,5,180,10.75541060690655
put,3,108,10.75541060690655
surely,1,36,10.75541060690655
author,1,36,10.75541060690655
whom,1,36,10.75541060690655
on,19,677,10.740570115595647
the,148,5231,10.728903294513282
mr,3,106,10.72844355930628
he,59,2082,10.726596909401811
brilliant,1,35,10.714768622409203
never,8,275,10.688773413876259
exclaimed,1,34,10.672948446714576
art,1,34,10.672948446714576
thoughts,1,34,10.672948446714576
talking,1,34,10.672948446714576
going,2,67,10.65157479592201
name,5,167,10.647261803050926
good,8,266,10.640768040965426
die,1,33,10.62987972482269
got,2,66,10.62987972482269
light,2,66,10.62987972482269
world,5,163,10.612285664807953
alone,2,65,10.607853418492692
god,2,65,10.607853418492692
here,5,162,10.6034075134615
after,3,97,10.600435946930208
taking,1,32,10.585485605464237
certain,1,32,10.585485605464237
should,6,187,10.547417564630718
kind,3,93,10.539681915851112
ever,5,151,10.501962249901954
self,1,30,10.492376201072755
write,1,30,10.492376201072755
hugo,2,60,10.492376201072755
farmer,2,60,10.492376201072755
e,1,30,10.492376201072755
one,15,445,10.476256535709478
can,8,236,10.468128654826078
cold,2,59,10.468128654826078
may,4,117,10.455850325047642
pity,1,29,10.443466600591808
chance,1,29,10.443466600591808
thing,3,86,10.426787859445177
laughed,3,84,10.392840527521841
hope,2,56,10.392840527521841
ned,1,28,10.392840527521841
easy,1,28,10.392840527521841
was,49,1358,10.37804352559376
find,2,55,10.366845318988895
such,6,163,10.349251258974158
sometimes,1,27,10.340373107627705
pleasure,1,27,10.340373107627705
shook,1,27,10.340373107627705
ain,1,27,10.340373107627705
lightly,1,27,10.340373107627705
knew,4,108,10.340373107627705
use,1,27,10.340373107627705
best,3,80,10.322451199630443
hair,2,53,10.313406060027436
felt,2,53,10.313406060027436
by,17,450,10.311803955430934
reading,1,26,10.28592532360533
marriage,1,26,10.28592532360533
become,1,26,10.28592532360533
thinking,1,26,10.28592532360533
none,1,26,10.28592532360533
rather,3,78,10.28592532360533
myself,2,52,10.28592532360533
thus,1,26,10.28592532360533
bayliss,1,26,10.28592532360533
touch,1,26,10.28592532360533
cruel,1,26,10.28592532360533
