collocation,collocate_count,total_count,MI
your,1,394,15.377355810243813
so,1,375,15.30605077617068
one,1,360,15.247157087117111
me,3,1011,15.151908771969294
were,1,314,15.049924739679062
him,1,313,15.045322837720056
heliobas,1,276,14.863828447565604
my,4,913,14.58977504077166
then,1,201,14.406355681966364
you,8,1516,14.321358028958528
some,1,186,14.294462801895468
has,1,179,14.239119768051692
been,1,178,14.231037421753834
have,3,526,14.209260479358582
her,3,514,14.175966039260159
on,3,509,14.161863336141975
not,4,669,14.141166391428898
i,19,3028,14.071525967329583
what,2,318,14.06818694607179
could,1,158,14.05908473896454
all,3,467,14.037620229775943
we,2,311,14.036074760918039
shall,1,150,13.984122681283317
little,1,149,13.9744725112496
be,4,586,13.950060845209686
will,3,433,13.928564704793006
our,1,143,13.915175327565825
she,3,421,13.888017913132677
it,8,1122,13.887160951396229
at,4,545,13.845416410451726
these,1,135,13.83211958783827
this,3,399,13.810586426288625
myself,1,131,13.788726992324886
for,6,766,13.751542071991238
other,1,126,13.732583914287353
through,1,124,13.709500301174312
before,1,123,13.697818496126677
are,4,488,13.686041328350324
to,22,2666,13.676333437239112
any,1,121,13.67416722806203
did,1,119,13.65012175409538
by,4,472,13.637947040149276
no,3,353,13.63386586333746
those,1,116,13.613284985915008
the,39,4519,13.611689613596191
hand,1,112,13.562658912845041
or,3,332,13.545380921413207
with,8,876,13.530091050388611
why,1,109,13.523488315564363
prince,1,107,13.496770977188584
in,16,1669,13.460072230150036
come,1,103,13.441804517970654
being,1,103,13.441804517970654
would,2,206,13.441804517970654
most,1,102,13.427729332758933
but,6,569,13.322626332372861
much,1,91,13.263098630986132
do,3,270,13.247157087117111
and,41,3681,13.243634020553415
made,1,89,13.231037421753834
its,2,176,13.214735609424734
very,2,175,13.206515102619765
down,1,84,13.147621413566196
ivan,1,84,13.147621413566196
like,3,250,13.136125774728367
more,3,249,13.130343422134361
had,6,486,13.095153993672062
always,1,80,13.077232085674797
while,1,79,13.05908473896454
of,42,3251,13.029654408699033
day,1,77,13.022090531482338
us,2,154,13.022090531482338
also,1,77,13.022090531482338
words,1,76,13.003231504231021
force,1,76,13.003231504231021
is,12,901,12.98572478587982
tell,1,75,12.984122681283317
looked,2,149,12.9744725112496
