collocation,collocate_count,total_count,MI
their,1,315,13.97531574850459
myself,1,276,13.784632186895479
little,1,228,13.508997744282052
about,1,225,13.489888921334346
us,1,211,13.397206918824494
she,5,989,13.304006345989059
shall,1,182,13.183902370316007
mavis,1,170,13.085498666255013
again,1,169,13.076987166399494
way,1,160,12.998035825004672
which,3,466,12.955331374050434
lady,1,153,12.933495572809962
these,1,152,12.924035243560896
her,8,1208,12.91451246944239
eyes,2,296,12.88556109574626
your,4,570,12.830925839169415
look,1,141,12.815659082516104
back,1,139,12.795048802840817
sibyl,2,275,12.779395538529334
after,1,137,12.774139813077836
once,1,134,12.742196920575081
all,6,794,12.724140426539112
upon,2,262,12.70953073165476
some,2,261,12.704013726687194
geoffrey,1,127,12.664792416889476
room,1,126,12.653387653617227
come,1,124,12.630304040504186
something,1,124,12.630304040504186
believe,1,122,12.606845067680196
two,1,121,12.594970967391905
last,1,119,12.570925493425253
just,1,117,12.546472449700715
let,1,115,12.521597781061685
book,1,113,12.496286692532498
long,1,112,12.483462652174913
people,1,112,12.483462652174913
course,1,111,12.470523596467416
night,1,110,12.45746744364197
they,4,439,12.454184859652669
while,1,108,12.43099523228078
answered,1,108,12.43099523228078
lucio,3,324,12.43099523228078
laughed,1,107,12.417574716518459
rimânez,1,104,12.376547448258403
strange,1,104,12.376547448258403
at,10,998,12.317075640567209
our,2,197,12.298159549573686
time,2,195,12.283438043866921
down,2,195,12.283438043866921
did,2,194,12.27602057230444
beautiful,1,97,12.27602057230444
give,1,96,12.261070230838467
from,5,480,12.261070230838467
world,2,191,12.25353655815306
prince,1,95,12.245963338448258
dear,1,94,12.230696581794946
over,2,186,12.215266541225343
up,3,278,12.210086302119663
though,2,177,12.14371328020031
suddenly,1,88,12.135539348754609
really,1,87,12.11905122596604
me,19,1630,12.098836465792166
on,10,857,12.097331029342449
same,1,85,12.085498666255013
been,3,250,12.056929514058242
find,1,83,12.051147161464236
self,1,82,12.033659734735394
into,3,245,12.027783168398726
before,2,163,12.024835884348388
and,72,5865,12.02409812159087
my,24,1950,12.020403638033127
white,1,80,11.998035825004672
then,4,320,11.998035825004672
it,24,1884,11.970728479008937
hand,2,157,11.970728479008937
far,1,77,11.942894270812213
perhaps,1,75,11.904926420613192
turned,1,75,11.904926420613192
great,2,149,11.895276250579471
nature,1,74,11.88556109574626
under,1,74,11.88556109574626
yourself,1,73,11.865932288997328
mine,1,73,11.865932288997328
could,4,291,11.860983073025594
head,1,72,11.846032731559623
said,8,574,11.841014656792998
replied,1,71,11.825854849621992
hands,1,71,11.825854849621992
feel,1,70,11.805390747062276
well,4,277,11.789849896166498
yet,3,207,11.784632186895479
heaven,1,69,11.784632186895479
must,3,205,11.7706253289016
were,7,478,11.769619616040456
you,37,2518,11.764716932207378
face,3,204,11.76357057136765
there,6,408,11.76357057136765
both,1,67,11.742196920575081
among,1,66,11.720501849475763
smile,2,132,11.720501849475763
what,8,524,11.70953073165476
not,19,1241,11.70546761680408
do,8,521,11.701247292395818
care,1,65,11.698475543145763
wonder,1,65,11.698475543145763
most,3,190,11.661000837727101
with,25,1581,11.658873192700955
them,5,311,11.63495040536055
be,14,861,11.61862223545655
by,10,615,11.61862223545655
rose,1,61,11.606845067680196
day,3,183,11.606845067680196
figure,1,61,11.606845067680196
without,2,121,11.594970967391905
more,6,359,11.578985263219206
say,3,177,11.558750779479151
somewhat,1,59,11.558750779479151
why,3,176,11.550576848033451
had,15,871,11.535746043107656
knew,2,115,11.521597781061686
i,97,5571,11.51991548858676
between,1,57,11.508997744282052
thoughts,1,57,11.508997744282052
made,3,170,11.500536165533857
moved,1,56,11.483462652174914
together,1,56,11.483462652174914
so,10,559,11.480884108073138
have,16,893,11.478624095238533
take,2,111,11.470523596467416
going,1,55,11.457467443641969
fellow,1,55,11.457467443641969
of,94,5118,11.44288331047912
exclaimed,1,54,11.430995232280779
everything,1,54,11.430995232280779
mean,1,52,11.376547448258403
sudden,1,52,11.376547448258403
herself,1,52,11.376547448258403
write,1,52,11.376547448258403
to,77,3995,11.373300977237749
was,29,1490,11.359223350339262
side,1,51,11.348533072088806
next,1,51,11.348533072088806
society,2,101,11.334319212869104
are,14,707,11.334319212869104
might,2,101,11.334319212869104
thought,3,151,11.329549968721233
mere,1,50,11.319963919892034
would,8,396,11.305464350196921
we,9,444,11.300598595025104
set,1,49,11.290817574232518
whole,1,49,11.290817574232518
things,2,98,11.290817574232518
many,3,146,11.280969788276172
voice,2,97,11.27602057230444
know,6,290,11.271054319411089
or,12,577,11.263572738041637
merely,1,48,11.261070230838467
high,1,48,11.261070230838467
other,3,143,11.251016566174544
too,4,190,11.24596333844826
feeling,1,47,11.230696581794948
men,4,187,11.223002190004948
does,2,92,11.199669686174323
held,1,46,11.199669686174323
arm,1,46,11.199669686174323
if,11,499,11.179572116817274
as,37,1671,11.173150382549547
author,1,45,11.167960826446986
lost,1,45,11.167960826446986
wife,2,90,11.167960826446986
that,39,1747,11.161369404171822
now,8,357,11.15588799414641
the,164,7273,11.146890586461042
still,3,133,11.146427664897343
in,61,2666,11.125831457643397
when,8,348,11.11905122596604
only,6,260,11.113513042424609
suppose,1,43,11.102372484819409
curious,1,43,11.102372484819409
how,4,172,11.102372484819409
pure,1,43,11.102372484819409
sat,1,43,11.102372484819409
am,8,341,11.089735659141484
