collocation,collocate_count,total_count,MI
miss,1,574,15.011812352062949
our,1,459,14.689255768801068
day,1,448,14.654260347444865
did,1,416,14.547345143528354
its,1,345,14.277357977052793
own,1,314,14.141526174278887
put,1,284,13.996652544891942
something,1,255,13.84125886224612
girl,1,250,13.812689710049348
smallweed,1,245,13.783543364389832
her,11,2669,13.769557396891932
right,1,239,13.74777223336801
she,8,1887,13.728784132987705
child,1,221,13.634807984778694
time,3,663,13.634807984778694
having,1,217,13.60845665783174
go,2,428,13.58837241178841
half,1,212,13.57482587995046
hands,1,210,13.561150943053383
jo,1,207,13.540392382886585
ada,2,409,13.52286245832901
those,1,202,13.505116908139055
court,1,199,13.48353004593091
heard,1,196,13.46161526950247
looks,1,193,13.439362462655343
nothing,2,371,13.382180802008063
morning,1,182,13.354700065585957
dedlock,2,355,13.318580639779306
thing,1,172,13.273170180089359
could,4,684,13.26475794027316
think,3,504,13.23922284816602
case,1,166,13.221944856734186
three,1,166,13.221944856734186
table,1,166,13.221944856734186
course,1,162,13.186755428271885
back,2,323,13.182295780081185
though,2,320,13.168833520274623
asked,1,158,13.150686173564363
still,2,310,13.1230298306615
things,1,154,13.113691966082163
woodcourt,1,152,13.094832938830846
part,1,152,13.094832938830846
money,1,150,13.075724115883142
going,2,294,13.046577770223625
hand,3,440,13.043302638190765
they,6,879,13.041662279809508
eyes,2,293,13.041662279809508
against,1,144,13.016830426829573
father,1,144,13.016830426829573
always,2,285,13.001723534439366
should,4,562,12.981331745608188
guardian,3,421,12.979619347732502
many,2,280,12.976188442332226
next,1,139,12.965846498110768
voice,1,139,12.965846498110768
together,1,137,12.944937508347786
since,1,136,12.9343682666376
mrs,5,676,12.925856766782083
don,5,671,12.915146286700082
will,6,804,12.912994615845033
richard,4,534,12.907601357074814
while,2,267,12.907601357074814
night,3,391,12.872967721973458
side,1,130,12.869273238415714
were,7,905,12.861324485300225
rouncewell,1,129,12.858132680810513
charley,2,258,12.858132680810513
leave,1,128,12.84690542538726
sat,1,125,12.812689710049348
room,3,373,12.804974744921344
lady,6,739,12.791373478812256
near,1,122,12.777642762950146
snagsby,3,364,12.769737564864801
home,2,240,12.753796020995779
almost,1,118,12.729548474749102
hour,1,117,12.717270144970666
us,5,581,12.707371683904427
open,1,116,12.704886420514832
over,4,462,12.698654466803319
done,2,231,12.698654466803319
thought,3,346,12.69657115230283
making,1,115,12.692395476331635
gave,1,115,12.692395476331635
some,5,571,12.682324265862743
ask,1,113,12.667084387802449
never,6,676,12.662822360948288
ever,3,336,12.654260347444866
taken,1,111,12.641321291737366
saw,2,221,12.634807984778693
after,4,422,12.568004614094445
through,3,316,12.565723672843207
too,4,419,12.557711859086613
sure,2,208,12.547345143528354
chesney,1,104,12.547345143528354
general,1,104,12.547345143528354
cannot,1,104,12.547345143528354
it,53,5469,12.536046317584354
help,1,103,12.53340595257048
children,1,103,12.53340595257048
turned,1,102,12.519330767358758
chadband,1,102,12.519330767358758
jellyby,2,203,12.512241342572436
because,2,203,12.512241342572436
ma,1,101,12.505116908139055
within,1,101,12.505116908139055
been,10,1006,12.499391920305426
left,2,201,12.49795711656619
even,3,301,12.495562601425808
all,15,1500,12.490761615161986
my,37,3688,12.48607500018765
give,2,199,12.48353004593091
once,2,198,12.47626204546687
dinner,1,99,12.47626204546687
seemed,2,196,12.46161526950247
me,25,2441,12.45630581539369
volumnia,1,97,12.44681826757439
ill,1,97,12.44681826757439
stood,1,95,12.416761033718208
really,2,190,12.416761033718208
great,5,470,12.401494277064897
along,1,94,12.401494277064897
cried,1,94,12.401494277064897
way,5,470,12.401494277064897
face,4,375,12.397652210770502
seen,2,187,12.393799885274897
phil,1,93,12.386064236495294
country,1,93,12.386064236495294
sort,1,92,12.370467381444275
used,1,92,12.370467381444275
yet,3,276,12.370467381444275
people,2,180,12.338758521716937
gentlemen,1,90,12.338758521716937
again,6,539,12.336084387418609
true,1,89,12.32263885635366
but,23,2047,12.32263885635366
dear,8,709,12.316547242626779
much,7,620,12.315674908603896
enough,2,176,12.30633704402456
nor,1,88,12.30633704402456
i,109,9486,12.29030525368986
himself,4,348,12.28984892123599
or,12,1041,12.285697277965522
house,5,433,12.283200545226622
object,1,86,12.273170180089359
family,2,171,12.26475794027316
allan,1,85,12.256296361524964
quite,5,424,12.252897785063098
mentioned,1,84,12.23922284816602
turveydrop,1,84,12.23922284816602
manner,3,250,12.227727209328192
away,4,333,12.226283792458524
them,8,664,12.221944856734186
into,9,745,12.218077039294473
perhaps,2,165,12.213227639633077
can,8,659,12.211040080395312
when,15,1235,12.210310156250783
letters,1,82,12.204457430005345
bright,1,82,12.204457430005345
one,12,974,12.189720886748448
and,159,12739,12.170986881433024
brother,1,80,12.168833520274623
would,11,879,12.167193161893369
made,5,399,12.165222266722244
came,4,319,12.164318039152132
do,13,1032,12.157692962669422
jarndyce,6,470,12.138459871231102
thinking,1,78,12.132307644249508
honour,1,78,12.132307644249508
circumstances,1,78,12.132307644249508
baronet,1,78,12.132307644249508
idea,1,78,12.132307644249508
on,27,2078,12.112997862128003
before,7,538,12.11101286588628
better,4,307,12.10900027075744
down,8,610,12.09957085783751
tom,1,76,12.094832938830846
darling,1,75,12.075724115883142
ready,1,75,12.075724115883142
being,7,520,12.06191831635811
each,1,74,12.05635879101621
jobling,1,74,12.05635879101621
last,4,295,12.051476569636465
look,5,368,12.048539286556911
we,18,1317,12.040020054201461
afraid,1,73,12.036729984267279
able,1,73,12.036729984267279
natural,1,73,12.036729984267279
there,17,1236,12.030905612041296
as,42,3030,12.019690080968815
spoke,1,72,12.016830426829573
times,2,144,12.016830426829573
tony,1,72,12.016830426829573
rather,2,143,12.00677676216565
hundred,1,71,11.996652544891942
em,1,71,11.996652544891942
off,4,283,11.991563668219143
by,21,1475,11.981087241745067
tears,1,70,11.976188442332226
under,3,210,11.976188442332226
live,1,70,11.976188442332226
hat,1,70,11.976188442332226
attention,1,70,11.976188442332226
writing,1,70,11.976188442332226
had,30,2097,11.974125975875333
in,90,6283,11.97229019380369
myself,5,349,11.97206055670955
for,35,2441,11.970878988223447
was,48,3317,11.957606221454126
pray,1,69,11.95542988216543
shut,1,69,11.95542988216543
lay,1,69,11.95542988216543
mr,45,3094,11.95030981050662
have,32,2194,11.946253235790453
how,8,548,11.944937508347786
