collocation,collocate_count,total_count,MI
she,1,920,15.72482327320418
then,1,438,14.654120281860978
they,1,384,14.464295722980962
herbert,1,313,14.169352069192422
her,4,1172,14.074090076682053
go,1,261,13.90723921882969
going,1,241,13.792222558489767
day,1,220,13.660692935784464
night,1,213,13.614042842485642
first,1,201,13.530384913438734
time,2,374,13.426227682147442
little,2,371,13.414608598880607
down,2,370,13.410714682776117
hands,1,182,13.387127862458502
room,1,181,13.37917910934301
their,1,175,13.330544334092133
always,1,173,13.31396144989653
sister,1,170,13.288724158397505
yes,1,167,13.263037514733858
ll,1,167,13.263037514733858
into,3,492,13.236885226877888
mrs,1,164,13.236885226877888
get,1,154,13.146119762954704
tell,1,151,13.117737961584883
door,1,148,13.088786587888755
fire,1,145,13.05924231227474
went,2,290,13.05924231227474
left,1,142,13.029080341764487
seemed,1,142,13.029080341764487
these,1,141,13.018884574658598
though,1,141,13.018884574658598
told,1,140,13.008616239204772
by,6,813,12.961482263613677
estella,2,270,12.956148819310636
felt,1,134,12.945422412717576
both,1,133,12.934615657760995
over,2,258,12.890560477683058
one,4,512,12.879333222259804
through,1,126,12.856613145759722
those,1,125,12.845117506921893
why,1,123,12.821847727599044
put,2,246,12.821847727599044
all,6,737,12.819891530633718
them,3,368,12.817932677595662
name,1,121,12.798196459534399
it,24,2794,12.74248702694811
were,7,794,12.704973497345158
side,1,113,12.699512184674992
we,7,774,12.668168056346609
when,8,882,12.663968067817326
my,19,2070,12.646820761202905
some,3,325,12.638666629454464
about,3,320,12.61629881642601
whether,1,106,12.607253676823003
havisham,3,318,12.607253676823003
dear,2,209,12.586692354340688
look,2,206,12.565833749443021
soon,1,103,12.565833749443021
air,1,103,12.565833749443021
shall,1,102,12.5517585642313
so,8,795,12.514144272431523
must,2,198,12.508689842339415
i,69,6667,12.473630777258663
at,17,1639,12.470470520108924
off,2,186,12.418492033367835
manner,1,93,12.418492033367835
last,2,185,12.410714682776115
house,2,185,12.410714682776115
times,1,92,12.402895178316816
do,5,458,12.396608915469386
many,1,91,12.387127862458502
again,4,359,12.367173256082856
being,3,265,12.344219270989209
turned,1,87,12.322276718108535
for,16,1385,12.315003483196357
long,2,173,12.31396144989653
pip,4,341,12.292961151283977
two,3,255,12.288724158397505
on,17,1421,12.264561220252247
him,14,1151,12.24065041833443
against,1,82,12.236885226877888
pumblechook,2,163,12.228061376490881
took,3,243,12.21918322514443
mind,2,160,12.201261317147168
make,2,160,12.201261317147168
and,89,7099,12.196999889777226
thought,3,238,12.189188484846593
never,4,315,12.178541240647084
without,2,157,12.173953971151432
came,3,235,12.170887668103648
myself,3,235,12.170887668103648
which,7,548,12.170010383162728
case,1,78,12.164735441122053
still,2,156,12.164735441122053
head,3,232,12.152351716666221
miss,5,383,12.1386057092974
been,8,609,12.129631640166139
there,10,741,12.090734859678276
found,2,147,12.07900556709617
lay,1,73,12.069157781139824
mean,1,73,12.069157781139824
under,2,146,12.069157781139824
me,28,1998,12.03631916799462
enough,1,71,12.029080341764487
stopped,1,70,12.008616239204772
provis,1,70,12.008616239204772
way,4,276,11.987857679037974
are,4,274,11.977365305220331
let,2,136,11.966796063510145
you,34,2312,11.966796063510145
us,4,266,11.934615657760995
to,78,5156,11.925967551759209
present,1,66,11.923727341618259
out,12,790,11.920079564603114
as,27,1774,11.917236014397401
if,12,781,11.903549459680628
replied,1,65,11.901701035288259
now,7,453,11.895345540248435
something,2,129,11.890560477683058
good,4,257,11.884957771453683
too,3,192,11.879333222259804
sure,1,64,11.879333222259804
work,1,64,11.879333222259804
up,10,636,11.870288082656797
come,6,374,11.841265181426285
much,5,311,11.838175897503046
before,5,309,11.828868155276815
had,34,2093,11.823226977265174
upon,6,366,11.810070559822691
stood,2,122,11.810070559822691
did,5,304,11.805332640816028
of,73,4435,11.804227052568214
have,18,1086,11.794216608621856
round,3,181,11.794216608621856
think,4,241,11.792222558489767
say,5,301,11.791024804132144
made,5,300,11.786223817868322
until,2,120,11.786223817868322
coach,1,60,11.786223817868322
would,10,599,11.783817320161228
after,5,292,11.74722968625246
should,6,350,11.745581833370977
in,52,3029,11.743519366914084
stairs,1,58,11.737314217387377
from,10,579,11.734824665361678
joe,13,747,11.723857936907951
within,1,57,11.712223236424547
appeared,1,57,11.712223236424547
gone,2,114,11.712223236424547
very,7,398,11.70860292074585
wemmick,5,284,11.707152246877126
or,10,566,11.702063370204325
answered,1,56,11.686688144317408
guardian,1,56,11.686688144317408
call,1,56,11.686688144317408
heard,2,112,11.686688144317408
point,1,56,11.686688144317408
ain,1,56,11.686688144317408
help,1,56,11.686688144317408
may,3,167,11.678075014012702
your,7,388,11.67189114238933
fell,1,55,11.660692935784464
face,3,165,11.660692935784464
like,6,327,11.647517547036731
looked,6,325,11.638666629454464
hand,5,270,11.634220724423272
gave,2,107,11.62080020866095
done,4,212,11.607253676823003
