collocation,collocate_count,total_count,MI
their,1,301,13.587124300576995
man,2,397,12.986499820960253
only,1,193,12.945961661085375
made,1,187,12.900399083704933
which,5,889,12.827616137759703
first,1,169,12.754384060099481
all,4,611,12.608533193636024
take,1,147,12.55317696865366
oliver,6,876,12.543329182697311
once,1,142,12.503251743321979
its,1,136,12.440967465067637
may,1,129,12.36473187924055
left,1,128,12.353504623817296
place,1,128,12.353504623817296
through,1,126,12.330784547317212
well,2,245,12.290142562819867
even,1,122,12.284241961380182
most,1,120,12.260395219425813
into,4,464,12.211485618944868
life,1,114,12.186394637982037
after,2,225,12.167285815034333
gentleman,3,337,12.165146904277998
took,1,112,12.1608595458749
few,1,112,12.1608595458749
half,1,111,12.147920490167401
were,5,555,12.147920490167401
put,1,108,12.108392125980764
two,2,215,12.101697473406755
last,1,106,12.081425078380494
eyes,2,204,12.02592996578879
morning,1,97,11.953417466004423
people,1,97,11.953417466004423
sat,1,96,11.93846712453845
while,1,95,11.923360232148244
indeed,1,95,11.923360232148244
quite,1,94,11.908093475494933
mrs,3,265,11.8183906725467
just,1,86,11.779769378519392
time,4,333,11.732882990888557
give,1,83,11.72854405516422
would,5,414,11.725063486429256
going,1,82,11.71105662843538
how,2,164,11.71105662843538
yer,1,82,11.71105662843538
name,1,80,11.675432718704656
saw,1,79,11.657285371994398
brought,1,79,11.657285371994398
we,3,236,11.65118517245798
short,1,78,11.638906842679544
d,1,77,11.620291164512196
though,1,77,11.620291164512196
fire,1,77,11.620291164512196
round,2,153,11.610892466509945
anything,1,76,11.601432137260879
lady,3,227,11.595090610387054
dog,1,75,11.582323314313175
until,1,75,11.582323314313175
passed,1,75,11.582323314313175
she,8,594,11.56782374461806
mean,1,72,11.523429625259606
her,11,789,11.517954495193456
more,5,356,11.50730995989633
way,3,213,11.503251743321977
speak,1,70,11.482787640762261
behind,1,70,11.482787640762261
day,2,140,11.482787640762261
length,1,69,11.462029080595464
where,3,202,11.426753605847933
much,3,202,11.426753605847933
it,28,1882,11.424200614488228
if,9,604,11.421984361700062
boys,1,67,11.419593814275068
white,1,66,11.397898743175748
some,6,395,11.394250966160605
are,5,325,11.37587243684575
large,1,65,11.37587243684575
having,2,130,11.37587243684575
room,3,195,11.37587243684575
full,1,64,11.353504623817296
there,9,569,11.335864464681565
twist,1,63,11.330784547317212
matter,1,63,11.330784547317212
every,2,126,11.330784547317212
boy,5,315,11.330784547317212
away,3,189,11.330784547317212
chapter,1,63,11.330784547317212
make,2,126,11.330784547317212
then,4,251,11.325048177768068
these,3,188,11.323130974773777
should,3,188,11.323130974773777
doctor,2,125,11.319288908479383
lay,1,62,11.30770093420417
toby,1,62,11.30770093420417
back,4,247,11.301871855401972
what,9,552,11.292104079153152
don,4,245,11.290142562819865
mind,2,122,11.28424196138018
matron,1,61,11.28424196138018
death,1,61,11.28424196138018
t,11,666,11.273451372251259
mr,18,1081,11.261730430109631
alone,1,60,11.260395219425813
giles,2,119,11.248322387125238
drew,1,59,11.236147673179136
better,2,118,11.236147673179136
sikes,6,354,11.236147673179136
far,1,58,11.211485618944868
that,34,1960,11.202679721569526
part,1,57,11.186394637982037
among,1,57,11.186394637982037
perhaps,1,57,11.186394637982037
exclaimed,1,57,11.186394637982037
down,5,284,11.181323648434613
done,2,113,11.173683586232482
your,6,338,11.169421559378323
tears,1,56,11.1608595458749
always,1,56,11.1608595458749
night,4,221,11.141407183208727
stop,1,55,11.134864337341954
gave,1,55,11.134864337341954
brittles,1,55,11.134864337341954
have,14,764,11.12357852979544
because,1,54,11.108392125980764
sure,1,54,11.108392125980764
before,5,269,11.103038891486557
words,2,107,11.094971610218442
might,3,160,11.090470217983501
looked,3,160,11.090470217983501
he,47,2503,11.08835834782799
found,1,53,11.081425078380494
them,7,367,11.065785954602903
although,1,52,11.053944341958388
been,9,464,11.041560617502554
along,1,51,11.02592996578879
yourself,1,51,11.02592996578879
in,47,2386,11.019294099834886
near,1,50,10.99736081359202
within,1,50,10.99736081359202
undertaker,1,50,10.99736081359202
heard,2,100,10.99736081359202
know,6,297,10.982861243896904
right,2,99,10.982861243896904
making,1,49,10.968214467932503
had,25,1225,10.968214467932503
than,5,243,10.956389032535714
they,15,724,10.946459915291982
for,24,1158,10.945961661085375
never,4,193,10.945961661085375
deep,1,48,10.938467124538452
feet,1,48,10.938467124538452
of,81,3877,10.93437964068385
went,2,95,10.923360232148243
those,2,94,10.908093475494933
now,6,281,10.902968443317064
girl,5,234,10.901941248513337
not,17,792,10.895398402646565
light,2,93,10.892663434925327
with,34,1572,10.884427284825563
dear,6,277,10.882284289145327
jew,7,323,10.881540056453616
love,1,46,10.877066579874308
opened,1,46,10.877066579874308
losberne,1,46,10.877066579874308
led,1,46,10.877066579874308
raised,1,46,10.877066579874308
by,17,781,10.875220520708934
so,13,597,10.874652026941009
own,3,136,10.856004964346477
and,120,5428,10.85281903362763
at,22,995,10.852625720611009
head,5,226,10.85175549134512
bolter,1,45,10.84535772014697
go,3,134,10.834631313553912
about,5,221,10.819479088321364
could,6,265,10.8183906725467
world,1,44,10.812936242454592
workhouse,1,44,10.812936242454592
board,1,44,10.812936242454592
to,91,3962,10.797723148508085
brownlow,4,173,10.78813285145402
called,1,43,10.779769378519394
street,2,86,10.779769378519394
held,1,43,10.779769378519394
side,2,86,10.779769378519394
wish,1,43,10.779769378519394
as,31,1324,10.769995720237636
must,3,128,10.76854212309614
again,6,253,10.75153569779045
from,15,631,10.748110223191325
