collocation,collocate_count,total_count,MI
henry,1,156,12.09780447565717
baskerville,1,111,11.606818123145029
into,1,110,11.59376197031958
man,2,214,11.553869243196068
dr,1,107,11.553869243196068
here,1,90,11.304255353124596
your,2,179,11.296218034059176
than,1,88,11.271833875432218
must,1,87,11.255345752643649
own,1,86,11.238667011497018
her,2,165,11.178724471040736
my,6,479,11.131321601809946
him,4,315,11.1116102751822
came,1,74,11.021855622423871
back,1,73,11.002226815674938
say,1,72,10.982327258237234
all,3,215,10.975632605663225
when,2,143,10.97227359357331
hound,1,71,10.962149376299603
long,1,70,10.941685273739887
what,3,210,10.941685273739887
if,3,207,10.92092671357309
hall,1,69,10.92092671357309
me,5,326,10.839202316138635
day,1,64,10.81240225679492
why,1,64,10.81240225679492
case,1,63,10.789682180294838
friend,1,63,10.789682180294838
their,1,63,10.789682180294838
again,1,62,10.766598567181797
nothing,1,62,10.766598567181797
way,1,62,10.766598567181797
up,2,123,10.754916762134162
us,3,182,10.735234396272462
at,6,364,10.735234396272462
away,1,60,10.71929285240344
which,7,416,10.705487052878409
now,2,118,10.695045306156763
know,2,118,10.695045306156763
little,1,57,10.645292270959663
after,1,57,10.645292270959663
first,1,57,10.645292270959663
watson,2,113,10.63258121921011
see,2,113,10.63258121921011
you,15,834,10.609415234631065
great,1,55,10.593761970319582
they,2,108,10.56728975895839
i,28,1498,10.553869243196068
were,4,207,10.505889214294246
then,3,151,10.465844495398843
sir,7,350,10.456258446569647
them,2,99,10.44175887687453
matter,1,49,10.42711210091013
so,5,244,10.421211499470445
some,3,144,10.397364757516076
baronet,1,48,10.397364757516076
round,1,46,10.335964212851934
turned,1,44,10.271833875432218
night,2,88,10.271833875432218
his,16,689,10.240762429499211
those,1,43,10.23866701149702
dark,1,43,10.23866701149702
far,1,43,10.23866701149702
am,2,84,10.204719679573682
thought,1,42,10.204719679573682
get,1,42,10.204719679573682
something,1,42,10.204719679573682
for,10,420,10.204719679573682
have,13,541,10.191447322480645
moor,4,163,10.161130411025999
doubt,1,40,10.134330351682284
shall,1,39,10.097804475657169
we,12,466,10.091625900728046
much,2,77,10.079188797489822
over,3,115,10.07292980701814
did,3,113,10.047618718488952
of,43,1593,10.023668053618133
anything,1,37,10.02185562242387
life,1,37,10.02185562242387
right,1,37,10.02185562242387
mrs,1,36,9.982327258237234
seemed,1,36,9.982327258237234
lay,1,36,9.982327258237234
from,8,286,9.972273593573311
will,5,178,9.966207592873957
do,5,175,9.941685273739887
lady,1,35,9.941685273739887
good,2,69,9.92092671357309
said,7,240,9.911937930345836
may,3,102,9.899865098045261
fellow,1,34,9.899865098045261
half,1,34,9.899865098045261
few,1,34,9.899865098045261
done,1,34,9.899865098045261
thing,1,34,9.899865098045261
took,1,34,9.899865098045261
put,1,34,9.899865098045261
street,1,33,9.856796376153374
however,1,33,9.856796376153374
heard,2,65,9.834770069823374
holmes,6,193,9.819896793341846
heart,1,32,9.81240225679492
letter,1,32,9.81240225679492
been,7,222,9.799463201087422
it,32,1009,9.791112715901278
charles,3,94,9.782028607751402
clear,1,31,9.766598567181797
words,1,31,9.766598567181797
mr,2,62,9.766598567181797
already,1,31,9.766598567181797
before,3,92,9.751001712130778
to,48,1448,9.72728564315697
be,11,330,9.71929285240344
always,1,30,9.71929285240344
yes,2,60,9.71929285240344
he,31,919,9.70212699769708
no,9,265,9.69232580480317
that,39,1144,9.686871374711062
mortimer,3,87,9.670383251922493
because,1,29,9.670383251922493
really,1,29,9.670383251922493
within,1,29,9.670383251922493
could,7,201,9.656099025916244
in,32,913,9.646873306779144
are,7,199,9.641671955280966
though,1,28,9.619757178852526
being,1,28,9.619757178852526
should,5,140,9.619757178852526
look,1,28,9.619757178852526
evening,1,28,9.619757178852526
well,4,111,9.606818123145027
one,9,247,9.590844486937286
and,60,1628,9.57439664545265
point,1,27,9.56728975895839
yet,2,54,9.56728975895839
once,2,54,9.56728975895839
but,15,400,9.549367850961128
about,4,105,9.526647774461045
brother,1,26,9.512841974936013
chance,1,26,9.512841974936013
brought,1,26,9.512841974936013
face,3,77,9.494226296768666
as,16,405,9.474180354566908
followed,1,25,9.456258446569645
mire,1,25,9.456258446569645
understand,1,25,9.456258446569645
with,18,442,9.43037981474404
cry,1,24,9.397364757516076
better,1,24,9.397364757516076
new,1,24,9.397364757516076
would,8,192,9.397364757516076
place,2,48,9.397364757516076
since,2,48,9.397364757516076
grimpen,1,24,9.397364757516076
looked,2,47,9.366991108472558
more,6,140,9.356722773018731
the,144,3330,9.343783717311233
country,1,23,9.335964212851934
walk,1,23,9.335964212851934
gate,1,23,9.335964212851934
make,2,46,9.335964212851934
she,6,137,9.325471839034291
still,2,45,9.304255353124596
upon,14,314,9.299668083628944
paper,1,22,9.271833875432218
sat,1,22,9.271833875432218
found,2,44,9.271833875432218
hill,1,22,9.271833875432218
leave,1,22,9.271833875432218
white,1,22,9.271833875432218
might,4,88,9.271833875432218
known,1,22,9.271833875432218
find,2,43,9.23866701149702
has,8,171,9.23025477168082
death,3,64,9.227439756073766
among,1,21,9.20471967957368
wife,2,42,9.20471967957368
voice,1,21,9.20471967957368
ask,1,21,9.20471967957368
where,4,82,9.169954261413006
also,2,41,9.169954261413006
had,25,506,9.151539641714507
along,1,20,9.134330351682284
showed,1,20,9.134330351682284
run,1,20,9.134330351682284
truth,1,20,9.134330351682284
darkness,1,20,9.134330351682284
many,1,20,9.134330351682284
asked,2,40,9.134330351682284
not,19,374,9.111369203238972
same,2,39,9.097804475657169
don,2,39,9.097804475657169
hand,2,39,9.097804475657169
by,11,212,9.080891092720822
out,9,171,9.060329770238507
least,1,19,9.060329770238507
husband,1,19,9.060329770238507
hands,2,38,9.060329770238507
our,11,206,9.039471165340842
give,2,37,9.021855622423871
can,6,110,9.008799469598424
means,1,18,8.982327258237234
years,1,18,8.982327258237234
story,1,18,8.982327258237234
low,1,18,8.982327258237234
either,1,18,8.982327258237234
was,45,803,8.96980533798256
t,4,71,8.962149376299603
stood,2,35,8.941685273739887
very,11,190,8.92282624648857
