collocation,collocate_count,total_count,MI
us,1,332,13.920408798973448
are,1,200,13.189225557401247
which,4,646,12.880759722320448
back,1,144,12.715294369068836
our,4,543,12.630177755430887
them,2,249,12.505371299694605
on,2,243,12.470181871232304
their,2,239,12.446236175607273
my,5,586,12.41819812716141
than,1,114,12.378259381791265
through,1,97,12.145282209813653
other,1,93,12.084528178734557
how,1,86,11.971634122328622
among,1,85,11.954760303764226
some,3,255,11.954760303764226
down,2,166,11.920408798973451
we,10,825,11.911691581872338
think,1,80,11.867297462513887
were,5,396,11.852797892818772
summerlee,2,158,11.849150115803626
lord,2,158,11.849150115803626
day,1,77,11.812155908321428
saw,1,75,11.774188058122405
know,1,75,11.774188058122405
they,4,293,11.740126222048772
looked,1,73,11.735193926506541
had,9,646,11.710834720878138
head,1,71,11.695116487131205
yet,1,71,11.695116487131205
even,1,69,11.653893824404694
john,2,137,11.643401450587051
only,2,133,11.600651803127715
there,5,332,11.598480704086086
something,1,66,11.589763486984978
if,3,195,11.567737180654978
off,1,65,11.567737180654978
while,1,64,11.545369367626524
will,3,190,11.530262475236317
well,2,126,11.522649291126442
see,2,124,11.499565678013399
from,6,361,11.456261893792538
seen,1,60,11.452259963235043
out,3,179,11.444222644169624
and,35,2088,11.443992347251442
more,3,173,11.395035094542092
world,1,57,11.378259381791265
so,5,283,11.368099515571044
however,1,56,11.352724289684128
into,3,168,11.352724289684128
great,3,168,11.352724289684128
too,1,55,11.326729081151184
mr,1,54,11.300256869789992
much,1,54,11.300256869789992
same,1,54,11.300256869789992
but,8,430,11.293562217215985
way,2,106,11.273289822189724
of,48,2526,11.263045790692921
to,33,1733,11.26003118742824
all,6,312,11.245809085767617
i,33,1714,11.244126642380571
it,24,1231,11.226021913389825
upon,8,409,11.221326400568273
give,1,51,11.217794709598019
him,4,201,11.196421058805454
find,1,50,11.18922555740125
roxton,1,50,11.18922555740125
not,7,347,11.176806298147183
across,1,49,11.160079211741733
moment,1,48,11.13033186834768
take,1,48,11.13033186834768
what,5,239,11.12430808071991
in,26,1239,11.119890121626034
red,1,47,11.099958219304161
got,1,47,11.099958219304161
many,1,47,11.099958219304161
now,3,140,11.089689883850333
professor,4,186,11.084528178734555
country,1,46,11.068931323683536
have,11,505,11.066077326628385
the,98,4476,11.05865384448771
long,2,91,11.05316400782522
up,5,227,11.049989760030076
go,1,45,11.0372224639562
came,2,90,11.0372224639562
most,2,89,11.021102798592922
little,2,89,11.021102798592922
front,1,44,11.004800986263822
before,3,132,11.004800986263822
say,2,87,10.988312863475253
one,7,301,10.971634122328622
at,11,470,10.962454695554227
been,5,211,10.944540461446346
done,1,42,10.937686790405285
with,16,670,10.93338665297166
as,15,619,10.91227437123227
me,8,330,10.91169158187234
surely,1,41,10.902921372244608
under,1,41,10.902921372244608
ll,1,41,10.902921372244608
still,2,81,10.885219370511148
or,5,202,10.881652755490956
open,1,40,10.867297462513887
eyes,2,80,10.867297462513887
no,6,240,10.867297462513887
here,2,78,10.830771586488773
his,17,661,10.826412987883877
such,3,116,10.81838786203294
where,2,77,10.812155908321426
good,2,77,10.812155908321426
for,13,494,10.79329688107011
land,1,38,10.79329688107011
own,2,75,10.774188058122405
scientific,1,37,10.754822733255473
small,1,37,10.754822733255473
both,1,37,10.754822733255473
could,8,290,10.725278457641458
look,1,36,10.715294369068838
her,1,36,10.715294369068838
very,4,142,10.695116487131205
you,19,673,10.691904548793255
do,4,140,10.674652384571491
every,2,70,10.674652384571491
dark,1,35,10.674652384571491
turned,1,34,10.632832208876863
don,2,67,10.611458558084296
challenger,7,232,10.595995440696493
word,1,33,10.589763486984978
human,1,33,10.589763486984978
four,1,32,10.545369367626524
was,34,1086,10.542714914180547
made,3,95,10.530262475236317
first,3,94,10.514995718583005
last,3,93,10.499565678013399
strange,2,62,10.499565678013399
can,5,155,10.499565678013399
whole,2,62,10.499565678013399
sir,2,61,10.47610670518941
like,5,151,10.46184601206424
tell,1,30,10.452259963235043
shall,2,60,10.452259963235043
said,10,297,10.437760393539929
lay,2,59,10.428012416988365
is,16,471,10.424952617239308
would,8,234,10.415734087209929
any,4,116,10.403350362754097
beard,1,29,10.403350362754097
enormous,1,29,10.403350362754097
when,6,173,10.395035094542093
am,3,86,10.386671621607466
he,25,710,10.373188392243845
chair,1,28,10.352724289684128
mind,1,28,10.352724289684128
name,1,28,10.352724289684128
evening,1,28,10.352724289684128
things,1,28,10.352724289684128
turn,1,28,10.352724289684128
t,5,139,10.342382345462669
