collocation,collocate_count,total_count,MI
way,1,239,12.89941380608468
round,1,174,12.441490493952662
men,2,317,12.30688602824334
her,2,315,12.297755016491212
lord,1,145,12.178456088118867
its,1,133,12.053829433605124
country,1,124,11.952743308490808
myself,1,118,11.881190047465774
our,8,924,11.850296039519991
whole,1,114,11.831437012268674
night,1,111,11.792962864454038
their,7,738,11.718669082106725
done,1,103,11.685047525287153
others,1,103,11.685047525287153
side,2,205,11.67802709760938
road,1,102,11.670972340075428
where,2,203,11.663882915289108
lay,1,101,11.656758480855729
go,1,101,11.656758480855729
words,1,99,11.627903618183542
we,13,1267,11.605308089103652
she,2,192,11.583509498825089
either,1,96,11.583509498825089
monmouth,2,191,11.575975826139683
they,7,667,11.572735027230912
some,4,371,11.533822374724737
back,2,182,11.50634163830263
army,1,90,11.490400094433607
scarce,1,85,11.407937934241634
which,14,1186,11.403080370592333
saw,1,83,11.373586429450858
left,2,163,11.34727515233501
matter,1,78,11.283949216966182
over,5,385,11.265333538798835
two,3,230,11.259074548327153
should,5,376,11.231207754894207
put,1,75,11.227365688599814
between,1,75,11.227365688599814
on,11,817,11.21330764761232
hundred,1,74,11.208000363732882
remarked,1,74,11.208000363732882
few,2,147,11.198219342940298
morning,1,73,11.18837155698395
passed,1,71,11.148294117608614
word,1,71,11.148294117608614
man,8,565,11.140654055406483
none,1,70,11.1278300150489
along,1,70,11.1278300150489
together,1,69,11.107071454882101
both,1,69,11.107071454882101
body,1,68,11.086009839354272
lad,1,66,11.042941117462387
thing,1,65,11.020914811132387
four,1,65,11.020914811132387
get,1,65,11.020914811132387
right,2,128,10.998546998103933
order,1,64,10.998546998103933
turn,1,64,10.998546998103933
off,3,192,10.998546998103933
were,14,892,10.992091975966634
above,1,63,10.97582692160385
again,2,124,10.952743308490808
faith,1,62,10.952743308490808
water,1,62,10.952743308490808
ll,1,60,10.905437593712453
close,1,60,10.905437593712453
shall,5,297,10.890938024017336
these,5,296,10.88607226884552
deep,1,59,10.881190047465774
majesty,1,59,10.881190047465774
my,26,1529,10.876479971323645
still,2,117,10.868911717687338
clear,1,57,10.831437012268674
just,1,57,10.831437012268674
things,1,57,10.831437012268674
moment,1,57,10.831437012268674
heard,2,114,10.831437012268674
do,5,281,10.811045223437496
church,1,56,10.805901920161537
hands,2,112,10.805901920161537
until,3,166,10.7886239287297
soon,1,55,10.779906711628593
ground,1,55,10.779906711628593
less,1,55,10.779906711628593
father,3,164,10.77113650200086
ye,6,327,10.76673132288086
table,1,54,10.753434500267401
half,2,107,10.74001398450508
took,1,53,10.726467452667132
then,5,264,10.721013022575024
great,5,264,10.721013022575024
behind,2,105,10.712792515770056
through,5,261,10.704524899786454
use,1,52,10.698986716245026
leave,1,52,10.698986716245026
bear,1,52,10.698986716245026
something,1,52,10.698986716245026
from,19,987,10.697525759116745
light,2,103,10.685047525287152
here,4,204,10.670972340075428
sword,3,153,10.670972340075428
towards,1,51,10.670972340075428
held,1,51,10.670972340075428
work,2,101,10.656758480855727
field,1,50,10.642403187878658
west,1,50,10.642403187878658
many,4,200,10.642403187878658
time,5,249,10.636620835284653
gentlemen,1,49,10.61325684221914
show,1,49,10.61325684221914
us,12,587,10.610801190492829
among,2,97,10.598459840291062
may,7,339,10.596333539182673
sound,1,48,10.583509498825089
ten,1,48,10.583509498825089
take,3,143,10.573455834161166
had,27,1284,10.570088983062767
upon,19,900,10.564400675877385
ill,1,47,10.55313584978157
most,3,139,10.532525570106284
plain,1,46,10.522108954160945
voice,2,92,10.522108954160945
day,3,136,10.501047338633116
or,16,725,10.50038418300623
puritan,1,45,10.490400094433607
beneath,1,45,10.490400094433607
hand,5,225,10.490400094433607
lost,1,45,10.490400094433607
gold,1,45,10.490400094433607
evil,1,45,10.490400094433607
your,16,718,10.486387031926984
will,9,403,10.483258025189588
eyes,3,134,10.479673687840549
sir,6,265,10.46343304683334
enemy,1,44,10.45797861674123
without,3,132,10.45797861674123
five,1,44,10.45797861674123
been,11,483,10.454994758302409
be,22,961,10.447508000240386
o,2,87,10.441490493952662
last,4,174,10.441490493952662
past,1,43,10.424811752806031
friend,3,129,10.424811752806031
master,3,128,10.413584497382777
come,6,256,10.413584497382777
eye,1,42,10.390864420882693
same,3,125,10.379368782044864
part,2,83,10.373586429450858
each,2,83,10.373586429450858
think,3,124,10.367780807769652
found,3,124,10.367780807769652
foot,2,82,10.356099002722017
spirit,1,41,10.356099002722017
rough,1,41,10.356099002722017
care,1,41,10.356099002722017
john,1,41,10.356099002722017
those,4,163,10.347275152335012
town,3,122,10.344321834945662
by,19,772,10.343076521928428
place,2,81,10.338397000988557
it,47,1901,10.336500963074847
now,7,282,10.330743428445123
at,29,1168,10.330390561856378
low,1,40,10.320475092991295
faithful,1,40,10.320475092991295
need,1,40,10.320475092991295
away,4,160,10.320475092991295
see,8,315,10.297755016491212
spoke,1,39,10.283949216966182
struck,1,39,10.283949216966182
news,1,39,10.283949216966182
cast,1,39,10.283949216966182
clarke,2,78,10.283949216966182
before,5,195,10.283949216966182
whether,1,39,10.283949216966182
long,6,233,10.277770642037057
reuben,4,155,10.27467140337817
them,14,542,10.2733411174002
have,34,1309,10.265333538798835
up,15,576,10.261581403937726
all,17,651,10.257597890019229
and,148,5661,10.255934840796586
so,16,611,10.253575567922661
laid,1,38,10.246474511547518
gervas,3,114,10.246474511547518
run,1,38,10.246474511547518
across,2,76,10.246474511547518
but,26,987,10.24501355441924
other,7,263,10.230111065338631
much,6,223,10.214484397303082
given,1,37,10.208000363732882
fight,2,74,10.208000363732882
stand,2,74,10.208000363732882
i,92,3365,10.1913758315446
in,80,2924,10.190346499169008
out,13,475,10.18989098318115
as,45,1643,10.188810666724333
than,8,292,10.18837155698395
days,2,73,10.18837155698395
into,12,438,10.18837155698395
first,3,109,10.181768822159704
one,16,580,10.178456088118867
knew,1,36,10.168471999546247
ere,1,36,10.168471999546247
met,1,36,10.168471999546247
with,49,1762,10.166835362909138
raised,1,35,10.1278300150489
case,1,35,10.1278300150489
yourself,1,35,10.1278300150489
got,1,35,10.1278300150489
swords,1,35,10.1278300150489
well,8,280,10.1278300150489
under,4,139,10.117488070827442
know,4,138,10.107071454882101
how,7,241,10.10408141227629
darkness,1,34,10.086009839354272
friends,2,68,10.086009839354272
head,5,170,10.086009839354272
sun,1,34,10.086009839354272
present,1,34,10.086009839354272
sent,1,34,10.086009839354272
position,1,34,10.086009839354272
of,171,5751,10.070291605607341
amongst,2,67,10.064636188561705
about,4,134,10.064636188561705
captain,3,100,10.0574406871575
against,5,166,10.051658334563495
nothing,2,66,10.042941117462387
twenty,1,33,10.042941117462387
companion,2,66,10.042941117462387
forward,1,33,10.042941117462387
white,3,99,10.042941117462387
near,1,33,10.042941117462387
solomon,1,33,10.042941117462387
main,1,33,10.042941117462387
help,2,66,10.042941117462387
face,5,165,10.042941117462387
there,20,659,10.040753558224623
god,2,65,10.020914811132387
the,337,10923,10.017023743087746
to,131,4198,10.000610447858637
track,1,32,9.998546998103933
covenant,1,32,9.998546998103933
king,7,224,9.998546998103933
german,1,32,9.998546998103933
down,13,416,9.998546998103933
nature,1,32,9.998546998103933
being,3,93,9.952743308490808
cannot,2,62,9.952743308490808
mate,1,31,9.952743308490808
boots,1,31,9.952743308490808
floor,1,31,9.952743308490808
next,1,31,9.952743308490808
looking,2,62,9.952743308490808
making,1,31,9.952743308490808
because,1,31,9.952743308490808
attack,1,31,9.952743308490808
say,5,154,9.943405443911471
that,72,2193,9.927312093335214
moor,1,30,9.905437593712453
common,1,30,9.905437593712453
itself,1,30,9.905437593712453
looked,2,60,9.905437593712453
havant,1,30,9.905437593712453
blood,2,60,9.905437593712453
bright,1,30,9.905437593712453
sea,1,30,9.905437593712453
direction,1,30,9.905437593712453
clerk,1,30,9.905437593712453
mind,3,90,9.905437593712453
him,25,743,9.891909208867805
best,3,89,9.889317928349175
stood,3,89,9.889317928349175
end,3,88,9.873016116020073
when,16,464,9.856527993231506
stephen,1,29,9.856527993231506
battle,2,58,9.856527993231506
crowd,1,29,9.856527993231506
year,1,29,9.856527993231506
wars,1,29,9.856527993231506
doubtless,1,29,9.856527993231506
truly,1,29,9.856527993231506
small,3,87,9.856527993231506
letter,1,29,9.856527993231506
straight,1,29,9.856527993231506
journey,1,29,9.856527993231506
box,1,29,9.856527993231506
send,1,29,9.856527993231506
fire,2,57,9.831437012268674
house,3,85,9.822975433520478
grey,3,85,9.822975433520478
while,7,198,9.82054869612594
once,4,113,9.81872596051912
own,9,254,9.817306683433786
chamber,1,28,9.805901920161537
message,1,28,9.805901920161537
cause,3,84,9.805901920161537
speech,1,28,9.805901920161537
pay,1,28,9.805901920161537
money,1,28,9.805901920161537
seeing,1,28,9.805901920161537
beside,1,28,9.805901920161537
pulled,1,28,9.805901920161537
was,60,1678,9.804183402935237
drawn,2,55,9.779906711628593
horse,9,245,9.765259935664192
set,5,136,9.76408174446691
weary,1,27,9.753434500267401
always,1,27,9.753434500267401
thrown,1,27,9.753434500267401
fought,1,27,9.753434500267401
quick,1,27,9.753434500267401
pipe,1,27,9.753434500267401
known,1,27,9.753434500267401
yellow,1,27,9.753434500267401
bed,1,27,9.753434500267401
me,25,672,9.74700823110797
his,71,1903,9.742859724873274
for,56,1491,9.73325661832977
can,12,319,9.730997111147646
came,7,186,9.73035088715436
air,2,53,9.726467452667132
grace,2,53,9.726467452667132
did,9,235,9.70513894322662
brought,3,78,9.698986716245026
weather,1,26,9.698986716245026
power,1,26,9.698986716245026
hat,1,26,9.698986716245026
after,6,156,9.698986716245026
score,1,26,9.698986716245026
feet,3,77,9.680371038077677
tell,4,102,9.670972340075428
broke,2,51,9.670972340075428
continued,2,51,9.670972340075428
such,12,305,9.666249929833025
room,3,76,9.661512010826362
promise,1,25,9.642403187878658
rise,1,25,9.642403187878658
noble,1,25,9.642403187878658
empty,1,25,9.642403187878658
even,5,125,9.642403187878658
fifty,1,25,9.642403187878658
mere,1,25,9.642403187878658
headed,1,25,9.642403187878658
general,1,25,9.642403187878658
thought,4,99,9.627903618183543
could,18,443,9.619784885216639
this,31,760,9.614206296048005
bring,2,49,9.61325684221914
sergeant,2,49,9.61325684221914
high,4,98,9.61325684221914
only,5,122,9.607356240779456
he,71,1716,9.593633716098797
figure,1,24,9.583509498825089
thrust,1,24,9.583509498825089
hold,2,48,9.583509498825089
farmer,1,24,9.583509498825089
entered,1,24,9.583509498825089
peace,1,24,9.583509498825089
honour,2,48,9.583509498825089
hard,3,72,9.583509498825089
boat,1,24,9.583509498825089
gallant,1,24,9.583509498825089
meet,1,24,9.583509498825089
matters,1,24,9.583509498825089
somersetshire,1,24,9.583509498825089
yet,9,214,9.570088983062767
mine,3,71,9.56333161688746
little,11,257,9.544739928660514
answered,11,257,9.544739928660514
let,6,140,9.542867514327742
would,23,532,9.53026747754811
pettigrue,1,23,9.522108954160945
easy,1,23,9.522108954160945
council,2,46,9.522108954160945
city,1,23,9.522108954160945
mercy,1,23,9.522108954160945
roof,1,23,9.522108954160945
jerome,1,23,9.522108954160945
rest,2,46,9.522108954160945
guard,2,46,9.522108954160945
private,1,23,9.522108954160945
dear,2,46,9.522108954160945
fierce,2,46,9.522108954160945
broken,2,46,9.522108954160945
save,4,91,9.50634163830263
london,2,45,9.490400094433609
are,28,629,9.488108282925618
saxon,16,358,9.48236277536819
themselves,3,67,9.479673687840549
indeed,5,111,9.471034769566677
however,6,133,9.468866932883966
red,3,66,9.45797861674123
mark,2,44,9.45797861674123
number,1,22,9.45797861674123
suddenly,1,22,9.45797861674123
duke,4,88,9.45797861674123
alone,1,22,9.45797861674123
lives,1,22,9.45797861674123
shown,1,22,9.45797861674123
ready,3,66,9.45797861674123
fashion,2,44,9.45797861674123
better,4,88,9.45797861674123
front,4,87,9.441490493952662
more,18,389,9.432248341647814
fall,2,43,9.424811752806031
you,65,1393,9.420158727676732
dark,3,64,9.413584497382777
showed,3,64,9.413584497382777
years,3,64,9.413584497382777
hear,4,85,9.407937934241634
drawing,1,21,9.390864420882693
wait,1,21,9.390864420882693
seated,1,21,9.390864420882693
chanced,1,21,9.390864420882693
good,14,294,9.390864420882693
rather,2,42,9.390864420882693
life,5,105,9.390864420882693
thirty,1,21,9.390864420882693
keep,3,63,9.390864420882693
aid,1,21,9.390864420882693
formed,1,21,9.390864420882693
said,34,705,9.37256360413975
too,8,164,9.356099002722017
lead,2,41,9.356099002722017
if,23,465,9.336071948042314
must,10,201,9.3276705943955
unless,1,20,9.320475092991295
aught,1,20,9.320475092991295
fairly,1,20,9.320475092991295
success,1,20,9.320475092991295
youth,1,20,9.320475092991295
edge,1,20,9.320475092991295
bridle,1,20,9.320475092991295
protestant,2,40,9.320475092991295
