collocation,collocate_count,total_count,MI
mrs,1,304,13.855591284897962
after,1,283,13.752322014286259
where,1,276,13.716188228232546
were,2,545,13.697776191118665
back,1,265,13.65751232090494
dinah,2,526,13.64658276074668
irwine,1,260,13.630031584482833
their,2,454,13.434212258745292
little,2,440,13.389023484979038
two,1,190,13.177519379785325
hetty,4,754,13.166084484723044
then,2,368,13.131225727511389
people,1,170,13.017054707592079
saw,1,161,12.938580649568994
seth,2,318,12.920546726738735
they,5,774,12.881925432711425
she,16,2399,12.835881213747813
time,2,298,12.826832291916539
seemed,1,142,12.75741089095906
are,3,409,12.69865830367497
till,1,136,12.695126612704717
aunt,1,135,12.684479368505208
pretty,1,134,12.67375296191215
want,1,130,12.63003158448283
folks,1,129,12.618891026877632
nay,1,126,12.584943694954294
eyes,2,250,12.573448056116465
thy,1,123,12.550178276793616
help,1,123,12.550178276793616
came,2,245,12.54430171045695
took,1,122,12.538401109017265
rather,1,121,12.526527008728971
since,1,120,12.514554367062896
told,1,117,12.478028491037781
while,2,234,12.478028491037781
best,1,112,12.41501869351198
among,1,110,12.389023484979038
these,1,110,12.389023484979038
room,1,108,12.362551273617845
lad,1,107,12.349130757855525
or,4,428,12.349130757855525
find,1,107,12.349130757855525
donnithorne,1,107,12.349130757855525
dark,1,106,12.335584226017577
day,3,317,12.331040300872628
felt,2,211,12.328762960161562
her,29,3047,12.32285656101329
round,2,210,12.3219092891205
great,2,209,12.315022903535262
stood,1,104,12.30810348959547
making,1,104,12.30810348959547
arthur,4,411,12.29065835513606
tell,2,205,12.287143870959822
thee,4,409,12.283620804396127
your,5,511,12.282915157504636
them,5,493,12.231179512944927
look,3,294,12.222373615569586
put,2,192,12.192626272175534
right,2,191,12.185092599490128
end,1,95,12.177519379785325
trouble,1,95,12.177519379785325
poyser,5,471,12.165318926179799
heard,1,94,12.162252623132014
away,3,275,12.125989079145244
child,1,91,12.115458411653075
sir,2,181,12.107509658537584
gone,2,179,12.091479548718635
letter,1,89,12.083397202420777
morning,2,178,12.083397202420777
up,7,620,12.07643325467101
we,6,528,12.067095390091675
husband,1,87,12.050607267303107
lay,1,87,12.050607267303107
bede,1,87,12.050607267303107
shall,2,173,12.042291999091102
adam,14,1207,12.037518810151797
didn,1,86,12.033928526156476
done,2,170,12.017054707592079
it,34,2858,12.000991131299855
into,5,418,11.993094808647898
from,9,750,11.988485555395307
hall,1,83,11.982703202801302
words,2,166,11.982703202801302
soul,1,83,11.982703202801302
squire,1,81,11.947513774339003
too,4,324,11.947513774339003
now,7,560,11.92959186634174
almost,1,80,11.92959186634174
given,1,80,11.92959186634174
wanted,1,80,11.92959186634174
things,3,239,11.92356807871397
having,1,79,11.91144451963148
days,1,79,11.91144451963148
been,9,699,11.886887415387502
first,3,232,11.880682265860795
anything,2,154,11.874450312149278
all,11,844,11.869331341524266
