collocation,collocate_count,total_count,MI
mrs,1,594,15.660515934913628
come,1,436,15.21438113888979
seemed,1,425,15.177515845137927
way,1,396,15.075553434192472
mordecai,1,332,14.821236245459787
time,1,327,14.799343639610946
my,4,1212,14.689370797585813
over,1,280,14.57547983105783
looked,1,276,14.554721270891033
its,1,271,14.528345855466736
under,1,268,14.512286004570635
things,1,267,14.506892745800416
only,2,531,14.498764864917018
long,1,262,14.479619815650313
she,13,3369,14.463861809093528
went,1,249,14.406198746180944
anything,1,245,14.382834753115434
did,2,483,14.362076192948637
gwendolen,5,1179,14.327616722205263
mother,2,470,14.322713760677864
great,1,223,14.24709671403317
off,1,223,14.24709671403317
again,2,440,14.227556527637523
her,24,5177,14.199134916252634
herself,2,431,14.19774087320196
there,5,1067,14.183613180049925
deronda,6,1272,14.174117268676062
feel,1,212,14.174117268676062
it,17,3602,14.173316438768799
put,1,208,14.146636532253956
men,1,205,14.125676913618308
lady,1,202,14.104408296864658
davilow,1,199,14.082821434656513
found,1,198,14.075553434192472
these,1,192,14.031159314834019
those,1,192,14.031159314834019
two,1,190,14.01605242244381
while,2,375,13.996943599496106
poor,1,187,13.9930912740005
saw,1,182,13.95399145431156
man,2,362,13.946042701196069
tone,1,180,13.938049910442539
though,1,180,13.938049910442539
yes,1,178,13.921930245079261
mirah,3,524,13.894657314929155
left,1,170,13.855587750250564
less,1,167,13.829901106586915
which,11,1833,13.826756266015451
head,1,165,13.812519028358677
life,3,493,13.806678149769617
than,5,812,13.789604636410678
hands,1,162,13.786046816997487
we,4,647,13.78381871610537
taken,1,161,13.77711369222748
had,23,3592,13.733206492796997
self,1,156,13.731599032975112
many,1,155,13.722321219387101
away,2,308,13.712983354807763
don,2,307,13.708291659483043
us,2,305,13.698862246563113
find,1,152,13.69412432755645
among,1,152,13.69412432755645
always,2,297,13.66051593491363
making,1,148,13.655650179741812
were,7,1003,13.60894778266744
others,1,143,13.606068150891252
rather,2,283,13.590855056944745
began,1,140,13.57547983105783
more,7,965,13.5532270242107
side,1,137,13.54422889707339
also,1,137,13.54422889707339
and,63,8604,13.539708700036007
toward,2,272,13.533659655363202
home,1,135,13.523012411163693
years,1,134,13.512286004570635
sure,1,132,13.490590933471317
going,2,264,13.490590933471317
family,1,131,13.479619815650313
our,3,392,13.475944157506914
gone,1,130,13.468564627141317
used,1,129,13.457424069536117
course,1,128,13.446196814112861
often,1,127,13.43488150088503
will,8,1015,13.433460826185401
own,4,507,13.432038751116204
right,1,126,13.423476737612779
still,2,251,13.417740368063635
so,6,744,13.400393124499738
fact,1,124,13.400393124499738
your,5,619,13.398064318439767
answer,1,122,13.37693415167575
they,6,730,13.372986967159086
that,40,4855,13.369524299532056
hand,2,241,13.359086150342826
because,2,237,13.334940063011121
both,1,118,13.328839863474704
on,17,1985,13.313657264892843
here,2,233,13.310382958767143
sir,3,349,13.308317539601358
speech,1,116,13.304177809240434
told,1,116,13.304177809240434
likely,1,116,13.304177809240434
tell,2,230,13.291686865057239
shall,3,344,13.287499068093803
hans,2,227,13.272745301403777
made,5,567,13.271473644167727
felt,4,451,13.263180437368243
thing,1,112,13.253551736170467
help,1,112,13.253551736170467
by,11,1224,13.244153038168218
into,6,667,13.242777264576292
little,5,555,13.240612680462968
thinking,1,111,13.240612680462968
day,2,221,13.234099373504293
first,3,331,13.231921720198924
mean,1,110,13.227556527637523
think,4,440,13.227556527637523
whether,1,110,13.227556527637523
them,6,658,13.223178087126948
yet,2,219,13.220983873714037
grandcourt,7,762,13.21248907954858
how,3,325,13.205530221307523
i,44,4759,13.203207934636056
him,16,1730,13.202753136636948
ready,1,108,13.201084316276333
me,12,1295,13.199970695965623
turn,1,107,13.18766380051401
thought,4,425,13.177515845137927
at,17,1804,13.175717596117904
you,30,3181,13.174570875043857
money,1,106,13.174117268676062
some,7,737,13.164362701150328
power,1,105,13.160442331778984
word,1,105,13.160442331778984
wanted,1,105,13.160442331778984
work,1,103,13.132697341296081
up,6,618,13.132697341296081
after,4,411,13.129191397794544
before,5,511,13.12144820016312
one,9,914,13.112322167728621
say,4,406,13.111532731298038
must,5,507,13.11011065622884
soon,1,101,13.104408296864657
turning,1,101,13.104408296864657
jew,1,101,13.104408296864657
given,1,101,13.104408296864657
other,5,504,13.101548642725417
interest,1,100,13.090053003887586
