collocation,collocate_count,total_count,MI
their,1,350,13.69248314961299
mrs,1,324,13.581122040665285
before,1,231,13.093021079196719
she,6,1302,13.002823270225141
felt,1,176,12.700703656417959
even,1,152,12.489199551224246
over,1,148,12.45072540340961
looked,1,140,12.370555054725626
went,1,138,12.349796494558833
see,2,273,12.334029178700515
eyes,1,136,12.328734879031002
still,1,134,12.307361228238435
herself,1,134,12.307361228238435
only,2,261,12.269178034350547
her,14,1717,12.179591439725192
done,1,118,12.123915087142503
on,11,1281,12.10489517948501
side,1,114,12.074162051945404
turned,1,113,12.061451000195849
esther,5,551,12.025252451464457
round,1,107,11.982739024181809
seemed,2,211,11.962371226487848
father,2,210,11.955517555446784
going,1,104,11.941711755921753
took,1,103,11.92777256496388
hands,1,103,11.92777256496388
all,6,612,11.913697379752158
where,2,193,11.83372907504874
those,2,190,11.81112764611161
own,3,282,11.7958608894583
him,11,1015,11.769104431215903
jermyn,4,367,11.760908290623876
heard,1,91,11.749066677979357
course,1,90,11.733125134110335
years,1,89,11.717005468747058
down,2,177,11.70887758786366
sure,1,88,11.700703656417959
country,1,86,11.66753679248276
back,2,172,11.66753679248276
work,1,86,11.66753679248276
something,2,171,11.65912455266656
they,7,566,11.57857535855494
then,3,241,11.569198873289467
yet,2,159,11.554154993065016
here,2,159,11.554154993065016
case,1,79,11.545052785957765
end,1,79,11.545052785957765
best,1,79,11.545052785957765
them,5,394,11.541395762349676
day,2,157,11.535892786672289
till,1,78,11.52667425664291
left,1,78,11.52667425664291
new,2,154,11.508058578475563
everything,1,77,11.508058578475563
got,2,152,11.489199551224248
miss,1,75,11.470090728276542
oh,1,75,11.470090728276542
possible,1,75,11.470090728276542
true,1,72,11.411197039222975
coming,1,72,11.411197039222975
rather,2,143,11.401143374559052
tell,2,141,11.380823390179454
more,8,549,11.34193437678586
enough,2,136,11.328734879031
getting,1,68,11.328734879031
likely,1,68,11.328734879031
toward,2,136,11.328734879031
often,1,68,11.328734879031
sat,1,67,11.307361228238435
which,15,1004,11.305924996122915
from,10,664,11.294383374240224
great,3,196,11.271019381174714
radical,1,65,11.263639850809117
been,11,707,11.247406823952764
head,2,128,11.24127203778066
last,2,128,11.24127203778066
it,30,1904,11.229199205480088
these,3,190,11.226165145390453
find,1,63,11.218551961280578
letter,1,63,11.218551961280578
law,1,63,11.218551961280578
behind,1,63,11.218551961280578
other,4,250,11.207056322442748
harold,9,560,11.200630053283316
suppose,1,62,11.195468348167536
maximus,1,62,11.195468348167536
turn,1,62,11.195468348167536
man,8,494,11.189639269365339
