collocation,collocate_count,total_count,MI
on,1,161,13.014091975429578
her,3,400,12.742068786368531
do,1,131,12.716598098852414
an,1,127,12.671859784087129
by,1,119,12.577992860622906
there,1,110,12.464534810839622
but,2,216,12.43806259947843
at,2,215,12.431367946904421
one,1,107,12.424642083716108
for,3,311,12.378983366724409
it,6,619,12.372008195808071
i,4,383,12.264375679239919
t,2,191,12.260603925350711
out,1,85,12.092566033452663
have,2,169,12.084054533597147
so,2,158,11.986955845492066
when,1,79,11.986955845492066
in,7,548,11.973852258217885
had,6,468,11.96857731617721
upon,1,76,11.931102610758549
he,12,905,11.919986578564373
ve,1,74,11.892628462943913
like,1,74,11.892628462943913
them,1,74,11.892628462943913
don,3,222,11.892628462943913
she,6,443,11.889375485148824
what,2,147,11.882847442151327
from,2,144,11.853100098757274
would,2,133,11.738457532816152
into,1,65,11.705542910343416
that,13,830,11.679702905408156
of,17,1066,11.653703978823799
and,12,739,11.627643150739956
might,1,61,11.613912434877848
all,3,180,11.59006569292348
much,1,60,11.59006569292348
little,1,57,11.516065111479705
said,4,218,11.451359422091889
himself,1,54,11.438062599478432
because,1,54,11.438062599478432
d,1,53,11.41109555187816
just,1,52,11.383614815456054
if,3,155,11.374337001868044
time,1,51,11.355600439286459
him,4,200,11.327031287089687
greville,2,98,11.297884941430171
to,23,1124,11.294039461478874
his,12,575,11.265630742425543
or,2,95,11.25303070564591
you,10,464,11.219227997555171
be,4,185,11.214556557831274
some,1,45,11.175028193644637
should,1,43,11.10943985201706
kelleg,1,42,11.075492520093722
mr,3,126,11.075492520093722
say,1,40,11.005103192202323
think,1,39,10.96857731617721
as,7,271,10.957969216611229
hand,1,37,10.892628462943913
two,1,37,10.892628462943913
own,1,37,10.892628462943913
asked,1,36,10.853100098757274
eyes,1,36,10.853100098757274
great,1,35,10.812458114259929
really,1,35,10.812458114259929
me,3,105,10.812458114259929
where,1,34,10.770637938565303
your,3,101,10.756424079345601
augustus,2,67,10.749264287772734
against,1,33,10.727569216673416
the,51,1679,10.724136270280496
enough,1,32,10.683175097314964
was,16,510,10.67752853417382
not,13,405,10.644513476945857
s,14,433,10.634043389984082
whilst,1,30,10.59006569292348
first,1,30,10.59006569292348
such,1,30,10.59006569292348
re,2,59,10.565818146676804
could,4,116,10.541156092442534
put,1,29,10.541156092442534
go,1,29,10.541156092442534
want,1,28,10.490530019372567
is,4,109,10.451359422091889
too,2,54,10.43806259947843
once,1,26,10.383614815456054
with,11,279,10.347864790506852
now,2,49,10.297884941430171
m,2,48,10.268137598036118
father,8,187,10.230069557202599
poor,1,23,10.206737053371976
may,1,23,10.206737053371976
mother,2,46,10.206737053371976
this,5,108,10.116134504591068
why,2,43,10.109439852017061
any,4,84,10.075492520093722
ship,1,21,10.075492520093722
must,1,21,10.075492520093722
added,1,21,10.075492520093722
make,2,41,10.040727101933046
head,2,40,10.005103192202325
give,1,20,10.005103192202325
between,1,20,10.005103192202325
has,1,20,10.005103192202325
ought,1,20,10.005103192202325
a,42,832,9.991297392677293
brought,1,19,9.931102610758547
gave,1,19,9.931102610758547
right,1,19,9.931102610758547
woman,1,18,9.853100098757274
whether,1,18,9.853100098757274
answered,2,36,9.853100098757274
case,1,18,9.853100098757274
yes,1,18,9.853100098757274
certainly,1,18,9.853100098757274
words,2,35,9.812458114259929
other,2,35,9.812458114259929
having,1,17,9.770637938565303
does,1,17,9.770637938565303
who,5,84,9.75356442520636
even,3,50,9.742068786368531
course,2,33,9.727569216673416
how,3,49,9.712922440709015
voice,1,16,9.683175097314964
again,2,32,9.683175097314964
my,9,140,9.642533112817617
part,1,15,9.59006569292348
together,1,15,9.59006569292348
times,1,15,9.59006569292348
understand,1,15,9.59006569292348
face,2,29,9.541156092442534
end,1,14,9.490530019372567
probably,1,13,9.383614815456054
seem,1,13,9.383614815456054
spirit,1,12,9.268137598036118
question,1,12,9.268137598036118
further,1,12,9.268137598036118
whom,1,12,9.268137598036118
called,2,23,9.206737053371976
need,1,11,9.14260671595226
every,2,20,9.005103192202325
found,1,10,9.005103192202325
imagine,1,10,9.005103192202325
three,1,10,9.005103192202325
gentle,1,10,9.005103192202325
fool,1,9,8.853100098757274
business,2,18,8.853100098757274
become,1,9,8.853100098757274
show,1,9,8.853100098757274
dead,1,9,8.853100098757274
expect,1,8,8.683175097314962
ask,1,8,8.683175097314962
guess,1,8,8.683175097314962
marry,2,16,8.683175097314962
sent,1,8,8.683175097314962
figure,2,16,8.683175097314962
died,1,8,8.683175097314962
yourself,1,7,8.490530019372567
another,2,14,8.490530019372567
sky,1,7,8.490530019372567
yours,1,7,8.490530019372567
friend,1,7,8.490530019372567
book,1,7,8.490530019372567
received,1,7,8.490530019372567
dollars,1,7,8.490530019372567
considering,1,7,8.490530019372567
sofa,1,7,8.490530019372567
remark,1,6,8.268137598036118
moral,1,6,8.268137598036118
hat,1,6,8.268137598036118
knees,1,6,8.268137598036118
leave,1,6,8.268137598036118
papers,1,6,8.268137598036118
asking,1,6,8.268137598036118
determined,1,6,8.268137598036118
hundred,2,12,8.268137598036118
lie,1,6,8.268137598036118
attention,1,5,8.005103192202325
maginnis,1,5,8.005103192202325
self,1,5,8.005103192202325
followed,1,5,8.005103192202325
thousand,1,5,8.005103192202325
pale,1,5,8.005103192202325
backbone,1,5,8.005103192202325
astonishing,1,5,8.005103192202325
speech,1,5,8.005103192202325
beside,1,5,8.005103192202325
decent,3,14,7.90556751865141
far,3,14,7.90556751865141
story,1,4,7.683175097314963
taught,1,4,7.683175097314963
also,1,4,7.683175097314963
listened,1,4,7.683175097314963
solitary,1,4,7.683175097314963
particularly,1,4,7.683175097314963
mental,1,4,7.683175097314963
rich,1,4,7.683175097314963
occasion,1,4,7.683175097314963
type,1,4,7.683175097314963
joke,1,4,7.683175097314963
wide,1,4,7.683175097314963
boy,1,4,7.683175097314963
addressed,1,4,7.683175097314963
quiet,1,4,7.683175097314963
affairs,1,4,7.683175097314963
spoke,1,4,7.683175097314963
low,1,4,7.683175097314963
old,7,25,7.519676365032083
laughed,2,7,7.490530019372566
offer,1,3,7.268137598036119
stable,1,3,7.268137598036119
attract,1,3,7.268137598036119
youth,1,3,7.268137598036119
conclusion,1,3,7.268137598036119
privacy,1,3,7.268137598036119
piercing,1,3,7.268137598036119
bearded,1,3,7.268137598036119
satisfaction,1,3,7.268137598036119
dislike,1,3,7.268137598036119
kratzenstein,2,6,7.268137598036119
cannot,4,12,7.268137598036119
valet,1,3,7.268137598036119
stove,1,3,7.268137598036119
ii,1,3,7.268137598036119
pair,1,3,7.268137598036119
begun,1,3,7.268137598036119
interest,2,6,7.268137598036119
striking,1,3,7.268137598036119
feelings,2,6,7.268137598036119
engaged,2,5,7.005103192202324
less,2,5,7.005103192202324
speaking,1,2,6.683175097314963
trusted,2,4,6.683175097314963
challenge,1,2,6.683175097314963
remarkable,1,2,6.683175097314963
conscious,1,2,6.683175097314963
blonde,1,2,6.683175097314963
ear,1,2,6.683175097314963
pipe,1,2,6.683175097314963
occasions,1,2,6.683175097314963
features,1,2,6.683175097314963
atlantic,1,2,6.683175097314963
disappearing,1,2,6.683175097314963
shoulders,1,2,6.683175097314963
support,1,2,6.683175097314963
surveyed,1,2,6.683175097314963
roumanian,1,2,6.683175097314963
illustrating,1,2,6.683175097314963
female,1,2,6.683175097314963
direfully,1,2,6.683175097314963
flying,1,2,6.683175097314963
remain,1,2,6.683175097314963
corrected,1,2,6.683175097314963
indulging,1,2,6.683175097314963
lying,1,2,6.683175097314963
crossed,1,2,6.683175097314963
equally,1,2,6.683175097314963
perpetually,1,2,6.683175097314963
young,18,36,6.683175097314963
fitted,1,2,6.683175097314963
angle,1,2,6.683175097314963
reasonable,2,3,6.268137598036119
sardonic,1,1,5.683175097314962
hotly,1,1,5.683175097314962
shaped,1,1,5.683175097314962
roisterous,1,1,5.683175097314962
trustable,1,1,5.683175097314962
inflict,1,1,5.683175097314962
skirted,1,1,5.683175097314962
harden,1,1,5.683175097314962
tenth,1,1,5.683175097314962
quoting,1,1,5.683175097314962
unsanctioned,1,1,5.683175097314962
tolerant,1,1,5.683175097314962
define,1,1,5.683175097314962
damnte,1,1,5.683175097314962
deprive,1,1,5.683175097314962
dined,1,1,5.683175097314962
normal,1,1,5.683175097314962
groom,1,1,5.683175097314962
rob,1,1,5.683175097314962
plans,1,1,5.683175097314962
grotesquely,1,1,5.683175097314962
companionship,1,1,5.683175097314962
disquieting,1,1,5.683175097314962
sensible,1,1,5.683175097314962
secret,1,1,5.683175097314962
dme,1,1,5.683175097314962
metropolis,1,1,5.683175097314962
watched,1,1,5.683175097314962
opening,1,1,5.683175097314962
dignity,1,1,5.683175097314962
cypriote,1,1,5.683175097314962
sponge,1,1,5.683175097314962
reports,1,1,5.683175097314962
shaken,1,1,5.683175097314962
wallachian,1,1,5.683175097314962
tyrolese,1,1,5.683175097314962
lower,1,1,5.683175097314962
friendlily,1,1,5.683175097314962
materially,1,1,5.683175097314962
timidly,1,1,5.683175097314962
fitness,1,1,5.683175097314962
cipher,1,1,5.683175097314962
wings,1,1,5.683175097314962
mutinous,1,1,5.683175097314962
