collocation,collocate_count,total_count,MI
from,1,278,13.541583429658852
out,1,208,13.123082075076436
up,1,173,12.857270584572067
did,1,164,12.780194361553427
down,1,149,12.641810877397504
old,1,142,12.572389476440025
mrs,1,121,12.341505594209936
because,1,118,12.305285406297184
before,1,109,12.19082668171227
more,1,105,12.136887874601465
go,1,97,12.022555199122472
house,1,89,11.898375787901742
i,2,177,11.89024790701834
should,1,87,11.865585852784072
come,1,87,11.865585852784072
had,20,1734,11.860602445269814
him,4,344,11.848907111637441
so,3,247,11.786047087798865
one,2,164,11.780194361553427
boy,1,80,11.744570451822705
their,2,157,11.71726310582697
there,3,235,11.714196802779185
mother,1,77,11.689428897630243
day,1,75,11.651461047431225
made,1,74,11.632095722564292
tietjens,2,148,11.632095722564292
get,1,71,11.572389476440025
would,7,490,11.551925373880309
t,2,140,11.551925373880309
back,1,69,11.531166813713511
little,2,134,11.488731547393115
years,1,66,11.467036476293796
over,2,128,11.422642356935343
gone,1,64,11.422642356935343
it,14,895,11.421031307029358
enough,1,63,11.39992228043526
not,11,690,11.393663289963577
mark,5,313,11.3907331089806
herself,1,62,11.376838667322218
she,19,1172,11.369471697914006
let,1,61,11.353379694498228
two,1,58,11.280623352062914
always,1,56,11.229997278992947
got,1,56,11.229997278992947
when,3,168,11.229997278992947
once,1,56,11.229997278992947
n,1,55,11.204002070460003
he,24,1305,11.187513947671432
on,8,430,11.170835206524803
groby,3,157,11.132300605105813
went,1,52,11.123082075076434
they,8,412,11.10914288411856
now,2,102,11.095067698906838
must,2,101,11.080853839687137
at,9,450,11.066498546710067
only,2,100,11.066498546710067
course,1,50,11.066498546710067
why,1,50,11.066498546710067
first,1,50,11.066498546710067
and,30,1490,11.056848376676347
room,1,49,11.03735220105055
been,8,380,10.99249796526629
of,43,2030,10.983641614305784
as,11,518,10.9800190259846
put,1,47,10.977231208612979
how,2,94,10.977231208612979
no,5,233,10.964900406702261
for,13,599,10.948614831583036
girl,1,46,10.946204312992355
such,1,46,10.946204312992355
last,1,45,10.914495453265017
christopher,8,360,10.914495453265017
father,3,134,10.90376904667196
half,1,44,10.88207397557264
son,1,44,10.88207397557264
just,1,44,10.88207397557264
them,3,131,10.871102857751637
but,11,478,10.864077546278795
seemed,1,43,10.848907111637441
whilst,1,43,10.848907111637441
perhaps,1,43,10.848907111637441
then,4,171,10.84049487182124
in,25,1061,10.829995108075384
without,1,42,10.814959779714103
hedge,1,42,10.814959779714103
sylvia,3,126,10.814959779714103
that,39,1631,10.808781204784978
the,89,3704,10.801777309229182
almost,1,41,10.780194361553427
said,6,244,10.768417193777072
fittleworth,2,78,10.70804457579759
having,1,39,10.70804457579759
knew,2,78,10.70804457579759
or,6,233,10.701866000868467
too,2,77,10.689428897630243
see,2,76,10.670569870378928
called,1,38,10.670569870378928
seen,1,38,10.670569870378928
were,6,228,10.670569870378928
with,17,644,10.66609639379962
have,10,373,10.643746082303219
time,3,110,10.619039569738845
better,1,36,10.592567358377655
fact,1,36,10.592567358377655
general,1,35,10.551925373880309
most,1,35,10.551925373880309
could,8,280,10.551925373880309
looking,1,35,10.551925373880309
set,1,35,10.551925373880309
you,14,487,10.543065396960081
be,13,452,10.542381601209438
never,4,139,10.54158342965885
even,3,102,10.510105198185682
three,1,34,10.510105198185682
into,4,133,10.477924792436532
other,3,99,10.467036476293796
great,4,131,10.456065358472793
was,40,1300,10.445010169963798
people,2,65,10.445010169963798
very,3,97,10.437592698401314
an,7,225,10.429068626094775
still,2,64,10.422642356935343
looked,1,32,10.422642356935343
himself,3,96,10.422642356935343
own,2,64,10.422642356935343
to,66,2084,10.403387799855398
my,2,63,10.39992228043526
country,2,63,10.39992228043526
off,1,31,10.376838667322218
appeared,1,31,10.376838667322218
his,28,866,10.373510649604464
valentine,3,92,10.3612418122712
well,5,153,10.358102104740631
moment,1,30,10.329532952543861
probably,2,59,10.305285406297184
her,28,821,10.296525846655543
might,6,175,10.288890968046514
heard,1,29,10.280623352062916
yet,1,29,10.280623352062916
cut,1,28,10.229997278992947
taken,1,28,10.229997278992947
life,2,55,10.204002070460001
make,2,55,10.204002070460001
after,3,81,10.177529859098811
world,3,81,10.177529859098811
again,2,53,10.150562811498542
like,6,159,10.150562811498542
face,2,53,10.150562811498542
about,5,130,10.123082075076436
woman,5,128,10.100714262047982
ever,2,51,10.095067698906838
being,2,51,10.095067698906838
through,2,51,10.095067698906838
doctor,1,25,10.066498546710067
what,9,216,10.0076048576565
obviously,1,24,10.0076048576565
mind,2,48,10.0076048576565
way,2,48,10.0076048576565
child,2,48,10.0076048576565
become,1,24,10.0076048576565
can,2,48,10.0076048576565
rather,2,47,9.97723120861298
