collocation,collocate_count,total_count,MI
they,1,334,14.460069855974986
were,1,300,14.305184253996813
very,1,211,13.797464752208118
up,1,208,13.776805281642025
his,3,566,13.636061305611658
just,1,183,13.592065401784973
then,1,181,13.576211450584138
not,3,531,13.543971113583929
it,7,1175,13.46745568289569
have,4,670,13.464382848846068
from,2,311,13.357136333631534
florence,2,294,13.276037908337297
do,1,145,13.256274653515868
she,11,1561,13.225188766841546
him,3,419,13.202209496479128
if,2,278,13.19530663622444
my,2,255,13.07071900035979
leonora,4,493,13.021809399878844
one,2,245,13.013003502503503
into,1,119,12.971183326808877
don,1,114,12.909255577665673
went,1,113,12.896544525916122
out,2,225,12.89014675471797
go,1,112,12.883720485558536
their,1,110,12.857725277025592
think,1,110,12.857725277025592
after,1,109,12.844549888277859
how,1,108,12.831253065664402
things,1,103,12.762866090684152
on,4,384,12.66132806422209
when,2,187,12.62326002338857
eyes,1,93,12.615524374608965
come,1,93,12.615524374608965
by,2,186,12.615524374608965
only,1,91,12.584160203699629
back,1,87,12.519309059349661
in,14,1208,12.507415380768407
too,1,86,12.50263031820303
all,4,343,12.498430329673747
to,28,2304,12.43893564288564
before,1,81,12.416215566385558
could,3,242,12.41026630005437
because,1,80,12.398293658388296
than,1,78,12.36176778236318
had,13,1004,12.347469399310613
world,1,76,12.32429307694452
room,1,76,12.32429307694452
t,4,303,12.319539546973882
at,8,599,12.302777756289718
this,2,149,12.295534083963094
and,28,2058,12.276037908337297
good,2,146,12.26619012238095
me,5,362,12.254283355696776
day,1,71,12.226112683005613
ever,1,71,12.226112683005613
course,1,70,12.2056485804459
be,5,348,12.197380964462297
her,18,1232,12.173227102753522
would,6,410,12.170883162285222
these,1,68,12.163828404751271
perhaps,1,68,12.163828404751271
wife,1,66,12.120759682859386
long,1,66,12.120759682859386
of,36,2343,12.100581800921756
the,56,3644,12.10031788524538
mind,1,65,12.098733376529387
must,2,128,12.076365563500932
upon,2,126,12.053645487000848
let,1,62,12.030561873887807
or,5,307,12.016532313983749
life,2,121,11.995228800775529
going,1,60,11.98325615910945
i,25,1500,11.98325615910945
edward,9,539,11.980582024811126
get,1,59,11.959008612862775
for,13,754,11.934346558628503
so,6,347,11.930194915358038
been,5,287,11.91934439528926
that,39,2230,11.91379133944635
man,2,114,11.909255577665673
know,3,171,11.909255577665673
moment,1,57,11.909255577665673
as,11,618,11.88839697276801
left,1,56,11.883720485558536
something,1,56,11.883720485558536
s,7,388,11.868923483630457
what,4,221,11.864268122892366
case,1,55,11.857725277025592
told,1,54,11.831253065664402
say,3,158,11.79518381095688
other,2,105,11.790611081167054
but,8,404,11.734577046252728
might,2,101,11.734577046252728
said,4,201,11.727417254679862
some,2,99,11.70572218358054
want,1,49,11.691075407616141
money,1,49,11.691075407616141
really,2,97,11.67627840568806
between,1,48,11.66132806422209
fellow,1,48,11.66132806422209
white,1,48,11.66132806422209
sort,2,94,11.63095441517857
you,10,466,11.61862361326785
pretty,1,46,11.599927519557946
round,1,46,11.599927519557946
poor,3,136,11.578865904030117
