collocation,collocate_count,total_count,MI
on,1,220,13.962405455196492
there,1,179,13.664861518936087
her,4,714,13.660826005700931
by,1,150,13.409864432167714
are,1,139,13.299986814395341
gino,1,139,13.299986814395341
could,1,136,13.268508582922172
she,7,948,13.262434068512487
had,4,536,13.247134932129605
philip,2,256,13.181045741671833
my,1,125,13.14683002633392
which,1,120,13.08793633728035
then,1,119,13.075863504979775
little,1,116,13.039026736799403
it,8,836,12.888404873752716
mrs,1,102,12.853471083643328
so,2,195,12.788376055421441
herriton,1,97,12.780958583858958
know,1,96,12.766008242392989
harriet,2,191,12.758474569707579
would,2,190,12.75090135000278
baby,1,93,12.720204552779862
he,12,1110,12.712427202188143
as,4,370,12.712427202188143
don,1,91,12.688840381870529
at,4,359,12.668885775494882
do,2,178,12.656779172638231
but,5,439,12.637194776319827
him,4,348,12.62398923752056
you,8,694,12.619837594250093
why,1,85,12.590436677809533
must,1,85,12.590436677809533
and,20,1638,12.53683728842548
for,6,479,12.499965086686855
his,5,399,12.499362583006814
out,2,158,12.484826489848935
come,1,78,12.46644796053408
only,1,78,12.46644796053408
me,2,152,12.428973255115416
think,1,73,12.37087030055185
i,12,847,12.322301400282875
of,14,986,12.31913465599214
nothing,1,70,12.3103287586168
t,3,210,12.3103287586168
to,19,1325,12.304894872566171
from,2,138,12.28957019845
life,1,65,12.203413554700287
things,1,65,12.203413554700287
their,1,65,12.203413554700287
italy,1,64,12.18104574167183
some,1,64,12.18104574167183
said,4,255,12.175399178530691
one,3,189,12.158325665171748
now,2,126,12.158325665171748
other,1,62,12.135242052058707
thought,1,61,12.11178307923472
not,8,483,12.096925120507606
just,1,60,12.08793633728035
been,2,119,12.075863504979775
shall,1,59,12.063688791033673
that,10,577,12.031545155429951
was,16,910,12.01076847675789
if,3,170,12.005474177088377
got,1,56,11.988400663729436
all,5,279,11.983238958613656
back,1,54,11.935933243835299
told,1,52,11.881485459812925
up,3,153,11.853471083643328
will,3,153,11.853471083643328
what,4,204,11.853471083643328
has,2,100,11.824901931446556
thing,1,50,11.824901931446556
love,1,50,11.824901931446556
no,4,195,11.788376055421443
or,3,146,11.785907799830692
the,49,2357,11.769071940806791
such,1,48,11.766008242392989
face,1,47,11.735634593349468
left,1,47,11.735634593349468
m,1,46,11.704607697728843
himself,1,46,11.704607697728843
right,1,46,11.704607697728843
knew,1,45,11.672898838001505
when,3,135,11.672898838001505
place,1,44,11.640477360309129
though,1,44,11.640477360309129
without,1,44,11.640477360309129
with,7,305,11.626356252064475
this,4,173,11.615673969308556
take,1,43,11.60731049637393
is,10,421,11.576794069850864
letter,1,42,11.573363164450592
about,2,83,11.556085173018756
better,1,41,11.538597746289916
here,2,81,11.520895744556457
can,2,80,11.502973836559194
how,2,77,11.447832282366734
because,1,38,11.428973255115418
look,1,38,11.428973255115418
make,1,38,11.428973255115418
really,1,37,11.390499107300782
should,2,74,11.390499107300782
be,9,315,11.310328758616798
yes,1,35,11.310328758616798
italian,1,34,11.268508582922172
father,1,34,11.268508582922172
like,3,102,11.268508582922172
english,1,33,11.225439861030285
have,8,264,11.225439861030285
lady,1,31,11.135242052058707
going,1,31,11.135242052058707
came,2,61,11.111783079234717
oh,2,60,11.08793633728035
good,3,90,11.08793633728035
s,10,280,10.988400663729434
head,1,28,10.988400663729434
an,4,110,10.962405455196492
upon,1,27,10.9359332438353
between,1,27,10.9359332438353
men,1,27,10.9359332438353
well,3,79,10.899863989127779
away,2,50,10.824901931446558
whole,1,25,10.824901931446558
does,1,25,10.824901931446558
son,1,25,10.824901931446558
a,40,940,10.735634593349468
house,2,47,10.735634593349468
great,2,46,10.704607697728845
friend,1,22,10.640477360309129
became,1,22,10.640477360309129
wife,1,22,10.640477360309129
may,2,44,10.640477360309129
who,7,149,10.592859340076389
yet,1,21,10.573363164450592
another,2,41,10.538597746289916
else,1,20,10.502973836559194
behind,1,19,10.428973255115418
exclaimed,1,19,10.428973255115418
towards,1,18,10.350970743114145
together,1,18,10.350970743114145
cried,3,53,10.324003695513875
own,2,34,10.268508582922172
understand,2,34,10.268508582922172
position,1,16,10.181045741671833
box,1,16,10.181045741671833
might,4,62,10.135242052058707
wrote,1,15,10.08793633728035
matter,1,15,10.08793633728035
sorry,1,15,10.08793633728035
nor,2,30,10.08793633728035
across,1,15,10.08793633728035
given,1,15,10.08793633728035
asked,3,44,10.055514859587973
answered,1,14,9.988400663729436
married,1,14,9.988400663729436
note,1,14,9.988400663729436
strange,1,14,9.988400663729436
am,5,67,9.925206837242241
marry,1,13,9.881485459812923
doesn,1,12,9.766008242392987
bed,1,12,9.766008242392987
ladies,1,12,9.766008242392987
visit,1,12,9.766008242392987
speak,2,24,9.766008242392987
old,2,23,9.704607697728845
re,2,23,9.704607697728845
