collocation,collocate_count,total_count,MI
on,1,530,14.944691970705453
know,1,223,13.695743321175197
which,1,208,13.595283139395983
down,1,207,13.588330378754215
were,2,386,13.487300458522972
say,1,189,13.457085845475964
go,1,186,13.434002232362923
all,3,537,13.378659198519149
see,1,177,13.362448971337887
come,1,168,13.287160844033652
think,1,166,13.269882852601818
margaret,4,623,13.177931774278893
we,3,441,13.094515766091256
again,1,141,13.034394773653686
back,1,140,13.024126438199858
much,1,139,13.013784493978399
more,2,275,12.998131229666914
do,3,405,12.97165901830572
tibby,1,135,12.97165901830572
don,2,267,12.955539352942443
just,1,133,12.950125856756081
people,1,133,12.950125856756081
here,1,132,12.939237540613345
though,1,130,12.917211234283345
things,1,130,12.917211234283345
mr,2,258,12.906070676678144
why,1,129,12.906070676678144
mrs,2,257,12.90046797044877
through,1,126,12.872123344754806
our,1,126,12.872123344754806
their,2,249,12.854845353322972
m,1,121,12.813706658529487
wilcox,3,354,12.777486470616731
leonard,1,118,12.777486470616731
charles,2,234,12.765208140838297
will,2,232,12.752824416382461
ve,1,115,12.740333472199266
been,3,343,12.731945686706547
away,1,112,12.702198343312496
sister,1,111,12.689259287604996
only,2,216,12.64973092341836
house,2,215,12.643036270844352
no,5,535,12.636310407656039
you,14,1440,12.579341595526962
thing,1,97,12.494756263442019
way,1,97,12.494756263442019
her,14,1354,12.490500522772283
t,8,771,12.485430471169925
yes,2,192,12.479805921976046
it,20,1911,12.473027389344985
life,2,191,12.47227224929064
man,2,189,12.457085845475964
another,1,94,12.449432272932528
aunt,1,94,12.449432272932528
get,1,93,12.434002232362923
before,1,93,12.434002232362923
herself,1,90,12.386696517584566
asked,1,89,12.370576852221289
yet,1,88,12.354275039892189
what,5,439,12.350992455902887
i,24,2073,12.327385321643149
now,3,256,12.309880920533734
your,3,248,12.264077230920611
there,5,408,12.245340668339024
not,11,880,12.216771516142254
off,1,80,12.216771516142254
one,6,463,12.164749303793972
ever,1,77,12.161629961949792
round,1,77,12.161629961949792
give,1,75,12.123662111750772
could,4,299,12.118845095452995
helen,7,523,12.118155635444227
time,2,149,12.11401194171705
she,22,1638,12.113131444258602
be,9,667,12.106461370997163
other,2,148,12.10429678688384
seemed,1,73,12.084667980134908
munt,1,72,12.064768422697203
they,9,644,12.055835297927196
at,9,643,12.053593347140525
isn,1,71,12.044590540759572
talk,1,71,12.044590540759572
my,5,349,12.01999855257718
over,3,208,12.010320638674829
must,3,202,11.96809240328553
began,1,67,11.960932611712662
me,5,331,11.943602733174744
while,1,65,11.917211234283345
took,1,65,11.917211234283345
was,25,1620,11.912765329252155
past,1,64,11.89484342125489
to,43,2714,11.874783671971647
that,25,1577,11.873954176270678
came,2,125,11.860627705916977
have,10,624,11.858317545229777
gone,1,62,11.849039731641765
us,2,123,11.837357926594132
are,6,368,11.833442876590746
had,19,1161,11.828068164676871
moment,1,61,11.825580758817777
night,1,61,11.825580758817777
he,23,1392,11.814224961046607
into,4,242,11.813706658529487
then,4,238,11.789661184562833
than,3,176,11.76931253917103
and,56,3283,11.768287533770268
cannot,1,58,11.752824416382461
morning,1,58,11.752824416382461
them,6,346,11.74450914817046
if,6,344,11.736145675235834
of,39,2204,11.7153497109638
might,2,112,11.702198343312496
but,18,1000,11.690702704474665
did,5,277,11.686657492416717
new,1,55,11.67620313477955
going,2,110,11.67620313477955
too,4,218,11.663027746031817
own,2,109,11.663027746031817
room,2,108,11.64973092341836
rather,2,107,11.636310407656039
so,9,481,11.634811503582622
behind,1,53,11.62276387581809
remember,1,53,11.62276387581809
can,5,262,11.60633832790498
about,5,261,11.600821322937414
up,6,310,11.586005325807971
evening,1,51,11.567268763226387
s,20,1015,11.560179338440069
said,12,608,11.55780843397732
let,2,100,11.538699611029616
suppose,1,50,11.538699611029616
wanted,1,50,11.538699611029616
him,10,497,11.530017367929815
may,3,149,11.529049440995896
part,1,49,11.509553265370098
help,1,49,11.509553265370098
seen,1,49,11.509553265370098
this,8,391,11.505868218562243
from,7,340,11.496879435334987
tell,2,97,11.494756263442019
once,2,97,11.494756263442019
with,15,723,11.48580466259749
ask,1,48,11.479805921976046
hall,1,48,11.479805921976046
those,2,95,11.464699029585839
most,2,94,11.449432272932528
nothing,3,141,11.449432272932528
re,2,94,11.449432272932528
really,2,94,11.449432272932528
brother,1,47,11.449432272932528
england,1,47,11.449432272932528
replied,1,47,11.449432272932528
right,3,140,11.4391639374787
like,5,232,11.430896321495101
where,2,92,11.418405377311904
hope,1,46,11.418405377311904
in,30,1364,11.401580754670546
because,2,90,11.386696517584566
out,7,315,11.386696517584566
never,5,223,11.373815226287833
got,2,89,11.370576852221289
for,20,882,11.35755017192505
better,2,87,11.33778691710362
how,4,174,11.33778691710362
well,4,174,11.33778691710362
the,123,5334,11.333331025466578
by,7,302,11.325893238522365
perhaps,2,85,11.304234357392591
would,10,422,11.294014515074712
against,2,84,11.287160844033652
also,1,42,11.287160844033652
want,3,125,11.275665205195821
fell,1,41,11.252395425872974
case,1,41,11.252395425872974
alone,1,41,11.252395425872974
old,2,81,11.234693424139515
always,2,80,11.216771516142252
gave,1,40,11.216771516142252
live,1,40,11.216771516142252
an,6,240,11.216771516142252
towards,1,40,11.216771516142252
look,2,79,11.198624169431994
poor,2,78,11.180245640117139
made,2,78,11.180245640117139
question,1,39,11.180245640117139
some,4,152,11.142770934698477
find,1,38,11.142770934698477
done,2,75,11.123662111750772
or,8,297,11.109162542055657
great,2,74,11.10429678688384
answer,1,36,11.064768422697204
human,1,36,11.064768422697204
good,5,179,11.056731103631785
last,3,107,11.05134790693488
music,1,35,11.024126438199858
side,1,35,11.024126438199858
best,1,35,11.024126438199858
when,8,277,11.00858558730408
very,6,206,10.996381447716953
as,22,754,10.993832515886258
should,4,137,10.992875504215418
oh,6,197,10.931932739990112
told,2,65,10.917211234283345
is,26,841,10.910365693368943
went,3,97,10.909793762720863
stood,1,32,10.89484342125489
does,2,64,10.89484342125489
already,1,32,10.89484342125489
saying,1,32,10.89484342125489
nature,1,32,10.89484342125489
read,1,32,10.89484342125489
little,8,256,10.89484342125489
thought,4,126,10.872123344754808
sense,1,31,10.849039731641767
his,22,681,10.846922790629664
cried,2,61,10.825580758817777
times,1,30,10.80173401686341
these,3,90,10.80173401686341
need,1,30,10.80173401686341
open,1,30,10.80173401686341
mean,2,59,10.777486470616731
am,5,147,10.772587671203892
care,1,29,10.752824416382463
voice,2,58,10.752824416382463
girl,2,57,10.727733435419633
such,4,113,10.715022383670078
tried,1,28,10.702198343312494
soul,1,28,10.702198343312494
umbrella,1,28,10.702198343312494
seem,1,28,10.702198343312494
window,1,28,10.702198343312494
himself,2,56,10.702198343312494
serious,1,27,10.64973092341836
wrote,1,27,10.64973092341836
without,3,81,10.64973092341836
lost,1,27,10.64973092341836
answered,1,27,10.64973092341836
called,2,53,10.62276387581809
sort,2,53,10.62276387581809
paul,3,79,10.613661668710838
loved,1,26,10.595283139395983
dining,1,26,10.595283139395983
pretty,1,26,10.595283139395983
agree,1,26,10.595283139395983
tired,1,26,10.595283139395983
turned,2,52,10.595283139395983
has,8,207,10.588330378754216
saw,3,76,10.55780843397732
rose,1,25,10.538699611029616
odd,1,25,10.538699611029616
exactly,1,25,10.538699611029616
eyes,3,74,10.519334286162684
many,2,49,10.509553265370098
walk,1,24,10.479805921976046
difficult,1,24,10.479805921976046
meet,1,23,10.418405377311904
children,1,23,10.418405377311904
together,1,23,10.418405377311904
wouldn,1,23,10.418405377311904
worth,1,22,10.354275039892187
face,2,44,10.354275039892187
anxious,1,22,10.354275039892187
truth,1,22,10.354275039892187
till,1,22,10.354275039892187
front,1,22,10.354275039892187
a,100,2196,10.351649570485364
boy,2,43,10.321108175956988
taken,2,43,10.321108175956988
ran,1,21,10.28716084403365
sir,1,21,10.28716084403365
mine,1,21,10.28716084403365
set,1,21,10.28716084403365
natural,1,21,10.28716084403365
knows,1,21,10.28716084403365
same,3,62,10.26407723092061
news,1,20,10.216771516142252
office,1,20,10.216771516142252
money,4,80,10.216771516142252
fire,1,20,10.216771516142252
talking,1,20,10.216771516142252
supposed,1,20,10.216771516142252
having,2,38,10.142770934698476
someone,1,19,10.142770934698476
interesting,1,19,10.142770934698476
point,2,38,10.142770934698476
expected,1,19,10.142770934698476
work,3,57,10.142770934698476
white,1,19,10.142770934698476
wife,4,76,10.142770934698476
wrong,3,56,10.11723584259134
heart,2,37,10.10429678688384
type,1,18,10.064768422697203
poetry,1,18,10.064768422697203
take,5,90,10.064768422697203
instead,1,18,10.064768422697203
questions,1,18,10.064768422697203
chance,1,18,10.064768422697203
looking,2,36,10.064768422697203
indeed,2,36,10.064768422697203
show,1,17,9.98230626250523
nice,1,17,9.98230626250523
kind,3,51,9.98230626250523
black,1,17,9.98230626250523
world,4,68,9.98230626250523
trouble,2,34,9.98230626250523
