collocation,collocate_count,total_count,MI
mr,1,404,14.409391771417129
all,1,306,14.008568131357983
them,1,222,13.545596155015438
beebe,1,208,13.451620006806424
did,1,190,13.32103589699628
out,1,159,13.064063243949686
don,1,144,12.921105290107645
then,1,144,12.921105290107645
miss,3,425,12.89753681896924
have,3,413,12.856215759363621
can,1,135,12.827995885716165
could,1,132,12.795574408023787
your,1,131,12.784603290202783
more,1,131,12.784603290202783
it,8,1036,12.767988576351888
mother,1,119,12.645998051973276
over,1,114,12.584070302830074
her,8,877,12.527613321110065
come,1,104,12.451620006806426
in,8,815,12.421836537783772
much,1,101,12.409391771417129
by,2,201,12.40223197984426
why,1,98,12.36589013278054
again,1,97,12.35109313085246
if,2,194,12.35109313085246
us,1,96,12.336142789386487
will,2,183,12.266880126949374
she,13,1176,12.250412915360604
when,2,180,12.243033384995007
from,2,180,12.243033384995007
things,1,88,12.21061190730263
be,4,344,12.177445043367431
dear,1,86,12.177445043367431
me,3,257,12.171842337138054
other,1,84,12.143497711444095
here,1,84,12.143497711444095
my,2,167,12.134884581139385
we,3,249,12.126219720012257
might,1,82,12.108732293283417
been,2,164,12.108732293283417
than,1,81,12.091030291549957
so,4,323,12.086570643359257
go,2,161,12.082097166779949
really,1,77,12.017966829360233
i,18,1383,12.014840728373516
no,4,303,11.994354272138283
which,2,150,11.979998979161214
with,6,449,11.976789422685322
at,6,446,11.967117687864482
rather,1,72,11.921105290107645
of,19,1335,11.885876801796663
t,6,419,11.877024221643529
before,1,69,11.859704745443503
made,1,68,11.838643129915672
want,1,67,11.817269479123105
where,1,65,11.773548101693788
you,15,969,11.764642548471896
to,26,1677,11.762407544088587
up,3,191,11.743646615979925
this,4,252,11.728460212165249
emerson,2,122,11.68191762622822
mean,1,61,11.68191762622822
people,2,120,11.658070884273851
lucy,8,477,11.649025744670844
and,31,1837,11.640119889389807
some,2,114,11.584070302830074
m,1,56,11.558535210722937
course,1,56,11.558535210722937
world,1,56,11.558535210722937
or,3,165,11.532540002189991
italy,1,55,11.532540002189991
voice,1,55,11.532540002189991
even,1,54,11.506067790828801
does,1,53,11.479100743228532
felt,1,53,11.479100743228532
seemed,1,53,11.479100743228532
down,2,105,11.465425806331455
should,2,105,11.465425806331455
had,12,617,11.435344467093595
quite,1,51,11.423605630636828
bartlett,4,204,11.423605630636828
cecil,5,252,11.406532117277887
know,3,150,11.395036478440058
think,2,98,11.365890132780542
there,4,192,11.33614278938649
are,5,238,11.324069957085914
make,1,47,11.30576914034297
george,3,139,11.285158860667684
on,6,278,11.285158860667684
into,3,139,11.285158860667684
for,10,461,11.277875134207308
eyes,1,45,11.243033384995007
but,12,513,11.16903280355123
about,3,128,11.166217787944175
beautiful,1,42,11.143497711444093
talk,1,42,11.143497711444093
lady,1,42,11.143497711444093
not,14,587,11.141042059717781
room,2,83,11.126219720012257
now,3,124,11.120414098331052
one,7,289,11.118751049108408
being,1,41,11.108732293283417
him,7,274,11.041857449568255
got,1,39,11.036582507527582
ought,1,39,11.036582507527582
remember,1,38,10.999107802108918
against,1,38,10.999107802108918
word,1,38,10.999107802108918
do,7,265,10.99367391605829
was,27,991,10.949034033688353
s,12,440,10.947577501468837
is,15,549,10.944952032062012
two,2,73,10.941004847545349
oh,4,146,10.941004847545349
the,86,3098,10.922036962752802
without,1,36,10.921105290107645
let,2,71,10.900927408170014
yes,2,71,10.900927408170014
must,4,140,10.880463305610299
hand,1,35,10.880463305610299
like,4,137,10.84921237162586
indeed,1,34,10.838643129915672
alone,1,34,10.838643129915672
woman,1,34,10.838643129915672
whom,1,34,10.838643129915672
give,1,34,10.838643129915672
cannot,1,34,10.838643129915672
just,2,67,10.817269479123105
he,31,1024,10.796983978278458
tea,1,33,10.795574408023786
his,13,428,10.792207556925389
what,8,257,10.75680483785921
head,1,32,10.751180288665331
only,4,127,10.739864975437499
very,5,157,10.723872942669598
as,13,405,10.712518668296228
nothing,2,61,10.68191762622822
would,9,271,10.663404328576892
hope,1,30,10.658070884273851
find,1,30,10.658070884273851
himself,1,30,10.658070884273851
how,6,177,10.633823338027174
because,2,59,10.633823338027174
girl,2,59,10.633823338027174
always,2,59,10.633823338027174
carriage,1,29,10.609161283792904
since,1,29,10.609161283792904
speak,1,29,10.609161283792904
said,15,432,10.599177195220284
look,2,57,10.584070302830074
who,9,254,10.569939973995186
has,5,141,10.568803546176763
boy,1,28,10.558535210722937
call,1,28,10.558535210722937
exclaimed,1,28,10.558535210722937
won,1,28,10.558535210722937
going,2,55,10.532540002189993
that,35,951,10.51519880258093
found,1,27,10.506067790828801
may,2,53,10.479100743228532
live,1,26,10.451620006806424
wrong,1,26,10.451620006806424
lost,1,26,10.451620006806424
replied,1,26,10.451620006806424
though,3,77,10.433004328639077
every,2,51,10.423605630636828
cried,2,50,10.395036478440058
dreadful,1,25,10.395036478440058
soon,1,25,10.395036478440058
whole,1,25,10.395036478440058
pleasant,1,24,10.33614278938649
rooms,1,24,10.33614278938649
meant,1,24,10.33614278938649
half,1,24,10.33614278938649
behind,1,24,10.33614278938649
sit,1,23,10.274742244722345
women,1,23,10.274742244722345
already,1,23,10.274742244722345
most,3,69,10.274742244722345
clever,1,22,10.21061190730263
surely,1,22,10.21061190730263
work,1,22,10.21061190730263
love,3,66,10.21061190730263
question,1,22,10.21061190730263
told,3,65,10.188585600972631
face,2,43,10.17744504336743
well,5,105,10.143497711444093
part,1,21,10.143497711444093
both,1,21,10.143497711444093
trying,1,21,10.143497711444093
certain,1,21,10.143497711444093
kind,2,41,10.108732293283417
any,4,82,10.108732293283417
suppose,2,41,10.108732293283417
three,1,20,10.073108383552695
others,1,20,10.073108383552695
nature,1,20,10.073108383552695
a,63,1256,10.068521114057043
something,3,59,10.048860837306018
bertolini,1,19,9.999107802108918
sun,1,19,9.999107802108918
santa,1,19,9.999107802108918
darkness,1,19,9.999107802108918
isn,2,37,9.960633654294282
take,2,36,9.921105290107645
real,1,18,9.921105290107645
case,1,18,9.921105290107645
broken,1,18,9.921105290107645
poor,2,35,9.8804633056103
wouldn,1,17,9.838643129915672
sure,2,34,9.838643129915672
good,5,84,9.82156961655673
seem,1,16,9.751180288665331
playing,1,16,9.751180288665331
across,1,16,9.751180288665331
man,8,127,9.739864975437499
happened,2,31,9.705376599052208
nice,2,31,9.705376599052208
knows,1,15,9.658070884273851
spring,1,15,9.658070884273851
an,10,148,9.638705559406919
another,3,44,9.625649406581473
such,5,72,9.599177195220282
blue,1,14,9.558535210722937
high,1,14,9.558535210722937
lips,1,14,9.558535210722937
white,1,14,9.558535210722937
instead,1,14,9.558535210722937
son,3,42,9.558535210722937
remembered,1,14,9.558535210722937
sat,2,27,9.506067790828801
dare,1,13,9.451620006806424
joy,1,13,9.451620006806424
laughed,1,12,9.33614278938649
black,1,12,9.33614278938649
generally,1,12,9.33614278938649
hoped,1,12,9.33614278938649
almost,2,24,9.33614278938649
difficult,1,12,9.33614278938649
held,1,12,9.33614278938649
feeling,2,23,9.274742244722345
caught,1,11,9.21061190730263
wanted,2,22,9.21061190730263
ill,1,11,9.21061190730263
necessary,1,11,9.21061190730263
realized,1,11,9.21061190730263
impossible,1,11,9.21061190730263
pretended,1,11,9.21061190730263
heavy,1,11,9.21061190730263
write,1,11,9.21061190730263
loved,2,21,9.143497711444093
exactly,2,21,9.143497711444093
gently,1,10,9.073108383552695
hurt,1,10,9.073108383552695
doing,1,10,9.073108383552695
neighbourhood,1,10,9.073108383552695
laugh,1,10,9.073108383552695
none,1,10,9.073108383552695
thinking,2,19,8.999107802108918
kissed,1,9,8.921105290107645
wasn,1,9,8.921105290107645
chapel,1,9,8.921105290107645
local,1,9,8.921105290107645
rubbish,1,9,8.921105290107645
murmured,2,18,8.921105290107645
bother,1,9,8.921105290107645
probably,1,9,8.921105290107645
name,4,34,8.838643129915672
expected,1,8,8.751180288665333
grave,1,8,8.751180288665333
fancy,1,8,8.751180288665333
glanced,1,8,8.751180288665333
warned,1,8,8.751180288665333
odd,2,16,8.751180288665333
interesting,1,8,8.751180288665333
thinks,1,8,8.751180288665333
leaving,1,7,8.558535210722937
funny,1,7,8.558535210722937
nuisance,1,7,8.558535210722937
sake,1,7,8.558535210722937
daughter,1,7,8.558535210722937
public,1,7,8.558535210722937
gazed,1,7,8.558535210722937
lie,1,7,8.558535210722937
pictures,1,7,8.558535210722937
practically,1,7,8.558535210722937
line,1,7,8.558535210722937
dropped,1,7,8.558535210722937
thoroughly,1,7,8.558535210722937
unless,1,7,8.558535210722937
marry,3,20,8.488145882831539
persephone,1,6,8.336142789386487
pick,1,6,8.336142789386487
wife,3,18,8.336142789386487
gets,1,6,8.336142789386487
immediately,1,6,8.336142789386487
beyond,1,6,8.336142789386487
ordinary,1,6,8.336142789386487
quiet,2,12,8.336142789386487
company,1,6,8.336142789386487
beside,1,6,8.336142789386487
fool,1,6,8.336142789386487
hold,1,6,8.336142789386487
ball,1,6,8.336142789386487
reasons,1,6,8.336142789386487
chivalry,1,6,8.336142789386487
unexpected,1,6,8.336142789386487
hadn,1,6,8.336142789386487
advice,1,6,8.336142789386487
tones,1,6,8.336142789386487
pray,1,6,8.336142789386487
pleasantly,1,5,8.073108383552695
bore,1,5,8.073108383552695
typical,1,5,8.073108383552695
low,1,5,8.073108383552695
telling,1,5,8.073108383552695
decided,1,5,8.073108383552695
common,1,5,8.073108383552695
attracted,1,5,8.073108383552695
ideals,1,5,8.073108383552695
opposite,2,9,7.921105290107644
ears,1,4,7.751180288665333
dislike,1,4,7.751180288665333
lecture,1,4,7.751180288665333
sleep,1,4,7.751180288665333
bred,1,4,7.751180288665333
snob,1,4,7.751180288665333
domani,1,4,7.751180288665333
truly,1,4,7.751180288665333
extraordinary,1,4,7.751180288665333
altogether,1,4,7.751180288665333
spent,1,4,7.751180288665333
vision,1,4,7.751180288665333
conclusion,1,4,7.751180288665333
vague,1,4,7.751180288665333
hasn,1,4,7.751180288665333
hated,1,4,7.751180288665333
faremo,1,4,7.751180288665333
murdered,3,11,7.6256494065814735
died,3,11,7.6256494065814735
young,21,74,7.568316231515523
harris,2,7,7.558535210722937
foolish,2,7,7.558535210722937
agreed,2,7,7.558535210722937
setting,1,3,7.336142789386488
awful,1,3,7.336142789386488
sincerity,1,3,7.336142789386488
spiritual,1,3,7.336142789386488
neighbour,1,3,7.336142789386488
thoughtful,1,3,7.336142789386488
physical,1,3,7.336142789386488
belongs,1,3,7.336142789386488
press,1,3,7.336142789386488
unreliable,1,3,7.336142789386488
sooner,1,3,7.336142789386488
gain,1,3,7.336142789386488
universe,1,3,7.336142789386488
whiskers,1,3,7.336142789386488
hesitated,1,3,7.336142789386488
firm,1,3,7.336142789386488
spread,1,3,7.336142789386488
equality,1,3,7.336142789386488
unselfish,1,3,7.336142789386488
vendor,1,3,7.336142789386488
wicked,1,3,7.336142789386488
fists,1,3,7.336142789386488
violently,1,3,7.336142789386488
build,1,3,7.336142789386488
respectful,1,3,7.336142789386488
rude,2,6,7.336142789386488
killed,2,5,7.073108383552695
old,39,92,6.9893400258600975
feels,1,2,6.751180288665333
irreligious,1,2,6.751180288665333
display,1,2,6.751180288665333
scraps,1,2,6.751180288665333
peculiar,1,2,6.751180288665333
parts,1,2,6.751180288665333
spot,1,2,6.751180288665333
reasonable,1,2,6.751180288665333
replies,1,2,6.751180288665333
laughs,1,2,6.751180288665333
crossed,1,2,6.751180288665333
dying,2,4,6.751180288665333
dullness,1,2,6.751180288665333
satisfy,1,2,6.751180288665333
enabled,1,2,6.751180288665333
affairs,1,2,6.751180288665333
younger,1,2,6.751180288665333
loathe,1,2,6.751180288665333
ladylike,1,2,6.751180288665333
obviously,1,2,6.751180288665333
plaintive,1,2,6.751180288665333
wash,1,2,6.751180288665333
delight,1,2,6.751180288665333
tiles,1,2,6.751180288665333
introducing,1,2,6.751180288665333
injured,1,2,6.751180288665333
marrying,1,2,6.751180288665333
dusk,1,2,6.751180288665333
provided,1,2,6.751180288665333
wandered,1,2,6.751180288665333
angrily,1,2,6.751180288665333
counter,1,2,6.751180288665333
dead,3,6,6.751180288665333
tricks,1,2,6.751180288665333
tremendous,1,2,6.751180288665333
signorina,1,2,6.751180288665333
saddened,1,2,6.751180288665333
puts,1,2,6.751180288665333
pain,1,2,6.751180288665333
shoddy,1,2,6.751180288665333
deny,1,2,6.751180288665333
refreshed,1,2,6.751180288665333
baptized,1,2,6.751180288665333
hid,1,1,5.751180288665332
praising,1,1,5.751180288665332
technical,1,1,5.751180288665332
prepares,1,1,5.751180288665332
contained,2,2,5.751180288665332
cared,1,1,5.751180288665332
presentable,2,2,5.751180288665332
languidly,1,1,5.751180288665332
bony,1,1,5.751180288665332
melancholy,1,1,5.751180288665332
capacities,1,1,5.751180288665332
rugged,1,1,5.751180288665332
weigh,1,1,5.751180288665332
boundary,1,1,5.751180288665332
punishes,1,1,5.751180288665332
shifting,1,1,5.751180288665332
spends,1,1,5.751180288665332
gutter,1,1,5.751180288665332
clinging,1,1,5.751180288665332
womanly,1,1,5.751180288665332
button,1,1,5.751180288665332
whip,2,2,5.751180288665332
nay,1,1,5.751180288665332
navvy,1,1,5.751180288665332
lakes,1,1,5.751180288665332
cleverness,1,1,5.751180288665332
hotly,1,1,5.751180288665332
click,1,1,5.751180288665332
stabbed,1,1,5.751180288665332
named,1,1,5.751180288665332
nipped,1,1,5.751180288665332
lo,1,1,5.751180288665332
gaining,1,1,5.751180288665332
shoulder,1,1,5.751180288665332
verged,1,1,5.751180288665332
miscreant,1,1,5.751180288665332
attacked,1,1,5.751180288665332
fat,1,1,5.751180288665332
considers,1,1,5.751180288665332
selling,1,1,5.751180288665332
aggressive,1,1,5.751180288665332
unpleasantly,1,1,5.751180288665332
philosopher,1,1,5.751180288665332
tempered,1,1,5.751180288665332
hides,1,1,5.751180288665332
brotherhood,1,1,5.751180288665332
summoned,1,1,5.751180288665332
crawl,1,1,5.751180288665332
intrusion,1,1,5.751180288665332
applicable,1,1,5.751180288665332
hooks,1,1,5.751180288665332
imperiously,1,1,5.751180288665332
curt,1,1,5.751180288665332
cheat,1,1,5.751180288665332
vibrating,1,1,5.751180288665332
reaction,1,1,5.751180288665332
gallantly,1,1,5.751180288665332
rage,1,1,5.751180288665332
scorched,1,1,5.751180288665332
