collocation,collocate_count,total_count,MI
jolyon,1,393,14.19231947614176
into,1,265,13.623782523333714
june,1,239,13.474800781863902
now,1,208,13.274373692024245
made,1,187,13.120828433770791
her,7,1252,13.056597898758168
room,1,172,13.000198728585254
do,1,167,12.957638266357206
said,3,489,12.922662128114231
out,2,324,12.91378397676778
know,1,160,12.895862068770517
went,1,155,12.85005837915739
again,1,149,12.793102494345316
she,7,1024,12.76657905182555
don,1,144,12.743858975325466
my,1,143,12.733805310661541
before,1,137,12.671966056843681
only,1,136,12.661396815133493
them,2,270,12.650749570933986
swithin,1,131,12.607356975420606
felt,1,119,12.468751737191099
man,2,235,12.450450920448151
hand,1,116,12.431914969010727
once,1,115,12.41942402482753
did,2,230,12.41942402482753
took,1,110,12.355293687407814
never,2,220,12.355293687407814
something,1,108,12.328821476046622
put,1,108,12.328821476046622
down,2,210,12.288179491549275
life,1,102,12.246359315854649
house,2,204,12.246359315854649
through,1,101,12.23214545663495
take,1,101,12.23214545663495
all,5,502,12.223549432946562
round,1,100,12.217790163657877
will,1,98,12.188643817998361
these,1,97,12.17384681607028
last,1,95,12.1437895822141
their,3,284,12.13871859266668
got,1,93,12.113092784991185
stood,1,93,12.113092784991185
forsytes,1,92,12.097495929940166
saw,1,90,12.065787070212828
see,2,179,12.057749751147409
might,1,89,12.04966740484955
against,1,88,12.03336559252045
i,9,784,12.01871881655605
or,3,259,12.00577976084855
door,1,86,12.000198728585252
think,1,85,11.983324910020855
but,7,592,11.976032417454501
little,3,251,11.960515027112768
back,2,163,11.922662128114231
head,1,81,11.91378397676778
home,1,78,11.859336192745403
came,2,153,11.831321816575803
how,2,153,11.831321816575803
eyes,3,228,11.821861487326737
on,10,759,11.819961954411257
three,1,74,11.783387339512105
himself,3,221,11.77687403255343
having,1,73,11.76375853276317
at,12,868,11.750522705606475
light,1,72,11.743858975325466
t,6,431,11.740515532251097
what,6,430,11.737164322751457
say,2,143,11.733805310661541
told,1,71,11.723681093387835
they,7,497,11.723681093387835
there,6,422,11.710070661869182
it,18,1262,11.70550516742339
where,2,138,11.682458430661324
you,11,749,11.663324263704608
yet,1,68,11.661396815133493
sat,1,68,11.661396815133493
heart,1,68,11.661396815133493
from,6,406,11.654307390347174
strange,1,67,11.640023164340926
quite,1,67,11.640023164340926
dark,1,66,11.618328093241608
so,6,395,11.614680316226462
other,2,130,11.596301786911608
in,29,1867,11.582459190981783
him,12,769,11.575811261123823
timothy,1,64,11.573933973883154
half,1,64,11.573933973883154
between,1,63,11.55121389738307
gone,1,62,11.528130284270029
ever,1,61,11.504671311446039
smile,1,61,11.504671311446039
no,7,424,11.494499506388749
away,2,121,11.492797211157747
go,3,180,11.480824569491672
always,2,120,11.480824569491672
some,3,179,11.472787250426254
had,26,1540,11.462208891324325
found,1,59,11.456577023244995
far,1,59,11.456577023244995
were,7,413,11.456577023244995
re,1,58,11.431914969010725
coming,1,58,11.431914969010725
get,2,115,11.41942402482753
