collocation,collocate_count,total_count,MI
at,1,583,15.261309756707597
me,1,299,14.297959357705206
don,1,247,14.02232491509178
see,1,245,14.010595622509669
been,1,228,13.906847697671843
back,1,209,13.781316815587983
now,1,191,13.651386511542848
then,1,183,13.589657521791143
down,1,182,13.581752323705796
had,4,698,13.521040909716751
them,1,169,13.474837119789285
their,1,167,13.457661975981154
up,2,318,13.386840638791455
were,2,306,13.331345526199751
time,1,138,13.18248214028527
which,1,134,13.140046873964874
here,1,131,13.107380685044552
on,5,653,13.10296877016617
what,3,390,13.096325496535556
her,9,1159,13.08269753307126
she,9,1154,13.076460190710272
any,1,128,13.0739576835071
should,1,126,13.051237607007018
can,2,244,13.004695021069988
got,1,121,12.992820920781694
they,4,477,12.971803139512613
get,1,119,12.968775446815044
lady,1,118,12.956600732868942
like,2,235,12.9504746300721
still,1,117,12.944322403090505
ll,2,234,12.944322403090505
re,1,116,12.931938678634673
night,1,115,12.919447734451476
by,2,229,12.913161471604045
nothing,1,111,12.868373549857207
way,1,111,12.868373549857207
two,1,111,12.868373549857207
car,1,111,12.868373549857207
all,3,326,12.837723337017021
about,2,216,12.828845185670568
one,3,320,12.810923277673306
we,3,318,12.8018781380703
much,1,106,12.8018781380703
think,2,208,12.774397401648192
even,1,102,12.746383025478597
no,4,404,12.732169166258895
i,19,1903,12.720090016337537
eyes,1,100,12.717813873281825
to,22,2178,12.70331430358671
into,2,197,12.696009502963477
more,2,195,12.68128799725671
and,27,2615,12.671665412477935
or,3,285,12.643813291838049
but,6,570,12.643813291838049
it,13,1227,12.634437499028914
of,18,1695,12.631102240088493
those,1,94,12.628546535184737
want,1,91,12.581752323705796
over,2,182,12.581752323705796
m,2,180,12.565810779836774
be,6,536,12.555084373243718
went,2,176,12.533389302144398
adrian,1,88,12.533389302144398
rather,1,88,12.533389302144398
when,3,264,12.533389302144398
won,1,87,12.516901179355829
ve,2,171,12.491810198392997
have,5,421,12.469706011686133
did,3,251,12.460538736736716
why,1,83,12.448997114854025
t,10,825,12.440279897752916
seemed,1,82,12.431509688125185
shall,1,80,12.395885778394463
stood,1,78,12.359359902369349
uncle,1,77,12.340744224202002
you,21,1616,12.339851743480134
face,2,150,12.30277637400298
going,2,147,12.273630028343463
your,4,293,12.268714537929348
thing,1,73,12.263782242387117
will,2,143,12.23382902028549
sat,1,71,12.223704803011783
said,7,487,12.194380723531838
make,1,69,12.18248214028527
something,1,69,12.18248214028527
own,1,69,12.18248214028527
not,9,619,12.177828281279053
dinny,9,617,12.173159361214205
are,3,204,12.16142052475744
well,3,203,12.154331099971122
turned,1,67,12.140046873964874
without,1,67,12.140046873964874
off,1,66,12.118351802865552
my,5,330,12.118351802865552
never,2,131,12.107380685044552
an,3,196,12.103705026901153
father,1,65,12.096325496535554
if,6,390,12.096325496535554
d,2,127,12.062642370279265
such,1,63,12.051237607007018
far,1,63,12.051237607007018
go,3,189,12.051237607007018
as,7,432,12.021490263612964
looking,1,61,12.004695021069987
came,2,122,12.004695021069987
mother,1,61,12.004695021069987
so,6,360,11.98084827911562
dornford,2,120,11.98084827911562
there,6,360,11.98084827911562
little,3,178,11.964728613752342
mr,2,117,11.944322403090505
mont,1,58,11.931938678634673
street,1,56,11.881312605564704
knew,1,56,11.881312605564704
told,1,56,11.881312605564704
in,24,1343,11.880238772213387
from,5,276,11.860554045397906
door,1,55,11.855317397031762
other,2,110,11.855317397031762
could,4,218,11.842142008284025
almost,1,54,11.828845185670568
out,5,270,11.828845185670568
lawrence,2,107,11.815424669908246
ask,1,53,11.8018781380703
the,73,3841,11.791399373158146
suppose,1,52,11.77439740164819
would,6,312,11.77439740164819
because,1,52,11.77439740164819
gone,1,52,11.77439740164819
for,11,572,11.77439740164819
he,23,1185,11.761067071235708
quite,2,103,11.760458210690318
jerry,1,51,11.746383025478595
say,3,151,11.727399922111022
gave,1,50,11.717813873281825
herself,1,50,11.717813873281825
his,14,696,11.709546257298223
between,1,49,11.688667527622309
come,4,194,11.673870525694227
sir,3,145,11.668904272800878
s,22,1061,11.665735005784569
house,1,48,11.658920184228256
only,3,144,11.658920184228256
know,5,240,11.658920184228256
let,2,95,11.643813291838049
him,10,475,11.643813291838049
ever,2,95,11.643813291838049
side,1,47,11.628546535184737
every,1,47,11.628546535184737
yet,1,45,11.565810779836774
lips,1,45,11.565810779836774
didn,2,89,11.549691114473497
is,10,437,11.523519058120336
tony,3,130,11.511362995814398
new,1,43,11.500222438209198
made,2,86,11.500222438209198
tell,2,85,11.483348619644802
am,1,42,11.466275106285861
miss,1,42,11.466275106285861
thank,1,42,11.466275106285861
really,2,83,11.448997114854025
clare,11,455,11.444248799955862
hands,1,41,11.431509688125184
both,1,41,11.431509688125184
croom,5,205,11.431509688125184
fact,1,41,11.431509688125184
before,3,122,11.41973252034883
being,2,81,11.413807686391724
last,2,80,11.395885778394463
murmured,1,40,11.395885778394463
ceylon,1,40,11.395885778394463
thought,4,159,11.386840638791456
together,1,39,11.359359902369349
very,6,232,11.346976177913517
corven,3,115,11.33448523373032
was,27,1030,11.327498803414212
general,2,76,11.321885196950687
many,1,38,11.321885196950687
has,3,112,11.296350104843548
job,1,37,11.283411049136049
that,32,1179,11.277305686486864
another,1,36,11.243882684949414
next,1,36,11.243882684949414
read,1,35,11.203240700452067
wanted,1,35,11.203240700452067
long,3,103,11.175495709969162
isn,1,34,11.161420524757439
dark,2,67,11.140046873964872
course,2,67,11.140046873964872
three,2,67,11.140046873964872
passed,1,33,11.118351802865554
world,1,33,11.118351802865554
opened,1,33,11.118351802865554
ship,1,33,11.118351802865554
dear,3,97,11.088908024973072
suddenly,2,64,11.0739576835071
us,2,64,11.0739576835071
call,1,32,11.0739576835071
seen,2,64,11.0739576835071
none,1,32,11.0739576835071
asked,1,32,11.0739576835071
hope,1,31,11.028153993893975
yes,7,216,11.021490263612964
with,20,607,10.99758229487542
most,1,30,10.98084827911562
married,1,30,10.98084827911562
heart,1,30,10.98084827911562
round,2,60,10.98084827911562
old,5,149,10.9711981090819
saw,3,87,10.931938678634673
good,5,144,10.92195459006205
sort,2,57,10.906847697671843
wait,1,28,10.881312605564704
against,2,56,10.881312605564704
however,1,28,10.881312605564704
than,4,111,10.868373549857207
does,2,55,10.85531739703176
oh,4,110,10.85531739703176
name,1,27,10.828845185670568
done,2,52,10.774397401648192
anyway,1,26,10.774397401648192
straight,1,26,10.774397401648192
standing,1,26,10.774397401648192
wife,2,52,10.774397401648192
a,71,1842,10.771267910093755
best,1,25,10.717813873281825
dead,1,25,10.717813873281825
bad,1,25,10.717813873281825
began,1,25,10.717813873281825
across,1,25,10.717813873281825
damages,1,25,10.717813873281825
living,1,25,10.717813873281825
having,2,48,10.658920184228256
grass,1,24,10.658920184228256
give,2,47,10.628546535184737
kept,1,23,10.597519639564114
slightly,1,23,10.597519639564114
wonder,1,22,10.533389302144398
box,1,22,10.533389302144398
corner,1,22,10.533389302144398
boat,1,22,10.533389302144398
hair,1,22,10.533389302144398
fire,1,22,10.533389302144398
neither,1,22,10.533389302144398
cherrell,1,21,10.466275106285861
walked,2,42,10.466275106285861
care,1,20,10.395885778394462
hot,1,20,10.395885778394462
raised,1,20,10.395885778394462
stand,1,20,10.395885778394462
silent,1,20,10.395885778394462
away,4,79,10.377738431684204
laughed,1,19,10.321885196950687
front,1,19,10.321885196950687
outside,1,19,10.321885196950687
kiss,1,19,10.321885196950687
quiet,1,19,10.321885196950687
white,1,19,10.321885196950687
myself,1,18,10.243882684949414
defend,1,18,10.243882684949414
became,1,18,10.243882684949414
bye,1,18,10.243882684949414
seems,1,18,10.243882684949414
this,16,284,10.223704803011783
deep,1,17,10.161420524757439
meet,1,16,10.0739576835071
hadn,1,16,10.0739576835071
speaking,1,16,10.0739576835071
yours,1,16,10.0739576835071
whose,1,16,10.0739576835071
work,2,32,10.0739576835071
expression,2,31,10.028153993893977
woman,2,31,10.028153993893977
called,2,31,10.028153993893977
love,8,122,10.004695021069987
noticed,1,15,9.98084827911562
walk,1,15,9.98084827911562
nature,1,15,9.98084827911562
watched,2,30,9.98084827911562
thin,1,15,9.98084827911562
close,2,29,9.931938678634673
sudden,1,14,9.881312605564704
hurt,1,14,9.881312605564704
crossed,1,14,9.881312605564704
beyond,1,14,9.881312605564704
making,1,14,9.881312605564704
slowly,2,27,9.82884518567057
thinking,4,54,9.82884518567057
different,1,13,9.774397401648192
hasn,1,13,9.774397401648192
shouldn,1,13,9.774397401648192
behind,3,38,9.736922696229529
wants,2,25,9.717813873281825
instone,1,12,9.658920184228256
food,1,12,9.658920184228256
strong,1,12,9.658920184228256
seated,1,12,9.658920184228256
whom,1,12,9.658920184228256
quietly,1,12,9.658920184228256
saying,2,24,9.658920184228256
james,1,11,9.533389302144396
black,1,11,9.533389302144396
dress,1,11,9.533389302144396
stick,1,11,9.533389302144396
weeks,1,11,9.533389302144396
continued,1,11,9.533389302144396
position,2,22,9.533389302144396
reach,1,11,9.533389302144396
who,14,150,9.495421451945377
lovely,2,21,9.46627510628586
document,1,10,9.395885778394462
seat,1,10,9.395885778394462
tie,1,10,9.395885778394462
cause,1,10,9.395885778394462
matters,1,10,9.395885778394462
fashioned,1,10,9.395885778394462
met,3,30,9.395885778394462
self,1,10,9.395885778394462
public,1,10,9.395885778394462
torch,1,9,9.243882684949412
eyebrows,1,9,9.243882684949412
middle,1,9,9.243882684949412
decent,1,9,9.243882684949412
fell,2,18,9.243882684949412
hours,2,17,9.161420524757439
lane,1,8,9.0739576835071
nice,6,48,9.0739576835071
tall,1,8,9.0739576835071
fond,1,8,9.0739576835071
examining,1,8,9.0739576835071
attractive,1,8,9.0739576835071
claim,1,8,9.0739576835071
throat,1,7,8.881312605564704
placed,1,7,8.881312605564704
creature,1,7,8.881312605564704
hanging,1,7,8.881312605564704
fall,1,7,8.881312605564704
mixed,1,7,8.881312605564704
treat,1,7,8.881312605564704
gaze,1,7,8.881312605564704
thrust,1,7,8.881312605564704
finger,1,7,8.881312605564704
awful,1,7,8.881312605564704
seater,1,7,8.881312605564704
failed,1,7,8.881312605564704
senses,1,7,8.881312605564704
answering,1,7,8.881312605564704
feels,1,7,8.881312605564704
nose,2,13,8.774397401648192
perfectly,2,13,8.774397401648192
publicity,1,6,8.658920184228256
dirty,1,6,8.658920184228256
spoken,1,6,8.658920184228256
burst,1,6,8.658920184228256
adultery,1,6,8.658920184228256
shut,1,6,8.658920184228256
cleared,1,6,8.658920184228256
lifted,1,6,8.658920184228256
exact,1,6,8.658920184228256
lover,1,6,8.658920184228256
naturally,2,12,8.658920184228256
company,1,6,8.658920184228256
cabin,1,6,8.658920184228256
quaint,1,6,8.658920184228256
danger,1,6,8.658920184228256
repeated,1,5,8.395885778394462
stairway,1,5,8.395885778394462
gloom,1,5,8.395885778394462
faced,1,5,8.395885778394462
bowed,1,5,8.395885778394462
foreman,1,5,8.395885778394462
considerate,1,5,8.395885778394462
pleasant,3,14,8.29635010484355
young,58,254,8.204661375151694
lasted,1,4,8.0739576835071
blowing,1,4,8.0739576835071
involved,1,4,8.0739576835071
rimmed,1,4,8.0739576835071
bow,1,4,8.0739576835071
surprised,1,4,8.0739576835071
paused,1,4,8.0739576835071
suspicious,1,4,8.0739576835071
suspicions,1,4,8.0739576835071
wins,1,4,8.0739576835071
creep,1,4,8.0739576835071
observe,1,4,8.0739576835071
proper,1,4,8.0739576835071
allowed,1,4,8.0739576835071
occupation,1,4,8.0739576835071
bearded,1,4,8.0739576835071
discretion,1,3,7.658920184228256
glancing,1,3,7.658920184228256
facts,1,3,7.658920184228256
wake,1,3,7.658920184228256
admission,1,3,7.658920184228256
withdraw,1,3,7.658920184228256
misfit,1,3,7.658920184228256
ghastly,1,3,7.658920184228256
ruffian,1,3,7.658920184228256
average,1,3,7.658920184228256
story,1,3,7.658920184228256
younger,1,3,7.658920184228256
nervous,1,3,7.658920184228256
offer,1,3,7.658920184228256
sees,1,3,7.658920184228256
inviting,1,3,7.658920184228256
sympathy,1,3,7.658920184228256
fourth,1,3,7.658920184228256
paying,1,3,7.658920184228256
tempered,1,3,7.658920184228256
thus,1,3,7.658920184228256
twisting,1,3,7.658920184228256
abroad,1,3,7.658920184228256
obviously,2,5,7.395885778394463
spectacles,2,5,7.395885778394463
fling,1,2,7.073957683507101
admits,1,2,7.073957683507101
wounded,1,2,7.073957683507101
alter,1,2,7.073957683507101
pippin,1,2,7.073957683507101
controlled,2,4,7.073957683507101
illegal,1,2,7.073957683507101
appearing,1,2,7.073957683507101
unhappiness,1,2,7.073957683507101
mare,1,2,7.073957683507101
provide,1,2,7.073957683507101
scrutiny,1,2,7.073957683507101
lifelong,1,2,7.073957683507101
patient,1,2,7.073957683507101
surprisingly,1,2,7.073957683507101
worries,1,2,7.073957683507101
fund,1,2,7.073957683507101
preoccupied,1,2,7.073957683507101
hooked,1,2,7.073957683507101
jump,2,4,7.073957683507101
passionately,1,2,7.073957683507101
inexorable,1,2,7.073957683507101
frank,1,2,7.073957683507101
height,1,2,7.073957683507101
capacity,1,2,7.073957683507101
rows,1,2,7.073957683507101
snake,1,2,7.073957683507101
doves,1,2,7.073957683507101
horn,3,5,6.810923277673306
energy,2,3,6.658920184228256
