collocation,collocate_count,total_count,MI
thought,1,228,13.571821129841265
they,2,450,13.55271230689356
come,1,210,13.453176633342645
went,1,195,13.346261429426136
into,1,172,13.165195870378621
back,1,167,13.122635408150575
just,1,160,13.060859210563887
me,2,307,13.001025961046704
those,1,148,12.948384481305474
noel,3,442,12.9418711743468
out,3,390,12.761298928704978
ve,1,130,12.761298928704978
day,1,125,12.70471540033861
dear,1,120,12.645821711285041
ll,1,119,12.633748878984466
get,1,118,12.621574165038364
much,1,113,12.55911007809171
last,1,112,12.546286037734127
girl,1,108,12.49381861783999
poor,1,106,12.466851570239722
are,2,211,12.460030304383709
have,4,413,12.42892908709597
eyes,2,203,12.404267032861698
very,2,203,12.404267032861698
now,2,203,12.404267032861698
here,1,101,12.397142598428319
its,1,101,12.397142598428319
war,1,100,12.382787305451247
say,1,100,12.382787305451247
father,1,100,12.382787305451247
all,5,496,12.371199331176035
these,1,98,12.353640959791731
were,3,294,12.353640959791731
when,3,291,12.338843957863652
things,1,97,12.338843957863652
leila,2,193,12.331388152944605
should,1,96,12.323893616397681
up,4,382,12.316359943712273
yet,1,95,12.30878672400747
even,1,93,12.278089926784554
she,17,1576,12.273520093882562
her,19,1701,12.223171027896322
perhaps,1,88,12.19836273431382
always,1,88,12.19836273431382
little,4,347,12.177722968254784
never,2,171,12.15678363056242
no,4,341,12.152559044700695
and,38,3223,12.145192075292483
edward,1,84,12.131248538455285
any,1,84,12.131248538455285
how,2,165,12.105253329922338
from,4,330,12.105253329922338
took,1,81,12.078781118561148
such,1,80,12.060859210563887
time,2,160,12.060859210563887
feeling,1,79,12.042711863853626
you,14,1104,12.040100650397088
men,1,78,12.024333334538772
on,8,611,11.993959685495254
people,1,75,11.967749806172405
great,1,75,11.967749806172405
must,2,150,11.967749806172405
which,4,297,11.95325023647729
was,16,1170,11.93122393014729
to,31,2247,11.918519214469555
before,2,144,11.908856117118836
each,1,72,11.908856117118836
some,2,144,11.908856117118836
came,2,144,11.908856117118836
it,19,1343,11.88224719166038
his,16,1128,11.878482468075319
him,9,627,11.861327747036249
we,4,276,11.847455572454693
make,1,69,11.847455572454693
hands,1,67,11.805020306134296
without,1,66,11.783325235034978
jimmy,1,64,11.738931115676523
then,3,191,11.731397442991115
oh,2,124,11.693127426063398
down,4,248,11.693127426063398
still,2,123,11.681445621015762
nothing,2,123,11.681445621015762
been,5,305,11.66966845323941
gratian,2,122,11.66966845323941
again,3,182,11.661763255154062
being,1,60,11.645821711285041
first,1,60,11.645821711285041
what,6,360,11.645821711285041
i,26,1556,11.642117742521624
after,2,118,11.621574165038364
so,7,410,11.611056293124363
see,4,234,11.609295835259928
