collocation,collocate_count,total_count,MI
sylvia,2,1127,15.015942807575662
hester,1,362,14.377516894486645
you,1,295,14.082242151652645
only,1,288,14.047596008845753
again,1,267,13.938366939090994
very,1,256,13.877671007403443
where,1,192,13.462633508124597
which,4,754,13.436091720672104
bell,1,182,13.385465647602137
home,1,174,13.32061450325217
here,1,173,13.312299235040165
after,2,335,13.265688292748575
going,1,167,13.261375299877493
from,4,664,13.252710438750366
shop,1,160,13.199599102290803
her,21,3281,13.1652734631431
robson,1,154,13.144457548098343
back,2,306,13.135058850096092
little,3,449,13.103280141423431
take,1,148,13.08712437303239
love,1,147,13.077343352239804
went,2,290,13.057580097418375
day,2,284,13.027418126908124
while,1,141,13.017222359802235
those,1,139,12.996612080126948
being,1,139,12.996612080126948
must,1,139,12.996612080126948
them,3,405,12.95448660445427
could,4,536,12.943760197861215
down,3,397,12.925703703825244
long,2,264,12.922065126761893
our,1,128,12.877671007403443
she,20,2467,12.824284912816202
till,1,123,12.82018551274268
did,3,369,12.82018551274268
far,1,122,12.808408344966326
about,3,364,12.800503146880981
without,1,121,12.796534244678035
sure,1,121,12.796534244678035
time,4,483,12.793550386239213
give,1,115,12.723161058347815
d,3,344,12.718973261384383
face,2,227,12.704219494694355
pretty,1,112,12.685025929461046
so,8,895,12.68341487955506
towards,1,111,12.672086873753548
way,2,220,12.659030720928099
see,3,326,12.641436660913362
turned,1,108,12.632558509566909
then,4,428,12.61913799380459
house,2,211,12.598770196110628
their,5,525,12.591916525069564
kept,1,105,12.591916525069564
eyes,2,210,12.591916525069564
himself,2,208,12.578110725544533
two,2,206,12.56417153458666
now,4,409,12.553628040345188
great,2,204,12.550096349374938
kinraid,3,301,12.526328183441986
first,2,198,12.507027627483051
stood,1,96,12.462633508124597
into,5,476,12.450560675824022
told,1,95,12.44752661573439
look,2,185,12.409052467919754
jeremiah,1,92,12.401232963460455
make,2,184,12.401232963460455
tell,2,183,12.393370845687484
in,32,2928,12.393370845687484
before,4,366,12.393370845687484
thou,3,274,12.390740589642812
gave,1,91,12.385465647602137
between,1,90,12.369524103733115
me,6,539,12.366849969434792
monkshaven,2,179,12.361486784667697
rather,1,89,12.353404438369838
up,8,709,12.347312824642957
last,2,177,12.34527655748644
bit,1,87,12.32061450325217
away,3,259,12.30951679436884
got,1,86,12.303935762105539
taken,1,86,12.303935762105539
it,25,2141,12.297883898014225
get,1,85,12.287061943541143
still,2,169,12.278550443685626
saw,2,163,12.22639916163452
seemed,2,162,12.217521010288065
next,1,81,12.217521010288065
they,11,875,12.191378595485833
than,4,317,12.186010037542847
child,2,158,12.181451755580545
well,4,314,12.172291756295067
if,11,854,12.156331648386633
moment,1,76,12.125598520847026
feyther,1,75,12.10648969789932
coulson,2,147,12.077343352239804
either,1,73,12.067495566283458
cannot,1,73,12.067495566283458
with,18,1294,12.045367907953636
molly,2,143,12.03754234418183
more,7,499,12.033212090683099
much,4,285,12.032489116455546
noane,1,71,12.027418126908124
found,1,71,12.027418126908124
john,1,71,12.027418126908124
made,4,283,12.022329250235323
philip,15,1056,12.015174531153376
or,9,632,12.011526754138233
would,8,560,12.006954024348406
some,6,419,12.003514940381635
thought,5,348,11.998686408364808
replied,1,69,11.986195464181609
should,3,206,11.979209033865503
all,14,958,11.974197931082017
quite,1,68,11.96513384865378
years,1,68,11.96513384865378
to,83,5604,11.954872816487333
husband,2,135,11.95448660445427
him,18,1212,11.950919989434079
tone,1,67,11.943760197861215
there,9,602,11.941365682720832
knew,3,199,11.929333127225934
and,100,6610,11.92424937402377
find,1,66,11.922065126761893
under,1,66,11.922065126761893
men,3,198,11.922065126761893
on,24,1565,11.904655448502266
present,1,65,11.900038820431897
kind,2,130,11.900038820431897
end,1,65,11.900038820431897
tried,1,65,11.900038820431897
not,18,1158,11.885165543950366
name,1,64,11.87767100740344
sir,1,64,11.87767100740344
past,1,64,11.87767100740344
of,72,4593,11.872967074182071
ha,3,189,11.854950930903358
money,1,63,11.854950930903358
better,2,126,11.854950930903358
things,2,125,11.843455292065528
heard,2,125,11.843455292065528
were,18,1122,11.83960296656992
behind,1,62,11.831867317790316
passed,1,62,11.831867317790316
ship,1,61,11.808408344966326
his,37,2241,11.798144575284883
let,2,121,11.796534244678035
nay,1,60,11.78456160301196
held,1,60,11.78456160301196
yet,4,239,11.77853781538419
came,6,355,11.76438372107433
many,4,236,11.760314056765282
given,1,59,11.760314056765282
my,8,467,11.744949747113102
had,35,2043,11.744861479191703
looked,3,175,11.743919618514616
that,32,1852,11.732539390663677
took,3,172,11.718973261384383
do,5,286,11.715614249294468
farm,1,57,11.710561021568182
strange,1,57,11.710561021568182
words,5,284,11.70549003202076
at,23,1304,11.702837205577504
when,10,562,11.690169232737006
girl,1,56,11.685025929461046
by,16,896,11.685025929461046
one,13,716,11.661047066526606
most,2,110,11.659030720928099
among,1,55,11.659030720928099
re,2,110,11.659030720928099
he,62,3358,11.636861211953597
never,4,216,11.632558509566909
