collocation,collocate_count,total_count,MI
were,1,664,16.34931826879496
she,6,2910,15.896119774522521
did,1,426,15.708988457673872
do,1,419,15.685085271147384
him,2,819,15.651998479089041
her,9,3090,15.397744958797457
time,1,327,15.327425662946114
about,1,310,15.250403242722271
they,2,616,15.241065378142935
which,3,883,15.175585964375342
then,1,293,15.16903569187028
never,1,292,15.16410339632805
only,1,262,15.007701838985483
come,1,251,14.945822391398805
well,1,235,14.850795784013032
it,9,2098,14.839152798582989
at,4,924,14.826027878864089
have,4,918,14.81662918086184
way,1,223,14.775178737368337
after,1,222,14.76869470379814
farquhar,1,221,14.762181396839464
mother,1,217,14.735830069892511
oh,1,210,14.688524355114156
day,1,208,14.674718555589125
heart,1,207,14.667765794947359
benson,3,614,14.651411182097057
don,1,204,14.64670417941953
away,1,204,14.64670417941953
so,4,814,14.643163821714278
i,14,2811,14.623791653770773
some,2,384,14.559241338169189
from,3,568,14.539063456231558
tell,1,189,14.536521261669106
house,1,188,14.528867689125669
still,1,185,14.505660297964345
or,3,552,14.497840793505047
even,1,183,14.489978675732075
in,14,2509,14.4598206707996
on,5,889,14.448390351390442
could,3,532,14.444598772228067
been,3,526,14.428235326019179
jemima,2,350,14.425489949280362
said,4,690,14.404731389113564
last,1,172,14.40054359215013
upon,1,170,14.383669773585735
own,1,170,14.383669773585735
through,1,162,14.314128840332657
all,5,801,14.29800917496938
love,1,160,14.296206932335394
before,2,317,14.28261786758744
life,1,158,14.278059585625135
if,5,783,14.26521923985171
think,2,312,14.25968105631028
by,5,779,14.25783026062234
thought,2,311,14.255049607578636
know,2,310,14.250403242722271
speak,1,154,14.241065378142935
ruth,7,1069,14.228970053110919
into,3,455,14.219039071812935
take,1,149,14.193447357910193
we,2,295,14.178849981697237
not,10,1471,14.1749322738155
mr,8,1173,14.170266135476542
much,2,293,14.16903569187028
seemed,1,144,14.144203838890343
mind,1,143,14.134150174226422
you,12,1711,14.12994038121629
other,1,140,14.103561854392998
of,29,4042,14.097151448700195
little,3,417,14.09321991017154
than,2,275,14.077566645860054
now,3,408,14.061741678698372
must,2,267,14.034974769135586
am,2,267,14.034974769135586
to,37,4848,14.007999455292033
one,4,521,13.999418399726542
my,4,518,13.991087125134586
and,42,5425,13.987368836888477
are,2,257,13.97990338664191
bellingham,1,128,13.974278837448033
might,2,256,13.974278837448033
here,1,126,13.951558760947949
as,12,1511,13.950604281891705
be,8,984,13.916793342787273
spoke,1,122,13.905016175010918
very,4,480,13.881169433056552
knew,1,118,13.856921886809873
there,4,467,13.841557577157694
off,1,116,13.832259832575605
left,1,115,13.819768888392407
most,1,115,13.819768888392407
why,1,114,13.807168851612774
sure,1,114,13.807168851612774
more,4,441,13.758913683005554
but,12,1322,13.757822798234567
had,15,1639,13.745988380938973
was,25,2706,13.732368771649845
out,4,432,13.729166339611501
room,2,216,13.729166339611501
went,2,215,13.722471687037494
me,6,638,13.706728950491746
for,14,1475,13.693423154526993
stood,1,104,13.674718555589125
boy,1,104,13.674718555589125
with,12,1237,13.661946121703247
too,2,205,13.653758936953478
kind,1,101,13.632490320199826
good,2,202,13.632490320199826
the,72,7172,13.612513608874096
yet,2,198,13.603635457527643
perhaps,1,98,13.588988681563242
bradshaw,4,391,13.585303634755386
them,3,293,13.584073191149125
told,1,97,13.57419167963516
that,18,1745,13.573365157102735
say,2,192,13.559241338169189
this,6,575,13.556734482558616
long,2,189,13.536521261669105
word,1,94,13.528867689125669
far,1,94,13.528867689125669
would,7,644,13.497840793505047
things,1,91,13.482073477646729
round,1,90,13.466131933777707
leonard,3,269,13.4607786992835
may,2,178,13.45001226841443
came,3,266,13.444598772228067
half,1,87,13.417222333296762
whom,1,85,13.383669773585735
he,27,2284,13.376738270647406
feeling,1,84,13.366596260226792
no,7,576,13.33684891683274
up,6,487,13.317094298809218
something,1,81,13.314128840332657
father,2,158,13.278059585625135
his,17,1326,13.25968105631028
your,4,310,13.250403242722271
how,4,309,13.245741865352405
power,1,77,13.241065378142935
world,1,76,13.222206350891618
made,3,228,13.222206350891618
lay,1,73,13.16410339632805
answer,1,70,13.103561854392998
thing,1,69,13.082803294226201
great,2,138,13.082803294226201
ve,1,69,13.082803294226201
will,6,400,13.0331725265016
pretty,1,66,13.018672956806485
between,1,66,13.018672956806485
man,2,131,13.007701838985483
when,9,575,12.971771981837458
find,1,63,12.95155876094795
like,4,251,12.945822391398805
without,2,125,12.94006312211012
ask,1,62,12.928475147834908
feel,1,62,12.928475147834908
afraid,1,60,12.881169433056552
is,13,779,12.879318637368609
first,3,178,12.865049767693275
any,6,356,12.865049767693275
see,4,236,12.856921886809873
true,1,58,12.832259832575605
call,1,58,12.832259832575605
son,1,57,12.807168851612774
saw,3,170,12.798707272864577
always,2,113,12.79445779986322
soon,1,56,12.781633759505638
eccleston,1,54,12.729166339611501
town,1,54,12.729166339611501
strong,1,54,12.729166339611501
quite,2,106,12.702199292011233
being,2,105,12.688524355114156
fell,1,52,12.674718555589124
such,5,256,12.65235074256067
return,1,51,12.64670417941953
however,1,51,12.64670417941953
hardly,1,51,12.64670417941953
character,1,51,12.64670417941953
three,1,51,12.64670417941953
back,3,151,12.627721076051955
read,1,50,12.618135027222758
whose,1,50,12.618135027222758
ever,3,149,12.608484857189037
known,1,49,12.588988681563242
wished,1,48,12.559241338169189
looked,3,143,12.549187673505266
an,8,377,12.532699550716696
wonder,1,47,12.52886768912567
gentleman,1,47,12.52886768912567
can,5,233,12.516536887214949
s,26,1180,12.478410263556142
himself,3,136,12.476779177977216
god,4,179,12.458094614712289
short,1,44,12.43371045608533
sorrow,1,44,12.43371045608533
used,1,44,12.43371045608533
care,2,88,12.43371045608533
a,62,2711,12.424691924898868
years,2,87,12.417222333296762
help,2,86,12.40054359215013
looking,2,84,12.366596260226792
just,4,168,12.366596260226792
tender,1,41,12.331830842066115
grave,1,40,12.296206932335394
us,3,120,12.296206932335394
asked,4,157,12.268899586339659
donne,3,117,12.259681056310281
kitchen,1,38,12.222206350891618
