collocation,collocate_count,total_count,MI
time,1,666,15.920903808699478
molly,4,2165,15.621676751242305
we,1,527,15.58318459326543
room,1,452,15.361704404043405
own,1,385,15.130240077210482
little,2,755,15.101858275840657
over,1,355,15.013200656020262
down,1,328,14.899077446246299
again,1,314,14.836146190519843
her,15,4688,14.829391700441947
will,2,605,14.782316773790175
am,1,298,14.760693962090379
going,1,288,14.71145044307053
at,7,2015,14.710734642985942
are,2,566,14.686183684460099
mother,1,280,14.670808458573182
never,2,551,14.647433950199375
last,1,267,14.602221373315771
first,1,264,14.58591956098667
once,1,248,14.495721752015093
told,1,247,14.489892673212896
which,4,967,14.458897521105056
than,2,483,14.457404820463989
look,1,224,14.348880363685822
girl,1,222,14.335941307978324
anything,1,221,14.329428001019648
knew,1,221,14.329428001019648
these,1,213,14.276235061854056
they,4,841,14.257487431883362
without,1,208,14.24196515976931
more,3,619,14.230358540121324
much,3,615,14.221005541133662
asked,1,204,14.213950783599714
face,1,204,14.213950783599714
better,1,203,14.206861358813393
she,21,4261,14.206184355027677
herself,2,403,14.196161470156184
let,1,198,14.170882061707827
many,1,196,14.156235285743426
wish,1,195,14.148855755377827
hand,1,194,14.141438283815344
osborne,3,581,14.13895729431159
something,1,193,14.133982478896296
saw,1,188,14.096114293305854
things,1,187,14.088419901515854
speak,1,186,14.080684252736248
mrs,5,924,14.071346388156913
had,15,2761,14.065610018607769
made,2,360,14.03337853795789
nothing,1,178,14.017258872594613
ve,2,354,14.009130991711215
all,8,1412,14.005049814899396
t,9,1559,13.97800565288369
them,3,518,13.973371228593615
were,5,858,13.9644311842404
mamma,1,171,13.959377956514114
did,4,676,13.942404877910402
till,1,169,13.942404877910402
him,8,1324,13.912212848435434
sure,2,329,13.90346921536346
new,1,164,13.899077446246302
gone,1,164,13.899077446246302
thing,1,162,13.881375444512841
can,3,486,13.881375444512841
cynthia,7,1131,13.877553733560434
see,3,480,13.863453536515578
half,1,153,13.798913284320868
their,3,457,13.79261329596513
upon,2,302,13.779930180953297
it,26,3917,13.77661913643787
right,1,149,13.760693962090379
man,2,298,13.760693962090379
too,3,445,13.75422446676082
say,3,443,13.747725829462079
myself,1,147,13.74119778646458
seemed,1,146,13.731350000508234
away,2,290,13.721434531643151
after,3,434,13.71811417335154
would,7,1012,13.717164094264923
miss,4,572,13.701396778406606
on,10,1419,13.690256220801405
some,4,563,13.678516553708446
don,5,703,13.67697822581339
those,1,139,13.660466514351723
days,1,139,13.660466514351723
