collocation,collocate_count,total_count,MI
there,1,491,15.258641616984997
from,1,472,15.201705452032146
what,1,453,15.14242964271654
her,6,2204,14.840008410520307
were,1,345,14.749514954335837
do,1,326,14.667790556901384
julian,1,263,14.357981391962609
will,1,258,14.330289658093559
ida,2,480,14.225952998278824
she,8,1763,14.102879161990487
day,1,211,14.04016159137749
my,2,421,14.0367388257367
go,1,209,14.026421534751186
which,3,615,13.99854250217575
are,1,192,13.904024903391461
harriet,1,188,13.873651254347942
room,1,187,13.865956862557942
such,1,185,13.850443863186618
made,1,184,13.842624358727317
their,1,180,13.810915498999979
me,4,698,13.766145628879956
herself,1,170,13.728453338808006
still,1,155,13.595186807944541
too,1,153,13.576450245362956
about,2,303,13.562236386143256
back,1,151,13.557467141995383
yet,1,150,13.547881093166184
all,4,579,13.496481940659542
i,17,2406,13.464020488596042
must,1,141,13.458613755069099
could,3,414,13.427586859448473
if,3,398,13.370724522492797
waymark,5,659,13.361268962790994
little,2,262,13.352485404207753
with,9,1172,13.343894255650241
t,5,636,13.310017263067298
now,2,253,13.302055977364613
down,1,123,13.261576908009545
way,2,235,13.195579349235304
they,3,351,13.18942712225371
to,33,3819,13.173647487934366
it,14,1580,13.137416323677165
into,2,225,13.132843593887342
your,2,225,13.132843593887342
half,1,111,13.11347826902041
that,12,1330,13.1113104323377
not,7,766,13.092908062537658
would,5,542,13.079283349136814
moment,1,108,13.073949904833773
where,1,106,13.046982857233504
over,1,105,13.033307920336428
on,7,731,13.025435076565138
good,2,207,13.01254936016963
speak,1,103,13.005562929853523
often,1,102,12.9914877446418
think,2,203,12.984398319855481
woman,1,101,12.9772738854221
have,7,697,12.956722326481124
you,18,1759,12.929677168699953
him,7,679,12.918975244857432
much,2,194,12.918975244857432
at,10,962,12.907027391552983
some,3,288,12.90402490339146
hand,1,96,12.90402490339146
quite,1,95,12.888918011001254
should,2,187,12.865956862557942
its,1,93,12.858221213778336
enderby,1,93,12.858221213778336
own,2,184,12.842624358727317
told,1,92,12.842624358727317
don,2,179,12.80287817993456
took,1,89,12.794795833636702
last,1,87,12.762005898519032
oh,1,87,12.762005898519032
between,1,86,12.745327157372401
had,17,1454,12.73741111533956
again,2,169,12.71994183895249
two,2,169,12.71994183895249
brought,1,84,12.711379825449065
well,3,250,12.699884186611236
he,21,1744,12.69492930466847
world,1,83,12.694101834017228
head,1,83,12.694101834017228
so,6,491,12.67367911626384
be,9,736,12.672699357285005
take,1,81,12.658912405554927
come,3,242,12.652963139223743
first,2,161,12.64997928078492
an,5,401,12.644592734237863
man,2,160,12.640990497557667
place,1,79,12.622843150847409
mind,2,158,12.622843150847409
far,1,79,12.622843150847409
said,5,394,12.619186127239319
as,13,1021,12.614389835407014
for,12,941,12.612150814677685
enough,1,78,12.604464621532554
turned,1,78,12.604464621532554
away,2,156,12.604464621532554
stood,1,77,12.585848943365205
find,1,77,12.585848943365205
more,4,305,12.571727835120553
re,1,76,12.56698991611389
soon,1,76,12.56698991611389
might,2,152,12.56698991611389
ll,2,152,12.56698991611389
hour,1,76,12.56698991611389
times,1,75,12.547881093166184
of,45,3343,12.534136945958032
and,47,3479,12.528930514612558
long,2,148,12.528515768299252
in,30,2208,12.520696263839955
when,6,439,12.512177031484507
spoke,1,73,12.50888696155032
no,7,506,12.49470105530701
casti,1,72,12.488987404112617
abraham,1,72,12.488987404112617
make,2,144,12.488987404112617
was,29,2080,12.483449220571186
present,1,71,12.468809522174988
them,3,208,12.434539620090241
returned,1,69,12.427586859448475
like,3,202,12.392311384700943
almost,1,67,12.385151593128077
understand,1,67,12.385151593128077
or,4,263,12.357981391962607
asked,3,196,12.348809746064358
other,3,195,12.34143021569876
suppose,1,65,12.34143021569876
found,2,129,12.330289658093559
years,1,64,12.319062402670305
against,1,64,12.319062402670305
sally,1,64,12.319062402670305
father,1,64,12.319062402670305
believe,1,64,12.319062402670305
why,2,127,12.30774708944247
by,7,442,12.299610040004133
leave,1,63,12.29634232617022
any,3,188,12.288688753626785
nothing,2,125,12.28484668733239
one,7,435,12.276579071348792
talk,1,61,12.249799740233192
this,9,549,12.249799740233192
went,3,183,12.249799740233192
days,1,61,12.249799740233192
thing,1,61,12.249799740233192
m,2,121,12.2379256399449
did,4,241,12.231951738900266
kept,1,60,12.225952998278823
then,6,357,12.21388016597825
up,5,296,12.206587673411892
position,1,59,12.201705452032147
fear,1,59,12.201705452032147
been,7,404,12.169918963364497
but,14,806,12.166343509140667
eyes,3,171,12.151952416835048
under,1,57,12.151952416835048
word,1,55,12.100422116194965
usual,1,55,12.100422116194965
ever,2,109,12.08724672744723
get,2,107,12.060529389071451
passed,1,53,12.046982857233504
left,2,106,12.046982857233504
side,1,53,12.046982857233504
than,4,211,12.04016159137749
see,4,211,12.04016159137749
behind,1,52,12.019502120811396
his,24,1246,12.017188254973151
only,5,259,12.013942595469496
very,6,308,12.00088644264405
out,6,307,11.996194747319327
london,1,51,11.9914877446418
something,3,153,11.9914877446418
ve,2,101,11.9772738854221
became,1,50,11.962918592445028
