collocation,collocate_count,total_count,MI
she,1,637,14.84625867367923
which,1,288,13.70103411286524
mrs,1,254,13.519793798195096
see,1,211,13.252208300130114
her,4,773,13.125433715347777
out,1,180,13.022962207752604
we,1,177,12.998714661505925
time,1,172,12.957373866125026
cross,1,168,12.92342653420169
bertha,2,288,12.70103411286524
again,1,133,12.58639154692412
at,6,735,12.4677470504255
went,1,121,12.449972348697525
made,1,120,12.437999707031446
my,2,240,12.437999707031446
long,1,119,12.425926874730873
them,1,118,12.413752160784771
nothing,1,118,12.413752160784771
eyes,1,111,12.325524977773034
shall,1,111,12.325524977773034
two,1,110,12.312468824947588
will,4,438,12.305896171024102
so,3,319,12.263559224466642
had,8,849,12.260729854975967
were,2,210,12.24535462908905
up,1,103,12.217609638606149
there,3,290,12.126055700716709
one,3,281,12.0805729309227
oh,1,93,12.070267922530961
don,2,185,12.062490571939243
face,1,92,12.054671067479942
quite,1,92,12.054671067479942
allchin,1,92,12.054671067479942
about,3,273,12.038903751621625
here,1,90,12.022962207752604
t,7,618,11.9952172172697
said,3,264,11.990540730060225
down,1,87,11.974052607271657
girl,1,86,11.957373866125026
half,1,81,11.870959114307555
norbert,1,81,11.870959114307555
yet,1,81,11.870959114307555
talk,1,79,11.83488985960003
perhaps,1,79,11.83488985960003
never,2,157,11.825729860314556
found,1,78,11.816511330285177
own,1,77,11.797895652117832
come,2,154,11.797895652117832
replied,1,74,11.74056247705188
course,2,148,11.74056247705188
mr,2,147,11.730781456259294
thought,2,143,11.69098044820132
would,4,286,11.69098044820132
smile,1,71,11.68085623092761
not,7,479,11.627636035101505
think,3,204,11.618571952673268
know,3,201,11.5971983018807
they,3,199,11.582771231245424
told,1,66,11.575503230781383
felt,1,66,11.575503230781383
still,1,65,11.553476924451383
get,1,65,11.553476924451383
and,32,2064,11.542336366846182
house,2,129,11.542336366846182
jollyman,1,64,11.531109111422928
you,19,1215,11.529922196472487
when,4,254,11.519793798195096
