collocation,collocate_count,total_count,MI
miss,1,506,14.819603913014225
so,2,551,13.942518846891073
then,1,256,13.836610338319915
don,1,256,13.836610338319915
time,1,246,13.779124843659154
their,1,239,13.737477146300662
much,1,239,13.737477146300662
life,1,208,13.537050056461005
little,1,206,13.523110865503133
went,1,202,13.494821821071708
everard,1,202,13.494821821071708
nunn,1,191,13.414039166355662
good,1,184,13.360172294376927
all,3,531,13.304215888402911
out,1,174,13.279553834168642
house,1,171,13.254462853205812
up,1,170,13.246001274457615
him,4,667,13.2181532895045
said,2,313,13.126629185252533
my,3,469,13.125091950114133
eyes,1,147,13.036282683156278
without,1,145,13.016519428334847
see,2,281,12.97103665854084
will,3,416,12.952087555739851
our,1,135,12.913425935370746
once,1,134,12.902699528777687
talk,1,133,12.891892773821104
something,1,133,12.891892773821104
came,1,132,12.881004457678367
own,1,132,12.881004457678367
asked,1,124,12.790806648706788
other,2,248,12.790806648706788
how,2,247,12.784977569904592
half,1,120,12.743500933928432
shall,2,236,12.719253387681754
they,4,472,12.719253387681754
might,2,231,12.68835937973597
after,2,229,12.675814126416856
before,2,228,12.669500352484658
she,19,2154,12.661485359420537
down,1,112,12.643965260377518
rhoda,4,448,12.643965260377518
looked,1,111,12.63102620467002
think,3,329,12.613591611333998
we,4,436,12.60479466309684
alice,1,109,12.60479466309684
too,1,108,12.591497840483383
things,1,107,12.578077324721061
herself,2,213,12.571319958545752
where,1,104,12.537050056461005
it,17,1759,12.529687264541534
really,1,103,12.523110865503131
from,5,513,12.517497259039606
left,1,99,12.465966958399525
its,1,96,12.421572839041069
work,1,96,12.421572839041069
very,5,480,12.421572839041069
two,2,191,12.414039166355662
must,3,285,12.406465946650863
most,1,95,12.406465946650863
men,1,95,12.406465946650863
what,5,474,12.40342549233081
hope,1,94,12.391199189997552
last,1,94,12.391199189997552
saw,1,94,12.391199189997552
girls,1,93,12.375769149427946
t,10,916,12.353886031529496
possible,1,91,12.34440497851861
for,14,1233,12.297212500665148
put,1,88,12.296041956957211
on,8,703,12.29399121739245
about,4,351,12.291937558624474
i,34,2972,12.286365897608173
there,5,437,12.28617171293315
did,3,262,12.285070839136209
