collocation,collocate_count,total_count,MI
us,1,422,13.805488460348453
now,1,193,12.676846308909349
she,1,153,12.341777114333919
are,2,264,12.128783390999722
were,3,382,12.076855598955861
again,1,123,12.02690377698051
ignosi,1,122,12.015126609204152
we,9,1092,12.00722141111881
three,1,120,11.991279867249787
after,1,110,11.865748985165927
here,1,109,11.852573596418194
these,1,107,11.825856258042416
their,2,209,11.791748403722151
go,1,101,11.742600754393061
last,1,98,11.699099115756477
them,3,291,11.684302113828396
how,1,95,11.654244879972216
night,1,92,11.607951227698281
say,1,91,11.592183911839964
all,3,272,11.58688961217045
back,1,86,11.510654026343367
our,5,394,11.384512996210281
eyes,1,75,11.313207962137149
let,1,75,11.313207962137149
still,1,74,11.293842637270219
her,2,146,11.274213830521285
some,2,145,11.264298361656202
left,1,67,11.15047846209904
little,2,132,11.12878339099972
head,1,65,11.106757084669724
land,1,64,11.08438927164127
they,5,319,11.079873790518775
come,2,127,11.073073958413433
two,2,126,11.061669195141183
from,6,369,11.02690377698051
took,1,61,11.015126609204154
stood,1,61,11.015126609204154
went,2,122,11.015126609204154
light,1,60,10.991279867249787
also,1,59,10.96703232100311
heard,1,59,10.96703232100311
face,1,59,10.96703232100311
just,1,59,10.96703232100311
which,8,460,10.929879322585643
down,3,171,10.91727928580601
take,1,57,10.91727928580601
look,1,56,10.891744193698873
up,5,280,10.891744193698873
battle,1,55,10.865748985165927
its,2,110,10.865748985165927
could,3,163,10.84815492515119
half,1,54,10.839276773804738
only,2,107,10.825856258042416
find,1,53,10.812309726204468
quite,1,53,10.812309726204468
at,10,521,10.787600739032413
desert,1,52,10.78482898978236
get,1,51,10.756814613612764
full,1,50,10.728245461415993
know,2,98,10.699099115756477
for,14,686,10.699099115756477
eye,1,49,10.699099115756477
must,2,97,10.684302113828396
in,26,1233,10.651906637903016
before,4,189,10.646631695862341
set,1,47,10.638978123318905
about,4,187,10.631283731528905
good,7,324,10.61688435246829
give,1,46,10.607951227698281
on,12,552,10.607951227698281
nothing,1,46,10.607951227698281
though,2,91,10.592183911839966
stars,1,45,10.576242367970943
upon,4,178,10.560122702607666
long,2,88,10.543820890278566
few,1,44,10.543820890278566
found,2,88,10.543820890278566
king,5,218,10.530645501530833
till,2,87,10.527332767489996
him,7,303,10.520208333056615
of,58,2501,10.514697618694667
sat,1,43,10.510654026343367
regiment,1,43,10.510654026343367
then,5,213,10.497170796979745
more,4,169,10.485268707923453
enough,1,42,10.476706694420029
there,8,336,10.476706694420029
over,3,126,10.476706694420029
rose,1,41,10.441941276259351
ground,1,41,10.441941276259351
something,1,41,10.441941276259351
to,50,2034,10.430637045724042
so,8,324,10.424239274525894
words,1,40,10.406317366528631
and,71,2840,10.406317366528631
got,1,40,10.406317366528631
air,1,40,10.406317366528631
as,17,672,10.389243853169688
will,6,236,10.382069820281954
journey,1,39,10.369791490503516
may,2,78,10.369791490503516
yet,2,77,10.35117581233617
do,4,153,10.341777114333919
better,1,38,10.332316785084853
turned,1,37,10.293842637270219
snow,1,37,10.293842637270219
curtis,1,37,10.293842637270219
but,12,444,10.293842637270219
by,11,404,10.283169135755767
way,3,110,10.280786484444771
into,4,144,10.25431427308358
kukuanas,1,36,10.25431427308358
answer,1,36,10.25431427308358
those,2,72,10.25431427308358
his,17,606,10.24010041386388
it,32,1121,10.214959834446695
many,2,70,10.213672288586235
far,2,70,10.213672288586235
along,1,35,10.213672288586235
fell,1,35,10.213672288586235
doubt,1,35,10.213672288586235
out,8,277,10.198131437690456
most,2,69,10.192913728419438
umbopa,2,68,10.171852112891608
your,3,102,10.171852112891608
however,1,34,10.171852112891608
stones,1,34,10.171852112891608
towards,2,67,10.150478462099041
next,1,33,10.128783390999722
perhaps,1,33,10.128783390999722
day,3,98,10.11413661503532
have,11,359,10.112797686827022
see,5,161,10.093378054868522
almost,1,32,10.08438927164127
cold,1,32,10.08438927164127
never,3,96,10.08438927164127
well,4,128,10.08438927164127
right,2,62,10.038585582028142
first,2,62,10.038585582028142
nearly,1,31,10.038585582028142
too,2,62,10.038585582028142
much,2,62,10.038585582028142
show,1,31,10.038585582028142
man,8,246,10.026903776980507
an,7,215,10.025227199173125
be,13,399,10.024194489722522
had,18,552,10.022988726977124
presently,2,61,10.015126609204154
great,6,182,10.007221411118808
chamber,1,30,9.991279867249787
i,53,1582,9.98400270155086
henry,8,237,9.973132520539528
poor,2,59,9.96703232100311
with,23,677,9.963839339159252
ten,1,29,9.94237026676884
tell,2,58,9.94237026676884
the,170,4923,9.940320359738436
such,3,86,9.92569152562221
being,2,57,9.917279285806009
made,4,112,9.891744193698873
idea,1,28,9.891744193698873
country,2,56,9.891744193698873
evil,1,28,9.891744193698873
not,18,503,9.888878860004484
me,10,278,9.881402249477414
make,3,83,9.874466202267037
came,5,137,9.860493259714433
said,11,299,9.848959327202076
was,37,963,9.786327893855777
ago,1,26,9.78482898978236
morning,1,26,9.78482898978236
body,1,26,9.78482898978236
called,1,26,9.78482898978236
others,1,26,9.78482898978236
cave,1,26,9.78482898978236
thing,2,52,9.78482898978236
fight,1,26,9.78482898978236
he,28,718,9.764874383406715
across,2,51,9.756814613612764
done,2,51,9.756814613612764
t,2,51,9.756814613612764
or,11,280,9.754240669948938
one,10,253,9.745454751448216
because,1,25,9.728245461415993
help,1,25,9.728245461415993
years,2,50,9.728245461415993
ox,1,25,9.728245461415993
quatermain,2,50,9.728245461415993
very,5,124,9.71665748714078
ye,6,147,9.699099115756477
sir,10,240,9.669351772362425
warriors,1,24,9.669351772362425
nay,1,24,9.669351772362425
small,1,24,9.669351772362425
place,4,96,9.669351772362425
you,14,333,9.656412716654925
what,8,190,9.654244879972216
did,5,117,9.63282589633731
best,1,23,9.607951227698281
hand,3,69,9.607951227698281
wonderful,1,23,9.607951227698281
each,3,69,9.607951227698281
teeth,1,23,9.607951227698281
hair,1,23,9.607951227698281
somehow,1,23,9.607951227698281
think,3,68,9.58688961217045
like,8,181,9.584235158724473
lords,2,45,9.576242367970941
heart,2,45,9.576242367970941
held,1,22,9.543820890278566
without,2,44,9.543820890278566
oh,1,22,9.543820890278566
already,1,22,9.543820890278566
father,1,22,9.543820890278566
covered,1,22,9.543820890278566
same,2,44,9.543820890278566
beyond,1,22,9.543820890278566
within,1,22,9.543820890278566
dark,2,44,9.543820890278566
royal,1,22,9.543820890278566
been,8,174,9.527332767489996
even,3,65,9.521794583948566
this,16,340,9.49378020777897
strong,1,21,9.476706694420029
hear,1,21,9.476706694420029
sign,1,21,9.476706694420029
given,1,21,9.476706694420029
soldiers,1,21,9.476706694420029
placed,1,21,9.476706694420029
than,5,105,9.476706694420029
chapter,1,21,9.476706694420029
hunter,1,21,9.476706694420029
is,32,667,9.465932222825852
my,25,520,9.462900894894998
when,8,166,9.459428702988193
death,3,62,9.453623081306986
other,4,82,9.441941276259351
o,4,81,9.424239274525894
gentleman,1,20,9.406317366528631
part,1,20,9.406317366528631
jim,1,20,9.406317366528631
reach,1,20,9.406317366528631
large,2,40,9.406317366528631
curious,1,20,9.406317366528631
put,4,79,9.38817001981837
thee,3,59,9.382069820281952
live,2,39,9.369791490503516
if,12,233,9.363612915574391
that,56,1084,9.359183390937535
can,6,114,9.332316785084853
