collocation,collocate_count,total_count,MI
we,5,920,12.911845209824238
though,1,163,12.7370114079983
these,1,154,12.655069794462127
our,2,306,12.645671096459877
know,1,147,12.587955598603589
when,2,281,12.52270957398815
down,2,240,12.295173849375745
too,1,118,12.270926303129066
light,1,117,12.25864797335063
away,1,113,12.208462216182413
her,7,790,12.206637174774086
years,1,107,12.129750240168374
were,5,533,12.124346881639038
first,1,106,12.116203708330426
more,3,301,12.036940429805771
many,1,94,11.942872105444863
might,1,91,11.896077893965922
love,1,90,11.8801363500969
you,3,262,11.83674375458352
seemed,1,87,11.831226749615954
came,2,172,11.814548008469323
ye,1,85,11.797674189904928
into,3,251,11.774864306996841
did,3,251,11.774864306996841
against,1,83,11.76332268511415
enough,1,83,11.76332268511415
some,3,247,11.751687984630747
even,2,159,11.70116620905158
your,1,79,11.692064001944328
myself,1,79,11.692064001944328
across,1,78,11.673685472629472
thought,1,77,11.655069794462127
got,1,77,11.655069794462127
him,5,381,11.640002346373185
far,1,76,11.63621076721081
its,3,226,11.623499715461255
up,4,301,11.621902930526927
stood,1,75,11.617101944263105
on,9,673,11.61282094693523
after,2,149,11.607451774229386
must,2,149,11.607451774229386
about,3,222,11.597736619396175
left,1,73,11.578107812647241
yet,2,145,11.56819234378216
t,1,70,11.517566270712193
beautiful,1,68,11.475746095017564
also,2,133,11.443565689268414
me,10,662,11.437042565687081
done,1,66,11.432677373125678
those,2,132,11.432677373125678
believe,1,66,11.432677373125678
passed,1,66,11.432677373125678
while,1,66,11.432677373125678
see,3,196,11.418030597161277
from,8,520,11.41065106679568
they,6,389,11.40694709803226
die,1,64,11.388283253767225
out,5,315,11.365563177267141
us,5,314,11.36097590777149
could,4,248,11.3424795641541
only,3,185,11.334702213562382
till,2,122,11.319020591330112
quite,1,61,11.319020591330112
black,1,61,11.319020591330112
which,10,605,11.30714649104182
men,2,120,11.295173849375743
took,1,59,11.270926303129066
awful,1,59,11.270926303129066
leo,5,294,11.266027503716227
through,3,175,11.254531864878398
in,27,1567,11.247185216076337
say,2,115,11.233773304711601
it,29,1657,11.224660145861105
fell,1,57,11.221173267931967
little,3,170,11.21271168918377
day,2,113,11.208462216182413
their,4,225,11.202064444984261
same,1,56,11.19563817582483
above,1,56,11.19563817582483
since,1,56,11.19563817582483
job,3,168,11.19563817582483
sight,1,56,11.19563817582483
i,50,2753,11.171215958588062
hour,1,55,11.169642967291885
place,2,110,11.169642967291885
take,1,55,11.169642967291885
than,3,165,11.169642967291885
made,2,109,11.15646757854415
each,1,54,11.143170755930694
much,2,107,11.129750240168372
think,2,105,11.102528771433349
long,2,105,11.102528771433349
back,2,105,11.102528771433349
do,4,208,11.088722971908316
behind,1,52,11.088722971908316
at,13,668,11.071547828100185
asked,1,50,11.03213944354195
presently,1,50,11.03213944354195
all,7,350,11.03213944354195
just,1,50,11.03213944354195
upon,8,394,11.010335073223601
how,3,147,11.002993097882433
round,2,97,10.988196095954352
and,92,4461,10.987872730483787
she,16,772,10.980740291035305
appeared,1,48,10.973245754488381
wonderful,1,48,10.973245754488381
again,3,144,10.973245754488381
well,3,144,10.973245754488381
queen,1,48,10.973245754488381
however,2,95,10.958138862098172
great,4,190,10.958138862098172
why,1,47,10.942872105444863
twenty,1,47,10.942872105444863
to,57,2677,10.941794663243261
or,9,411,10.901352836006595
good,2,91,10.89607789396592
along,1,45,10.8801363500969
looking,1,45,10.8801363500969
strange,1,45,10.8801363500969
of,82,3683,10.87739693104888
have,12,538,10.874783115602694
now,6,266,10.858603188547258
rock,2,88,10.847714872404524
shall,4,173,10.822911481403949
eyes,3,129,10.814548008469323
brought,1,43,10.814548008469323
caves,1,43,10.814548008469323
five,1,43,10.814548008469323
face,3,127,10.792005439818235
going,1,42,10.780600676545985
ground,1,42,10.780600676545985
felt,1,42,10.780600676545985
time,4,166,10.76332268511415
if,7,290,10.760837421724554
them,7,290,10.760837421724554
went,3,124,10.757517063432944
so,12,494,10.751687984630747
thus,1,41,10.74583525838531
sort,1,41,10.74583525838531
naught,1,41,10.74583525838531
called,1,41,10.74583525838531
dost,1,41,10.74583525838531
my,22,891,10.72813325665185
was,38,1521,10.711160178048136
better,1,40,10.710211348654587
world,2,80,10.710211348654587
grew,1,40,10.710211348654587
next,1,40,10.710211348654587
as,25,997,10.705876758390696
most,3,119,10.698138516354012
before,5,197,10.68840697833624
turned,2,78,10.673685472629474
terrible,1,38,10.63621076721081
