collocation,collocate_count,total_count,MI
were,2,533,13.422564155055031
our,1,229,13.2037762203928
while,1,181,12.864418319379062
upon,2,330,12.730894646541671
made,1,165,12.730894646541671
ayesha,1,161,12.695489310410473
much,1,153,12.62196027498851
when,2,303,12.607746415768807
time,1,150,12.593391122791738
through,1,141,12.504123784694649
us,2,282,12.504123784694649
perhaps,1,140,12.493855449240824
over,1,130,12.386940245324311
too,1,124,12.318768742682732
tell,1,120,12.271463027904375
eyes,1,119,12.2593901956038
these,2,233,12.228758576950137
first,1,111,12.158988298645962
her,7,741,12.090547242544085
all,5,496,11.996840647795368
before,2,198,11.993929052375465
because,2,195,11.971902746045469
into,2,191,11.942001260331606
they,7,664,11.932256941585177
life,1,89,11.840305863262255
baas,2,174,11.807515928144584
make,1,87,11.807515928144584
end,1,85,11.773963368433558
there,5,417,11.74654791085316
macumazahn,2,164,11.72212443691394
their,4,328,11.72212443691394
even,2,159,11.677455387580213
find,1,78,11.649974651158105
looked,1,77,11.631358972990757
on,8,608,11.61249994573944
nothing,2,152,11.61249994573944
having,1,75,11.593391122791738
thee,1,74,11.574025797924806
my,11,810,11.566918911430546
did,5,365,11.554396991175874
father,1,73,11.554396991175874
it,22,1584,11.534497433738169
night,2,142,11.514319551800538
began,1,69,11.473096889074027
went,3,206,11.46611045875792
them,8,536,11.430661622753629
we,10,670,11.430661622753629
therefore,1,66,11.40896655165431
same,1,66,11.40896655165431
she,12,786,11.397995433833307
after,3,195,11.386940245324311
axe,3,193,11.37206696884278
would,6,385,11.368324567156964
will,5,320,11.364572432295857
moment,1,64,11.364572432295857
towards,1,64,11.364572432295857
so,10,636,11.35552729269285
set,1,63,11.341852355795773
earth,1,63,11.341852355795773
from,7,441,11.341852355795773
believe,1,63,11.341852355795773
though,4,251,11.336115986246629
fire,1,62,11.318768742682732
still,3,186,11.318768742682732
people,2,124,11.318768742682732
seemed,3,185,11.310991392091013
zikali,2,123,11.307086937635097
in,28,1719,11.304571339716313
oh,1,61,11.295309769858743
till,1,61,11.295309769858743
way,2,121,11.283435669570451
heart,1,60,11.271463027904375
thus,1,60,11.271463027904375
at,13,772,11.256589751422844
asked,2,118,11.247215481657697
least,1,59,11.247215481657697
give,1,59,11.247215481657697
sure,1,59,11.247215481657697
fashion,1,58,11.222553427423428
told,2,115,11.210062483240232
although,2,113,11.184751394711045
round,1,56,11.17192735435346
dead,2,109,11.132756757072782
matter,1,54,11.119459934459325
added,1,54,11.119459934459325
see,4,216,11.119459934459325
that,47,2530,11.114905250199891
amahagger,2,107,11.106039418697003
which,16,856,11.106039418697003
beyond,1,53,11.092492886859056
lady,1,53,11.092492886859056
mountain,1,53,11.092492886859056
i,70,3676,11.079210466639925
myself,2,105,11.078817949961978
found,2,105,11.078817949961978
word,1,52,11.065012150436948
great,6,311,11.060380701705304
him,9,466,11.058833575507824
name,1,51,11.036997774267352
strange,1,51,11.036997774267352
again,3,153,11.036997774267352
for,21,1054,11.013914161154311
full,1,50,11.008428622070582
both,1,50,11.008428622070582
shall,2,99,10.993929052375465
his,15,739,10.98711239083349
king,1,49,10.979282276411064
why,2,98,10.979282276411064
up,5,243,10.967456841014274
except,1,48,10.949534933017013
inez,2,96,10.949534933017013
each,1,48,10.949534933017013
hans,6,282,10.919161283973494
was,31,1449,10.91121800146591
by,12,555,10.89595389281217
face,2,92,10.888134388352869
place,3,137,10.877642014535226
look,2,91,10.872367072494551
since,6,273,10.872367072494551
have,15,675,10.85642552862553
rather,2,90,10.85642552862553
grew,1,45,10.85642552862553
gave,1,45,10.85642552862553
to,78,3492,10.849008057063049
some,6,267,10.840305863262254
out,6,265,10.829458481025263
not,22,970,10.826981750733049
had,23,1013,10.825428935039982
hear,1,44,10.824004050933155
and,87,3801,10.813792246309093
say,3,130,10.801977744603155
voice,1,43,10.790837186997953
thing,2,86,10.790837186997953
land,1,43,10.790837186997953
fear,1,43,10.790837186997953
return,1,43,10.790837186997953
but,14,592,10.766670875867202
if,9,380,10.764503039184493
r,1,42,10.756889855074617
together,1,42,10.756889855074617
hand,2,84,10.756889855074617
especially,1,42,10.756889855074617
with,24,1003,10.74971582218688
mind,2,83,10.739611863642782
saw,4,164,10.72212443691394
waggon,1,41,10.72212443691394
answer,1,41,10.72212443691394
other,4,163,10.713300586526934
do,10,401,10.690102763863415
business,1,40,10.686500527183219
me,23,920,10.686500527183219
want,1,40,10.686500527183219
about,6,240,10.686500527183219
fact,1,40,10.686500527183219
also,8,319,10.681985046060726
of,94,3748,10.681888818277406
stood,2,79,10.668353180472959
allan,4,157,10.659193181187483
where,5,196,10.657354181523703
one,11,431,10.656684872747656
what,10,391,10.653669134715846
course,1,39,10.649974651158105
