collocation,collocate_count,total_count,MI
go,1,287,13.919775068872424
time,1,274,13.852900225157263
into,1,269,13.82633050475336
yes,1,222,13.549284008546842
much,1,196,13.369577986311944
where,1,177,13.222473692279733
upon,1,172,13.181132896898834
too,1,166,13.12990757354366
over,1,160,13.0767962370841
did,2,312,13.040270361058985
sue,4,608,13.002795655640323
arabella,2,303,12.998042125669686
place,1,142,12.904615261701418
still,1,138,12.863392598974906
room,1,138,12.863392598974906
quite,1,127,12.743552828968904
door,1,127,12.743552828968904
looked,1,123,12.697382647535976
back,2,245,12.691506081199307
went,2,245,12.691506081199307
their,3,349,12.616988867685235
having,1,113,12.575047104611926
me,6,673,12.564368336085897
before,2,222,12.549284008546842
home,1,110,12.536227855721396
didn,1,110,12.536227855721396
these,1,110,12.536227855721396
think,2,218,12.523052466973663
little,3,325,12.514201549391396
saw,1,105,12.469113659862858
even,1,105,12.469113659862858
never,2,208,12.455307860337829
again,2,203,12.420204059381913
them,3,304,12.417833154919165
look,1,101,12.413079624948532
enough,1,101,12.413079624948532
asked,1,101,12.413079624948532
they,8,807,12.411293005474517
say,2,201,12.405919833375666
came,2,197,12.376919961653112
ll,2,197,12.376919961653112
while,1,98,12.369577986311945
right,1,98,12.369577986311945
her,18,1756,12.363020270289782
men,1,96,12.339830642917894
put,1,95,12.324723750527683
half,1,95,12.324723750527683
oh,2,190,12.324723750527683
at,11,1039,12.31641646246365
him,10,941,12.310990960037913
new,1,93,12.294026953304769
see,3,278,12.288846714199087
one,5,463,12.28780843056961
since,1,92,12.27843009825375
after,2,183,12.27056798048078
just,2,182,12.262662782395433
seemed,2,180,12.246721238526412
got,1,90,12.246721238526412
people,1,89,12.230601573163135
friend,1,88,12.214299760834033
don,5,440,12.214299760834033
three,1,87,12.197811638045465
away,2,173,12.189496369833462
but,10,863,12.186156796488328
there,6,513,12.172720657082635
own,2,170,12.164259078334439
rather,1,85,12.164259078334439
told,1,85,12.164259078334439
which,7,593,12.159401514685138
on,11,931,12.158073881118234
she,21,1748,12.134040188918576
how,3,249,12.129907573543663
from,7,580,12.127422310154067
know,4,331,12.125555549003955
if,6,488,12.100642979038467
should,3,244,12.100642979038467
well,4,322,12.085785020311354
i,39,3137,12.084635737178091
were,6,481,12.079798725245622
care,1,80,12.0767962370841
called,1,80,12.0767962370841
house,2,160,12.0767962370841
come,4,320,12.0767962370841
are,5,393,12.05132554956798
his,19,1493,12.050939078887692
once,1,78,12.040270361058985
up,5,386,12.025397084577454
your,4,308,12.02165468289164
about,4,304,12.002795655640323
light,1,74,11.964321507825687
walked,1,74,11.964321507825687
anything,1,73,11.944692701076754
ve,2,146,11.944692701076754
far,1,73,11.944692701076754
aunt,1,73,11.944692701076754
had,21,1518,11.930506794833443
why,2,144,11.924793143639048
however,1,72,11.924793143639048
made,2,143,11.914739478975125
it,28,2000,11.91329750480122
feel,1,71,11.904615261701418
always,1,71,11.904615261701418
not,15,1063,11.901903428119322
t,16,1093,11.84894582786864
he,38,2595,11.848459451998394
mean,1,68,11.842330983447075
christminster,2,136,11.842330983447075
jude,14,935,11.816335774914132
some,4,267,11.815564073884289
done,2,132,11.79926226155519
brought,1,66,11.79926226155519
taken,1,66,11.79926226155519
you,31,2029,11.787224981566519
all,8,519,11.774458870554616
as,22,1420,11.767111737951485
two,3,193,11.76236267874366
have,13,835,11.760060811417059
here,4,255,11.749221579055595
night,2,127,11.743552828968904
day,3,189,11.732148065696652
so,9,559,11.711647613597615
entered,1,61,11.685605479759623
give,1,61,11.685605479759623
late,1,61,11.685605479759623
out,6,364,11.677700281674278
eyes,2,121,11.673731379471333
without,2,121,11.673731379471333
women,1,59,11.637511191558577
get,3,174,11.612849137324307
marygreen,1,58,11.612849137324307
schoolmaster,1,58,11.612849137324307
been,8,464,11.612849137324307
and,78,4517,11.610615121772005
want,2,115,11.600358193141112
used,1,57,11.587758156361478
myself,1,55,11.536227855721396
matter,1,55,11.536227855721396
dear,3,164,11.527457646093664
we,7,382,11.524942048174882
thing,2,108,11.509755644360204
keep,1,54,11.509755644360204
would,8,429,11.499701979696283
do,9,482,11.497832476984385
like,6,321,11.496335128597883
through,2,107,11.496335128597883
or,8,427,11.492960401817228
to,83,4392,11.480491049855011
said,15,791,11.47551143106101
being,4,210,11.46911365986286
passed,1,52,11.455307860337829
fawley,1,52,11.455307860337829
afternoon,1,52,11.455307860337829
when,9,464,11.442924135881997
am,6,309,11.441368669379955
in,47,2409,11.43449796875757
same,2,102,11.427293484168231
thought,4,200,11.398724331971462
along,2,96,11.339830642917892
