collocation,collocate_count,total_count,MI
into,1,317,13.398189281343436
night,1,182,12.597644891402725
might,1,145,12.269759341218963
eyes,1,145,12.269759341218963
their,2,242,12.008713488478623
miss,1,117,11.960214970787433
why,1,115,11.935340302148406
light,1,109,11.858034575980955
its,2,215,11.83804310079349
heard,1,107,11.831317237605177
off,1,104,11.790289969345121
which,6,621,11.783337208703355
two,2,206,11.776350778387247
till,1,102,11.762275593175525
upon,4,405,11.751628348976016
get,1,101,11.748061733955824
they,4,400,11.733706440978754
round,1,96,11.674812751925185
side,1,94,11.644439102881668
bathsheba,6,561,11.636744711091666
voice,1,89,11.565583682170425
liddy,2,174,11.532793747052757
look,1,86,11.516115005906126
could,3,257,11.51051229967675
herself,1,85,11.499241187341731
face,2,168,11.482167673982788
moment,1,84,11.482167673982788
much,2,167,11.47355454367808
time,4,331,11.460537658011248
before,2,165,11.456172465449844
her,18,1483,11.454228132216347
up,4,325,11.434146159119846
morning,1,81,11.429700254088655
towards,1,81,11.429700254088655
seen,1,80,11.411778346091392
troy,4,311,11.370621021334632
passed,1,77,11.35663679189893
feeling,1,76,11.337777764647614
now,6,451,11.321871373738253
end,1,74,11.29930361683298
perhaps,1,73,11.279674810084046
gone,1,70,11.219133268148996
anything,1,70,11.219133268148996
again,3,208,11.205327468623965
women,1,69,11.198374707982198
take,1,69,11.198374707982198
behind,1,69,11.198374707982198
about,4,272,11.177313092454368
thought,2,136,11.177313092454368
among,1,68,11.177313092454368
hand,2,135,11.16666584825486
did,3,201,11.155939441661802
along,1,66,11.134244370562483
most,1,66,11.134244370562483
less,1,66,11.134244370562483
right,1,65,11.112218064232485
matter,1,65,11.112218064232485
though,2,129,11.101077506627284
heart,1,64,11.089850251204028
girl,1,64,11.089850251204028
road,1,64,11.089850251204028
through,2,124,11.044046561590903
these,2,124,11.044046561590903
them,4,242,11.008713488478623
oh,1,60,10.996740846812548
farmer,2,119,10.984668014511973
long,2,119,10.984668014511973
if,7,415,10.979462855380712
felt,1,59,10.972493300565871
some,4,235,10.966367197769028
dead,1,57,10.92274026536877
oak,7,395,10.90820417221089
within,1,56,10.897205173261634
went,3,168,10.897205173261634
next,1,56,10.897205173261634
same,2,112,10.897205173261634
going,2,111,10.884266117554136
alone,1,55,10.871209964728688
house,2,109,10.858034575980955
won,1,54,10.844737753367497
where,2,107,10.831317237605177
close,1,53,10.817770705767229
beside,1,53,10.817770705767229
position,1,53,10.817770705767229
it,30,1583,10.811405195732691
at,18,948,10.808668498659976
say,4,210,10.804095768870152
nature,1,52,10.790289969345121
things,1,52,10.790289969345121
more,6,309,10.776350778387247
turned,2,102,10.762275593175525
word,1,51,10.762275593175525
ground,1,50,10.733706440978754
day,3,150,10.733706440978754
hardly,1,50,10.733706440978754
just,3,148,10.714341116111822
she,27,1320,10.701284963286376
fanny,2,97,10.689763093391155
clock,1,48,10.674812751925186
further,1,48,10.674812751925186
mean,1,48,10.674812751925186
under,2,96,10.674812751925186
cannot,1,48,10.674812751925186
come,4,191,10.667279079239776
your,5,236,10.650565205678507
will,5,236,10.650565205678507
opened,1,47,10.644439102881666
me,11,513,10.633233648173785
ll,4,186,10.62900906231206
after,3,139,10.623828823206381
by,16,736,10.61341220726104
person,1,46,10.61341220726104
away,3,137,10.6029198334434
having,2,91,10.597644891402725
may,3,136,10.592350591733211
jan,1,45,10.581703347533702
work,1,45,10.581703347533702
ma,2,90,10.581703347533702
tone,1,45,10.581703347533702
known,1,45,10.581703347533702
little,4,180,10.581703347533702
waggon,1,44,10.549281869841327
wish,2,88,10.549281869841327
direction,1,44,10.549281869841327
five,1,44,10.549281869841327
all,12,527,10.546546902120088
without,3,131,10.538310752020323
only,5,218,10.536106481093594
red,1,43,10.516115005906126
saw,2,86,10.516115005906126
shall,3,129,10.516115005906126
small,2,86,10.516115005906126
our,1,43,10.516115005906126
dark,1,43,10.516115005906126
weatherbury,2,86,10.516115005906126
sound,1,43,10.516115005906126
death,1,42,10.48216767398279
moon,1,42,10.48216767398279
returned,1,42,10.48216767398279
home,2,84,10.48216767398279
from,15,627,10.475281288397548
tell,2,83,10.464889682550954
let,2,83,10.464889682550954
were,13,533,10.447402255822112
you,37,1501,10.432105147195768
want,2,81,10.429700254088653
full,1,40,10.411778346091392
didn,1,40,10.411778346091392
getting,1,40,10.411778346091392
itself,1,40,10.411778346091392
put,2,80,10.411778346091392
everdene,2,80,10.411778346091392
had,29,1158,10.409288794065693
still,3,118,10.387530799844713
been,12,470,10.381404697047873
mark,1,39,10.375252470066277
speak,2,78,10.375252470066277
bed,1,39,10.375252470066277
fact,1,39,10.375252470066277
in,61,2367,10.367956904375758
mind,3,116,10.362868745610445
do,9,348,10.362868745610445
and,111,4288,10.361523575311695
out,7,265,10.332343878596987
have,18,679,10.327193014006449
the,206,7752,10.323702579435892
with,26,977,10.321625285031322
of,101,3789,10.319240192960942
hill,2,75,10.31866894169991
am,7,262,10.315918330683875
yet,4,149,10.30901877166619
boldwood,9,335,10.30794253510685
i,61,2267,10.305681589381928
leave,1,37,10.29930361683298
foot,1,37,10.29930361683298
inside,1,37,10.29930361683298
letter,1,37,10.29930361683298
beyond,1,37,10.29930361683298
able,1,37,10.29930361683298
days,1,37,10.29930361683298
found,2,74,10.29930361683298
his,31,1144,10.295525277595543
looked,4,146,10.279674810084046
many,2,73,10.279674810084046
we,6,218,10.2730720752598
taken,1,36,10.25977525264634
lips,1,36,10.25977525264634
twas,1,36,10.25977525264634
making,1,36,10.25977525264634
told,1,36,10.25977525264634
o,6,215,10.253080600072332
not,24,853,10.241289681801163
own,4,142,10.23959737070871
mistress,2,71,10.23959737070871
but,19,669,10.227785138401904
on,21,739,10.22696338257142
read,1,35,10.219133268148996
heavy,1,35,10.219133268148996
around,1,35,10.219133268148996
way,5,174,10.210865652165394
there,13,451,10.206394156318318
once,3,103,10.191388277666091
are,7,238,10.177313092454368
second,1,34,10.177313092454368
because,2,68,10.177313092454368
gabriel,11,369,10.157895638627128
so,15,501,10.151626448790719
or,11,367,10.150054885409943
here,6,200,10.148743940257598
walked,1,33,10.134244370562483
sometimes,1,33,10.134244370562483
given,1,33,10.134244370562483
laban,1,33,10.134244370562483
mrs,1,33,10.134244370562483
first,4,131,10.123273252741479
this,20,642,10.09435164343897
sheep,2,64,10.089850251204028
while,1,32,10.089850251204028
clark,1,32,10.089850251204028
door,4,128,10.089850251204028
cain,1,32,10.089850251204028
soldier,1,32,10.089850251204028
subject,1,32,10.089850251204028
