collocation,collocate_count,total_count,MI
out,1,313,14.279589420602687
will,1,265,14.03941912312063
down,1,248,13.943766884056945
only,1,245,13.92620851267264
come,1,244,13.920307911232955
know,1,223,13.790470473590375
what,2,429,13.734404411169614
own,1,207,13.683057531169393
how,1,206,13.676071100853287
came,1,184,13.51313252972708
think,1,182,13.497365213868767
urberville,1,181,13.489416460753274
me,3,524,13.438031074486362
been,3,514,13.410232622142791
away,1,168,13.38188799644883
back,1,164,13.347122578288152
one,3,489,13.338298727901146
all,3,486,13.329420576554694
did,2,311,13.270341343800672
still,1,150,13.21838926416595
when,3,437,13.17609754244951
day,2,277,13.103312739719257
mrs,1,137,13.087602656630596
last,1,136,13.07703341492041
even,1,133,13.04485300917126
there,4,517,13.003591043985002
we,2,258,13.000797829093322
which,6,769,12.99144786091074
having,1,126,12.966850497169984
they,7,875,12.955354858332157
round,1,124,12.943766884056945
o,2,242,12.908433810944663
were,5,605,12.908433810944663
looked,1,120,12.896461169278586
more,3,357,12.884388336978013
its,2,234,12.859935293253471
mind,1,115,12.835060624614444
mother,2,226,12.809749536085256
put,1,112,12.796925495727672
like,3,322,12.73552495106353
my,4,429,12.734404411169614
morning,1,107,12.731037560071215
against,1,106,12.717491028233267
make,1,106,12.717491028233267
at,10,1028,12.673267027976584
might,2,205,12.669050673175514
she,22,2232,12.65426026686196
before,2,198,12.618927193749679
every,1,99,12.618927193749679
moment,1,99,12.618927193749679
enough,1,97,12.589483415857197
till,2,192,12.574533074391226
after,2,192,12.574533074391226
three,1,95,12.559426182001017
her,30,2827,12.547736145892726
time,3,282,12.544159425347706
here,2,188,12.544159425347706
then,3,278,12.523549145672419
two,2,185,12.52095203418638
new,1,92,12.51313252972708
room,1,91,12.497365213868767
thought,2,181,12.489416460753274
saw,1,90,12.481423669999744
side,1,90,12.481423669999744
something,1,90,12.481423669999744
tess,10,898,12.478214113523853
light,1,89,12.465304004636467
go,2,177,12.457176123753065
because,1,87,12.432514069518799
t,6,518,12.421416360635465
are,3,258,12.415835328372168
now,5,430,12.415835328372168
heart,1,86,12.415835328372168
sir,1,86,12.415835328372168
you,18,1543,12.411167918798492
upon,4,342,12.407423088555966
would,6,508,12.393292759721078
long,2,169,12.390450009952254
found,1,84,12.38188799644883
father,2,167,12.373274866144122
it,21,1728,12.352140653054777
once,1,82,12.347122578288152
on,11,898,12.340710589773918
be,10,809,12.327638371212682
d,3,242,12.323471310223507
of,55,4366,12.3003072751362
don,3,238,12.299425836256857
to,52,4118,12.296858970161232
words,1,78,12.274972792532317
yes,2,155,12.265694978944307
rather,1,77,12.256357114364969
no,7,539,12.256357114364969
many,1,77,12.256357114364969
that,25,1880,12.222231330460344
men,1,75,12.21838926416595
his,17,1260,12.201315750807009
eyes,2,148,12.19902393929902
but,12,884,12.192510632340344
head,1,73,12.179395132550088
made,2,145,12.169479663685005
passed,1,72,12.15949557511238
being,3,216,12.15949557511238
world,1,72,12.15949557511238
i,27,1929,12.148320499555703
without,2,142,12.139317693174752
us,1,71,12.139317693174752
in,35,2469,12.129998677867885
just,2,141,12.12912192606886
took,1,70,12.118853590615036
him,9,627,12.111967205029794
tis,1,69,12.098095030448238
looking,1,69,12.098095030448238
hour,1,69,12.098095030448238
or,6,410,12.084088172454358
about,3,204,12.07703341492041
really,1,67,12.05565976412784
soon,2,134,12.05565976412784
near,1,67,12.05565976412784
among,1,66,12.033964693028523
hand,2,132,12.033964693028523
sense,1,66,12.033964693028523
lay,1,66,12.033964693028523
had,27,1780,12.03234459736036
off,2,131,12.02299357520752
life,2,131,12.02299357520752
family,2,131,12.02299357520752
not,19,1229,12.004912260599145
going,2,128,11.989570573670068
want,1,63,11.966850497169984
didn,1,63,11.966850497169984
present,1,63,11.966850497169984
brought,1,63,11.966850497169984
some,4,251,11.96111412762084
and,70,4390,11.960292781147825
ee,1,62,11.943766884056943
walked,1,62,11.943766884056943
over,3,186,11.943766884056943
home,2,122,11.920307911232955
into,5,304,11.915569992226292
see,3,180,11.896461169278586
children,1,60,11.896461169278586
get,2,119,11.884388336978013
night,2,119,11.884388336978013
he,31,1832,11.874578051380137
old,3,177,11.87221362303191
very,3,177,11.87221362303191
for,18,1057,11.865405233610439
tell,2,115,11.835060624614444
next,1,57,11.82246058783481
marian,2,114,11.82246058783481
never,4,227,11.816119060960984
few,2,113,11.809749536085254
so,11,618,11.801601982937147
them,7,393,11.800601153871071
close,1,56,11.796925495727672
village,1,56,11.796925495727672
must,2,111,11.783986440020174
while,2,111,11.783986440020174
together,1,55,11.770930287194728
right,1,55,11.770930287194728
known,1,55,11.770930287194728
have,13,708,11.756736405611974
do,7,378,11.744458075833537
continued,1,54,11.744458075833537
yet,3,162,11.744458075833537
ll,2,108,11.744458075833537
hardly,1,54,11.744458075833537
from,13,699,11.738279500904412
again,3,161,11.73552495106353
am,3,161,11.73552495106353
least,1,53,11.717491028233267
though,4,210,11.70381609133619
by,15,785,11.699228821840538
than,6,311,11.685378843079516
left,2,103,11.676071100853289
heard,2,103,11.676071100853289
seemed,3,151,11.643012812273993
always,1,50,11.633426763444792
hear,1,50,11.633426763444792
longer,1,49,11.604280417785276
farmer,1,49,11.604280417785276
child,1,49,11.604280417785276
clare,7,343,11.604280417785276
full,1,49,11.604280417785276
if,10,490,11.604280417785276
another,2,97,11.589483415857197
marry,1,48,11.574533074391226
believe,1,48,11.574533074391226
dark,1,48,11.574533074391226
remained,1,48,11.574533074391226
with,21,1003,11.567359041503488
an,8,377,11.547991286938734
distance,1,47,11.544159425347706
the,189,8738,11.520415539893214
times,1,46,11.513132529727082
account,1,45,11.481423669999744
ever,2,90,11.481423669999744
began,2,90,11.481423669999744
mean,1,44,11.449002192307367
entered,1,44,11.449002192307367
herself,4,173,11.424198801306794
trantridge,1,43,11.415835328372168
as,37,1582,11.40765109251391
said,14,598,11.40621732581057
white,2,85,11.398961509807771
face,4,170,11.398961509807771
towards,2,85,11.398961509807771
four,1,42,11.38188799644883
loved,1,42,11.38188799644883
better,2,84,11.38188799644883
grew,1,42,11.38188799644883
marlott,1,42,11.38188799644883
coming,1,42,11.38188799644883
strange,1,42,11.38188799644883
nothing,3,124,11.358804383335787
has,2,82,11.347122578288152
fire,1,41,11.347122578288152
man,6,241,11.317497409178875
is,14,560,11.311498668557432
kind,1,40,11.311498668557432
angel,6,234,11.274972792532317
suppose,1,39,11.274972792532317
direction,1,39,11.274972792532317
front,1,39,11.274972792532317
done,3,116,11.262589068076485
was,55,2126,11.262136741676514
look,2,77,11.25635711436497
along,2,77,11.25635711436497
asked,3,115,11.250098123893288
first,4,153,11.24695841636272
your,8,304,11.237498087113654
live,1,38,11.237498087113654
other,6,227,11.231156560239826
should,5,187,11.214536938670344
up,9,335,11.207662857572892
spoke,1,37,11.19902393929902
gentleman,1,37,11.19902393929902
wife,3,109,11.17279239772584
reason,1,36,11.15949557511238
means,1,36,11.15949557511238
self,1,36,11.15949557511238
black,1,36,11.15949557511238
second,1,36,11.15949557511238
hard,1,36,11.15949557511238
m,1,36,11.15949557511238
such,7,247,11.130582883197143
kept,1,35,11.118853590615036
possible,1,35,11.118853590615036
alec,1,35,11.118853590615036
whom,2,70,11.118853590615036
almost,3,104,11.105047791090005
cannot,2,69,11.098095030448238
passing,1,34,11.077033414920407
through,4,136,11.077033414920407
trouble,1,34,11.077033414920407
however,2,68,11.077033414920407
why,5,169,11.06852191506489
this,20,672,11.059959901561466
could,14,467,11.049494391322126
simple,1,33,11.033964693028523
knew,3,99,11.033964693028523
thus,2,66,11.033964693028523
week,1,33,11.033964693028523
gave,1,33,11.033964693028523
may,3,99,11.033964693028523
true,2,65,11.011938386698523
told,2,65,11.011938386698523
business,1,32,10.98957057367007
held,1,32,10.98957057367007
turning,1,32,10.98957057367007
called,2,63,10.966850497169984
most,2,63,10.966850497169984
felt,3,94,10.95919692462655
s,29,900,10.945370769759535
perhaps,3,93,10.943766884056943
bad,1,31,10.943766884056943
nor,1,31,10.943766884056943
later,1,31,10.943766884056943
says,1,31,10.943766884056943
behind,3,90,10.896461169278588
somewhat,1,30,10.896461169278588
sight,1,30,10.896461169278588
struck,1,30,10.896461169278588
cottage,1,30,10.896461169278588
basket,1,30,10.896461169278588
girl,3,88,10.86403969158621
appeared,1,29,10.847551568797641
neither,1,29,10.847551568797641
say,5,144,10.837567480225019
much,5,144,10.837567480225019
abraham,1,28,10.796925495727674
feeling,1,28,10.796925495727674
ve,3,84,10.796925495727674
dear,3,83,10.779647504295838
within,2,55,10.770930287194728
well,11,300,10.758957645528652
mine,1,27,10.744458075833537
turn,1,27,10.744458075833537
work,3,81,10.744458075833537
thinking,2,53,10.717491028233269
sudden,1,26,10.690010291811161
wind,1,26,10.690010291811161
case,1,26,10.690010291811161
a,126,3233,10.670948442296238
air,2,51,10.661995915641565
somebody,1,25,10.633426763444794
love,5,125,10.633426763444794
field,2,50,10.633426763444794
sunday,1,25,10.633426763444794
common,1,25,10.633426763444794
himself,4,99,10.618927193749677
can,8,193,10.582027610938148
rick,1,24,10.574533074391226
immediately,1,24,10.574533074391226
keep,2,48,10.574533074391226
lover,1,24,10.574533074391226
country,2,47,10.544159425347706
friends,1,23,10.513132529727082
history,1,23,10.513132529727082
perceived,1,23,10.513132529727082
interest,1,23,10.513132529727082
name,3,69,10.513132529727082
top,1,23,10.513132529727082
inn,1,23,10.513132529727082
baby,1,23,10.513132529727082
word,2,45,10.481423669999742
voice,2,45,10.481423669999742
years,3,67,10.470697263406684
note,1,22,10.449002192307367
whether,1,22,10.449002192307367
required,1,22,10.449002192307367
difference,1,22,10.449002192307367
wait,1,22,10.449002192307367
landscape,1,22,10.449002192307367
position,2,43,10.415835328372166
maid,1,21,10.38188799644883
rich,1,21,10.38188799644883
necessary,1,21,10.38188799644883
mere,1,21,10.38188799644883
boy,1,21,10.38188799644883
horse,3,62,10.358804383335787
god,2,41,10.347122578288152
twas,1,20,10.311498668557432
footsteps,1,20,10.311498668557432
ash,1,20,10.311498668557432
walking,2,40,10.311498668557432
fixed,1,20,10.311498668557432
england,1,20,10.311498668557432
owing,1,20,10.311498668557432
received,1,20,10.311498668557432
lord,1,20,10.311498668557432
husband,5,98,10.282352322897914
alone,2,39,10.274972792532317
fell,2,39,10.274972792532317
ask,2,38,10.237498087113654
driven,1,19,10.237498087113654
meaning,1,19,10.237498087113654
re,1,19,10.237498087113654
apparently,1,19,10.237498087113654
inclined,1,19,10.237498087113654
spread,1,19,10.237498087113654
turned,5,95,10.237498087113654
high,2,38,10.237498087113654
living,2,37,10.19902393929902
oh,2,37,10.19902393929902
same,6,109,10.17279239772584
stone,2,36,10.15949557511238
drawing,1,18,10.15949557511238
lives,1,18,10.15949557511238
dream,1,18,10.15949557511238
died,1,18,10.15949557511238
stranger,1,18,10.15949557511238
feared,1,18,10.15949557511238
despite,1,18,10.15949557511238
telling,1,18,10.15949557511238
returned,2,35,10.118853590615036
won,3,52,10.105047791090005
seen,4,69,10.098095030448238
noticed,1,17,10.077033414920407
flesh,1,17,10.077033414920407
doing,2,34,10.077033414920407
reply,1,17,10.077033414920407
repeated,1,17,10.077033414920407
lonely,1,17,10.077033414920407
drove,1,17,10.077033414920407
does,2,34,10.077033414920407
understand,1,17,10.077033414920407
whose,4,66,10.033964693028523
stepped,1,16,9.989570573670068
flintcomb,1,16,9.989570573670068
speaking,1,16,9.989570573670068
worked,1,16,9.989570573670068
sooner,1,16,9.989570573670068
foolish,1,16,9.989570573670068
future,1,16,9.989570573670068
step,1,16,9.989570573670068
observed,2,31,9.943766884056943
presence,2,31,9.943766884056943
descended,1,15,9.896461169278588
caused,1,15,9.896461169278588
recognized,1,15,9.896461169278588
fallen,1,15,9.896461169278588
strong,1,15,9.896461169278588
tall,1,15,9.896461169278588
animal,1,15,9.896461169278588
horses,1,15,9.896461169278588
poor,5,75,9.896461169278588
truth,2,30,9.896461169278588
woman,11,163,9.87886710926385
nearly,2,29,9.847551568797641
ye,3,43,9.83087282765101
moral,1,14,9.796925495727674
shining,1,14,9.796925495727674
wet,1,14,9.796925495727674
met,2,28,9.796925495727674
admitted,1,14,9.796925495727674
chosen,1,14,9.796925495727674
tender,1,14,9.796925495727674
reproach,1,14,9.796925495727674
beside,3,42,9.796925495727674
sheaves,1,14,9.796925495727674
any,13,180,9.780983951858651
fancied,1,13,9.690010291811161
dusk,1,13,9.690010291811161
ended,1,13,9.690010291811161
thousand,1,13,9.690010291811161
middle,2,26,9.690010291811161
adjoining,1,13,9.690010291811161
ordinary,1,13,9.690010291811161
j,1,13,9.690010291811161
passion,1,13,9.690010291811161
manner,3,39,9.690010291811161
advanced,1,13,9.690010291811161
between,7,87,9.625159147461192
good,13,158,9.592911603706078
wretched,1,12,9.574533074391226
broad,1,12,9.574533074391226
shaston,1,12,9.574533074391226
alive,1,12,9.574533074391226
sentiment,1,12,9.574533074391226
bedroom,1,12,9.574533074391226
lodgings,1,12,9.574533074391226
intelligence,1,12,9.574533074391226
christian,1,12,9.574533074391226
conduct,1,12,9.574533074391226
sisters,1,12,9.574533074391226
plans,1,12,9.574533074391226
harm,1,12,9.574533074391226
st,1,12,9.574533074391226
county,2,23,9.51313252972708
earth,2,22,9.449002192307367
fellow,2,22,9.449002192307367
hundred,1,11,9.449002192307367
preach,1,11,9.449002192307367
machine,2,22,9.449002192307367
judgement,1,11,9.449002192307367
five,2,22,9.449002192307367
minded,1,11,9.449002192307367
fool,1,11,9.449002192307367
passage,1,11,9.449002192307367
joined,1,11,9.449002192307367
angry,1,11,9.449002192307367
drive,2,21,9.38188799644883
ran,2,21,9.38188799644883
preferred,1,10,9.311498668557432
belief,1,10,9.311498668557432
yard,1,10,9.311498668557432
desired,1,10,9.311498668557432
engaged,1,10,9.311498668557432
handsome,1,10,9.311498668557432
trust,1,10,9.311498668557432
refuse,1,10,9.311498668557432
paint,1,10,9.311498668557432
skin,1,10,9.311498668557432
discern,1,10,9.311498668557432
approaching,1,10,9.311498668557432
glanced,1,10,9.311498668557432
beheld,2,20,9.311498668557432
recent,1,10,9.311498668557432
who,37,366,9.295817046325162
minutes,2,19,9.237498087113654
gazing,1,9,9.159495575112382
unhappy,1,9,9.159495575112382
everywhere,1,9,9.159495575112382
silly,1,9,9.159495575112382
rested,1,9,9.159495575112382
resting,1,9,9.159495575112382
westward,1,9,9.159495575112382
company,2,18,9.159495575112382
settle,1,9,9.159495575112382
despised,1,9,9.159495575112382
public,1,9,9.159495575112382
knights,1,9,9.159495575112382
understood,1,9,9.159495575112382
interior,1,9,9.159495575112382
somewhere,1,9,9.159495575112382
seldom,1,9,9.159495575112382
carrying,1,9,9.159495575112382
fly,1,9,9.159495575112382
carefully,1,9,9.159495575112382
merely,1,9,9.159495575112382
honour,2,17,9.077033414920407
proposed,1,8,8.989570573670068
loud,1,8,8.989570573670068
religious,1,8,8.989570573670068
career,1,8,8.989570573670068
lent,1,8,8.989570573670068
sending,1,8,8.989570573670068
master,1,8,8.989570573670068
quiet,1,8,8.989570573670068
goodbye,2,16,8.989570573670068
ideas,1,8,8.989570573670068
rode,2,16,8.989570573670068
lifted,2,16,8.989570573670068
south,2,16,8.989570573670068
information,1,8,8.989570573670068
slept,1,8,8.989570573670068
fancy,3,24,8.989570573670068
rough,1,8,8.989570573670068
allow,1,8,8.989570573670068
deserved,1,8,8.989570573670068
pot,1,8,8.989570573670068
importance,1,8,8.989570573670068
cart,3,23,8.928170029005926
nearest,2,15,8.896461169278588
vehicle,2,15,8.896461169278588
physical,1,7,8.796925495727672
mechanically,1,7,8.796925495727672
chin,1,7,8.796925495727672
unexpectedly,1,7,8.796925495727672
deposited,1,7,8.796925495727672
stopped,2,14,8.796925495727672
arriving,1,7,8.796925495727672
abruptly,1,7,8.796925495727672
perfect,2,14,8.796925495727672
elder,1,7,8.796925495727672
choice,1,7,8.796925495727672
stile,1,7,8.796925495727672
despair,1,7,8.796925495727672
grown,2,14,8.796925495727672
handle,1,7,8.796925495727672
hollow,1,7,8.796925495727672
charity,1,7,8.796925495727672
search,1,7,8.796925495727672
unusual,1,7,8.796925495727672
excellent,1,7,8.796925495727672
conscience,1,7,8.796925495727672
scarce,1,7,8.796925495727672
personality,1,7,8.796925495727672
solitary,1,7,8.796925495727672
afield,1,6,8.574533074391224
awakening,1,6,8.574533074391224
supply,1,6,8.574533074391224
alongside,1,6,8.574533074391224
stick,1,6,8.574533074391224
threw,1,6,8.574533074391224
driver,1,6,8.574533074391224
dismissed,1,6,8.574533074391224
endure,1,6,8.574533074391224
firm,1,6,8.574533074391224
landlady,1,6,8.574533074391224
hired,1,6,8.574533074391224
weary,1,6,8.574533074391224
threshold,1,6,8.574533074391224
moods,1,6,8.574533074391224
pressing,1,6,8.574533074391224
contemplating,1,6,8.574533074391224
mien,1,6,8.574533074391224
clerical,1,6,8.574533074391224
informing,1,6,8.574533074391224
standard,1,6,8.574533074391224
sing,1,6,8.574533074391224
laughing,1,6,8.574533074391224
partner,1,6,8.574533074391224
advancing,1,6,8.574533074391224
kindness,1,6,8.574533074391224
outdoor,2,12,8.574533074391224
wicked,2,12,8.574533074391224
assented,1,6,8.574533074391224
william,2,11,8.449002192307367
age,2,11,8.449002192307367
accustomed,2,11,8.449002192307367
wrong,5,27,8.422529980946175
insist,1,5,8.311498668557432
upright,1,5,8.311498668557432
indifferent,1,5,8.311498668557432
street,3,15,8.311498668557432
rustle,1,5,8.311498668557432
wessex,2,10,8.311498668557432
conventional,1,5,8.311498668557432
represented,1,5,8.311498668557432
thee,1,5,8.311498668557432
acquired,1,5,8.311498668557432
humble,1,5,8.311498668557432
cap,1,5,8.311498668557432
based,1,5,8.311498668557432
stourcastle,1,5,8.311498668557432
health,1,5,8.311498668557432
superior,1,5,8.311498668557432
dying,2,10,8.311498668557432
mellstock,1,5,8.311498668557432
practical,3,15,8.311498668557432
praise,1,5,8.311498668557432
cases,1,5,8.311498668557432
young,27,109,8.002867396283525
drum,1,4,7.989570573670068
volume,1,4,7.989570573670068
homeward,1,4,7.989570573670068
gaunt,1,4,7.989570573670068
manage,1,4,7.989570573670068
skeleton,1,4,7.989570573670068
wages,1,4,7.989570573670068
appeal,1,4,7.989570573670068
consented,1,4,7.989570573670068
earnest,2,8,7.989570573670068
isolation,1,4,7.989570573670068
engine,2,8,7.989570573670068
glory,2,8,7.989570573670068
missing,1,4,7.989570573670068
destination,1,4,7.989570573670068
knowed,2,8,7.989570573670068
actual,1,4,7.989570573670068
cloth,1,4,7.989570573670068
simplicity,1,4,7.989570573670068
employed,1,4,7.989570573670068
musical,1,4,7.989570573670068
preacher,1,4,7.989570573670068
smockfrock,1,4,7.989570573670068
insulted,1,4,7.989570573670068
paul,1,4,7.989570573670068
conscientiously,1,4,7.989570573670068
invited,1,4,7.989570573670068
stared,1,4,7.989570573670068
perceive,1,4,7.989570573670068
moustache,1,4,7.989570573670068
accents,1,4,7.989570573670068
prostrate,1,4,7.989570573670068
operation,1,4,7.989570573670068
seventh,1,4,7.989570573670068
embarrassment,1,4,7.989570573670068
aged,3,11,7.86403969158621
mighty,2,7,7.796925495727673
devout,1,3,7.574533074391225
chilly,1,3,7.574533074391225
ghost,2,6,7.574533074391225
defence,1,3,7.574533074391225
incensed,1,3,7.574533074391225
nobler,1,3,7.574533074391225
recovered,1,3,7.574533074391225
wooed,1,3,7.574533074391225
passions,1,3,7.574533074391225
quantity,1,3,7.574533074391225
loves,1,3,7.574533074391225
shapely,1,3,7.574533074391225
bursting,1,3,7.574533074391225
skillentons,1,3,7.574533074391225
doubtless,1,3,7.574533074391225
legally,1,3,7.574533074391225
horseback,1,3,7.574533074391225
shillings,1,3,7.574533074391225
pinner,1,3,7.574533074391225
decidedly,1,3,7.574533074391225
estimate,1,3,7.574533074391225
narrative,1,3,7.574533074391225
cultivated,1,3,7.574533074391225
mail,2,6,7.574533074391225
proudly,1,3,7.574533074391225
prize,1,3,7.574533074391225
cloister,1,3,7.574533074391225
scepticism,1,3,7.574533074391225
tour,1,3,7.574533074391225
overtaken,1,3,7.574533074391225
comer,1,3,7.574533074391225
listening,1,2,6.989570573670068
sexton,1,2,6.989570573670068
blab,1,2,6.989570573670068
converted,1,2,6.989570573670068
inferior,1,2,6.989570573670068
mortal,1,2,6.989570573670068
extravagant,1,2,6.989570573670068
villagers,1,2,6.989570573670068
apostolic,1,2,6.989570573670068
smoking,1,2,6.989570573670068
planted,1,2,6.989570573670068
humiliations,1,2,6.989570573670068
readjusting,1,2,6.989570573670068
distasteful,1,2,6.989570573670068
conveyed,1,2,6.989570573670068
restlessly,1,2,6.989570573670068
beloved,1,2,6.989570573670068
lined,1,2,6.989570573670068
resented,1,2,6.989570573670068
compared,1,2,6.989570573670068
discussed,1,2,6.989570573670068
humiliation,1,2,6.989570573670068
nicely,1,2,6.989570573670068
chastened,1,2,6.989570573670068
tons,1,2,6.989570573670068
