collocation,collocate_count,total_count,MI
were,1,466,15.13584103306042
she,5,2114,14.99548645490146
again,1,270,14.34847048545697
miss,1,266,14.326937323907329
strether,4,1062,14.324222939210292
other,1,247,14.220022119990816
make,1,238,14.166472651714082
very,1,235,14.148171834971139
nothing,1,228,14.10454490257088
something,1,218,14.039839213183065
thing,1,196,13.886364732521347
than,2,372,13.81081369951417
now,2,363,13.775480626401889
why,1,179,13.755470665670396
their,2,355,13.743330102798183
newsome,1,171,13.689507403292037
course,1,169,13.672534324688325
her,11,1846,13.662410107414617
or,2,335,13.659672173751273
almost,1,166,13.646694319753065
ll,1,160,13.593582983293501
its,1,159,13.584537843690494
hadn,1,158,13.575435636583244
ah,1,157,13.566275637297766
bilham,1,157,13.566275637297766
don,2,312,13.557057107268388
want,1,155,13.547779293680376
while,1,155,13.547779293680376
oh,2,309,13.543117916310512
time,2,308,13.538441429101042
up,3,458,13.525896175781927
himself,3,457,13.522742742743054
yes,1,151,13.510059627731218
didn,1,150,13.50047357890202
already,1,148,13.481108254035089
thought,1,147,13.471327233242503
took,1,147,13.471327233242503
no,3,421,13.404368810751379
face,1,140,13.400937905351105
on,8,1110,13.387998849643607
day,1,137,13.369686971366665
which,5,680,13.359117729656477
may,1,136,13.359117729656477
how,2,263,13.310573877698443
things,2,249,13.23165682047422
matter,1,124,13.225851198793013
been,6,740,13.218073848201294
he,34,4177,13.212443475318592
wouldn,1,121,13.190518125680734
one,5,602,13.18334647027848
long,1,120,13.17854548401466
eyes,1,117,13.142019607989544
never,2,229,13.110858676503081
it,31,3546,13.109435398917952
but,12,1371,13.107705243464208
some,2,228,13.10454490257088
off,1,114,13.10454490257088
said,3,333,13.066070754756245
made,3,328,13.044244392303067
him,15,1634,13.038956560943305
m,2,217,13.03320612085062
his,19,1986,12.979377282490926
not,6,627,12.979014020487021
gave,1,104,12.97209460654723
well,4,415,12.968622414640425
come,3,311,12.967463157815585
as,23,2382,12.966050630213239
case,1,103,12.958155415589358
felt,2,204,12.944080230377635
with,15,1514,12.92891378278335
back,2,201,12.922706579585068
if,8,802,12.91911331486106
t,15,1501,12.91647255441831
also,1,100,12.915511078180865
into,2,200,12.915511078180865
i,23,2257,12.888283635540963
kept,1,98,12.886364732521347
only,4,388,12.871567730593267
isn,1,97,12.871567730593267
of,50,4832,12.866203437956495
quite,3,289,12.861618070185662
be,9,865,12.858286209487913
since,1,96,12.856617389127296
part,1,95,12.841510496737088
this,9,850,12.833048917988892
paris,1,94,12.826243740083777
them,5,469,12.823170906034152
has,4,374,12.818549348293775
down,1,93,12.81081369951417
two,1,93,12.81081369951417
side,1,93,12.81081369951417
last,2,186,12.81081369951417
