collocation,collocate_count,total_count,MI
were,1,370,14.410040126116911
than,1,223,13.679558565520905
christina,1,213,13.61336828582644
only,1,193,13.47111570286868
n,1,190,13.448514273931547
could,1,188,13.433247517278236
which,2,373,13.421690485855837
nothing,1,182,13.386453305799296
if,3,518,13.310504452565999
upon,1,158,13.182439413777702
come,1,157,13.173279414492226
their,1,154,13.145445206295502
had,10,1504,13.111319422390876
it,14,2088,13.09920974011288
way,1,149,13.09782718606276
away,1,149,13.09782718606276
light,2,286,13.03853000237899
mother,1,142,13.028405785105281
mrs,2,274,12.976690748561126
more,2,272,12.96612150685094
her,12,1631,12.965237231591328
know,2,262,12.91208166713805
head,1,130,12.901026478629053
roderick,6,767,12.876778932382377
say,2,254,12.867343352372766
half,1,123,12.82117317093984
these,1,122,12.809396003163485
rome,1,122,12.809396003163485
t,5,602,12.790350247472938
face,1,120,12.785549261209118
me,5,595,12.773476428908543
over,1,115,12.724148716544974
some,2,229,12.717862453697544
its,1,114,12.711548679765341
into,2,227,12.705207152891514
your,3,338,12.694575601161628
let,1,112,12.686013587658202
about,2,218,12.646842990377525
work,1,108,12.633546167764068
from,3,324,12.633546167764068
believe,1,106,12.606579120163797
she,15,1572,12.590153572250689
look,1,104,12.579098383741693
time,2,207,12.572145623099926
all,4,406,12.543994582785775
hand,1,101,12.536870148352394
them,3,302,12.532100904204523
would,5,495,12.508015285680209
something,2,198,12.508015285680209
came,1,97,12.478571507787727
done,1,96,12.463621166321756
mr,2,190,12.448514273931547
must,2,190,12.448514273931547
make,2,187,12.425553125488236
do,4,370,12.410040126116913
can,3,275,12.396983973291464
don,3,274,12.391728247839971
now,2,179,12.362474442864857
they,4,357,12.3584389296297
but,12,1046,12.324363301126386
looked,2,172,12.304923420302698
people,1,86,12.304923420302698
told,1,85,12.288049601738303
am,3,254,12.282380851651608
at,13,1083,12.259036475067834
give,1,83,12.253698096947526
i,33,2705,12.235677424956325
and,45,3655,12.222461260110725
garland,3,242,12.212559402154037
seen,1,80,12.200586760487962
rowland,15,1199,12.199384013406304
you,24,1908,12.191541620884955
too,2,157,12.173279414492226
well,2,156,12.164060884462847
did,2,156,12.164060884462847
no,5,389,12.16035691569943
sat,1,77,12.145445206295502
even,1,77,12.145445206295502
always,1,76,12.126586179044185
so,5,375,12.10747735609648
stood,1,75,12.10747735609648
us,1,75,12.10747735609648
or,3,222,12.08811203122955
least,1,74,12.08811203122955
hands,1,73,12.068483224480618
because,1,73,12.068483224480618
course,1,72,12.04858366704291
by,5,359,12.044570604536288
out,3,214,12.03516315128059
have,13,926,12.033087330719743
talk,1,70,12.007941682545566
hour,1,70,12.007941682545566
myself,1,69,11.987183122378768
seemed,3,207,11.987183122378768
smile,1,69,11.987183122378768
want,1,68,11.96612150685094
he,41,2784,11.964050156831243
hudson,4,270,11.95547426265143
on,11,741,11.952556779269138
there,6,402,11.94474785605837
still,1,66,11.923052784959053
days,1,66,11.923052784959053
see,3,196,11.908406008994652
with,19,1223,11.8869398406844
answered,1,64,11.8786586656006
an,10,639,11.876402691660234
been,6,381,11.867343352372766
one,8,506,11.86165224029491
are,6,379,11.859750203050535
through,1,63,11.855938589100514
should,4,252,11.855938589100514
mean,1,62,11.832854975987475
things,3,185,11.825077625395755
air,1,61,11.809396003163485
beautiful,2,122,11.809396003163485
off,1,61,11.809396003163485
cavaliere,2,122,11.809396003163485
took,1,61,11.809396003163485
deal,1,60,11.785549261209116
moment,3,180,11.785549261209116
his,28,1678,11.78383074398282
him,15,895,11.7775119421437
this,9,534,11.769429595845843
down,2,118,11.76130171496244
help,1,59,11.76130171496244
certainly,1,59,11.76130171496244
friend,2,118,11.76130171496244
knew,1,59,11.76130171496244
point,1,59,11.76130171496244
to,66,3884,11.757592031661337
that,33,1940,11.756105483316636
up,4,234,11.749023385184005
less,1,58,11.736639660728171
think,3,174,11.736639660728171
never,4,230,11.724148716544974
what,8,457,11.71470902065867
sort,1,57,11.711548679765341
words,1,57,11.711548679765341
matter,1,57,11.711548679765341
man,4,228,11.711548679765341
before,3,171,11.711548679765341
oh,2,112,11.686013587658206
ll,1,56,11.686013587658206
how,2,112,11.686013587658206
as,17,951,11.684497355210825
yet,2,111,11.673074531950704
taken,1,55,11.660018379125258
felt,2,110,11.660018379125258
my,9,494,11.657100895742964
asked,3,164,11.651248169497528
better,2,108,11.633546167764068
for,20,1073,11.624164931469759
of,65,3451,11.60908961100766
added,1,53,11.606579120163797
kind,1,52,11.579098383741691
called,1,51,11.551084007572097
be,13,651,11.524732680625142
saw,2,100,11.522514855375324
sitting,1,49,11.493368509715808
under,1,49,11.493368509715808
understand,1,49,11.493368509715808
in,43,2097,11.486505056995094
right,1,48,11.463621166321756
far,1,48,11.463621166321756
roman,1,48,11.463621166321756
little,6,284,11.443443284384125
after,3,142,11.443443284384125
may,3,142,11.443443284384125
nor,1,47,11.433247517278238
yourself,1,47,11.433247517278238
daughter,1,47,11.433247517278238
hard,1,47,11.433247517278238
was,41,1918,11.426493666000646
very,10,467,11.4240093104229
glance,1,46,11.402220621657612
between,1,46,11.402220621657612
same,1,46,11.402220621657612
side,1,46,11.402220621657612
keep,1,46,11.402220621657612
gloriani,1,46,11.402220621657612
said,17,778,11.394822169336452
not,18,817,11.382925932303971
last,4,181,11.378504552683804
son,1,45,11.370511761930274
prince,2,90,11.370511761930274
then,6,270,11.370511761930274
used,1,45,11.370511761930274
went,3,134,11.359785355337216
will,6,266,11.348978600380633
really,2,87,11.321602161449329
door,1,43,11.304923420302698
thing,2,86,11.304923420302698
good,5,215,11.304923420302698
most,3,127,11.28238085165161
casamassima,1,42,11.27097608837936
the,120,5003,11.260345806984784
just,2,83,11.253698096947524
going,2,83,11.253698096947524
own,4,164,11.236210670218684
speak,1,41,11.236210670218684
turn,1,41,11.236210670218684
might,4,163,11.227386819831677
made,6,244,11.22443350244233
ought,1,40,11.200586760487962
twenty,1,39,11.164060884462849
immediately,1,39,11.164060884462849
figure,1,39,11.164060884462849
again,3,115,11.139186215823818
also,1,38,11.126586179044185
months,1,38,11.126586179044185
near,1,38,11.126586179044185
re,1,38,11.126586179044185
sir,1,37,11.08811203122955
s,32,1174,11.075875358710652
when,7,255,11.065657180401853
leavenworth,1,36,11.048583667042912
times,1,36,11.048583667042912
arm,1,36,11.048583667042912
walked,1,36,11.048583667042912
our,2,71,11.028405785105281
anything,2,71,11.028405785105281
day,4,141,11.018210017999394
rather,2,70,11.007941682545566
without,3,103,10.980196692062663
demanded,1,34,10.96612150685094
