collocation,collocate_count,total_count,MI
have,2,927,14.97571702193934
or,1,422,14.840390682020992
make,1,304,14.367219006757395
other,1,288,14.28921649475612
are,1,288,14.28921649475612
would,3,829,14.229557284088402
will,1,244,14.050028830876695
why,1,239,14.020158301294558
only,2,448,13.926646415371414
shall,1,212,13.847211947877007
place,1,203,13.784627410498986
while,1,195,13.726621807063419
herself,1,190,13.689147101644755
everything,1,187,13.666185953201444
lady,2,362,13.619137380397014
biddy,2,358,13.603107270578064
us,1,175,13.570502605146137
really,1,172,13.545556248015906
time,2,339,13.524432956450152
its,1,167,13.50299578578786
things,2,331,13.489978900121026
ve,3,488,13.465066330155539
anything,1,162,13.459141496198432
these,1,153,13.37667933600646
too,2,306,13.37667933600646
i,21,3200,13.370830260309772
then,3,450,13.34811018380969
same,1,147,13.318963838150172
done,1,144,13.28921649475612
two,1,143,13.279162830092197
seen,1,143,13.279162830092197
her,22,3140,13.276408718455501
there,5,712,13.273096829392843
may,1,142,13.26903861281849
carteret,1,141,13.258842845712602
least,1,140,13.248574510258774
been,5,698,13.2444466246361
look,1,138,13.227815950091976
rooth,2,275,13.222579301725832
talk,1,137,13.217323576274334
nick,8,1090,13.209403912978098
all,6,808,13.192540475344448
yes,1,132,13.163685612672262
can,3,395,13.160037835657118
him,11,1429,13.140650075772328
house,1,128,13.11929149331381
won,1,124,13.073487803700683
fine,1,124,13.073487803700683
m,3,371,13.069604369213454
she,27,3335,13.067875037222286
t,16,1962,13.057400819533047
how,3,367,13.053965245435865
face,1,122,13.050028830876693
about,4,485,13.041132430388297
dashwood,1,121,13.038154730588403
miss,1,121,13.038154730588403
they,7,846,13.036450424376154
it,32,3739,12.987728249171976
miriam,4,467,12.986570233023471
know,4,462,12.971040534729866
one,7,807,12.968361434533985
away,2,230,12.964781544258182
high,1,115,12.964781544258182
saw,1,115,12.964781544258182
their,3,344,12.96059374729475
were,5,561,12.929220359035238
looking,1,112,12.926646415371414
never,3,334,12.918033285066704
before,3,333,12.913707359663915
but,13,1442,12.912707224413538
now,3,332,12.909368423939576
any,3,329,12.896272766327893
theatre,1,109,12.887475818090735
world,1,108,12.874178995477278
doesn,1,108,12.874178995477278
see,4,429,12.864125330813355
fact,1,107,12.860758479714956
gave,1,106,12.847211947877009
london,1,106,12.847211947877009
he,37,3860,12.824223259840302
we,4,413,12.809289464733252
little,5,515,12.805792020497027
go,3,309,12.805792020497027
peter,6,618,12.805792020497027
couldn,1,103,12.805792020497027
sherringham,3,308,12.801115533287552
could,4,407,12.788176477580055
come,4,404,12.777502976065602
