collocation,collocate_count,total_count,MI
them,1,137,12.08058099898561
d,1,129,11.993776171448337
salters,1,126,11.959828839525
into,1,114,11.815438930189826
cheyne,1,112,11.789903838082687
fer,1,110,11.763908629549741
all,3,305,11.650251847754175
fish,1,98,11.59725876014029
dan,3,284,11.547333534808608
back,1,94,11.537137767702719
two,1,89,11.45828234699148
time,1,87,11.42549241187381
out,2,164,11.340100920643167
her,3,239,11.298453223284675
say,1,78,11.26795113488733
don,2,155,11.25867332129932
your,2,151,11.220953655350161
about,1,72,11.152473917467395
too,1,72,11.152473917467395
take,1,71,11.132296035529764
manuel,1,69,11.091073372803251
after,1,69,11.091073372803251
over,2,137,11.080580998985608
day,1,68,11.070011757275422
she,3,198,11.026943035383537
half,1,66,11.026943035383537
made,1,63,10.959828839524999
ain,1,63,10.959828839524999
here,2,125,10.94833320068717
one,3,181,10.89743230238713
disko,3,179,10.881402192568183
own,1,57,10.815438930189824
through,1,57,10.815438930189824
of,18,989,10.76245062534188
they,7,384,10.760156494688633
him,5,272,10.74808366238806
by,3,156,10.682988634166176
their,2,103,10.669049443208301
tom,2,103,10.669049443208301
last,1,51,10.654974257996578
hand,1,51,10.654974257996578
more,2,101,10.640760398776877
but,6,301,10.631206092063628
first,1,50,10.626405105799808
lay,1,50,10.626405105799808
much,1,50,10.626405105799808
under,1,50,10.626405105799808
penn,2,99,10.611905536104691
things,1,49,10.59725876014029
now,2,97,10.58246175821221
give,1,48,10.567511416746239
heard,1,47,10.53713776770272
let,1,47,10.53713776770272
good,2,93,10.521707727133114
long,3,139,10.516527488027434
why,1,46,10.506110872082095
once,1,46,10.506110872082095
cook,1,46,10.506110872082095
we,7,319,10.492606607732348
at,7,315,10.474402012354757
there,4,176,10.44198053466238
deck,1,44,10.44198053466238
re,4,174,10.42549241187381
new,1,43,10.40881367072718
just,1,43,10.40881367072718
jack,2,86,10.40881367072718
be,4,170,10.391939852162784
m,2,85,10.391939852162784
took,1,42,10.374866338803843
come,2,84,10.374866338803843
like,3,126,10.374866338803843
end,1,42,10.374866338803843
night,1,41,10.340100920643167
most,1,41,10.340100920643167
anchor,1,40,10.304477010912445
ll,5,200,10.304477010912445
my,3,119,10.29240417861187
dory,2,79,10.286329664202185
i,18,708,10.280229464665767
you,14,547,10.270591016760035
great,1,39,10.26795113488733
up,7,272,10.262656835217818
water,2,77,10.249335456719983
no,4,154,10.249335456719983
been,2,77,10.249335456719983
me,4,154,10.249335456719983
harvey,10,384,10.245583321858877
to,30,1140,10.230476429468668
get,1,38,10.230476429468668
hev,1,38,10.230476429468668
days,1,37,10.192002281654032
an,15,553,10.186793990651271
em,2,73,10.1723734749051
some,2,73,10.1723734749051
between,1,36,10.152473917467395
n,1,36,10.152473917467395
hundred,1,36,10.152473917467395
five,1,36,10.152473917467395
were,4,143,10.142420252803472
with,13,449,10.092680832625136
dollars,1,34,10.070011757275422
have,3,102,10.070011757275422
something,1,34,10.070011757275422
on,15,499,10.038554325753825
is,4,133,10.037831351526274
white,1,33,10.026943035383537
sat,1,33,10.026943035383537
found,1,32,9.982548916025083
what,5,160,9.982548916025083
face,1,32,9.982548916025083
where,3,95,9.967442023634874
t,15,475,9.967442023634874
blue,1,31,9.936745226411958
as,11,341,9.936745226411958
might,1,31,9.936745226411958
black,1,31,9.936745226411958
in,23,701,9.912257593978692
cabin,1,30,9.8894395116336
mother,1,30,9.8894395116336
thet,1,30,9.8894395116336
his,19,567,9.881826327523726
and,54,1603,9.874220124016162
ye,4,118,9.865191965386924
dropped,1,29,9.840529911152656
will,1,29,9.840529911152656
make,2,58,9.840529911152656
banks,1,29,9.840529911152656
ve,4,114,9.815438930189824
the,109,3084,9.804951641163191
can,4,113,9.80272787844027
must,1,28,9.789903838082687
business,1,28,9.789903838082687
saw,1,28,9.789903838082687
boston,1,28,9.789903838082687
forward,1,28,9.789903838082687
cut,1,28,9.789903838082687
it,20,547,9.756017843930277
sea,3,82,9.755138419922009
so,5,136,9.74808366238806
ten,1,27,9.737436418188551
go,3,80,9.719514510191289
before,2,53,9.710469370588282
schooner,2,53,9.710469370588282
was,22,580,9.703026387402721
red,1,26,9.682988634166176
eye,1,26,9.682988634166176
because,1,26,9.682988634166176
