collocation,collocate_count,total_count,MI
river,1,114,11.578848827610177
their,2,226,11.566137775860621
three,1,111,11.54037467979554
about,1,105,11.460204331111559
she,2,198,11.375315433525044
many,1,98,11.360668657560643
half,1,92,11.269520769502448
there,4,366,11.261658651729478
mahbub,3,267,11.221692244411834
red,1,86,11.172223568147533
lurgan,1,86,11.172223568147533
eyes,1,83,11.120998244792359
horse,1,75,10.974777503941317
bull,1,73,10.935783372325451
years,1,72,10.915883814887748
looked,1,71,10.895705932950117
feet,1,70,10.8752418303904
last,1,70,10.8752418303904
hurree,1,69,10.854483270223604
across,1,69,10.854483270223604
friend,1,68,10.833421654695774
few,1,68,10.833421654695774
full,1,66,10.790352932803888
which,3,193,10.753453349992359
true,1,64,10.745958813445435
now,4,254,10.7346435002176
round,1,63,10.723238736945351
sent,1,63,10.723238736945351
remember,1,62,10.70015512383231
well,3,185,10.69237777324059
done,1,61,10.67669615100832
lay,1,61,10.67669615100832
get,1,60,10.652849409053953
these,2,120,10.652849409053953
gave,1,60,10.652849409053953
food,1,59,10.628601862807276
lama,7,408,10.611029233359327
her,3,174,10.603939808573008
between,1,58,10.603939808573008
than,2,115,10.59144886438981
only,2,114,10.578848827610177
ye,1,57,10.578848827610177
day,2,113,10.566137775860623
least,1,56,10.553313735503039
small,1,55,10.527318526970095
none,1,55,10.527318526970095
thee,5,271,10.506179759911944
ali,2,108,10.500846315608904
mother,1,54,10.500846315608904
always,1,54,10.500846315608904
every,1,54,10.500846315608904
father,2,106,10.473879268008634
beyond,1,52,10.446398531586528
horses,1,52,10.446398531586528
yes,1,51,10.41838415541693
next,1,51,10.41838415541693
word,1,51,10.41838415541693
colonel,2,101,10.404170296197229
hills,2,100,10.389815003220159
came,3,147,10.360668657560643
how,3,147,10.360668657560643
all,12,588,10.360668657560643
on,12,583,10.348348385924774
men,4,194,10.345871655632562
did,3,145,10.340905402739214
one,10,476,10.318848481866016
again,3,142,10.31074343222896
find,1,47,10.300547665123071
till,2,93,10.285117624553466
things,2,92,10.269520769502448
down,4,184,10.269520769502448
under,3,138,10.269520769502448
talk,2,91,10.253753453644132
so,7,318,10.251486846672186
above,1,45,10.23781190977511
up,5,224,10.231385640615677
two,3,134,10.227085503182051
hands,1,44,10.205390432082732
course,1,44,10.205390432082732
since,1,44,10.205390432082732
days,2,86,10.172223568147533
were,6,255,10.155349749583136
told,2,85,10.155349749583136
me,11,465,10.147614100803532
of,67,2831,10.146965656893409
life,2,84,10.138276236224195
know,5,210,10.138276236224195
heavy,1,42,10.138276236224195
boy,4,167,10.129663105919487
where,4,164,10.10351081806352
eye,1,41,10.10351081806352
and,77,3156,10.103053762763992
world,3,122,10.091733650287164
those,2,81,10.08580881633006
little,6,241,10.07388564895424
for,20,798,10.064275654780419
enough,1,39,10.031361032307682
understand,1,39,10.031361032307682
air,1,39,10.031361032307682
xavier,1,39,10.031361032307682
great,4,156,10.031361032307682
out,7,271,10.020752932741702
back,4,152,9.99388632688902
big,1,38,9.99388632688902
shall,3,114,9.99388632688902
our,3,113,9.981175275139465
umballa,2,74,9.955412179074385
think,3,111,9.955412179074385
against,2,74,9.955412179074385
right,1,37,9.955412179074385
except,1,37,9.955412179074385
would,8,294,9.945631158281799
heard,2,73,9.935783372325453
regiment,1,36,9.915883814887748
going,1,36,9.915883814887748
more,4,144,9.915883814887748
nor,1,36,9.915883814887748
hindu,1,36,9.915883814887748
off,3,106,9.888916767287478
through,3,106,9.888916767287478
been,4,141,9.885510165844227
passed,1,35,9.8752418303904
times,1,35,9.8752418303904
green,1,35,9.8752418303904
by,13,455,9.8752418303904
hara,1,35,9.8752418303904
cut,1,35,9.8752418303904
brought,1,35,9.8752418303904
five,1,35,9.8752418303904
neck,1,35,9.8752418303904
they,16,557,9.867492330785467
are,10,341,9.837658647582245
ah,1,34,9.833421654695774
ay,1,34,9.833421654695774
same,1,34,9.833421654695774
him,17,572,9.818367308973484
gods,2,67,9.812048003903207
had,14,468,9.808968610971235
hand,3,100,9.804852502499003
too,3,99,9.790352932803888
wonder,1,33,9.790352932803888
wisdom,1,33,9.790352932803888
should,3,98,9.775706156839487
far,3,98,9.775706156839487
come,6,195,9.76832662647389
over,5,162,9.763880721442698
almost,1,32,9.745958813445435
it,35,1120,9.745958813445435
forth,1,32,9.745958813445435
evening,1,32,9.745958813445435
near,1,32,9.745958813445435
have,16,509,9.73748065952113
take,3,94,9.715585164401917
babu,3,94,9.715585164401917
then,8,248,9.70015512383231
bazar,1,31,9.70015512383231
service,1,31,9.70015512383231
brother,1,31,9.70015512383231
stood,1,31,9.70015512383231
strong,1,31,9.70015512383231
law,1,31,9.70015512383231
dost,1,31,9.70015512383231
be,15,458,9.67827200593386
way,4,121,9.66482205072003
also,2,60,9.652849409053953
paper,1,30,9.652849409053953
used,1,30,9.652849409053953
my,19,570,9.652849409053953
city,2,60,9.652849409053953
station,1,30,9.652849409053953
will,14,416,9.639043609528922
we,13,386,9.637976132572424
his,40,1186,9.635919013104076
met,1,29,9.603939808573008
rest,1,29,9.603939808573008
both,1,29,9.603939808573008
son,3,87,9.603939808573008
cart,1,29,9.603939808573008
hakim,1,29,9.603939808573008
dust,1,29,9.603939808573008
letter,2,58,9.603939808573008
talked,1,29,9.603939808573008
miles,1,29,9.603939808573008
man,14,404,9.596815374139625
in,53,1526,9.593577605716765
sahibs,3,86,9.587261067426377
most,3,86,9.587261067426377
kim,31,887,9.584552797359624
once,2,57,9.578848827610177
to,81,2293,9.569129450141604
away,5,141,9.563582070956866
into,7,196,9.553313735503039
free,1,28,9.553313735503039
known,1,28,9.553313735503039
anything,1,28,9.553313735503039
woman,4,112,9.553313735503039
saw,2,56,9.553313735503039
