collocation,collocate_count,total_count,MI
only,1,156,12.372884347350519
now,1,154,12.354268669183174
about,1,154,12.354268669183174
before,1,108,11.84236963065174
ll,2,205,11.766962227993718
things,1,101,11.745693611240066
they,3,287,11.667426554442804
little,2,178,11.563215559454669
long,1,87,11.530425624337
right,1,86,11.513746883190368
oh,1,85,11.496873064625973
three,1,85,11.496873064625973
day,1,84,11.479799551267032
take,1,83,11.462521559835196
went,1,81,11.427332131372896
anything,1,80,11.409410223375634
girl,1,78,11.37288434735052
till,1,78,11.37288434735052
what,4,310,11.363606533762509
want,1,76,11.335409641931857
night,1,72,11.257407129930584
under,1,70,11.21676514543324
think,2,137,11.1855142114488
mr,1,68,11.174944969738611
off,1,62,11.041678438875147
were,3,186,11.041678438875147
did,2,123,11.02999663382751
do,5,305,11.018219466051159
am,1,60,10.99437272409679
so,3,180,10.99437272409679
dick,12,686,10.924584393939927
something,1,57,10.920372142653013
she,8,454,10.914030615779186
all,6,338,10.9033990640493
these,1,56,10.894837050545876
why,1,55,10.868841842012932
while,1,55,10.868841842012932
beeton,1,55,10.868841842012932
used,1,54,10.84236963065174
looked,1,54,10.84236963065174
money,1,54,10.84236963065174
your,4,215,10.835674978077732
we,4,214,10.828949114889419
don,4,213,10.82219174871411
won,1,53,10.81540258305147
head,2,106,10.81540258305147
could,3,158,10.806300375944218
back,2,105,10.801727646154394
and,47,2461,10.797922219268793
know,4,205,10.766962227993718
it,21,1058,10.742288617823537
us,1,50,10.731338318262996
me,8,398,10.72410674903192
very,3,147,10.70219197260348
some,3,145,10.682428717782049
place,1,48,10.672444629209428
by,5,236,10.648197082962751
yet,1,47,10.64207098016591
those,1,47,10.64207098016591
between,1,46,10.611044084545284
took,1,46,10.611044084545284
are,4,176,10.546913747125569
hands,1,44,10.546913747125569
didn,1,43,10.513746883190368
picture,1,43,10.513746883190368
you,34,1459,10.510783455155824
her,10,429,10.510387871100455
then,5,214,10.507021020002055
go,5,214,10.507021020002055
d,2,85,10.496873064625973
in,24,1009,10.481230086873472
help,1,42,10.479799551267032
i,42,1744,10.463349030486437
just,2,83,10.462521559835197
see,4,165,10.453804342734086
got,1,41,10.445034133106356
white,1,41,10.445034133106356
years,1,41,10.445034133106356
way,2,82,10.445034133106356
find,1,41,10.445034133106356
or,4,163,10.43621028271935
but,12,488,10.433256965330001
best,1,40,10.409410223375634
him,10,398,10.402178654144558
over,3,118,10.385162677128957
more,4,156,10.372884347350519
through,2,78,10.372884347350519
course,1,39,10.372884347350519
there,8,311,10.368252898618874
up,5,194,10.365466875788037
t,19,737,10.365075424139755
work,5,193,10.35801107086899
face,2,77,10.354268669183174
had,11,418,10.335409641931857
them,3,113,10.322698590182304
torpenhow,7,263,10.31904619572297
after,2,75,10.316300818984152
hear,1,37,10.296935494117221
isn,2,74,10.296935494117221
to,53,1955,10.292514566119786
man,6,220,10.283879341291776
into,4,146,10.277306687368288
out,7,252,10.257407129930584
