collocation,collocate_count,total_count,MI
were,1,497,15.320069582970374
her,4,1606,15.012223718925405
him,2,785,14.97951638518708
are,1,353,14.82649191467927
into,1,301,14.596587218167791
she,7,1976,14.503979850935163
over,1,282,14.502518893806885
came,1,268,14.429056731865863
look,1,223,14.163867441328394
emily,1,221,14.150870100799523
could,1,220,14.14432725493275
can,1,216,14.11785504357156
so,2,431,14.114511600497188
did,1,213,14.097677161633928
some,1,197,13.985019360864465
time,1,189,13.925209965629163
which,1,189,13.925209965629163
back,1,178,13.838700972374488
will,1,176,13.822399160045387
my,3,520,13.800372853715388
at,6,1022,13.775184521624556
put,1,167,13.746671833882141
up,3,492,13.720519546026173
if,2,321,13.689397028530394
don,2,318,13.675850496692446
lettie,3,476,13.672822803994878
them,2,308,13.629754082102991
two,1,154,13.629754082102991
ve,1,148,13.572420907037039
d,1,144,13.532892542850401
go,2,287,13.527874468083777
what,3,423,13.502518893806883
room,1,139,13.481908614131598
see,2,273,13.455724682327942
they,4,543,13.447775929212453
mother,2,270,13.43978313845892
face,1,132,13.407361660766544
our,1,132,13.407361660766544
it,12,1577,13.400971985477446
say,1,131,13.39639054294554
began,1,127,13.351652228180257
but,5,629,13.337955653400016
much,1,123,13.305482046747331
made,1,121,13.281830778682686
asked,2,240,13.269858137016609
i,27,3207,13.255088677686267
before,1,116,13.220948536535664
am,1,115,13.208457592352463
still,1,115,13.208457592352463
this,2,228,13.19585755557283
let,1,113,13.183146503823277
on,8,903,13.181549718888949
me,7,784,13.170322463465695
feel,1,111,13.157383407758196
thought,1,111,13.157383407758196
home,1,111,13.157383407758196
for,6,662,13.148692447494152
and,39,4213,13.118197523108096
replied,2,215,13.11116039099755
way,1,107,13.104434527809238
must,1,106,13.090887995971288
you,17,1795,13.085272828868165
about,2,205,13.042447640913537
out,4,405,13.024745639180077
to,27,2722,13.018531390748615
going,1,100,13.006823731182815
looked,3,299,13.00200671488504
we,8,775,12.96102004156969
not,6,581,12.96039939409146
come,3,290,12.95791413070187
his,13,1242,12.94097728148748
tell,1,95,12.932823149739036
full,1,95,12.932823149739036
among,1,94,12.917556393085725
is,6,554,12.891747206736122
leslie,2,184,12.886529497465103
your,2,184,12.886529497465103
red,1,92,12.886529497465103
would,2,184,12.886529497465103
voice,1,91,12.870762181606786
good,2,181,12.862813428491295
have,5,449,12.851611081261876
down,4,358,12.846783318672346
he,28,2402,12.78563305505612
all,5,414,12.734526404020052
of,32,2634,12.726007171664603
t,10,819,12.718759088161734
house,1,81,12.702817544292714
table,1,81,12.702817544292714
as,10,808,12.699250929272523
eyes,3,242,12.696868277961528
wood,1,80,12.684895636295451
then,6,480,12.684895636295451
gone,1,80,12.684895636295451
head,2,160,12.684895636295451
in,23,1813,12.663568795095236
m,2,156,12.648369760270336
man,2,155,12.639091946682328
now,3,230,12.623495091631309
said,15,1118,12.582781418642762
watched,1,73,12.552792100288107
how,2,146,12.552792100288107
us,4,283,12.507625784239972
girl,1,70,12.492250558353055
won,1,70,12.492250558353055
the,103,7199,12.490047817214503
like,7,485,12.477453556424974
be,5,346,12.475667674157453
fine,1,69,12.471491998186258
father,2,137,12.460999624368615
george,6,410,12.457485140192379
round,3,201,12.429056731865863
never,2,134,12.429056731865863
went,4,268,12.429056731865863
no,5,333,12.420417813591989
sure,1,66,12.407361660766544
got,2,132,12.407361660766544
yet,1,66,12.407361660766544
near,1,66,12.407361660766544
such,1,65,12.385335354436545
end,1,65,12.385335354436545
through,2,129,12.374194796831345
great,2,128,12.362967541408091
hand,2,128,12.362967541408091
stood,2,127,12.351652228180255
had,10,635,12.351652228180255
rose,1,63,12.340247464908005
away,3,185,12.309386501203244
was,26,1601,12.307285415783253
new,1,61,12.293704878970974
gave,1,61,12.293704878970974
place,1,61,12.293704878970974
here,2,120,12.269858137016609
sat,3,178,12.253738471653332
thing,1,59,12.24561059076993
do,6,347,12.216796893265194
laughed,3,172,12.204269795389033
while,2,114,12.19585755557283
little,7,394,12.177664438806861
along,2,112,12.170322463465695
there,7,389,12.159238964336678
that,12,663,12.150870100799523
with,23,1266,12.145467274779419
think,3,165,12.14432725493275
suppose,1,55,12.14432725493275
warm,1,55,12.14432725493275
boy,1,54,12.11785504357156
ran,1,54,12.11785504357156
re,2,107,12.104434527809238
nothing,2,107,12.104434527809238
does,1,53,12.09088799597129
get,2,106,12.09088799597129
from,8,421,12.080643964474485
looking,3,157,12.072625789578561
know,5,261,12.068945443090612
own,1,52,12.063407259549182
shall,2,103,12.049468068591308
low,1,51,12.035392883379586
enough,1,51,12.035392883379586
even,1,51,12.035392883379586
when,9,455,12.022765275051837
half,2,100,12.006823731182815
chair,1,50,12.006823731182815
kept,1,49,11.977677385523299
more,3,146,11.96782959956695
ll,4,194,11.962880383595218
laughing,2,96,11.947930042129245
evening,1,48,11.947930042129245
slowly,1,48,11.947930042129245
felt,2,96,11.947930042129245
an,7,331,11.926300026157703
bright,1,47,11.917556393085725
talked,1,46,11.886529497465103
having,1,46,11.886529497465103
softly,1,46,11.886529497465103
white,3,136,11.865467881937272
fire,1,45,11.854820637737765
fingers,1,45,11.854820637737765
very,6,266,11.833287476188124
heard,2,87,11.805911037256818
should,3,130,11.800372853715388
any,2,86,11.789232296110187
once,1,43,11.789232296110187
pretty,1,43,11.789232296110187
walked,1,42,11.755284964186849
laugh,1,42,11.755284964186849
perhaps,1,42,11.755284964186849
together,1,42,11.755284964186849
work,1,42,11.755284964186849
across,2,83,11.738006972755015
one,7,288,11.725537620792798
nice,1,41,11.720519546026173
brought,1,41,11.720519546026173
air,1,41,11.720519546026173
hear,1,41,11.720519546026173
left,2,82,11.720519546026173
than,2,81,11.702817544292714
or,5,201,11.692091137699654
also,1,40,11.684895636295451
corn,1,40,11.684895636295451
been,4,158,11.666748289585192
everything,1,39,11.648369760270336
behind,1,39,11.648369760270336
tom,1,39,11.648369760270336
rather,2,78,11.648369760270336
may,1,39,11.648369760270336
last,3,115,11.623495091631309
lifted,1,38,11.610895054851675
beautiful,1,36,11.532892542850401
coat,1,36,11.532892542850401
s,26,936,11.532892542850401
another,2,72,11.532892542850401
cried,2,72,11.532892542850401
added,1,36,11.532892542850401
wouldn,1,36,11.532892542850401
path,1,36,11.532892542850401
love,2,71,11.512714660912772
arms,2,71,11.512714660912772
seen,1,35,11.492250558353057
dress,1,35,11.492250558353057
told,1,35,11.492250558353057
wanted,2,68,11.45043038265843
caught,1,34,11.45043038265843
well,6,203,11.44334095787211
children,2,66,11.407361660766542
fellow,1,33,11.407361660766542
hedge,1,33,11.407361660766542
blood,1,33,11.407361660766542
close,1,33,11.407361660766542
grey,2,65,11.385335354436544
corner,1,32,11.36296754140809
make,3,95,11.34786064901788
sit,1,31,11.317163851794966
continued,2,62,11.317163851794966
ay,1,31,11.317163851794966
looks,1,30,11.269858137016607
sharp,1,30,11.269858137016607
smile,1,30,11.269858137016607
yard,1,30,11.269858137016607
almost,2,59,11.245610590769932
wonder,1,29,11.220948536535662
field,1,29,11.220948536535662
bit,3,86,11.204269795389031
these,2,57,11.195857555572832
shadow,1,28,11.170322463465693
th,2,56,11.170322463465693
a,101,2779,11.145106177856857
tha,2,54,11.11785504357156
ah,2,54,11.11785504357156
body,1,27,11.11785504357156
waited,1,27,11.11785504357156
since,1,27,11.11785504357156
might,2,54,11.11785504357156
dressed,1,27,11.11785504357156
green,2,53,11.090887995971288
thus,1,26,11.063407259549182
horses,1,26,11.063407259549182
lady,2,52,11.063407259549182
eberwich,1,26,11.063407259549182
music,1,26,11.063407259549182
heavily,1,26,11.063407259549182
by,9,230,11.038532590910153
woman,5,127,11.029724133292893
woods,1,25,11.006823731182815
family,1,25,11.006823731182815
thin,1,25,11.006823731182815
edge,1,25,11.006823731182815
standing,1,25,11.006823731182815
show,1,25,11.006823731182815
ten,1,25,11.006823731182815
days,1,25,11.006823731182815
leaning,1,24,10.947930042129245
hard,1,24,10.947930042129245
married,1,24,10.947930042129245
really,2,48,10.947930042129245
thick,1,24,10.947930042129245
watch,1,24,10.947930042129245
same,2,47,10.917556393085727
dark,5,115,10.886529497465103
trouble,1,23,10.886529497465103
often,1,23,10.886529497465103
three,3,68,10.865467881937272
excited,1,22,10.822399160045387
aren,1,22,10.822399160045387
haven,1,21,10.755284964186849
drink,1,21,10.755284964186849
giving,1,21,10.755284964186849
death,1,21,10.755284964186849
stones,1,21,10.755284964186849
laid,1,21,10.755284964186849
black,5,103,10.727539973703946
says,1,20,10.684895636295453
large,3,60,10.684895636295453
cruel,1,19,10.610895054851675
eat,1,19,10.610895054851675
proud,1,19,10.610895054851675
awful,1,19,10.610895054851675
beside,1,19,10.610895054851675
drop,1,19,10.610895054851675
tenderness,1,19,10.610895054851675
though,3,57,10.610895054851675
naked,1,18,10.532892542850401
bell,1,18,10.532892542850401
speaking,1,18,10.532892542850401
london,1,17,10.45043038265843
calling,1,17,10.45043038265843
manner,1,17,10.45043038265843
marry,1,17,10.45043038265843
rise,1,17,10.45043038265843
shan,1,17,10.45043038265843
funny,1,17,10.45043038265843
has,4,67,10.429056731865861
bare,2,33,10.407361660766542
common,1,16,10.36296754140809
wasn,1,16,10.36296754140809
terror,1,16,10.36296754140809
twenty,1,16,10.36296754140809
dog,2,32,10.36296754140809
girls,2,31,10.317163851794964
hold,2,31,10.317163851794964
god,1,15,10.269858137016607
row,1,15,10.269858137016607
comfort,1,15,10.269858137016607
fancy,1,15,10.269858137016607
ceased,1,15,10.269858137016607
sleeping,1,15,10.269858137016607
poor,5,73,10.230864005400745
who,11,159,10.216418878055148
himself,5,72,10.21096444796304
im,3,43,10.204269795389031
swinging,1,14,10.170322463465693
idea,1,14,10.170322463465693
legs,1,14,10.170322463465693
called,3,41,10.135557045305017
pale,4,54,10.117855043571558
drew,3,40,10.099933135574297
snowdrops,1,13,10.063407259549182
singing,1,13,10.063407259549182
pictures,1,13,10.063407259549182
hated,1,13,10.063407259549182
whether,1,13,10.063407259549182
latter,1,13,10.063407259549182
e,5,62,9.995235756907602
old,20,247,9.989406678105405
ere,1,12,9.947930042129245
speech,1,12,9.947930042129245
romance,1,12,9.947930042129245
directly,1,12,9.947930042129245
broad,1,12,9.947930042129245
grown,1,12,9.947930042129245
cattle,1,12,9.947930042129245
whisky,1,12,9.947930042129245
thousand,1,12,9.947930042129245
big,4,46,9.886529497465103
dead,3,34,9.865467881937272
best,2,22,9.822399160045387
none,1,11,9.822399160045387
contempt,1,11,9.822399160045387
game,1,11,9.822399160045387
ave,1,11,9.822399160045387
windows,1,11,9.822399160045387
peeped,1,11,9.822399160045387
fair,2,21,9.755284964186849
wretch,1,10,9.684895636295453
tall,3,30,9.684895636295453
strike,1,10,9.684895636295453
passing,1,10,9.684895636295453
folded,1,10,9.684895636295453
ruddy,2,20,9.684895636295453
niver,1,10,9.684895636295453
servant,1,10,9.684895636295453
known,1,10,9.684895636295453
bough,1,9,9.532892542850401
clean,1,9,9.532892542850401
